等級,物品名稱,分類,一般採集地點,建議採集地點,加工地點,相關資料,販店價,image
7,幻之鋼,礦石類,"莎蓮娜海洞B2(44,48)(43,56) / 青龍的洞窟B2(9,51) / 索奇亞海洞B2(21,16)(白金) / 布拉基姆高地(189,130)(幻之銀)","莎蓮娜海洞B2(44,48)(43,56)","法蘭城米克爾工房(106,61)交換幻之鋼(27,10) / 阿凱魯法村阿凱魯法工房(157,208)交換幻之鋼(10,14) / 艾夏島武器工房(144,120)畫廊(28,21)交換幻之鋼(41,44)",,20個69G,/img/採集/幻之鋼.gif
8,幻之銀,礦石類,"莎蓮娜海洞B2(19,7) / 青龍的洞窟B2(60,47) / 南恰拉山第一通道B1(9,33) / 布拉基姆高地(189,130)(幻之鋼)","莎蓮娜海洞B2(37,6)","法蘭城米克爾工房(106,61)交換幻之銀(28,8) / 阿凱魯法村阿凱魯法工房(157,208)交換幻之銀(18,19) / 艾夏島武器工房(144,120)畫廊(28,21)交換幻之銀(38,45)",,20個103G,/img/採集/幻之銀.gif
8,達馬斯礦,礦石類,"南恰拉山第一通道(9,33) / 伊利斯礦山大坑道(米村側)(78,35) / 伊利斯礦山大坑道(147,137)(45,118)(銅) / 伊利斯礦山入口大坑道(40,120)(銅)","南恰拉山第一通道(9,33)","阿凱魯法村阿凱魯法工房(157,208)交換達瑪斯礦(12,18)",,20個103G,/img/採集/達馬斯礦.gif
9,勒格耐席鉧,礦石類,"莎蓮娜西方洞窟B2(68,34) / 莎蓮娜西方洞窟B1(21,27)(阿村側) / 伊利斯礦山大坑道(63,94)(銅)","莎蓮娜西方洞窟B1(21,27)(阿村側)","法蘭城米克爾工房(106,61)交換勒格耐席姆(22,6) / 艾夏島武器工房(144,120)畫廊(28,21)交換勒格耐席姆(33,45)",,20個208G,/img/採集/勒格耐席鉧.gif
9,謝爾哈特礦,礦石類,"伊利斯礦山大坑道(146,90)(銅) / 海峽通道(34,38)附近","海之通道(34,38)附近","阿凱魯法村阿凱魯法工房(157,208)交換謝爾哈特礦(13,15)",,20個208G,/img/採集/謝爾哈特礦.gif
10,奧利哈鋼,礦石類,"莎蓮娜西方洞窟B2(40,45) / 伊利斯礦山大坑道(80,138)(銅)","莎蓮娜西方洞窟B2(40,45)","法蘭城米克爾工房(106,61)交換奧利哈鋼(27,12) / 艾夏島武器工房(144,120)畫廊(28,21)交換奧利哈鋼(43,48)",,20個420G,/img/採集/奧利哈鋼.gif
10,喜馬拉斯礦,礦石類,"伊利斯礦山大坑道(118,125)(銅)","伊利斯礦山大坑道(118,125)(銅)","阿凱魯法村阿凱魯法工房(157,208)交換喜馬拉斯礦(15,15)",,20個420G,/img/採集/喜馬拉斯礦.gif
10,雅達曼鎝,礦石類,薰風村外西邊通道,"薰風村外西邊通道(59,60)","翠湖村工坊(65,78)(59,78)交換雅達曼鎝條(5,8)",,20個420G,/img/採集/雅達曼鎝.gif
1,瑪瑙,特殊類,6.0德威特島,,,,無法販售,/img/採集/瑪瑙.gif
1,縞瑪瑙,特殊類,"國營24坑道B3(20,20) / 國營24坑道B3(13,21)",,,相關任務： 礦工用安全帽,0G,/img/採集/縞瑪瑙.gif
1,赤鐵礦,特殊類,"國營24坑道B3東北方(28,3)樓梯下到B4(21,16)",,,相關任務： 礦工用安全帽,0G,/img/採集/赤鐵礦.gif
1,天青石,特殊類,"國營24坑道B3西北方(6,4)樓梯下到B4(5,3)",,,相關任務： 礦工用安全帽,無法販售,/img/採集/天青石.gif
3,冰塊,特殊類,"6.0德威特島(79,59)",,,相關任務： 夏日冰品,20個1G,/img/採集/冰塊.gif
3,腐爛的樹枝,特殊類,維諾亞海底洞窟2F,,,維諾亞海底洞窟2F,無法販售,/img/採集/腐爛的樹枝.gif
3,破破爛爛的劍,特殊類,"謝歐爾洞窟裡約(4,11)處走到另一邊(27,36)附近",,,相關任務： 海賊的洞窟,0G,/img/採集/破破爛爛的劍.gif
3,海賊劍,特殊類,"謝歐爾洞窟裡約(4,11)處走到另一邊(27,36)附近",,,相關任務： 海賊的洞窟,0G,/img/採集/海賊劍.gif
3,海賊的寶箱,特殊類,海賊的礦山全域,,,相關任務： 海賊的洞窟,0G,/img/採集/海賊的寶箱.gif
4,海賊的寶箱,特殊類,海賊的礦山全域,,,相關任務： 海賊的洞窟,0G,/img/採集/海賊的寶箱.gif
5,鈦礦石,特殊類,維諾亞海底洞窟地下2F全域,,,相關任務： 月亮俱樂部,20個41G,/img/採集/鈦礦石.gif
5,海賊的寶箱,特殊類,海賊的礦山全域,,,相關任務： 海賊的洞窟,0G,/img/採集/海賊的寶箱.gif
5,古代種子,特殊類,"奴克冰原(454,177)",,,相關任務： 穿越時空,42G,/img/採集/古代種子.gif
6,鋼騎之礦,特殊類,海賊的礦山全域,,,相關任務： 海賊的洞窟,5個1400G,/img/採集/鋼騎之礦.gif
8,克德謝爾礦,特殊類,6.0德威特島,,,,20個161G,/img/採集/克德謝爾礦.gif
8,亞爾登礦,特殊類,6.0德威特島,,,,20個161G,/img/採集/亞爾登礦.gif
8,萊姆騎士礦,特殊類,6.0德威特島,,,,20個161G,/img/採集/萊姆騎士礦.gif
8,永久冰石,特殊類,青龍的洞窟B2西北區,,,相關任務： 生產系階級提昇Ⅲ,20個161G,/img/採集/永久冰石.gif
8,藍龍之鱗,特殊類,"青龍的洞窟(106,54)最上層的青龍之巢(63,36)",,,相關任務： 生產系階級提昇Ⅲ,20個161G,/img/採集/藍龍之鱗.gif
10,太古的道具,特殊類,國營24坑道地下、維諾亞洞窟全域,,,鑑定後為太古的道具,210G,/img/採集/太古的道具.gif
