腕輪職業,兌換娃娃地點,腕輪屬性,專屬稱號,腕輪效果
咒術,藍色口臭鬼:摩頓村 地獄骷髏:戰鬥系3階扭蛋機 天馬:烈風之刃+死亡樹精+慘白樹精(雷鎮NPC兌換) 赤炎黃蜂:盲盒,魔力+200；敏捷+40；魔防+100；回復+20；,詭術大師,可輕微提高某一種超強狀態魔法的成功率
封印,岩地跑者:雷鎮 武裝骷髏:戰鬥系3階扭蛋 麒麟:血腥之刃+幻哥妖+烈風鳥人(阿凱魯法村NPC兌換) 純白史萊姆:扭蛋,生命+300；防禦+50抗石化+5；抗遺忘+5；抗混亂+5；抗毒+5抗昏睡+5；抗酒醉+5；,封印之力,/
飼養,死亡蜂:蒂娜(白天) 利牙:戰鬥系3階扭蛋 山飛甲:哥拉爾/魯米那斯村/米諾基亞村/雷克塔爾鎮 萬年龜:盲盒,魅力+30；生命+150；魔防+50；敏捷+20；抗石化+5；抗遺忘+5；抗混亂+5；抗毒+5；抗昏睡+5；抗酒醉+5；,飼養達人,/
馴獸,血骷髏:蒂娜村(晚上) 巨牙:戰鬥系3階扭蛋 獨角獸:寶石鼠+火焰鼠+虎人(哥拉爾NPC兌換) 金甲蟲:扭蛋,魅力+50；生命+150；攻擊+20；魔防+50；回復+20閃躲+5；必殺+5；命中+5；反擊+5；,斯巴達榮耀,/
樵夫,赤熊:尼維爾海村 貓妖:生產系3階扭蛋 盜賊:殺龍之刃+水果蝙蝠+迷你蝙蝠(烏克蘭NPC兌換) 兔耳嚇人箱:阿巴尼斯村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,伐木達人,可改變伐木時所消耗的FP
獵人,殺手蠍:克瑞村 羅剎:生產系3階扭蛋 山賊:妖草+曼陀羅草+鐵剪螃蟹 (亞村NPC兌換) 綠蛙嚇人箱:魔法大學,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,狩獵達人,可改變狩獵時所消耗的FP
礦工,海底龜:坎村 貓人:生產系3階扭蛋 海盜:獵豹蜥蜴+蜥蜴戰士+地龍蜥 (蒂娜村晚上NPC兌換) 嚇人箱:蒂娜村(晚上),魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,挖掘達人,可改變挖掘時所消耗的FP
醫生,鳥人:亞村 利牙:戰鬥系3階扭蛋娃 破壞狂:墮天使+紅蠍+藍蠍 蒂娜村白天找NPC兌換 改造殭屍:亞村,生命+200；魔力+200；攻擊+30；必殺+15；抗昏睡+10；耐力+20；智力+20；,仁心,可改變治療時的成功幾率
護士,死靈 :蒂娜村(晚上) 巨牙:戰鬥系3階扭蛋 盜賊:沙龍之刃+水果蝙蝠+迷你蝙蝠 烏克蘭找NPC兌換 黑暗僧侶 :冒2旅館,生命+200；魔力+200；防禦+50；閃躲+15；抗混亂+10；耐力+20；智力+20；,愛心,可改變急救時的成功幾率
武器修理,黃色口臭鬼:維村 惡魔貓:生產系3階扭蛋 山賊:妖草+曼陀羅草+鐵剪螃蟹 亞村NPC兌換 斬首者:冒2旅館,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,武器修理達人,可改變武器修理時的成功幾率
防具修理,樹精:伊爾村 亡靈:生產系3階扭蛋 海盜:獵豹蜥蜴+蜥蜴戰士+地龍蜥 蒂娜村晚上NPC兌換 丘比特:蒂娜村(白天),魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,防具修理達人,可改變防具修理時的成功幾率
鑒定,血骷髏 :蒂娜村(晚上) 巨牙 :戰鬥系3階扭蛋 獨角獸 :寶石鼠+火焰鼠+虎人 哥拉爾NPC兌換 金甲蟲 :扭蛋,魔力+400；防禦+20；回復+20；智力+20；靈巧+20；,鑒定達人,可改變鑒定時所的成功幾率
廚師,煙霧:米村 貓妖:生產系3階扭蛋 山飛甲:哥鎮 地精:伊爾村,魔力+400；防禦+20；回復+20；智力+20；靈巧+20；,生產達人,可改變料理時所消耗的FP
藥劑,大型半獸人:魯米那斯村 羅剎:生產系3階扭蛋 獨角獸:寶石鼠+火焰鼠+虎人(哥鎮NPC兌換) 水精:維村,魔力+400；防禦+20；回復+20；智力+20；靈巧+20；,生產達人,可改變製藥時所消耗的FP
鑄劍師傅,半獸人:哥拉爾鎮 貓人:生產系3階扭蛋 地底龜:阿凱魯法村/坎村(妖花+海蝙蝠+兔耳蝙蝠 魔大NPC兌換) 火精:烏克蘭,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變鑄劍時所消耗的FP
小刀師傅,水藍菇:阿魯凱法村 幽靈:生產系3階扭蛋 獨角仙:阿凱魯法村/坎村(石像怪+虎頭蜂+異型蜂 魯米那斯村NPC兌換) 風精:奇利村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造小刀時所消耗的FP
裁縫師傅,沼澤樹精 :摩頓村 惡魔貓:生產系3階扭蛋娃 地底龜:阿凱魯法村/坎村 丸子炸彈 :加納 冒2旅館,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變製衣服時所消耗的FP
造斧師傅,殺人螳螂:亞諾曼城 亡靈:生產系3階扭蛋 獨角仙:阿凱魯法村/坎村(石像怪+虎頭蜂+異型蜂 魯米那斯村NPC兌換) 水藍鼠:聖村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造斧時所消耗的FP
投擲武器師傅,烈風鳥人:魔大/阿巴 貓妖:生產系3階扭蛋 巨人:法蘭城/伊爾村/維村/烏克蘭村/亞村/聖村 冥界死神:雷鎮,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造投擲武器時所消耗的FP
長袍師傅,北極熊 :魔大 阿巴 羅剎:生產系3階扭蛋娃 單眼巨人:亞城/摩頓村/尼維爾海村/克瑞村/雷村 伊格羅斯:米諾基亞村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造長袍時所消耗的FP
造槍師傅,水晶螃蟹:蒂娜村(白天) 貓人:生產系3階扭蛋 泰坦巨人:加納村 奇利村 盲盒3(血魔+武術仙人掌+兔耳仙人掌 阿巴找NPC兌換) 獅鷲獸:魯米那斯村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造槍時所消耗的FP
頭盔師傅,風龍蜥:傑村 幽靈 :生產系3階扭蛋 亞特拉斯巨神:傑村/蒂娜(白天.晚上)/尼維爾海村/克瑞村/雷村 變種獅鷲:哥拉爾,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造頭盔時所消耗的FP
製靴師傅,印地安仙人掌:奇利村 惡魔貓:生產系3階扭蛋 巨人:法蘭城/伊爾村/維村/烏克蘭村/亞村/聖村 鐮刀魔 :坎村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造靴子時所消耗的FP
造弓師傅,狠毒鳥人:加納村 亡靈:生產系3階扭蛋 單眼巨人:亞城/摩頓村/尼維爾海村/克瑞村/雷村 佈雷歐:阿凱魯法村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造弓時所消耗的FP
帽子師傅,大地鼠:聖村 貓妖:生產系3階扭蛋 泰坦巨人:加納村/奇利村 陰影:雷村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造帽子時所消耗的FP
製鞋師傅,冰樹:亞村 羅剎:生產系3階扭蛋 亞特拉斯巨神 :傑村/蒂娜(白天.晚上)/尼維爾海村/克瑞村/雷村 闇影 :克瑞村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造鞋子時所消耗的FP
造杖師傅,水龍蜥:維村 貓人:生產系3階扭蛋 黃金樹精:加納 旋律影子:尼維爾海村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造杖時所消耗的FP
鎧甲師傅,黃蜂:伊爾村 幽靈:生產系3階扭蛋 黃金樹精 :加納村 幻影:摩頓村,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造鎧甲時所消耗的FP
造盾師傅,使魔:法蘭城 惡魔貓 :生產系3階扭蛋 黃金樹精 :加納村 巨狼 :亞諾曼城,魔力+400；防禦+20；回復+20；耐力+20；靈巧+20；,生產達人,可改變造盾時所消耗的FP
