配方ID,順序,種類,名稱,名稱狀態,數量,機率,等級條件,等級,條件備註,原文
fusion-a0059,1,寵物,改造糖果大地鼠,已對應寵物表,,,指定,1,,Lv1的改造糖果大地鼠
fusion-a0060,1,寵物,奔旦君,已對應寵物表,,33%,指定,1,,Lv1的奔旦君（概率33%）
fusion-a0060,2,寵物,奔旦醬,已對應寵物表,,33%,指定,1,,Lv1的奔旦醬（概率33%）
fusion-a0060,3,寵物,奔旦桑,已對應寵物表,,33%,指定,1,,Lv1的奔旦桑（概率33%）
fusion-a0060,4,寵物,奔旦大王,已對應寵物表,,1%,指定,1,,Lv1的奔旦大王（概率1%）
fusion-a0061,1,寵物,奔旦君,已對應寵物表,,33%,指定,1,,Lv1的奔旦君（概率33%）
fusion-a0061,2,寵物,奔旦醬,已對應寵物表,,33%,指定,1,,Lv1的奔旦醬（概率33%）
fusion-a0061,3,寵物,奔旦桑,已對應寵物表,,33%,指定,1,,Lv1的奔旦桑（概率33%）
fusion-a0061,4,寵物,奔旦大王,已對應寵物表,,1%,指定,1,,Lv1的奔旦大王（概率1%）
fusion-a0062,1,寵物,奔旦君,已對應寵物表,,33%,指定,1,,Lv1的奔旦君（概率33%）
fusion-a0062,2,寵物,奔旦醬,已對應寵物表,,33%,指定,1,,Lv1的奔旦醬（概率33%）
fusion-a0062,3,寵物,奔旦桑,已對應寵物表,,33%,指定,1,,Lv1的奔旦桑（概率33%）
fusion-a0062,4,寵物,奔旦大王,已對應寵物表,,1%,指定,1,,Lv1的奔旦大王（概率1%）
fusion-a0063,1,寵物,火柴小王子,已對應寵物表,,,,,,火柴小王子
fusion-a0064,1,寵物,火柴小王子,已對應寵物表,,,,,,火柴小王子
fusion-a0065,1,寵物,紫獄龍王,已對應寵物表,,,指定,1,,Lv1的紫獄龍王
fusion-a0066,1,寵物,紫獄龍王,已對應寵物表,,,指定,1,,Lv1的紫獄龍王
fusion-a0067,1,寵物,八重紫,已對應寵物表,,3%,指定,1,,Lv1的八重紫（概率3%）
fusion-a0067,2,寵物,巫蛇妖姬,已對應寵物表,,97%,指定,1,,Lv1的巫蛇妖姬（概率97%）
fusion-a0068,1,寵物,劈哩君,已對應寵物表,,33%,指定,1,,Lv1的劈哩君（概率33%）
fusion-a0068,2,寵物,劈哩醬,已對應寵物表,,33%,指定,1,,Lv1的劈哩醬（概率33%）
fusion-a0068,3,寵物,劈哩桑,已對應寵物表,,33%,指定,1,,Lv1的劈哩桑（概率33%）
fusion-a0068,4,寵物,劈哩大王,已對應寵物表,,1%,指定,1,,Lv1的劈哩大王（概率1%）
fusion-a0069,1,寵物,劈哩君,已對應寵物表,,33%,指定,1,,Lv1的劈哩君（概率33%）
fusion-a0069,2,寵物,劈哩醬,已對應寵物表,,33%,指定,1,,Lv1的劈哩醬（概率33%）
fusion-a0069,3,寵物,劈哩桑,已對應寵物表,,33%,指定,1,,Lv1的劈哩桑（概率33%）
fusion-a0069,4,寵物,劈哩大王,已對應寵物表,,1%,指定,1,,Lv1的劈哩大王（概率1%）
fusion-a0070,1,寵物,劈哩君,已對應寵物表,,33%,指定,1,,Lv1的劈哩君（概率33%）
fusion-a0070,2,寵物,劈哩醬,已對應寵物表,,33%,指定,1,,Lv1的劈哩醬（概率33%）
fusion-a0070,3,寵物,劈哩桑,已對應寵物表,,33%,指定,1,,Lv1的劈哩桑（概率33%）
fusion-a0070,4,寵物,劈哩大王,已對應寵物表,,1%,指定,1,,Lv1的劈哩大王（概率1%）
fusion-a0071,1,寵物,紫金暴龍王,已對應寵物表,,,指定,1,,Lv1的紫金暴龍王
fusion-a0072,1,寵物,紫金暴龍王,已對應寵物表,,50%,指定,1,,Lv1的紫金暴龍王（概率50%）
fusion-a0072,2,寵物,渡,已對應寵物表,,50%,指定,1,,Lv1的渡（概率50%）
fusion-a0073,1,寵物,渡,已對應寵物表,,,指定,1,,Lv1的渡
fusion-a0074,1,寵物,天空元素使,已對應寵物表,,95%,指定,1,,Lv1的天空元素使（概率95%）
fusion-a0074,2,寵物,風之使徒,已對應寵物表,,5%,指定,1,,Lv1的風之使徒（概率5%）
fusion-a0075,1,寵物,寒冰奇美拉,已對應寵物表,,50%,指定,1,,Lv1的寒冰奇美拉（概率50%）
fusion-a0075,2,寵物,綾香,已對應寵物表,,50%,指定,1,,Lv1的綾香（概率50%）
fusion-a0076,1,寵物,寒冰奇美拉,已對應寵物表,,,指定,1,,Lv1的寒冰奇美拉
fusion-a0077,1,寵物,綾香,已對應寵物表,,,指定,1,,Lv1的綾香
fusion-a0078,1,寵物,黑糖大福兔兔,已對應寵物表,,,指定,1,,Lv1黑糖大福兔兔
fusion-a0079,1,寵物,雪見大福兔兔,已對應寵物表,,,指定,1,,Lv1雪見大福兔兔
fusion-a0080,1,寵物,黃金樹靈,已對應寵物表,,,指定,1,,Lv1黃金樹靈
fusion-a0081,1,寵物,海洋元素使,已對應寵物表,,95%,指定,1,,Lv1的海洋元素使（概率95%）
fusion-a0081,2,寵物,海洋使徒,已對應寵物表,,5%,指定,1,,Lv1的海洋使徒（概率5%）
fusion-a0082,1,寵物,聖紋地龍,已對應寵物表,,50%,指定,1,,Lv1的聖紋地龍（概率50%）
fusion-a0082,2,寵物,聖槍騎士,已對應寵物表,,50%,指定,1,,Lv1的聖槍騎士（概率50%）
fusion-a0083,1,寵物,聖紋地龍,已對應寵物表,,,指定,1,,Lv1的聖紋地龍
fusion-a0084,1,寵物,聖槍騎士,已對應寵物表,,,指定,1,,Lv1的聖槍騎士
fusion-a0085,1,寵物,伯爵之棺,已對應寵物表,,95%,指定,1,,Lv1的伯爵之棺（概率95%）
fusion-a0085,2,寵物,魔女妮可,已對應寵物表,,5%,指定,1,,Lv1的魔女妮可（概率5%）
fusion-a0086,1,寵物,白焰,已對應寵物表,,5%,指定,1,,Lv1的白焰（概率5%）
fusion-a0086,2,寵物,鬼眼村正,已對應寵物表,,95%,指定,1,,Lv1的鬼眼村正（概率95%）
fusion-a0087,1,寵物,白焰,已對應寵物表,,,指定,1,,Lv1的白焰
fusion-a0088,1,寵物,白焰,已對應寵物表,,5%,指定,1,,Lv1的白焰（概率5%）
fusion-a0088,2,寵物,鬼眼村正,已對應寵物表,,95%,指定,1,,Lv1的鬼眼村正（概率95%）
fusion-a0089,1,寵物,流星,已對應寵物表,,,指定,1,,Lv1的流星
fusion-a0090,1,寵物,星雲,已對應寵物表,,,指定,1,,Lv1的星雲
fusion-a0091,1,寵物,大地元素使,已對應寵物表,,95%,指定,1,,Lv1的大地元素使（概率95%）
fusion-a0091,2,寵物,地之使徒,已對應寵物表,,5%,指定,1,,Lv1的地之使徒（概率5%）
fusion-a0092,1,寵物,改造鈦白嚇人箱,已對應寵物表,,,,,,改造鈦白嚇人箱
fusion-a0093,1,寵物,白雪,已對應寵物表,,,,,,白雪
fusion-a0094,1,寵物,裁決白龍王,已對應寵物表,,,指定,1,,Lv1的裁決白龍王
fusion-a0095,1,寵物,神聖白龍王,已對應寵物表,,,指定,1,,Lv1的神聖白龍王
fusion-a0096,1,寵物,火焰倉鼠,已對應寵物表,,,,,,火焰倉鼠
fusion-a0097,1,寵物,胖寶倉鼠,已對應寵物表,,,,,,胖寶倉鼠
fusion-a0098,1,寵物,胖寶倉鼠,已對應寵物表,,,,,,胖寶倉鼠
fusion-a0099,1,寵物,雪地倉鼠,已對應寵物表,,,,,,雪地倉鼠
fusion-a0100,1,寵物,緋紅巨龍,已對應寵物表,,,指定,1,,Lv1的緋紅巨龍
fusion-a0101,1,寵物,愛神丘比特,已對應寵物表,,,,,,愛神丘比特
fusion-a0102,1,寵物,騎士賽格梅特,已對應寵物表,,,指定,1,,Lv1騎士賽格梅特
fusion-a0103,1,寵物,劍士賽格梅特,已對應寵物表,,,指定,1,,Lv1劍士賽格梅特
fusion-a0104,1,寵物,格鬥家賽格梅特,已對應寵物表,,,指定,1,,Lv1格鬥家賽格梅特
fusion-a0105,1,寵物,弓箭手賽格梅特,已對應寵物表,,,指定,1,,Lv1弓箭手賽格梅特
fusion-a0106,1,寵物,戰斧賽格梅特,已對應寵物表,,,指定,1,,Lv1戰斧賽格梅特
fusion-a0107,1,寵物,咒師賽格梅特,已對應寵物表,,,指定,1,,Lv1咒師賽格梅特
fusion-a0108,1,寵物,聖咒賽格梅特,已對應寵物表,,95%,指定,1,,Lv1聖咒賽格梅特（概率95%）
fusion-a0108,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0109,1,寵物,聖鬥賽格梅特,已對應寵物表,,95%,指定,1,,Lv1聖鬥賽格梅特（概率95%）
fusion-a0109,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0110,1,寵物,聖斧賽格梅特,已對應寵物表,,95%,指定,1,,Lv1的聖斧賽格梅特（概率95%）
fusion-a0110,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0111,1,寵物,聖弓賽格梅特,已對應寵物表,,95%,指定,1,,Lv1聖弓賽格梅特（概率95%）
fusion-a0111,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0112,1,寵物,聖騎賽格梅特,已對應寵物表,,95%,指定,1,,Lv1聖騎賽格梅特（概率95%）
fusion-a0112,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0113,1,寵物,聖劍賽格梅特,已對應寵物表,,95%,指定,1,,Lv1聖劍賽格梅特（概率95%）
fusion-a0113,2,寵物,女皇賽格梅特,已對應寵物表,,5%,指定,1,,Lv1的女皇賽格梅特（概率5%）
fusion-a0114,1,寵物,聖金龍骨,已對應寵物表,,,,,,聖金龍骨
fusion-a0115,1,寵物,岩帝龍骨,已對應寵物表,,,,,,岩帝龍骨
fusion-a0116,1,寵物,逐月仙靈,已對應寵物表,,,,,,逐月仙靈
fusion-a0117,1,寵物,星輝仙靈,已對應寵物表,,,,,,星輝仙靈
fusion-a0118,1,寵物,改造鐮刀魔,已對應寵物表,,,指定,1,,Lv1改造鐮刀魔
fusion-a0119,1,寵物,改造暗黑僧侶,已對應寵物表,,,指定,1,,Lv1改造暗黑僧侶
fusion-a0120,1,寵物,改造斬首者,已對應寵物表,,,指定,1,,Lv1改造斬首者
fusion-a0121,1,寵物,改造冥界死神,已對應寵物表,,,指定,1,,Lv1改造冥界死神
fusion-a0122,1,寵物,夢之惡魔,已對應寵物表,,95%,指定,1,,Lv1的夢之惡魔（概率95%）
fusion-a0122,2,寵物,惡魔女帝,已對應寵物表,,5%,指定,1,,Lv1的惡魔女帝（概率5%）
fusion-a0123,1,寵物,黃金樹靈,已對應寵物表,,,指定,1,,Lv1黃金樹靈
fusion-a0124,1,寵物,風暴軍團長武魂,已對應寵物表,,5%,指定,1,,Lv1的風暴軍團長武魂（概率5%）
fusion-a0124,2,寵物,風暴軍團長魔魂,已對應寵物表,,5%,指定,1,,Lv1的風暴軍團長魔魂（概率5%）
fusion-a0124,3,寵物,兵長馬里諾,已對應寵物表,,90%,指定,1,,Lv1的兵長馬里諾（概率90%）
fusion-a0125,1,寵物,魅之惡魔,已對應寵物表,,95%,指定,1,,Lv1的魅之惡魔（概率95%）
fusion-a0125,2,寵物,惡魔女帝,已對應寵物表,,5%,指定,1,,Lv1的惡魔女帝（概率5%）
fusion-a0126,1,寵物,死靈,已對應寵物表,,90%,指定,1,,Lv1的死靈（概率90%）
fusion-a0126,2,寵物,魔道死靈,已對應寵物表,,10%,指定,1,,Lv1的魔道死靈（概率10%）
fusion-a0127,1,寵物,依格羅斯,已對應寵物表,,90%,指定,1,,Lv1的依格羅斯（概率90%）
fusion-a0127,2,寵物,神聖天使,已對應寵物表,,5%,指定,1,,Lv1的神聖天使（概率5%）
fusion-a0127,3,寵物,時雨天,已對應寵物表,,5%,指定,1,,Lv1的時雨天（概率5%）
fusion-a0128,1,寵物,雷霆詛咒者,已對應寵物表,,,指定,1,,Lv1雷霆詛咒者
fusion-a0129,1,寵物,火焰詛咒者,已對應寵物表,,,指定,1,,Lv1火焰詛咒者
fusion-a0130,1,寵物,寒冰詛咒者,已對應寵物表,,,指定,1,,Lv1寒冰詛咒者
fusion-a0131,1,寵物,大地詛咒者,已對應寵物表,,,指定,1,,Lv1大地詛咒者
fusion-a0132,1,寵物,幻之惡魔,已對應寵物表,,95%,指定,1,,Lv1的幻之惡魔（概率95%）
fusion-a0132,2,寵物,惡魔女帝,已對應寵物表,,5%,指定,1,,Lv1的惡魔女帝（概率5%）
fusion-a0133,1,寵物,艾克尼奇美拉,已對應寵物表,,,指定,1,,Lv1的艾克尼奇美拉
fusion-a0134,1,寵物,彼特,已對應寵物表,,,指定,1,,lv1彼特
fusion-a0135,1,寵物,地獄殺人螳螂,已對應寵物表,,,指定,1,,lv1地獄殺人螳螂
fusion-a0136,1,寵物,審判魔靈,已對應寵物表,,,指定,1,,lv1審判魔靈
fusion-a0137,1,寵物,烏莉兒,已對應寵物表,,,指定,1,,lv1烏莉兒
fusion-a0138,1,寵物,改造火焰翼龍,已對應寵物表,,,指定,1,,lv1改造火焰翼龍
fusion-a0139,1,寵物,改造殺人蜂,已對應寵物表,,,指定,1,,lv1改造殺人蜂
fusion-a0140,1,寵物,改造布丁史萊姆,已對應寵物表,,,指定,1,,lv1改造布丁史萊姆
fusion-a0141,1,寵物,山賊王,已對應寵物表,,,指定,1,,lv1山賊王
fusion-a0142,1,寵物,改造墮天使,已對應寵物表,,,指定,1,,lv1改造墮天使
fusion-a0143,1,寵物,煉獄軍團長,已對應寵物表,,,指定,1,,Lv1的煉獄軍團長
fusion-a0144,1,寵物,改造迷你石像怪,已對應寵物表,,,指定,1,,lv1改造迷你石像怪
fusion-a0145,1,寵物,改造赤熊,已對應寵物表,,,指定,1,,lv1改造赤熊
fusion-a0146,1,寵物,改造貓妖,已對應寵物表,,,指定,1,,lv1改造貓妖
fusion-a0147,1,寵物,改造水藍菇,已對應寵物表,,,指定,1,,lv1改造水藍菇
fusion-a0148,1,寵物,改造地獄骷髏,已對應寵物表,,,指定,1,,lv1改造地獄骷髏
fusion-a0149,1,寵物,碧空幼龍,已對應寵物表,,,指定,1,,Lv1的碧空幼龍
fusion-a0150,1,寵物,碧空飛龍,已對應寵物表,,,指定,1,,Lv1的碧空飛龍
fusion-a0151,1,寵物,埃及冥龍：卡洛斯,已對應寵物表,,33%,指定,1,,Lv1埃及冥龍:卡洛斯（概率33%）
fusion-a0151,2,寵物,埃及冥龍：海因茨,已對應寵物表,,33%,指定,1,,Lv1埃及冥龍：海因茨（概率33%）
fusion-a0151,3,寵物,埃及冥龍：索爾格,已對應寵物表,,34%,指定,1,,Lv1埃及冥龍：索爾格（概率34%）
fusion-a0152,1,寵物,櫻花冰冷樹精長老,已對應寵物表,,,,,,櫻花冰冷樹精長老
fusion-a0153,1,寵物,櫻花冰冷樹精,已對應寵物表,,,,,,櫻花冰冷樹精
fusion-a0154,1,寵物,別西卜,已對應寵物表,,,,,,別西卜
fusion-a0155,1,寵物,雷鳴穴龍,已對應寵物表,,,,,,雷鳴穴龍
fusion-a0156,1,寵物,寒冰龍王,已對應寵物表,,,指定,1,,Lv1寒冰龍王
fusion-a0157,1,寵物,百合少女,已對應寵物表,,,指定,1,,Lv1百合少女
fusion-a0158,1,寵物,白銀騎士,已對應寵物表,,,指定,1,,Lv1白銀騎士
fusion-a0159,1,寵物,愛神丘比特,已對應寵物表,,,,,,愛神丘比特
fusion-a0160,1,寵物,紅蓮法師,已對應寵物表,,95%,指定,1,,Lv1紅蓮法師（概率95%）
fusion-a0160,2,寵物,辰龍神使紅蓮,已對應寵物表,,5%,指定,1,,Lv1辰龍神使紅蓮（概率5%）
fusion-a0161,1,寵物,紅炎巨龍,已對應寵物表,,95%,指定,1,,Lv1紅炎巨龍（概率95%）
fusion-a0161,2,寵物,辰龍紅炎,已對應寵物表,,5%,指定,1,,Lv1辰龍紅炎（概率5%）
fusion-a0162,1,寵物,紅炎巨龍,已對應寵物表,,,指定,1,,Lv1紅炎巨龍
fusion-a0163,1,寵物,紅蓮,已對應寵物表,,,指定,1,,Lv1紅蓮
fusion-a0164,1,寵物,紅蓮法師,已對應寵物表,,,指定,1,,Lv1紅蓮法師
fusion-a0165,1,寵物,白豬太郎,已對應寵物表,,,指定,1,,Lv1白豬太郎
fusion-a0166,1,寵物,純白豬王,已對應寵物表,,5%,指定,1,,Lv1純白豬王（概率5%）
fusion-a0166,2,寵物,白豬太郎,已對應寵物表,,95%,指定,1,,Lv1白豬太郎（概率95%）
fusion-a0167,1,寵物,水龍寶,已對應寵物表,,,,,,水龍寶
fusion-a0168,1,寵物,小神龍,已對應寵物表,,,,,,小神龍
fusion-a0169,1,寵物,風龍寶,已對應寵物表,,,,,,風龍寶
fusion-a0170,1,寵物,炎龍寶,已對應寵物表,,,,,,炎龍寶
fusion-a0171,1,寵物,衝浪小神龍,已對應寵物表,,50%,,,,衝浪小神龍（概率50%）
fusion-a0171,2,寵物,衝浪小魔龍,已對應寵物表,,50%,,,,衝浪小魔龍（概率50%）
fusion-a0172,1,寵物,西比亞烏賊,已對應寵物表,,,指定,1,,Lv1西比亞烏賊
