武器,增益效果,負面效果
輕弓/飛刀/飛鏢/披風,生命+500，抗石化+10，抗遺忘+10,防禦-50，敏捷-50，閃避-15，抗混亂-30
輕弓/飛刀/飛鏢/披風,生命+500，抗昏睡+10，抗混亂+10,攻擊-50，敏捷-50，命中-15，抗遺忘-30
輕弓/飛刀/飛鏢/披風,抗昏睡+20，抗混亂+20，抗石化+20，抗遺忘+20,敏捷-50，防禦-50，回復-50，必殺-15
權杖,生命+400，回復+50，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，閃避-15，抗石化-30
權杖,生命+600，敏捷+40，隨機一種魔法耗魔減少10%,防禦-50，回復-40，閃避-15，抗昏睡-30
權杖,生命+600，精神+50，隨機一種魔法耗魔減少10%,防禦-50，回復-50，閃避-15，抗混亂-30
權杖,生命+500，魔力+600，隨機一種魔法耗魔減少10%,回復-50，防禦-50，敏捷-50，抗石化-30
權杖,生命+500，防禦+100，隨機一種魔法耗魔減少10%,敏捷-50，回復-50，閃避-15，抗石化-30
權杖,魔力+600，閃避+10，隨機一種魔法耗魔減少10%,防禦-50，回復-50，抗昏睡-30，抗混亂-30
權杖,魔力+600，回復+50，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，精神-50，抗混亂-30
權杖,精神+50，回復+100，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，閃避-15，抗石化-30
權杖,魔力+600，敏捷+50，隨機一種魔法耗魔減少10%,防禦-50，回復-50，精神-50，抗昏睡-30
權杖,精神+50，抗石化+15，抗遺忘+15，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，閃避-15，抗混亂-30
權杖,攻擊+200，抗昏睡+10，抗混亂+10，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，命中-15，抗遺忘-30
權杖,魔力+500，抗石化+10，抗遺忘+10，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，閃避-15，抗混亂-30
權杖,魔力+500，抗昏睡+10，抗混亂+10，隨機一種魔法耗魔減少10%,攻擊-50，敏捷-50，命中-15，抗遺忘-30
權杖,生命+500，抗石化+10，抗遺忘+10，隨機一種魔法耗魔減少10%,防禦-50，敏捷-50，閃避-15，抗混亂-30
權杖,生命+500，抗昏睡+10，抗混亂+10，隨機一種魔法耗魔減少10%,攻擊-50，敏捷-50，命中-15，抗遺忘-30
權杖,抗昏睡+20，抗混亂+20，抗石化+20，抗遺忘+20，隨機一種魔法耗魔減少10%,敏捷-50，防禦-50，回復-50，必殺-15
