配方ID,順序,種類,名稱,名稱狀態,數量,等級條件,等級,條件備註,原文
fusion-a0014,2,道具,神樂之聖角,已對應道具庫,1,,,,神樂之聖角×1
fusion-a0014,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0014,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0015,1,寵物,烈焰元素使,已對應寵物表,,任意,,,任意等級的的烈焰元素使
fusion-a0015,2,道具,火元素之卵,來源原文,1,,,,火元素之卵×1
fusion-a0015,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0015,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0016,1,寵物,影,已對應寵物表,,指定,1,,Lv1的影
fusion-a0016,2,道具,雷影之聖角,已對應道具庫,1,,,,雷影之聖角×1
fusion-a0016,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0016,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0017,1,道具,蕾米兒設計圖A,來源原文,1,,,,蕾米兒設計圖A×1
fusion-a0017,2,道具,蕾米兒設計圖B,來源原文,1,,,,蕾米兒設計圖B×1
fusion-a0017,3,道具,蕾米兒設計圖C,來源原文,1,,,,蕾米兒設計圖C×1
fusion-a0017,4,道具,蕾米兒設計圖D,來源原文,1,,,,蕾米兒設計圖D×1
fusion-a0017,5,道具,蕾米兒設計圖E,來源原文,1,,,,蕾米兒設計圖E×1
fusion-a0017,6,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0018,1,寵物,虛空魔龍,已對應寵物表,,指定,1,,Lv1的虛空魔龍
fusion-a0018,2,道具,凜冬之怒,已對應道具庫,1,,,,凜冬之怒×1
fusion-a0019,1,寵物,凜冬巨龍,已對應寵物表,,指定,1,,Lv1的凜冬巨龍
fusion-a0019,2,道具,凜冬之怒,已對應道具庫,3,,,,凜冬之怒×3
fusion-a0020,1,寵物,神樂,已對應寵物表,,指定,1,,Lv1的神樂
fusion-a0020,2,道具,神樂之聖角,已對應道具庫,1,,,,神樂之聖角×1
fusion-a0020,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0020,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0021,1,寵物,初心花妖,已對應寵物表,,任意,,,任意等級的初心花妖
fusion-a0021,2,道具,永恆花仙進化券,已對應道具庫,1,,,,永恆花仙進化券×1
fusion-a0021,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0022,1,寵物,初心花妖,已對應寵物表,,任意,,,任意等級的初心花妖
fusion-a0022,2,道具,寶貝蛋糕進化券,已對應道具庫,1,,,,寶貝蛋糕進化券×1
fusion-a0022,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0023,1,寵物,櫻,已對應寵物表,,指定,1,,Lv1的櫻
fusion-a0023,2,道具,櫻之聖角,來源原文,1,,,,櫻之聖角×1
fusion-a0023,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0023,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0024,1,寵物,虛空魔龍,已對應寵物表,,指定,1,,Lv1的虛空魔龍
fusion-a0024,2,道具,虛空印記,已對應道具庫,1,,,,虛空印記×1
fusion-a0025,1,寵物,梅莉珊卓,已對應寵物表,,指定,1,,Lv1的梅莉珊卓
fusion-a0025,2,道具,虛空印記,已對應道具庫,3,,,,虛空印記×3
fusion-a0026,1,寵物,賽拉芬寶寶III,已對應寵物表,,任意,,,任意等級的賽拉芬寶寶III
fusion-a0026,2,道具,神祈之魂,已對應道具庫,1,,,,神祈之魂×1
fusion-a0026,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0026,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0027,1,寵物,賽拉芬寶寶II,已對應寵物表,,任意,,,任意等級的賽拉芬寶寶II
fusion-a0027,2,道具,神祈之魂,已對應道具庫,1,,,,神祈之魂×1
fusion-a0027,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0027,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0028,1,寵物,賽拉芬寶寶I,已對應寵物表,,任意,,,任意等級的賽拉芬寶寶I
fusion-a0028,2,道具,神祈之魂,已對應道具庫,1,,,,神祈之魂×1
fusion-a0028,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0028,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0029,1,寵物,巴力寶寶III,已對應寵物表,,任意,,,任意等級的巴力寶寶III
fusion-a0029,2,道具,黑暗之魂,已對應道具庫,1,,,,黑暗之魂×1
fusion-a0029,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0029,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0030,1,寵物,巴力寶寶II,已對應寵物表,,任意,,,任意等級的巴力寶寶II
fusion-a0030,2,道具,黑暗之魂,已對應道具庫,1,,,,黑暗之魂×1
fusion-a0030,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0030,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0031,1,寵物,巴力寶寶I,已對應寵物表,,任意,,,任意等級的巴力寶寶I
fusion-a0031,2,道具,黑暗之魂,已對應道具庫,1,,,,黑暗之魂×1
fusion-a0031,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0031,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0032,1,寵物,喵喵寶寶III,已對應寵物表,,任意,,,任意等級的喵喵寶寶III
fusion-a0032,2,道具,虛空之魂,已對應道具庫,1,,,,虛空之魂×1
fusion-a0032,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0032,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0033,1,寵物,喵喵寶寶II,已對應寵物表,,任意,,,任意等級的喵喵寶寶II
fusion-a0033,2,道具,虛空之魂,已對應道具庫,1,,,,虛空之魂×1
fusion-a0033,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0033,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0034,1,寵物,喵喵寶寶I,已對應寵物表,,任意,,,任意等級的喵喵寶寶I
fusion-a0034,2,道具,虛空之魂,已對應道具庫,1,,,,虛空之魂×1
fusion-a0034,3,道具,喚靈契約符,已對應道具庫,10,,,,喚靈契約符×10
fusion-a0034,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0035,1,寵物,異型蜂,已對應寵物表,,指定,1,,LV1的異型蜂
fusion-a0035,2,道具,異型火蜂設計圖ABC,來源原文,,,,,異型火蜂設計圖ABC
fusion-a0035,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0036,1,寵物,雪,已對應寵物表,,指定,1,,Lv1的雪
fusion-a0036,2,道具,雪之聖角,已對應道具庫,3,,,,雪之聖角×3
fusion-a0037,1,寵物,天叢雲雪,已對應寵物表,,指定,1,,Lv1的天叢雲雪
fusion-a0037,2,道具,雪之聖角,已對應道具庫,1,,,,雪之聖角×1
fusion-a0038,1,寵物,飛馬公主,已對應寵物表,,任意,,,任意等級的飛馬公主
fusion-a0038,2,道具,飛馬公主設計圖ABC,已對應道具庫,1,,,,飛馬公主設計圖ABC×1
fusion-a0038,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0039,1,寵物,露比,已對應寵物表,,任意,,,任意等級的露比
fusion-a0039,2,道具,露比設計圖ABC,已對應道具庫,1,,,,露比設計圖ABC×1
fusion-a0039,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0040,1,寵物,布偶夏莉,已對應寵物表,,任意,,,任意等級的布偶夏莉
fusion-a0040,2,道具,布偶夏莉設計圖ABC,已對應道具庫,1,,,,布偶夏莉設計圖ABC×1
fusion-a0040,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0041,1,寵物,冰原獨角獸,已對應寵物表,,任意,,,任意等級的冰原獨角獸
fusion-a0041,2,道具,冰原獨角獸設計圖ABC,已對應道具庫,1,,,,冰原獨角獸設計圖ABC×1
fusion-a0041,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0042,1,寵物,舞,已對應寵物表,,指定,1,,Lv1的舞
fusion-a0042,2,道具,舞之聖角,已對應道具庫,1,,,,舞之聖角×1
fusion-a0042,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0042,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0043,1,寵物,噗栗醬,已對應寵物表,,指定,1,,Lv1的噗栗醬
fusion-a0043,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0043,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0044,1,寵物,噗栗桑,已對應寵物表,,指定,1,,Lv1的噗栗桑
fusion-a0044,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0044,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0045,1,寵物,噗栗君,已對應寵物表,,指定,1,,Lv1的噗栗君
fusion-a0045,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0045,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0046,1,寵物,噬歲狼王,已對應寵物表,,指定,1,,Lv1的噬歲狼王
fusion-a0046,2,道具,災厄王印,已對應道具庫,1,,,,災厄王印×1
fusion-a0047,1,寵物,嗜血狂狼,已對應寵物表,,指定,1,,Lv1的嗜血狂狼
fusion-a0047,2,道具,災厄王印,已對應道具庫,3,,,,災厄王印×3
fusion-a0048,1,寵物,布丁史萊姆,已對應寵物表,,指定,1,,LV1的布丁史萊姆
fusion-a0048,2,道具,布丁史萊姆設計圖ABC,已對應道具庫,,,,,布丁史萊姆設計圖ABC
fusion-a0049,1,寵物,魔術師艾夏菲,已對應寵物表,,指定,1,,Lv1的魔術師艾夏菲
fusion-a0049,2,道具,勇者之魂,已對應道具庫,3,,,,勇者之魂×3
fusion-a0050,1,寵物,戰斧帕里修斯,已對應寵物表,,指定,1,,Lv1的戰斧帕里修斯
fusion-a0050,2,道具,勇者之魂,已對應道具庫,3,,,,勇者之魂×3
fusion-a0051,1,寵物,戰斧大師帕里修斯,已對應寵物表,,指定,1,,Lv1的戰斧大師帕里修斯
fusion-a0051,2,道具,勇者之魂,已對應道具庫,1,,,,勇者之魂×1
fusion-a0052,1,寵物,巫王耶克爾,已對應寵物表,,指定,1,,Lv1的巫王耶克爾
fusion-a0052,2,道具,勇者之魂,已對應道具庫,1,,,,勇者之魂×1
fusion-a0053,1,寵物,巫師耶克爾,已對應寵物表,,指定,1,,Lv1的巫師耶克爾
fusion-a0053,2,道具,勇者之魂,已對應道具庫,3,,,,勇者之魂×3
fusion-a0054,1,寵物,大魔導師艾夏菲,已對應寵物表,,指定,1,,Lv1的大魔導師艾夏菲
fusion-a0054,2,道具,勇者之魂,已對應道具庫,1,,,,勇者之魂×1
fusion-a0055,1,寵物,劍術大師里昂,已對應寵物表,,指定,1,,Lv1的劍術大師里昂
fusion-a0055,2,道具,勇者之魂,已對應道具庫,1,,,,勇者之魂×1
fusion-a0056,1,寵物,劍士里昂,已對應寵物表,,指定,1,,Lv1的劍士里昂
fusion-a0056,2,道具,勇者之魂,已對應道具庫,3,,,,勇者之魂×3
fusion-a0057,1,寵物,聖誕馴鹿,已對應寵物表,,任意,,,任意等級的聖誕馴鹿
fusion-a0057,2,道具,聖誕馴鹿設計圖ABC,已對應道具庫,,,,,聖誕馴鹿設計圖ABC
fusion-a0058,1,寵物,聖誕水藍鼠,已對應寵物表,,任意,,,任意等級的聖誕水藍鼠
fusion-a0058,2,道具,聖誕水藍鼠設計圖ABC,已對應道具庫,,,,,聖誕水藍鼠設計圖ABC
fusion-a0059,1,寵物,糖果大地鼠,已對應寵物表,,任意,,,任意等級的糖果大地鼠
fusion-a0059,2,道具,糖果大地鼠設計圖ABC,已對應道具庫,,,,,糖果大地鼠設計圖ABC
fusion-a0060,1,寵物,奔旦醬,已對應寵物表,,指定,1,,Lv1的奔旦醬
fusion-a0060,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0060,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0061,1,寵物,奔旦桑,已對應寵物表,,指定,1,,Lv1的奔旦桑
fusion-a0061,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0061,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0062,1,寵物,奔旦君,已對應寵物表,,指定,1,,Lv1的奔旦君
fusion-a0062,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0062,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0063,1,寵物,赤燄,已對應寵物表,,指定,1,,Lv1赤燄
fusion-a0063,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0063,3,道具,希望火柴盒,來源原文,10,,,,希望火柴盒×10
fusion-a0063,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0063,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0064,1,寵物,碧燄,已對應寵物表,,指定,1,,Lv1碧燄
fusion-a0064,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0064,3,道具,希望火柴盒,來源原文,10,,,,希望火柴盒×10
fusion-a0064,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0064,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0065,1,寵物,紫獄龍王,已對應寵物表,,指定,1,,Lv1的紫獄龍王
fusion-a0065,2,道具,紫龍魂契,已對應道具庫,1,,,,紫龍魂契×1
fusion-a0066,1,寵物,幻紫飛龍,已對應寵物表,,指定,1,,Lv1的幻紫飛龍
fusion-a0066,2,道具,紫龍魂契,已對應道具庫,3,,,,紫龍魂契×3
fusion-a0067,1,寵物,巫蛇妖姬,已對應寵物表,,指定,1,,Lv1的巫蛇妖姬
fusion-a0067,2,道具,女媧重石,已對應道具庫,1,,,,女媧重石×1
fusion-a0067,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0068,1,寵物,劈哩醬,已對應寵物表,,指定,1,,Lv1的劈哩醬
fusion-a0068,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0068,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0069,1,寵物,劈哩桑,已對應寵物表,,指定,1,,Lv1的劈哩桑
fusion-a0069,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0069,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0070,1,寵物,劈哩君,已對應寵物表,,指定,1,,Lv1的劈哩君
fusion-a0070,2,道具,聖誕星人許願卡,已對應道具庫,1,,,,聖誕星人許願卡×1
fusion-a0070,3,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0071,1,寵物,紫金暴龍王,已對應寵物表,,指定,1,,Lv1的紫金暴龍王
fusion-a0071,2,道具,冥龍之心,已對應道具庫,1,,,,冥龍之心×1
fusion-a0072,1,寵物,紫金冥龍,已對應寵物表,,指定,1,,Lv1的紫金冥龍
fusion-a0072,2,道具,冥龍之心,已對應道具庫,3,,,,冥龍之心×3
fusion-a0073,1,寵物,渡,已對應寵物表,,指定,1,,Lv1的渡
fusion-a0073,2,道具,冥龍之心,已對應道具庫,1,,,,冥龍之心×1
fusion-a0074,1,寵物,天空元素使,已對應寵物表,,任意,,,任意等級的的天空元素使
fusion-a0074,2,道具,風元素之卵,來源原文,1,,,,風元素之卵×1
fusion-a0074,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0074,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0075,1,寵物,艾德奇美拉,已對應寵物表,,指定,1,,Lv1的艾德奇美拉
fusion-a0075,2,道具,共生記憶活體,已對應道具庫,3,,,,共生記憶活體×3
fusion-a0076,1,寵物,聖紋地龍,已對應寵物表,,指定,1,,Lv1的聖紋地龍
fusion-a0076,2,道具,共生記憶活體,已對應道具庫,1,,,,共生記憶活體×1
fusion-a0077,1,寵物,綾香,已對應寵物表,,指定,1,,Lv1的綾香
fusion-a0077,2,道具,共生記憶活體,已對應道具庫,1,,,,共生記憶活體×1
fusion-a0078,1,寵物,黑醬麻薯兔兔,已對應寵物表,,任意,,,任意等級的黑醬麻薯兔兔
fusion-a0078,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0078,3,道具,大福糯團,來源原文,10,,,,大福糯團×10
fusion-a0078,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0078,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0079,1,寵物,白櫻麻薯兔兔,已對應寵物表,,任意,,,任意等級的白櫻麻薯兔兔
fusion-a0079,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0079,3,道具,大福糯團,來源原文,10,,,,大福糯團×10
fusion-a0079,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0079,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0080,1,寵物,黃金樹精,已對應寵物表,,至少,100,,Lv100以上的黃金樹精
fusion-a0080,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0080,3,道具,黃金樹根,來源原文,10,,,,黃金樹根×10
fusion-a0080,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0080,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0081,1,寵物,海洋元素使,已對應寵物表,,任意,,,任意等級的的海洋元素使
fusion-a0081,2,道具,水元素之卵,來源原文,1,,,,水元素之卵×1
fusion-a0081,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0081,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0082,1,寵物,魔紋幼龍,已對應寵物表,,指定,1,,Lv1的魔紋幼龍
fusion-a0082,2,道具,地核晶石,已對應道具庫,3,,,,地核晶石×3
fusion-a0083,1,寵物,聖紋地龍,已對應寵物表,,指定,1,,Lv1的聖紋地龍
fusion-a0083,2,道具,地核晶石,已對應道具庫,1,,,,地核晶石×1
fusion-a0084,1,寵物,聖槍騎士,已對應寵物表,,指定,1,,Lv1的聖槍騎士
fusion-a0084,2,道具,地核晶石,已對應道具庫,1,,,,地核晶石×1
fusion-a0085,1,寵物,伯爵之棺,已對應寵物表,,指定,1,,Lv1的伯爵之棺
fusion-a0085,2,道具,不死冥蝠,已對應道具庫,1,,,,不死冥蝠×1
fusion-a0085,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0085,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0086,1,寵物,鬼眼村正,已對應寵物表,,指定,1,,Lv1的鬼眼村正
fusion-a0086,2,道具,噬主之魄,已對應道具庫,3,,,,噬主之魄×3
fusion-a0087,1,寵物,白焰,已對應寵物表,,指定,1,,Lv1的白焰
fusion-a0087,2,道具,噬主之魄,已對應道具庫,3,,,,噬主之魄×3
fusion-a0088,1,寵物,妖刀,已對應寵物表,,指定,1,,Lv1的妖刀
fusion-a0088,2,道具,噬主之魄,已對應道具庫,3,,,,噬主之魄×3
fusion-a0089,1,寵物,流星,已對應寵物表,,指定,1,,Lv1的流星
fusion-a0089,2,道具,雙子晶核,已對應道具庫,1,,,,雙子晶核×1
fusion-a0090,1,寵物,星雲,已對應寵物表,,指定,1,,Lv1的星雲
fusion-a0090,2,道具,雙子晶核,已對應道具庫,1,,,,雙子晶核×1
fusion-a0091,1,寵物,大地元素使,已對應寵物表,,任意,,,任意等級的的大地元素使
fusion-a0091,2,道具,地元素之卵,來源原文,1,,,,地元素之卵×1
fusion-a0091,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0091,4,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0092,1,寵物,鈦白嚇人箱,已對應寵物表,,,,,鈦白嚇人箱
fusion-a0092,2,道具,改造鈦白嚇人箱設計圖ABCDE,已對應道具庫,,,,,改造鈦白嚇人箱設計圖ABCDE
fusion-a0093,1,寵物,改造鈦白嚇人箱,已對應寵物表,,,,,改造鈦白嚇人箱
fusion-a0093,2,道具,白雪設計圖ABCDE,來源原文,,,,,白雪設計圖ABCDE
fusion-a0093,3,金幣,金幣,已定義,1000000,,,,"金幣1,000,000G"
fusion-a0094,1,寵物,裁決白龍王,已對應寵物表,,指定,1,,Lv1的裁決白龍王
fusion-a0094,2,道具,龍脈光能寶石,已對應道具庫,1,,,,龍脈光能寶石×1
fusion-a0095,1,寵物,神聖白龍王,已對應寵物表,,指定,1,,Lv1的神聖白龍王
fusion-a0095,2,道具,龍脈光能寶石,已對應道具庫,1,,,,龍脈光能寶石×1
fusion-a0096,1,寵物,小紅鼠,已對應寵物表,,,,,小紅鼠
fusion-a0096,2,道具,奈斯紅米,已對應道具庫,1,,,,奈斯紅米×1
fusion-a0097,1,寵物,小白鼠,已對應寵物表,,,,,小白鼠
fusion-a0097,2,道具,奈斯橙米,已對應道具庫,1,,,,奈斯橙米×1
fusion-a0098,1,寵物,小紅鼠,已對應寵物表,,,,,小紅鼠
fusion-a0098,2,道具,奈斯橙米,已對應道具庫,1,,,,奈斯橙米×1
fusion-a0099,1,寵物,小白鼠,已對應寵物表,,,,,小白鼠
fusion-a0099,2,道具,奈斯白米,已對應道具庫,1,,,,奈斯白米×1
fusion-a0100,1,寵物,緋紅巨龍,已對應寵物表,,指定,1,,Lv1的緋紅巨龍
fusion-a0100,2,道具,灼炎龍心玉,已對應道具庫,1,,,,灼炎龍心玉×1
fusion-a0101,1,寵物,丘比特,已對應寵物表,,,,,丘比特
fusion-a0101,2,道具,愛神丘比特設計圖A,來源原文,1,,,,愛神丘比特設計圖A×1
fusion-a0101,3,道具,愛神丘比特設計圖B,來源原文,1,,,,愛神丘比特設計圖B×1
fusion-a0101,4,道具,愛神丘比特設計圖C,來源原文,1,,,,愛神丘比特設計圖C×1
fusion-a0101,5,道具,愛神丘比特設計圖D,來源原文,1,,,,愛神丘比特設計圖D×1
fusion-a0101,6,道具,愛神丘比特設計圖E,來源原文,1,,,,愛神丘比特設計圖E×1
fusion-a0102,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0102,2,道具,女皇長槍,來源原文,1,,,,女皇長槍×1
fusion-a0102,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0103,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0103,2,道具,女皇長劍,來源原文,1,,,,女皇長劍×1
fusion-a0103,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0104,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0104,2,道具,女皇護腕,來源原文,1,,,,女皇護腕×1
fusion-a0104,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0105,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0105,2,道具,女皇獵弓,來源原文,1,,,,女皇獵弓×1
fusion-a0105,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0106,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0106,2,道具,女皇戰斧,來源原文,1,,,,女皇戰斧×1
fusion-a0106,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0107,1,寵物,新生賽格梅特,已對應寵物表,,至少,40,,Lv40以上的新生賽格梅特
fusion-a0107,2,道具,女皇咒鈴,來源原文,1,,,,女皇咒鈴×1
fusion-a0107,3,道具,阿爾卡迪亞記憶,來源原文,10,,,,阿爾卡迪亞記憶×10
fusion-a0108,1,寵物,騎士賽格梅特,已對應寵物表,,任意,,,任意等級的騎士賽格梅特
fusion-a0108,2,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
