技能範圍,技能分類,技能名稱,技能等級,魔力消耗,技能效果詳細說明,學習資訊
char,atk_phys,氣功彈,LV 10,50 MP,對6~7個對象進行攻擊,
char,atk_phys,氣功彈,LV 11,55 MP,對7~8個對象進行攻擊（推估）,
char,atk_phys,氣功彈,LV 12,60 MP,對8~9個對象進行攻擊（推估）,
char,atk_phys,乾坤一擲,LV 1,10 MP,給予對象1.1倍的傷害，命中率降低3%,
char,atk_phys,乾坤一擲,LV 2,18 MP,給予對象1.2倍的傷害，命中率降低6%,
char,atk_phys,乾坤一擲,LV 3,26 MP,給予對象1.3倍的傷害，命中率降低9%,
char,atk_phys,乾坤一擲,LV 4,34 MP,給予對象1.4倍的傷害，命中率降低12%,
char,atk_phys,乾坤一擲,LV 5,42 MP,給予對象1.5倍的傷害，命中率降低15%,
char,atk_phys,乾坤一擲,LV 6,50 MP,給予對象1.6倍的傷害，命中率降低18%,
char,atk_phys,乾坤一擲,LV 7,58 MP,給予對象1.7倍的傷害，命中率降低21%,
char,atk_phys,乾坤一擲,LV 8,66 MP,給予對象1.8倍的傷害，命中率降低24%,
char,atk_phys,乾坤一擲,LV 9,74 MP,給予對象1.9倍的傷害，命中率降低27%,
char,atk_phys,乾坤一擲,LV 10,82 MP,給予對象2倍的傷害，命中率降低30%,
char,atk_phys,乾坤一擲,LV 11,90 MP,給予對象2.1倍的傷害，命中率降低33%（推估）,
char,atk_phys,乾坤一擲,LV 12,98 MP,給予對象2.2倍的傷害，命中率降低36%（推估）,
char,atk_phys,混亂攻擊,LV 1,5 MP,普通攻擊加上隨機狀態異常，機率10%,
char,atk_phys,混亂攻擊,LV 2,10 MP,普通攻擊加上隨機狀態異常，機率20%,
char,atk_phys,混亂攻擊,LV 3,15 MP,普通攻擊加上隨機狀態異常，機率30%,
char,atk_phys,混亂攻擊,LV 4,20 MP,普通攻擊加上隨機狀態異常，機率40%,
char,atk_phys,混亂攻擊,LV 5,25 MP,普通攻擊加上隨機狀態異常，機率50%,
char,atk_phys,混亂攻擊,LV 6,30 MP,普通攻擊加上隨機狀態異常，機率60%,
char,atk_phys,混亂攻擊,LV 7,35 MP,普通攻擊加上隨機狀態異常，機率70%,
char,atk_phys,混亂攻擊,LV 8,40 MP,普通攻擊加上隨機狀態異常，機率80%,
char,atk_phys,混亂攻擊,LV 9,45 MP,普通攻擊加上隨機狀態異常，機率90%,
char,atk_phys,混亂攻擊,LV 10,50 MP,普通攻擊加上隨機狀態異常，機率100%,
char,atk_phys,因果報應,LV 1,10 MP,敵人隨機傷害56/70/84%，自身傷害15%,
char,atk_phys,因果報應,LV 2,14 MP,敵人隨機傷害60/75/90%，自身傷害16%,
char,atk_phys,因果報應,LV 3,18 MP,敵人隨機傷害64/80/96%，自身傷害17%,
char,atk_phys,因果報應,LV 4,22 MP,敵人隨機傷害68/85/102%，自身傷害18%,
char,atk_phys,因果報應,LV 5,26 MP,敵人隨機傷害72/90/108%，自身傷害19%,
char,atk_phys,因果報應,LV 6,30 MP,敵人隨機傷害76/95/114%，自身傷害20%,
char,atk_phys,因果報應,LV 7,34 MP,敵人隨機傷害80/100/120%，自身傷害21%,
char,atk_phys,因果報應,LV 8,38 MP,敵人隨機傷害84/105/126%，自身傷害22%,
char,atk_phys,因果報應,LV 9,42 MP,敵人隨機傷害88/110/132%，自身傷害23%,
char,atk_phys,因果報應,LV 10,46 MP,敵人隨機傷害92/115/138%，自身傷害24%,
char,atk_phys,因果報應,LV 11,50 MP,敵人隨機傷害96/120/144%，自身傷害25%（推估）,
char,atk_phys,因果報應,LV 12,54 MP,敵人隨機傷害100/125/150%，自身傷害26%（推估）,
char,def_phys,陽炎,LV 1,5 MP,減少防禦力7%以提升迴避率7%,
char,def_phys,陽炎,LV 2,7 MP,減少防禦力14%以提升迴避率14%,
char,def_phys,陽炎,LV 3,9 MP,減少防禦力21%以提升迴避率21%,
char,def_phys,陽炎,LV 4,11 MP,減少防禦力28%以提升迴避率28%,
char,def_phys,陽炎,LV 5,13 MP,減少防禦力35%以提升迴避率35%,
char,def_phys,陽炎,LV 6,15 MP,減少防禦力42%以提升迴避率42%,
char,def_phys,陽炎,LV 7,17 MP,減少防禦力49%以提升迴避率49%,
char,def_phys,陽炎,LV 8,19 MP,減少防禦力56%以提升迴避率56%,
char,def_phys,陽炎,LV 9,21 MP,減少防禦力63%以提升迴避率63%,
char,def_phys,陽炎,LV 10,23 MP,減少防禦力70%以提升迴避率70%,
char,def_phys,陽炎,LV 11,25 MP,減少防禦力77%以提升迴避率77%（推估）,
char,def_phys,陽炎,LV 12,27 MP,減少防禦力84%以提升迴避率84%（推估）,
char,def_phys,護衛,LV 1,5 MP,替目標承受近距攻擊，防禦力上升110%,
char,def_phys,護衛,LV 2,7 MP,替目標承受近距攻擊，防禦力上升120%,
char,def_phys,護衛,LV 3,9 MP,替目標承受近距攻擊，防禦力上升130%,
char,def_phys,護衛,LV 4,11 MP,替目標承受近距攻擊，防禦力上升140%,
char,def_phys,護衛,LV 5,13 MP,替目標承受近距攻擊，防禦力上升150%,
char,def_phys,護衛,LV 6,15 MP,替目標承受近距攻擊，防禦力上升160%,
char,def_phys,護衛,LV 7,17 MP,替目標承受近距攻擊，防禦力上升170%,
char,def_phys,護衛,LV 8,19 MP,替目標承受近距攻擊，防禦力上升180%,
char,def_phys,護衛,LV 9,21 MP,替目標承受近距攻擊，防禦力上升190%,
char,def_phys,護衛,LV 10,23 MP,替目標承受近距攻擊，防禦力上升200%,
char,def_phys,護衛,LV 11,25 MP,替目標承受近距攻擊，防禦力上升210%（推估）,
char,def_phys,護衛,LV 12,27 MP,替目標承受近距攻擊，防禦力上升220%（推估）,
char,def_phys,聖盾,LV 1,10 MP,同時減輕魔法45%與物理傷害55%,
char,def_phys,聖盾,LV 2,15 MP,同時減輕魔法50%與物理傷害60%,
char,def_phys,聖盾,LV 3,20 MP,同時減輕魔法55%與物理傷害65%,
char,def_phys,聖盾,LV 4,25 MP,同時減輕魔法60%與物理傷害70%,
char,def_phys,聖盾,LV 5,30 MP,同時減輕魔法65%與物理傷害75%,
char,def_phys,聖盾,LV 6,35 MP,同時減輕魔法70%與物理傷害80%,
char,def_phys,聖盾,LV 7,40 MP,同時減輕魔法75%與物理傷害85%,
char,def_phys,聖盾,LV 8,45 MP,同時減輕魔法80%與物理傷害90%,
char,def_phys,聖盾,LV 9,50 MP,同時減輕魔法85%與物理傷害95%,
char,def_phys,聖盾,LV 10,55 MP,同時減輕魔法90%與物理傷害100%,
char,def_phys,聖盾,LV 11,60 MP,同時減輕魔法95%與物理傷害105%（推估）,
char,def_phys,聖盾,LV 12,65 MP,同時減輕魔法100%與物理傷害110%（推估）,
char,def_phys,攻擊魔法防禦,LV 1,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 2,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 3,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 4,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 5,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 6,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 7,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 8,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 9,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 10,—,減低魔法攻擊的傷害,
char,def_phys,攻擊魔法防禦,LV 11,—,減低魔法攻擊的傷害（推估）,
char,def_phys,攻擊魔法防禦,LV 12,—,減低魔法攻擊的傷害（推估）,
char,sup_phys,暗殺,LV 1,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 2,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 3,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 4,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 5,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 6,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 7,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 8,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 9,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 10,—,攻擊對象隨機即死,
char,sup_phys,暗殺,LV 11,—,攻擊對象隨機即死（推估）,
char,sup_phys,暗殺,LV 12,—,攻擊對象隨機即死（推估）,
char,sup_phys,戰慄襲心,LV 1,10 MP,減少對象魔力值5%,
char,sup_phys,戰慄襲心,LV 2,20 MP,減少對象魔力值10%,
char,sup_phys,戰慄襲心,LV 3,30 MP,減少對象魔力值15%,
char,sup_phys,戰慄襲心,LV 4,40 MP,減少對象魔力值20%,
char,sup_phys,戰慄襲心,LV 5,50 MP,減少對象魔力值25%,
char,sup_phys,戰慄襲心,LV 6,60 MP,減少對象魔力值30%,
char,sup_phys,戰慄襲心,LV 7,70 MP,減少對象魔力值35%,
char,sup_phys,戰慄襲心,LV 8,80 MP,減少對象魔力值40%,
char,sup_phys,戰慄襲心,LV 9,90 MP,減少對象魔力值45%,
char,sup_phys,戰慄襲心,LV 10,100 MP,減少對象魔力值50%,
char,sup_phys,戰慄襲心,LV 11,110 MP,減少對象魔力值55%（推估）,
char,sup_phys,戰慄襲心,LV 12,120 MP,減少對象魔力值60%（推估）,
char,sup_phys,明鏡止水,LV 1,15 MP,回復最大生命值約5~10%,
char,sup_phys,明鏡止水,LV 2,30 MP,回復最大生命值約5~15%,
char,sup_phys,明鏡止水,LV 3,45 MP,回復最大生命值約5~20%,
char,sup_phys,明鏡止水,LV 4,60 MP,回復最大生命值約5~25%,
char,sup_phys,明鏡止水,LV 5,75 MP,回復最大生命值約5~30%,
char,sup_phys,明鏡止水,LV 6,90 MP,回復最大生命值約5~35%,
char,sup_phys,明鏡止水,LV 7,105 MP,回復最大生命值約5~40%,
char,sup_phys,明鏡止水,LV 8,120 MP,回復最大生命值約5~45%,
char,sup_phys,明鏡止水,LV 9,135 MP,回復最大生命值約5~50%,
char,sup_phys,明鏡止水,LV 10,150 MP,回復最大生命值約10~60%,
char,sup_phys,明鏡止水,LV 11,165 MP,回復最大生命值約15~70%（推估）,
char,sup_phys,明鏡止水,LV 12,180 MP,回復最大生命值約20~80%（推估）,
char,sup_phys,石化抵抗,LV 1,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 2,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 3,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 4,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 5,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 6,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 7,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 8,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 9,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 10,—,對石化狀態異常耐性增加,
char,sup_phys,石化抵抗,LV 11,—,對石化狀態異常耐性增加（推估）,
char,sup_phys,石化抵抗,LV 12,—,對石化狀態異常耐性增加（推估）,
char,sup_phys,遺忘抵抗,LV 1,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 2,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 3,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 4,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 5,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 6,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 7,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 8,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 9,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 10,—,對遺忘狀態異常耐性增加,
char,sup_phys,遺忘抵抗,LV 11,—,對遺忘狀態異常耐性增加（推估）,
char,sup_phys,遺忘抵抗,LV 12,—,對遺忘狀態異常耐性增加（推估）,
char,sup_phys,混亂抵抗,LV 1,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 2,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 3,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 4,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 5,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 6,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 7,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 8,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 9,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 10,—,對混亂狀態異常耐性增加,
char,sup_phys,混亂抵抗,LV 11,—,對混亂狀態異常耐性增加（推估）,
char,sup_phys,混亂抵抗,LV 12,—,對混亂狀態異常耐性增加（推估）,
char,sup_phys,酒醉抵抗,LV 1,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 2,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 3,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 4,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 5,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 6,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 7,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 8,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 9,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 10,—,對酒醉狀態異常耐性增加,
char,sup_phys,酒醉抵抗,LV 11,—,對酒醉狀態異常耐性增加（推估）,
char,sup_phys,酒醉抵抗,LV 12,—,對酒醉狀態異常耐性增加（推估）,
char,sup_phys,中毒抵抗,LV 1,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 2,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 3,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 4,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 5,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 6,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 7,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 8,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 9,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 10,—,對中毒狀態異常耐性增加,
char,sup_phys,中毒抵抗,LV 11,—,對中毒狀態異常耐性增加（推估）,
char,sup_phys,中毒抵抗,LV 12,—,對中毒狀態異常耐性增加（推估）,
char,sup_phys,昏睡抵抗,LV 1,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 2,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 3,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 4,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 5,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 6,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 7,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 8,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 9,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 10,—,對昏睡狀態異常耐性增加,
char,sup_phys,昏睡抵抗,LV 11,—,對昏睡狀態異常耐性增加（推估）,
char,sup_phys,昏睡抵抗,LV 12,—,對昏睡狀態異常耐性增加（推估）,
char,atk_magic,隕石魔法,LV 1,5 MP,攻擊單體的地屬性魔法，建議精神達123,
char,atk_magic,隕石魔法,LV 2,10 MP,攻擊單體的地屬性魔法，建議精神達143,
char,atk_magic,隕石魔法,LV 3,15 MP,攻擊單體的地屬性魔法，建議精神達163,
char,atk_magic,隕石魔法,LV 4,20 MP,攻擊單體的地屬性魔法，建議精神達183,
char,atk_magic,隕石魔法,LV 5,25 MP,攻擊單體的地屬性魔法，建議精神達203,
char,atk_magic,隕石魔法,LV 6,30 MP,攻擊單體的地屬性魔法，建議精神達223,
char,atk_magic,隕石魔法,LV 7,35 MP,攻擊單體的地屬性魔法，建議精神達243,
char,atk_magic,隕石魔法,LV 8,40 MP,攻擊單體的地屬性魔法，建議精神達263,
char,atk_magic,隕石魔法,LV 9,45 MP,攻擊單體的地屬性魔法，建議精神達283,
char,atk_magic,隕石魔法,LV 10,50 MP,攻擊單體的地屬性魔法，建議精神達303,
char,atk_magic,隕石魔法,LV 11,55 MP,攻擊單體的地屬性魔法，建議精神達323（推估）,
char,atk_magic,隕石魔法,LV 12,60 MP,攻擊單體的地屬性魔法，建議精神達343（推估）,
char,atk_magic,冰凍魔法,LV 1,5 MP,攻擊單體的水屬性魔法，建議精神達123,
char,atk_magic,冰凍魔法,LV 2,10 MP,攻擊單體的水屬性魔法，建議精神達143,
char,atk_magic,冰凍魔法,LV 3,15 MP,攻擊單體的水屬性魔法，建議精神達163,
char,atk_magic,冰凍魔法,LV 4,20 MP,攻擊單體的水屬性魔法，建議精神達183,
char,atk_magic,冰凍魔法,LV 5,25 MP,攻擊單體的水屬性魔法，建議精神達203,
char,atk_magic,冰凍魔法,LV 6,30 MP,攻擊單體的水屬性魔法，建議精神達223,
char,atk_magic,冰凍魔法,LV 7,35 MP,攻擊單體的水屬性魔法，建議精神達243,
char,atk_magic,冰凍魔法,LV 8,40 MP,攻擊單體的水屬性魔法，建議精神達263,
char,atk_magic,冰凍魔法,LV 9,45 MP,攻擊單體的水屬性魔法，建議精神達283,
char,atk_magic,冰凍魔法,LV 10,50 MP,攻擊單體的水屬性魔法，建議精神達303,
char,atk_magic,冰凍魔法,LV 11,55 MP,攻擊單體的水屬性魔法，建議精神達323（推估）,
char,atk_magic,冰凍魔法,LV 12,60 MP,攻擊單體的水屬性魔法，建議精神達343（推估）,
char,atk_magic,火焰魔法,LV 1,5 MP,攻擊單體的火屬性魔法，建議精神達123,
char,atk_magic,火焰魔法,LV 2,10 MP,攻擊單體的火屬性魔法，建議精神達143,
char,atk_magic,火焰魔法,LV 3,15 MP,攻擊單體的火屬性魔法，建議精神達163,
char,atk_magic,火焰魔法,LV 4,20 MP,攻擊單體的火屬性魔法，建議精神達183,
char,atk_magic,火焰魔法,LV 5,25 MP,攻擊單體的火屬性魔法，建議精神達203,
char,atk_magic,火焰魔法,LV 6,30 MP,攻擊單體的火屬性魔法，建議精神達223,
char,atk_magic,火焰魔法,LV 7,35 MP,攻擊單體的火屬性魔法，建議精神達243,
char,atk_magic,火焰魔法,LV 8,40 MP,攻擊單體的火屬性魔法，建議精神達263,
char,atk_magic,火焰魔法,LV 9,45 MP,攻擊單體的火屬性魔法，建議精神達283,
char,atk_magic,火焰魔法,LV 10,50 MP,攻擊單體的火屬性魔法，建議精神達303,
char,atk_magic,火焰魔法,LV 11,55 MP,攻擊單體的火屬性魔法，建議精神達323（推估）,
char,atk_magic,火焰魔法,LV 12,60 MP,攻擊單體的火屬性魔法，建議精神達343（推估）,
char,atk_magic,風刃魔法,LV 1,5 MP,攻擊單體的風屬性魔法，建議精神達123,
char,atk_magic,風刃魔法,LV 2,10 MP,攻擊單體的風屬性魔法，建議精神達143,
char,atk_magic,風刃魔法,LV 3,15 MP,攻擊單體的風屬性魔法，建議精神達163,
char,atk_magic,風刃魔法,LV 4,20 MP,攻擊單體的風屬性魔法，建議精神達183,
char,atk_magic,風刃魔法,LV 5,25 MP,攻擊單體的風屬性魔法，建議精神達203,
char,atk_magic,風刃魔法,LV 6,30 MP,攻擊單體的風屬性魔法，建議精神達223,
char,atk_magic,風刃魔法,LV 7,35 MP,攻擊單體的風屬性魔法，建議精神達243,
char,atk_magic,風刃魔法,LV 8,40 MP,攻擊單體的風屬性魔法，建議精神達263,
char,atk_magic,風刃魔法,LV 9,45 MP,攻擊單體的風屬性魔法，建議精神達283,
char,atk_magic,風刃魔法,LV 10,50 MP,攻擊單體的風屬性魔法，建議精神達303,
char,atk_magic,風刃魔法,LV 11,55 MP,攻擊單體的風屬性魔法，建議精神達323（推估）,
char,atk_magic,風刃魔法,LV 12,60 MP,攻擊單體的風屬性魔法，建議精神達343（推估）,
char,atk_magic,吸血魔法,LV 1,10 MP,將給予對象損傷的一半，轉換為自己的生命值,
char,atk_magic,吸血魔法,LV 2,20 MP,將給予對象損傷的一半，轉換為自己的生命值,
