活動日期,公告日,活動／期別,NPC,所需寵物,所需道具,獲得寵物,合成樹,入手方法,公告連結
2026-04-30～2026-05-28（公告原文末年為 2025）,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,五週年使者（里謝里雅堡 44.81）,任意等級的初心花妖,"永恆花仙進化券*1 金幣100,000G",Lv1永恆花仙,"任意等級的初心花妖 ＋ 永恆花仙進化券×1 ＋ 金幣100,000G ＝ Lv1永恆花仙",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-30～2026-05-28（公告原文末年為 2025）,2026-04-29,《魔力寶貝：永恆初心》五週年慶溫情啟幕 御法劍仙「神樂」降臨,五週年使者（里謝里雅堡 44.81）,任意等級的初心花妖,"寶貝蛋糕進化券*1 金幣100,000G",Lv1寶貝蛋糕,"任意等級的初心花妖 ＋ 寶貝蛋糕進化券×1 ＋ 金幣100,000G ＝ Lv1寶貝蛋糕",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html)
2026-04-09～2026-04-23,2026-04-09,神櫻綻放 春日女神限定召喚,大法師安蕾雅（艾爾瑪城元素師家 216.188）,Lv1的櫻,"櫻之聖角*1 閃耀變異之源*10 50,000G金幣",Lv1的櫻 概率95% Lv1的天叢雲櫻 概率5%,"Lv1的櫻 ＋ 櫻之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的櫻（概率95%） / └ Lv1的天叢雲櫻（概率5%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html)
2026-04-04～2026-05-05,2026-04-01,聖光破曉 虛空之龍震撼來襲,NPC：虛空大祭司奧澤新（法蘭城魔法大學研究所 26.44）,Lv1的虛空魔龍,虛空印記*1,Lv1的虛空魔龍,Lv1的虛空魔龍 ＋ 虛空印記×1 ＝ Lv1的虛空魔龍,所需寵物：當期寶盒／活動抽取：虛空魔龍召喚書（0.1%）、向 NPC：虛空祭司瑟雷考（法蘭城魔法大學研究所 25.43） 交付 Lv1的梅莉珊卓＋虛空之塵*188 取得：虛空魔龍召喚書(概率10%)、前置合成：Lv1的梅莉珊卓 ＋ 虛空印記×3 ＝ Lv1的虛空魔龍；所需道具：向 NPC：虛空祭司瑟雷考（法蘭城魔法大學研究所 25.43） 交付 Lv1的梅莉珊卓＋虛空之塵*188 取得：虛空印記(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
2026-04-04～2026-05-05,2026-04-01,聖光破曉 虛空之龍震撼來襲,NPC：虛空大祭司奧澤新（法蘭城魔法大學研究所 26.44）,Lv1的梅莉珊卓,虛空印記*3,Lv1的虛空魔龍,Lv1的梅莉珊卓 ＋ 虛空印記×3 ＝ Lv1的虛空魔龍,所需寵物：當期寶盒／活動抽取：梅莉珊卓召喚書（1%）；所需道具：向 NPC：虛空祭司瑟雷考（法蘭城魔法大學研究所 25.43） 交付 Lv1的梅莉珊卓＋虛空之塵*188 取得：虛空印記(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的賽拉芬寶寶III,神祈之魂*1 喚靈契約符*10 金幣100000G,LV1的賽拉芬寶寶III 概率80% LV1的賽拉芬寶寶IV概率20%,"任意等級的賽拉芬寶寶III ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的賽拉芬寶寶III（概率80%） / └ LV1的賽拉芬寶寶IV（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的賽拉芬寶寶II,神祈之魂*1 喚靈契約符*10 金幣100000G,LV1的賽拉芬寶寶II 概率80% LV1的賽拉芬寶寶III概率20%,"任意等級的賽拉芬寶寶II ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的賽拉芬寶寶II（概率80%） / └ LV1的賽拉芬寶寶III（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的賽拉芬寶寶I,神祈之魂*1 喚靈契約符*10 金幣100000G,LV1的賽拉芬寶寶I 概率80% LV1的賽拉芬寶寶II概率20%,"任意等級的賽拉芬寶寶I ＋ 神祈之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的賽拉芬寶寶I（概率80%） / └ LV1的賽拉芬寶寶II（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的巴力寶寶III,黑暗之魂*1 喚靈契約符*10 金幣100000G,LV1的巴力寶寶III 概率80% LV1的巴力寶寶IV概率20%,"任意等級的巴力寶寶III ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的巴力寶寶III（概率80%） / └ LV1的巴力寶寶IV（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的巴力寶寶II,黑暗之魂*1 喚靈契約符*10 金幣100000G,LV1的巴力寶寶II 概率80% LV1的巴力寶寶III概率20%,"任意等級的巴力寶寶II ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的巴力寶寶II（概率80%） / └ LV1的巴力寶寶III（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的巴力寶寶I,黑暗之魂*1 喚靈契約符*10 金幣100000G,LV1的巴力寶寶I 概率80% LV1的巴力寶寶II概率20%,"任意等級的巴力寶寶I ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的巴力寶寶I（概率80%） / └ LV1的巴力寶寶II（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的喵喵寶寶III,虛空之魂*1 喚靈契約符*10 金幣100000G,LV1的喵喵寶寶III 概率80% LV1的喵喵寶寶IV概率20%,"任意等級的喵喵寶寶III ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶III（概率80%） / └ LV1的喵喵寶寶IV（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的喵喵寶寶II,虛空之魂*1 喚靈契約符*10 金幣100000G,LV1的喵喵寶寶II 概率80% LV1的喵喵寶寶III概率20%,"任意等級的喵喵寶寶II ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶II（概率80%） / └ LV1的喵喵寶寶III（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,NPC：喚靈使靜子（家族廣場 97.80）,任意等級的喵喵寶寶I,虛空之魂*1 喚靈契約符*10 金幣100000G,LV1的喵喵寶寶I 概率80% LV1的喵喵寶寶II概率20%,"任意等級的喵喵寶寶I ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶I（概率80%） / └ LV1的喵喵寶寶II（概率20%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-12）,2026-03-12,連破試煉迴廊 傳承寵物珍貴技能,瘋狂博士(法蘭城競技場 46.51）,LV1的異型蜂,"異型火蜂設計圖ABC 金幣100,000G",Lv1的異型火蜂 概率10% Lv1的異型蜂 概率90%,"LV1的異型蜂 ＋ 異型火蜂設計圖ABC ＋ 金幣100,000G ＝ / ├ Lv1的異型火蜂（概率10%） / └ Lv1的異型蜂（概率90%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html)
2026-03-03～2026-04-04,2026-03-03,雪之冰華傳說 通往神域的覺醒門扉,NPC：聖獸使者浩二（魔法大學研究所 33.32）,Lv1的雪,雪之聖角*3,Lv1的天叢雲雪,Lv1的雪 ＋ 雪之聖角×3 ＝ Lv1的天叢雲雪,所需寵物：當期寶盒／活動抽取：雪召喚書（1%）；所需道具：向 NPC：聖獸使直人（魔法大學研究所 33.31） 交付 Lv1的雪＋冰羽之花*188 取得：雪之聖角(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-03-03～2026-04-04,2026-03-03,雪之冰華傳說 通往神域的覺醒門扉,NPC：聖獸使者浩二（魔法大學研究所 33.32）,Lv1的天叢雲雪,雪之聖角*1,Lv1的天叢雲雪,Lv1的天叢雲雪 ＋ 雪之聖角×1 ＝ Lv1的天叢雲雪,所需寵物：當期寶盒／活動抽取：天叢雲雪召喚書（0.1%）、向 NPC：聖獸使直人（魔法大學研究所 33.31） 交付 Lv1的雪＋冰羽之花*188 取得：天叢雲雪召喚書(概率10%)、前置合成：Lv1的雪 ＋ 雪之聖角×3 ＝ Lv1的天叢雲雪；所需道具：向 NPC：聖獸使直人（魔法大學研究所 33.31） 交付 Lv1的雪＋冰羽之花*188 取得：雪之聖角(概率90%),[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,新春活動使者（里謝里雅堡 48.76）,任意等級的飛馬公主,"飛馬公主設計圖ABC*1 100,000G金幣",lv1改造飛馬公主概率5% lv1飛馬公主 概率95%,"任意等級的飛馬公主 ＋ 飛馬公主設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造飛馬公主（概率5%） / └ lv1飛馬公主（概率95%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,新春活動使者（里謝里雅堡 48.76）,任意等級的露比,"露比設計圖ABC*1 100,000G金幣",lv1改造露比 概率5% lv1露比 概率95%,"任意等級的露比 ＋ 露比設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造露比（概率5%） / └ lv1露比（概率95%）",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,新春活動使者（里謝里雅堡 48.76）,任意等級的布偶夏莉,"布偶夏莉設計圖ABC*1 100,000G金幣",lv1改造布偶夏莉 概率5% lv1布偶夏莉 概率95%,"任意等級的布偶夏莉 ＋ 布偶夏莉設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造布偶夏莉（概率5%） / └ lv1布偶夏莉（概率95%）",所需寵物：公告所列活動獎勵／抽抽樂：布偶夏莉召喚書；所需道具：公告所列活動獎勵／抽抽樂：布偶夏莉設計圖A,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
