名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,image,入手方法,入手類型
鼠王,野獸系,15,7,19,32,42,10,115,火5風5,/img/魔力原始寵物/鼠王.gif,,
地獄看門犬,野獸系,26,36,12,23,18,7,115,水6火4,/img/魔力原始寵物/地獄看門犬.gif,將Lv20以上的地獄看門犬拿到亞留特村(48.37)換取Lv1,捕捉
巨狼,野獸系,22,37,11,25,20,7,115,地6水4,/img/魔力原始寵物/巨狼.gif,,
地獄獵犬,野獸系,24,35,19,22,15,7,115,火6風4,/img/魔力原始寵物/地獄獵犬.gif,詛咒的迷宮地下4樓(13.11),捕捉
地獄妖犬,野獸系,23,40,13,21,18,7,115,地4風6,/img/魔力原始寵物/地獄妖犬.gif,莎蓮娜島，傑諾瓦村域(119.320),捕捉
殭屍,不死系,37,32,12,12,12,9,105,地4風6,/img/魔力原始寵物/殭屍.gif,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉
喪屍,不死系,35,34,7,15,14,9,105,水6火4,/img/魔力原始寵物/喪屍.gif,積雪的山道山頂(21.16),捕捉
食屍鬼,不死系,32,32,17,7,17,9,105,火6風4,/img/魔力原始寵物/食屍鬼.gif,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉
腐屍,不死系,42,37,12,7,7,9,105,地6水4,/img/魔力原始寵物/腐屍.gif,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉
木乃伊,不死系,39,32,14,8,17,8,110,火5風5,/img/魔力原始寵物/木乃伊.gif,沙漠之祠底層天空看守者前面(13.25),捕捉
骷髏戰士,不死系,12,27,42,12,17,8,110,地3風7,/img/魔力原始寵物/骷髏戰士.gif,完成 任務將軍塚II,捕捉
血骷髏,不死系,13,24,41,10,22,8,110,火7風3,/img/魔力原始寵物/血骷髏.gif,海賊海灣(16.32),捕捉
地獄骷髏,不死系,14,30,40,11,15,8,110,水7火3,/img/魔力原始寵物/地獄骷髏.gif,完成 任務將軍塚II,捕捉
武裝骷髏,不死系,9,26,47,8,20,8,110,地7水3,/img/魔力原始寵物/武裝骷髏.gif,齋戒男角色地圖二(63.5),捕捉
骷髏海盜,不死系,12,29,45,13,16,8,115,地5水5,/img/魔力原始寵物/骷髏海盜.gif,,
幽靈,不死系,19,18,31,20,27,7,115,地2水8,/img/魔力原始寵物/幽靈.gif,詛咒的迷宮 41樓(7.6)、(8.5)、(7.8),捕捉
鬼靈,不死系,9,21,27,25,33,7,115,火8風2,/img/魔力原始寵物/鬼靈.gif,峽之洞窟最下面(74.4)需要做牛鬼的逆襲任務擊倒羅連斯後,捕捉
亡靈,不死系,14,27,30,15,29,7,115,火2風8,/img/魔力原始寵物/亡靈.gif,齋戒女角色地圖二(77.88) / 晚上的光之神殿入口(17.11),捕捉
死靈,不死系,10,28,32,17,28,7,115,地8水2,/img/魔力原始寵物/死靈.gif,"夜之蒂娜村(32.27)、(20.64)、(64,53)、(44,45)",捕捉
小石像怪,飛行系,16,21,11,31,26,9,105,地5水5,/img/魔力原始寵物/小石像怪.gif,靈堂全域,捕捉
使魔,飛行系,21,20,15,27,27,9,110,火7風3,/img/魔力原始寵物/使魔.gif,國民任務隨機獲得,捕捉
水藍鳥魔,飛行系,22,23,10,25,25,9,105,地3水7,/img/魔力原始寵物/水藍鳥魔.gif,"鏡中豪宅2樓(40.25) / 水曜之域 通道[白天, 清波村南方](11.8)",捕捉
小惡魔,飛行系,21,20,9,25,30,9,105,地7風3,/img/魔力原始寵物/小惡魔.gif,奇利村附近(280.400),捕捉
迷你石像怪,飛行系,23,19,10,24,29,9,105,火3風7,/img/魔力原始寵物/迷你石像怪.gif,詛咒的迷宮地下35樓(18.5)、(18.8),捕捉
丘比特,飛行系,12,22,7,37,37,9,115,火5風5,/img/魔力原始寵物/丘比特.gif,火焰鼠彩券B獎隨機獲得,捕捉
石像怪,飛行系,14,30,32,22,22,6,120,地9風1,/img/魔力原始寵物/石像怪.gif,,
血魔,飛行系,13,31,26,25,25,6,120,水1火9,/img/魔力原始寵物/血魔.gif,,
墮天使,飛行系,11,28,28,27,26,6,120,地1水9,/img/魔力原始寵物/墮天使.gif,完成將軍塚任務II,捕捉
惡魔,飛行系,10,27,26,26,31,6,120,火1風9,/img/魔力原始寵物/惡魔.gif,完成將軍塚任務II,捕捉
小蝙蝠,飛行系,11,26,16,31,21,10,105,地6水4,/img/魔力原始寵物/小蝙蝠.gif,完成國民任務後隨機獲得,捕捉
掃把蝙蝠,飛行系,13,28,12,29,18,10,100,水6火4,/img/魔力原始寵物/掃把蝙蝠.gif,莎蓮娜東邊洞窟地下第二個二樓(18.24),捕捉
迷你蝙蝠,飛行系,11,26,20,27,16,10,100,火6風4,/img/魔力原始寵物/迷你蝙蝠.gif,法蘭城東門外全域,捕捉
水果蝙蝠,飛行系,17,25,15,26,17,10,100,地4風6,/img/魔力原始寵物/水果蝙蝠.gif,,
惡魔蝙蝠,飛行系,13,34,10,29,24,10,110,水8火2,/img/魔力原始寵物/惡魔蝙蝠.gif,黑白龍城任務黑龍城最後獎勵,捕捉
天使蝙蝠,飛行系,9,22,12,37,30,10,110,地2風8,/img/魔力原始寵物/天使蝙蝠.gif,黑白龍城任務白龍城最後獎勵,捕捉
大蝙蝠,飛行系,23,28,23,28,13,7,115,地7水3,/img/魔力原始寵物/大蝙蝠.gif,試練的洞窟1~3F全區域出現,捕捉
巨蝙蝠,飛行系,27,30,22,24,12,7,115,火3風7,/img/魔力原始寵物/巨蝙蝠.gif,青龍的洞窟4樓(72.66),捕捉
海蝙蝠,飛行系,18,29,27,30,11,7,115,地3水7,/img/魔力原始寵物/海蝙蝠.gif,地底湖地下2樓(42.60)、(44.60),捕捉
胖蝙蝠,飛行系,25,24,20,26,20,7,115,火7風3,/img/魔力原始寵物/胖蝙蝠.gif,通往阿巴尼斯的地下道(30.46)、(29.44),捕捉
兔耳蝙蝠,飛行系,21,26,18,31,14,8,110,水5火5,/img/魔力原始寵物/兔耳蝙蝠.gif,蒂娜村附近(481.255),捕捉
藍蠍,昆蟲系,20,27,47,13,8,7,115,水9火1,/img/魔力原始寵物/藍蠍.gif,索奇亞大沙漠加納村域(582.327)、(562.367),捕捉
紅蠍,昆蟲系,19,28,42,19,7,7,115,火9風1,/img/魔力原始寵物/紅蠍.gif,索奇亞加納村域鯰魚洞窟地下三樓(26.17),捕捉
黃蠍,昆蟲系,20,30,43,12,10,7,115,地1風9,/img/魔力原始寵物/黃蠍.gif,索奇亞加納村域大沙漠裡(547.349),捕捉
殺手蠍,昆蟲系,30,29,38,11,7,7,115,地9水1,/img/魔力原始寵物/殺手蠍.gif,沙漠之祠8樓小廟守護神前面(17.11)、(16.07),捕捉
殺人蜂,昆蟲系,12,37,12,37,12,8,110,地5風5,/img/魔力原始寵物/殺人蜂.gif,米內葛爾島的路霸阿德基姆身後(447.356),捕捉
異型蜂,昆蟲系,14,33,11,35,17,8,110,火5風5,/img/魔力原始寵物/異型蜂.gif,維諾亞鎮外(428.400)、(471.395)、(514.382),捕捉
虎頭蜂,昆蟲系,13,40,8,38,11,8,110,地7風3,/img/魔力原始寵物/虎頭蜂.gif,,
黃蜂,昆蟲系,10,38,13,43,6,8,110,火7風3,/img/魔力原始寵物/黃蜂.gif,伊爾村近郊(668.310)、(690.286),捕捉
死亡蜂,昆蟲系,7,39,15,41,8,8,110,水7火3,/img/魔力原始寵物/死亡蜂.gif,傑諾瓦村後門出村往東過橋左轉(284.372),捕捉
螳螂,昆蟲系,16,44,22,27,11,6,120,地6風4,/img/魔力原始寵物/螳螂.gif,風之石碑附近(292.214),捕捉
殺人螳螂,昆蟲系,12,45,20,26,17,6,120,水4火6,/img/魔力原始寵物/殺人螳螂.gif,亞諾曼城東北(297.243) / 魯多特盆地 (248.134),捕捉
赤目螳螂,昆蟲系,14,44,19,29,14,6,120,火4風6,/img/魔力原始寵物/赤目螳螂.gif,角笛大風穴加納側出口樓梯附近(131.29),捕捉
死灰螳螂,昆蟲系,15,40,17,33,15,6,120,水5火5,/img/魔力原始寵物/死灰螳螂.gif,蒂娜村外(454.328)、(457.329),捕捉
致命螳螂,昆蟲系,20,43,18,27,12,6,120,地4水6,/img/魔力原始寵物/致命螳螂.gif,"烏克蘭井底通路上層(44,4)",捕捉
土蜘蛛,昆蟲系,26,15,18,23,23,9,105,地10,/img/魔力原始寵物/土蜘蛛.gif,牛鬼洞窟頂層打完鬼犬後隨機出現,捕捉
水蜘蛛,昆蟲系,24,16,17,20,28,9,105,水10,/img/魔力原始寵物/水蜘蛛.gif,角笛大風穴(9.31),捕捉
火蜘蛛,昆蟲系,22,22,16,25,20,9,105,火10,/img/魔力原始寵物/火蜘蛛.gif,試煉之洞窟3-5F全域,捕捉
風蜘蛛,昆蟲系,25,28,15,19,18,9,105,風10,/img/魔力原始寵物/風蜘蛛.gif,,
樹精,植物系,32,17,32,12,17,8,110,水4火6,/img/魔力原始寵物/樹精.gif,"法蘭城通往伊爾村的路上(561.211)、(559.221)、(568,196)",捕捉
死亡樹精,植物系,28,20,37,9,16,8,110,地6水4,/img/魔力原始寵物/死亡樹精.gif,傑諾瓦村東門出去往蒂娜村路上(361.339),捕捉
黃金樹精,植物系,38,22,28,10,17,8,115,地4風6,/img/魔力原始寵物/黃金樹精.gif,"以Lv20+快枯死的樹精到索奇亞島""飼養師寄宿所""換取",捕捉
慘白樹精,植物系,29,16,28,17,20,8,110,火3風7,/img/魔力原始寵物/慘白樹精.gif,蒂娜村外(559.246),捕捉
冰冷樹精,植物系,30,15,27,16,22,8,110,水7火3,/img/魔力原始寵物/冰冷樹精.gif,亞留特村周邊到處可以遇到,捕捉
沼澤樹精,植物系,31,14,29,15,21,8,110,地7水3,/img/魔力原始寵物/沼澤樹精.gif,米內葛爾島(171.385),捕捉
妖草,植物系,26,11,16,16,36,9,105,地8水2,/img/魔力原始寵物/妖草.gif,維諾亞鎮附近(471.395)、(422.357)、(490.392)、(158.81),捕捉
蔓陀羅草,植物系,25,13,14,15,38,9,105,地5風5,/img/魔力原始寵物/蔓陀羅草.gif,傑諾瓦鎮附近(281.489),捕捉
妖花,植物系,27,12,12,19,35,9,105,火5風5,/img/魔力原始寵物/妖花.gif,再生花園任務最後獎勵之一,捕捉
人魔草,植物系,22,17,11,14,41,9,105,水8火2,/img/魔力原始寵物/人魔草.gif,,
綠色口臭鬼,植物系,38,23,16,15,23,7,115,地9風1,/img/魔力原始寵物/綠色口臭鬼.gif,莎蓮娜海底洞穴聖拉魯卡村側一樓(9.12),捕捉
黃色口臭鬼,植物系,37,27,18,11,22,7,115,地1風9,/img/魔力原始寵物/黃色口臭鬼.gif,"維諾亞村附近(408.561)、(346.514)、(371,446)",捕捉
藍色口臭鬼,植物系,35,25,15,18,27,7,120,水9火1,/img/魔力原始寵物/藍色口臭鬼.gif,鯰魚大王的胃(59.41),捕捉
紅色口臭鬼,植物系,44,21,14,12,29,7,120,水1火9,/img/魔力原始寵物/紅色口臭鬼.gif,尼維爾海村附近(460.350),捕捉
兇暴仙人掌,植物系,27,29,22,12,20,,110,,/img/魔力原始寵物/兇暴仙人掌.gif,,
武術仙人掌,植物系,24,32,27,10,17,8,110,地5水5,/img/魔力原始寵物/武術仙人掌.gif,索奇亞島大沙漠(552.400)、(562.367),捕捉
兔耳仙人掌,植物系,28,35,19,14,14,8,110,火5風5,/img/魔力原始寵物/兔耳仙人掌.gif,索奇亞島大沙漠(627.302),捕捉
印地安仙人掌,植物系,26,36,24,9,15,8,110,水5火5,/img/魔力原始寵物/印地安仙人掌.gif,索奇亞島奇利村域(343.312)、(306.329),捕捉
火焰舞者,植物系,19,38,18,15,25,8,115,水2火8,/img/魔力原始寵物/火焰舞者.gif,用鯰魚大王的東西和加納村的大鯰魚王研究家換取，詳情查看任務大鯰魚王,捕捉
史萊姆,特殊系,46,26,11,6,16,9,105,地7風3,/img/魔力原始寵物/史萊姆.gif,法蘭城修理工波利的家中，龜裂的地下道全域,捕捉
液態史萊姆,特殊系,49,24,15,5,12,9,105,地1水9,/img/魔力原始寵物/液態史萊姆.gif,法蘭城修理工波利的家中龜裂的地下道 NPC形式出現,捕捉
果凍史萊姆,特殊系,45,31,6,10,13,9,105,水1火9,/img/魔力原始寵物/果凍史萊姆.gif,莎蓮娜海底洞窟傑諾瓦鎮側一樓(7.8),捕捉
布丁史萊姆,特殊系,40,25,12,8,20,9,105,火1風9,/img/魔力原始寵物/布丁史萊姆.gif,鯰魚大王的胃(97.84),捕捉
火精,特殊系,25,25,25,25,25,9,125,火10,/img/魔力原始寵物/火精.gif,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉
風精,特殊系,25,25,25,25,25,9,125,風10,/img/魔力原始寵物/風精.gif,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉
水精,特殊系,25,25,25,25,25,9,125,水10,/img/魔力原始寵物/水精.gif,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉
地精,特殊系,25,25,25,25,25,9,125,地10,/img/魔力原始寵物/地精.gif,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉
頑皮炸彈,特殊系,15,15,15,15,40,10,100,地8水2,/img/魔力原始寵物/頑皮炸彈.gif,南恰拉山第一通道(35.5)、(33.5),捕捉
寶貝炸彈,特殊系,14,17,11,16,42,10,100,水8火2,/img/魔力原始寵物/寶貝炸彈.gif,詛咒的迷宮地下三十六樓(22.5),捕捉
大炸彈,特殊系,12,20,14,14,40,10,100,火8風2,/img/魔力原始寵物/大炸彈.gif,,
漂浮炸彈,特殊系,16,14,14,17,39,10,100,地2風8,/img/魔力原始寵物/漂浮炸彈.gif,競技場的迷宮地圖一(53.43)已關,捕捉
丸子炸彈,特殊系,17,17,7,17,47,10,105,地5風5,/img/魔力原始寵物/丸子炸彈.gif,火焰鼠彩券B獎隨機取得,捕捉
血腥之刃,金屬系,9,39,34,14,24,6,120,地9水1,/img/魔力原始寵物/血腥之刃.gif,詛咒的迷宮第十八樓(22.12),捕捉
殺龍之刃,金屬系,17,37,41,11,19,6,125,水9火1,/img/魔力原始寵物/殺龍之刃.gif,,
火焰之刃,金屬系,10,39,28,12,31,6,120,火9風1,/img/魔力原始寵物/火焰之刃.gif,齋戒地圖三男性路線(17.16),捕捉
烈風之刃,金屬系,12,44,29,13,27,6,125,地1風9,/img/魔力原始寵物/烈風之刃.gif,,
嚇人箱,金屬系,11,26,26,11,31,9,105,火2風8,/img/魔力原始寵物/嚇人箱.gif,,
兔耳嚇人箱,金屬系,9,24,23,16,33,9,105,水2火8,/img/魔力原始寵物/兔耳嚇人箱.gif,,
紅魔嚇人箱,金屬系,12,32,27,12,27,8,110,水5火5,/img/魔力原始寵物/紅魔嚇人箱.gif,,
藍魔嚇人箱,金屬系,15,37,28,8,22,8,110,地2水8,/img/魔力原始寵物/藍魔嚇人箱.gif,,
綠蛙嚇人箱,金屬系,13,35,29,10,23,8,110,地8風2,/img/魔力原始寵物/綠蛙嚇人箱.gif,,
純白嚇人箱,金屬系,9,24,29,11,37,8,110,地5風5,/img/魔力原始寵物/純白嚇人箱.gif,,
冰怪,金屬系,20,30,46,7,12,7,115,水10,/img/魔力原始寵物/冰怪.gif,齋戒女角色地圖三(134.85),捕捉
石怪,金屬系,15,38,43,6,13,7,115,地10,/img/魔力原始寵物/石怪.gif,月亮俱樂部第二十八天獎勵,捕捉
銀怪,金屬系,10,32,48,8,17,7,115,火10,/img/魔力原始寵物/銀怪.gif,古錢交換的物品之一 / 點數購 超合金(50點) 隨機抽得,捕捉
金怪,金屬系,14,41,40,5,15,7,115,風10,/img/魔力原始寵物/金怪.gif,古錢交換的物品之一 / 點數購 超合金(50點) 隨機抽得,捕捉
惡魔螃蟹,金屬系,16,32,35,11,11,9,105,水2火8,/img/魔力原始寵物/惡魔螃蟹.gif,維諾亞洞窟內只要有敵人出沒的地方,捕捉
水晶螃蟹,金屬系,18,31,36,10,10,9,105,水8火2,/img/魔力原始寵物/水晶螃蟹.gif,蒂娜村周邊(517.238),捕捉
鐵剪螃蟹,金屬系,14,34,37,12,8,9,105,地8風2,/img/魔力原始寵物/鐵剪螃蟹.gif,索奇亞沙漠(462.205)、(501.209),捕捉
黃金螃蟹,金屬系,22,30,34,7,12,9,105,地2風8,/img/魔力原始寵物/黃金螃蟹.gif,烏克蘭井底之道(22.29)(靠近醫院的那層),捕捉
蜥蜴戰士,龍系,22,32,32,12,12,,110,,/img/魔力原始寵物/蜥蜴戰士.gif,,
蜥蜴鬥士,龍系,18,37,37,8,10,,110,,/img/魔力原始寵物/蜥蜴鬥士.gif,,
蜥蝪武士,龍系,20,31,30,15,14,8,110,水3火7,/img/魔力原始寵物/蜥蝪武士.gif,,
獵豹蜥蜴,龍系,23,36,28,10,13,,110,,/img/魔力原始寵物/獵豹蜥蜴.gif,,
大地翼龍,龍系,29,28,32,20,11,6,120,地10,/img/魔力原始寵物/大地翼龍.gif,第三次晉職迷宮地下七樓(16.20),捕捉
寒冰翼龍,龍系,30,30,31,17,12,6,120,水10,/img/魔力原始寵物/寒冰翼龍.gif,青龍的洞窟四樓(11.23),捕捉
火焰翼龍,龍系,33,33,25,16,13,6,120,火10,/img/魔力原始寵物/火焰翼龍.gif,,
烈風翼龍,龍系,32,30,23,20,15,6,120,風10,/img/魔力原始寵物/烈風翼龍.gif,,
地龍蜥,龍系,29,34,34,15,8,7,120,地8水2,/img/魔力原始寵物/地龍蜥.gif,鯰魚洞窟地下三樓(20.37),捕捉
水龍蜥,龍系,36,38,34,11,6,7,125,水8火2,/img/魔力原始寵物/水龍蜥.gif,索奇亞海底洞窟地下二樓(49.8),捕捉
火龍蜥,龍系,32,37,37,12,7,7,125,火8風2,/img/魔力原始寵物/火龍蜥.gif,打完羅連斯後頂樓，逆牛的宮殿後面(765.48),捕捉
風龍蜥,龍系,35,35,31,10,9,7,120,地2風8,/img/魔力原始寵物/風龍蜥.gif,傑諾瓦鎮西門出去(142.522),捕捉
哥布林,人形系,27,27,27,17,7,9,105,地7水3,/img/魔力原始寵物/哥布林.gif,法蘭城近郊或牛鬼的洞窟最上層打倒鬼犬後出現,捕捉
紅帽哥布林,人形系,23,30,29,20,5,9,107,水7火3,/img/魔力原始寵物/紅帽哥布林.gif,牛鬼的洞窟最上層打倒鬼犬後出現或維諾亞村附近(339.493),捕捉
火焰哥布林,人形系,22,28,26,15,14,9,105,火7風3,/img/魔力原始寵物/火焰哥布林.gif,傑諾瓦村附近(257.593),捕捉
烈風哥布林,人形系,30,26,24,23,4,9,107,地3風7,/img/魔力原始寵物/烈風哥布林.gif,"深淵的地下水脈 (44,55)(45,55)",捕捉
巨人,人形系,38,35,24,9,14,6,120,地10,/img/魔力原始寵物/巨人.gif,風鳴之塔十樓(14.62),捕捉
單眼巨人,人形系,34,34,20,12,20,6,120,水10,/img/魔力原始寵物/單眼巨人.gif,,
泰坦巨人,人形系,39,30,28,8,15,6,120,風10,/img/魔力原始寵物/泰坦巨人.gif,,
亞特拉斯巨神,人形系,37,37,17,17,12,6,120,火10,/img/魔力原始寵物/亞特拉斯巨神.gif,風鳴之塔十樓(60.64),捕捉
盜賊,人形系,23,28,21,31,12,7,115,火5風5,/img/魔力原始寵物/盜賊.gif,法蘭城附近、牛鬼的洞窟最上層,
山賊,人形系,28,27,24,26,10,7,115,地5風5,/img/魔力原始寵物/山賊.gif,,
海盜,人形系,19,31,23,28,14,7,115,水5火5,/img/魔力原始寵物/海盜.gif,,
破壞狂,人形系,27,26,30,24,8,7,115,地5水5,/img/魔力原始寵物/破壞狂.gif,,
鳥人,人形系,17,17,17,37,22,8,110,地9風1,/img/魔力原始寵物/鳥人.gif,亞留特村周邊(620.65)、(589.44),捕捉
幻歌妖,人形系,15,18,20,38,19,8,110,地1水9,/img/魔力原始寵物/幻歌妖.gif,傑諾瓦鎮附近(80.346),捕捉
狠毒鳥人,人形系,18,19,14,39,20,8,110,水1火9,/img/魔力原始寵物/狠毒鳥人.gif,加納沙漠(690.357)、(451.389)、(472.387),捕捉
烈風鳥人,人形系,13,20,12,42,23,8,110,火1風9,/img/魔力原始寵物/烈風鳥人.gif,阿巴尼斯村附近(56.163),捕捉
黑暗鳥人,人形系,19,11,11,43,31,8,115,地5風5,/img/魔力原始寵物/黑暗鳥人.gif,冰之洞窟二樓(40.43)、(65.39),捕捉
山飛甲,野獸系,27,21,15,30,27,6,120,地6風4,/img/魔力原始寵物/山飛甲.gif,,
獨角獸,野獸系,17,25,13,28,37,6,120,地4水6,/img/魔力原始寵物/獨角獸.gif,完成任務「艾爾巴一等勳章 - 最後的真相」,
天馬,野獸系,22,22,12,32,32,6,120,水4火6,/img/魔力原始寵物/天馬.gif,完成任務「艾爾巴一等勳章 - 最後的真相」,
麒麟,野獸系,19,27,10,34,30,6,120,火4風6,/img/魔力原始寵物/麒麟.gif,,
地底龜,野獸系,22,22,37,10,19,8,110,地5風5,/img/魔力原始寵物/地底龜.gif,,
海底龜,野獸系,23,20,45,4,18,8,110,地5水5,/img/魔力原始寵物/海底龜.gif,米內葛爾島坎那貝拉村域南部(447.319),捕捉
火焰龜,野獸系,27,17,42,7,17,8,110,水5火5,/img/魔力原始寵物/火焰龜.gif,米內葛爾島路霸後(378.268),捕捉
硬殼龜,野獸系,26,16,47,5,16,8,110,火5風5,/img/魔力原始寵物/硬殼龜.gif,,
鐮刀魔,不死系,23,35,18,17,32,6,125,地10,/img/魔力原始寵物/鐮刀魔.gif,完成任務「蘭國一等勳章 - 最後的真相」,
暗黑僧侶,不死系,17,37,22,12,37,6,125,水10,/img/魔力原始寵物/暗黑僧侶.gif,,
斬首者,不死系,19,42,20,15,29,6,125,火10,/img/魔力原始寵物/斬首者.gif,完成任務「蘭國一等勳章 - 最後的真相」,
冥界死神,不死系,25,40,12,21,27,6,125,風10,/img/魔力原始寵物/冥界死神.gif,,
牙骨,不死系,27,32,32,12,7,8,110,地9風1,/img/魔力原始寵物/牙骨.gif,,
顎牙,不死系,32,29,37,7,5,8,110,地1水9,/img/魔力原始寵物/顎牙.gif,,
巨牙,不死系,25,30,27,17,11,8,110,水1火9,/img/魔力原始寵物/巨牙.gif,南恰拉山第二通道(09.22)、(09.23),捕捉
利牙,不死系,30,37,30,9,4,8,110,火1風9,/img/魔力原始寵物/利牙.gif,白迷宮2樓(109.171),捕捉
獅鷲獸,飛行系,22,32,12,42,17,6,125,地6風4,/img/魔力原始寵物/獅鷲獸.gif,完成任務「狩獵任務」取得,
變種獅鷲獸,飛行系,26,29,15,39,15,6,124,地4水6,/img/魔力原始寵物/變種獅鷲獸.gif,,
托羅帝鳥,飛行系,32,20,13,35,10,8,110,地8風2,/img/魔力原始寵物/托羅帝鳥.gif,,
岩地跑者,飛行系,27,22,17,32,12,8,110,地2水8,/img/魔力原始寵物/岩地跑者.gif,米內葛爾島 坎那貝拉村域(433.143)，同時完成任務「獅鷲任務」也有可能取得,捕捉
火焰啄木鳥,飛行系,22,27,19,29,13,8,110,水2火8,/img/魔力原始寵物/火焰啄木鳥.gif,任務 火焰的記憶,捕捉
狂奔鳥,飛行系,25,24,18,36,7,8,110,火2風8,/img/魔力原始寵物/狂奔鳥.gif,,
甲蟲,昆蟲系,17,37,32,12,17,7,115,地8水2,/img/魔力原始寵物/甲蟲.gif,米內葛爾島南恰拉山第一或二通道之間空地(312.401),捕捉
堀地蟲,昆蟲系,20,35,36,8,16,7,115,水8火2,/img/魔力原始寵物/堀地蟲.gif,米內葛爾島坎那貝拉村域(551.420)、(552.442),捕捉
鍬型蟲,昆蟲系,15,39,29,14,18,7,115,火8風2,/img/魔力原始寵物/鍬型蟲.gif,,
獨角仙,昆蟲系,18,41,34,9,14,7,116,地2風8,/img/魔力原始寵物/獨角仙.gif,由米內葛爾島調查詛咒的古木(463.381)進入遺跡廢墟後(514.353),捕捉
翠綠菇,植物系,37,12,12,17,37,7,115,地6風4,/img/魔力原始寵物/翠綠菇.gif,坎那貝拉村周邊(458.299),捕捉
水藍菇,植物系,38,15,13,15,34,7,115,地4水6,/img/魔力原始寵物/水藍菇.gif,阿凱魯法村域(241.266)、(241.268),捕捉
粉紅菇,植物系,35,10,15,14,41,7,115,水4火6,/img/魔力原始寵物/粉紅菇.gif,小梅之間(10.17)；到達方法參考六等勳章任務：暗殺犯追跡,捕捉
星菇,植物系,40,13,10,13,39,7,115,火4風6,/img/魔力原始寵物/星菇.gif,米內葛爾島 路霸背後(311.79),捕捉
綠煙,特殊系,20,20,14,25,36,7,115,地7風3,/img/魔力原始寵物/綠煙.gif,,
煙霧,特殊系,23,23,8,30,31,7,115,地3水7,/img/魔力原始寵物/煙霧.gif,庫魯克斯島米諾基亞村出東門向東繞過山的東邊海灘(616.834),捕捉
