等級,物品名稱,分類,一般採集地點,建議採集地點,相關資料,販店價,image
8,單木,木材類,"米內葛爾島阿凱魯法域(234,425) / 庫魯克斯島米諾基亞村東門外(513,475)","米內葛爾島阿凱魯法域(234,425)",,20個147G,/img/採集/單木.gif
9,絲柏,木材類,"莎蓮娜島阿巴尼斯域(105,158)","莎蓮娜島阿巴尼斯域(105,158)",,20個297G,/img/採集/絲柏.gif
10,梣,木材類,"莎蓮娜島阿巴尼斯域(231,147)(128,159) / 庫魯克斯島米諾基亞村東門外(501,723)","莎蓮娜島阿巴尼斯域(231,147)(128,159)",,20個600G,/img/採集/梣.gif
10,月桂木,木材類,亞紀城外,哈拿可半島亞紀城南門外,,20個600G,/img/採集/月桂木.gif
1,蘋果薄荷,香草類,"芙蕾雅島法蘭城西門外(500,85) / 法蘭城遺跡(80,100)","芙蕾雅島法蘭城西門外(500,85)",,20個28G,/img/採集/蘋果薄荷.gif
1,茶葉,香草類,"魯米那斯 / 6.0德威特島(221,550)(76,283) / 日耀之域(374,396)","6.0德威特島(76,283) / 日耀之域(374,396)",,20個40G,/img/採集/茶葉.gif
1,月桂樹的葉子,香草類,"6.0德威特島(221,550)(111,244)","6.0德威特島(111,244)",,20個18G,/img/採集/月桂樹的葉子.gif
1,亞諾曼青荷,香草類,"6.0德威特島(,)","6.0德威特島(,)",,20個10G,/img/採集/亞諾曼青荷.gif
1,亞諾曼玫瑰,香草類,"6.0德威特島(,)","6.0德威特島(,)",,20個10G,/img/採集/亞諾曼玫瑰.gif
2,檸檬草,香草類,"芙蕾雅島法蘭城西門外(515,100) / 布拉基姆高地(61,195)(68,195)","芙蕾雅島法蘭城西門外(515,100)",,20個36G,/img/採集/檸檬草.gif
2,德國島蘭,香草類,"6.0德威特島(,)","6.0德威特島(,)",,20個10G,/img/採集/德國島蘭.gif
2,德國雛菊,香草類,"6.0德威特島(,)","6.0德威特島(,)",,20個10G,/img/採集/德國雛菊.gif
2,連翹,香草類,"水曜之域(462,184)","水曜之域(462,184)",,20個G,/img/採集/連翹.gif
2,菊花,香草類,"水曜之域(411,341)","水曜之域(411,341)",,20個G,/img/採集/菊花.gif
2,薄荷,香草類,"水曜之域(449,252)","水曜之域(449,252)",,20個G,/img/採集/薄荷.gif
3,蝴蝶花,香草類,"芙蕾雅島法蘭城西門外(505,120) / 亞留特村域(635,162) / 布拉基姆高地(55,189)(62,179)(94,176)(109,196)","芙蕾雅島法蘭城西門外(505,120) / 亞留特村域(635,162) / 布拉基姆高地(55,189)(62,179)",,20個41G,/img/採集/蝴蝶花.gif
4,果梨,香草類,"芙蕾雅島法蘭城西門外(510,127) / 索奇亞島奇利域(321,334) / 梅布爾隘地(182,145)(蘋果薄荷) / 布拉基姆高地(68,195)","芙蕾雅島法蘭城西門外(510,127)",,20個48G,/img/採集/果梨.gif
5,桃木,香草類,"芙蕾雅島法蘭城西門外(521,126) / 芙蕾雅亞留特村南門外(629,173) / 索奇亞島加納村南門外(555,238)(番紅花)","芙蕾雅島法蘭城西門外(521,126) / 芙蕾雅亞留特村南門外(629,173)",,20個58G,/img/採集/桃木.gif
6,番紅花,香草類,"芙蕾雅島法蘭城西門外(503,132) / 索奇亞島加納村南門外(555,238)(桃木) / 庫魯克斯島哥拉爾鎮東門外(378,385) / 梅布爾隘地(126,153)(蘋果薄荷,即在葫蘆旅店旁)","庫魯克斯島哥拉爾鎮東門外(378,385)",,20個78G,/img/採集/番紅花.gif
7,百里香,香草類,"莎蓮娜島傑諾瓦鎮西門外(175,497)(173,500) / 莎蓮娜島魔法大學裡面(24,59)(朴、杉、瞿麥) / 梅布爾隘地(196,173)(蘋果薄荷) / 庫魯克斯島哥拉爾鎮東門外(474,409)",,,20個98G,/img/採集/百里香.gif
8,香草,香草類,"米內葛爾島坎那貝拉村西門外(476,241) / 庫魯克斯島哥拉爾鎮東門外(508,508)","米內葛爾島坎那貝拉村西門外(476,241)",,20個147G,/img/採集/香草.gif
8,瞿麥,香草類,"莎蓮娜島傑諾瓦鎮東門外(262,574) / 莎蓮娜島傑諾瓦鎮東門外(346,472) / 莎蓮娜島魔法大學裡面(24,59)(朴、杉、百里香) / 庫魯克斯島哥拉爾鎮東門外(446,569) / 法蘭城遺跡(139,128)(蘋果薄荷)",,,20個147G,/img/採集/瞿麥.gif
9,茴香,香草類,"莎蓮娜島傑諾瓦域(283,371)(178,510) / 庫魯克斯島(612.553)","莎蓮娜島傑諾瓦域(283,371)(178,510)",,20個297G,/img/採集/茴香.gif
10,七葉樹,香草類,"莎蓮娜島傑諾瓦域(329,455) / 莎蓮娜島蒂娜域(576,329) / 庫魯克斯島米諾基亞域(612,722) / 庫魯克斯島(641.531)","庫魯克斯島米諾基亞域(612,722)",,20個600G,/img/採集/七葉樹.gif
1,高級番茄,特殊類,"法蘭城貝蒂的家(231,102)裡的田",,相關任務： 藥劑師就職,2G,/img/採集/高級番茄.gif
2,惡玉A菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉A菌.gif
2,惡玉B菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉B菌.gif
2,惡玉C菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉C菌.gif
2,惡玉菌首領A,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領A.gif
2,惡玉菌首領B,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領B.gif
2,惡玉菌首領C,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領C.gif
2,惡玉菌首領D,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領D.gif
3,腐爛的樹枝,特殊類,"芙蕾雅亞留特域(550,19)",,相關任務： 海賊的洞窟,無法販售,/img/採集/腐爛的樹枝.gif
3,謝爾席拉的樹枝,特殊類,"芙蕾雅亞留特域(550,19)",,相關任務： 海賊的洞窟,0G,/img/採集/謝爾席拉的樹枝.gif
3,海賊的寶箱,特殊類,海賊的森林全域,,相關任務： 海賊的洞窟,無法販售,/img/採集/海賊的寶箱.gif
4,海賊的寶箱,特殊類,海賊的森林全域,,相關任務： 海賊的洞窟,無法販售,/img/採集/海賊的寶箱.gif
5,冰凍愛麗絲,特殊類,"阿巴尼斯村外(109,170)附近",,相關任務： 月亮俱樂部,20個58G,/img/採集/冰凍愛麗絲.gif
5,海賊的寶箱,特殊類,海賊的森林全域,,相關任務： 海賊的洞窟,0G,/img/採集/海賊的寶箱.gif
5,含月草,特殊類,"翠格墓園(34,27)",,相關任務： 穿越時空,60G,/img/採集/含月草.gif
6,鋼騎之礦,特殊類,海賊的森林全域,,相關任務： 海賊的洞窟,5個2000G,/img/採集/鋼騎之礦.gif
8,魔法紅蘿蔔,特殊類,"莎蓮娜魔法大學裡面(33,167)(蘋果薄荷)",,相關任務： 生產系階級提昇Ⅲ,20個60G,/img/採集/魔法紅蘿蔔.gif
10,水果？,特殊類,芙蕾雅、德威特島全域，隨機取得,,鑑定後為謎之皮,300G,/img/採集/水果？.gif
