名稱,分類,子分類,等級,說明,入手方式,image
治癒回力鏢,武器,投擲武器,10,治療主人的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/治癒回力鏢.gif
熊翼回力鏢+,武器,投擲武器,8,模仿有翅膀的公牛之回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),
獅子回力鏢,武器,投擲武器,4,模仿獅子的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/獅子回力鏢.gif
翼鹿回力鏢,武器,投擲武器,5,模仿有翅膀的鹿的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/翼鹿回力鏢.gif
蛇獅回力鏢,武器,投擲武器,6,模仿獅子之回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/蛇獅回力鏢.gif
赤獅回力鏢,武器,投擲武器,8,模仿紅色獅子的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/赤獅回力鏢.gif
追跡者,武器,投擲武器,2,操作簡單的大型回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/追跡者.gif
銳角回力鏢,武器,投擲武器,4,快速迴轉的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/獅子回力鏢.gif
閃光回力鏢,武器,投擲武器,7,閃爍閃亮的回力標。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/閃光回力鏢.gif
阿修塔羅回力鏢,武器,投擲武器,5,那裡都可飛到的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/阿修塔羅回力鏢.gif
雄翼牛回力鏢,武器,投擲武器,7,模仿有翅膀的公牛之回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),
青銅回力鏢,武器,投擲武器,1,青銅製回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),/img/武器/青銅回力鏢.gif
鶇回力鏢,武器,投擲武器,6,模仿大鶇的回力鏢。,製造：[投擲武器](/生產製造/武器/投擲武器),
勇氣之斧,武器,斧,1,鐵製的小斧頭，被稱為成人的證明。,製造：[斧](/生產製造/武器/斧),/img/武器/勇氣之斧.gif
大型闊刃斧,武器,斧,6,刃部很寬的巨大戰鬥斧。,製造：[斧](/生產製造/武器/斧),/img/武器/雙刃斧.gif
大型雙刃斧,武器,斧,7,大型雙頭戰鬥斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/雙刃斧.gif
大型雙刃斧+,武器,斧,8,大型雙頭戰鬥斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/雙刃斧.gif
寬手斧,武器,斧,2,寬手斧。,製造：[斧](/生產製造/武器/斧),/img/武器/寬手斧.gif
彎月大戰斧,武器,斧,6,有著彎月型斧刃的巨大戰斧。,製造：[斧](/生產製造/武器/斧),/img/武器/彎月大戰斧.gif
彎月長柄斧,武器,斧,9,長又彎曲的斧頭的長柄斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/彎月長柄斧.gif
戰鬥手斧,武器,斧,2,於近身戰時方可發揮威力之手斧。,製造：[斧](/生產製造/武器/斧),/img/武器/手斧.gif
手斧,武器,斧,1,作得很精緻的手斧。,製造：[斧](/生產製造/武器/斧),/img/武器/手斧.gif
新月斧,武器,斧,8,有重量壓迫感的長柄巨大斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/新月斧.gif
格鬥手斧,武器,斧,3,用於近身戰的長柄手斧。,製造：[斧](/生產製造/武器/斧),
水龍之斧,武器,斧,7,寄宿有海神的魔力的斧。,製造：[斧](/生產製造/武器/斧),/img/武器/水龍之斧.gif
米諾陶斯戰斧,武器,斧,8,牛頭怪曾經使用的巨大戰鬥斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/米諾陶斯戰斧.gif
薄刃鉤爪斧,武器,斧,9,又薄又寬的刃部，尖端有勾的長柄斧頭。,製造：[斧](/生產製造/武器/斧),
處刑斧,武器,斧,10,處死用很利的雙手斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/處刑斧.gif
超大皇帝斧,武器,斧,7,讓人驚訝的大斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/闊刃斧.gif
金屬重斧,武器,斧,10,全部用金屬做的，非常重的斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/鑽保雷格之斧.gif
鉤爪斧,武器,斧,5,尖端有鉤的捕捉用斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/鉤爪斧.gif
鋼斧,武器,斧,3,鋼鐵製的重戰斧。,製造：[斧](/生產製造/武器/斧),/img/武器/手斧.gif
鑽保雷格之斧,武器,斧,5,雖然看起來又厚又重，但切砍起來相當銳利的戰斧。,製造：[斧](/生產製造/武器/斧),/img/武器/鑽保雷格之斧.gif
長戰斧,武器,斧,4,容易使用的長柄斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/長戰斧.gif
闊刃斧,武器,斧,5,刃部寬的巨大戰鬥斧頭。,製造：[斧](/生產製造/武器/斧),/img/武器/闊刃斧.gif
雙刃斧,武器,斧,4,好上手的戰鬥用雙頭斧。,製造：[斧](/生產製造/武器/斧),/img/武器/雙刃斧.gif
元素之杖,武器,杖,6,精靈形狀的杖。,製造：[杖](/生產製造/武器/杖),
光明短杖,武器,杖,8,好人用的短杖。,製造：[杖](/生產製造/武器/杖),/img/武器/光明短杖.gif
大地之杖,武器,杖,2,以大地之力量鍛煉的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/大地之杖.gif
天使之杖,武器,杖,9,天使形狀的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/天使之杖.gif
太陽短杖,武器,杖,9,太陽形狀的長杖。,製造：[杖](/生產製造/武器/杖),/img/武器/太陽短杖.gif
怒音之杖,武器,杖,7,揮打也發不出聲音的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/怒音之杖.gif
惡魔之杖,武器,杖,8,惡魔形狀的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/惡魔之杖.gif
星屑短杖,武器,杖,10,宿有冥王之力的短杖。,製造：[杖](/生產製造/武器/杖),/img/武器/星屑短杖.gif
權杖,武器,杖,1,中型單純杖。,製造：[杖](/生產製造/武器/杖),/img/武器/權杖.gif
水龍之杖,武器,杖,7,寄宿有海神的魔力的杖,製造：[杖](/生產製造/武器/杖),/img/武器/水龍之杖.gif
激流權杖,武器,杖,2,以激烈水流鍛煉的中型杖。,製造：[杖](/生產製造/武器/杖),
琥珀杖,武器,杖,5,琥珀色閃亮的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/琥珀杖.gif
琥珀權杖,武器,杖,5,琥珀色閃亮的中型杖。,製造：[杖](/生產製造/武器/杖),/img/武器/琥珀權杖.gif
短杖,武器,杖,1,小型單純杖。,製造：[杖](/生產製造/武器/杖),/img/武器/短杖.gif
神聖之杖,武器,杖,6,受過神官祝福的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/神聖之杖.gif
聖者之杖,武器,杖,10,天使翅膀形狀的杖。,製造：[杖](/生產製造/武器/杖),/img/武器/聖者之杖.gif
落雷權杖+,武器,杖,8,隱者形狀的中型杖。,製造：[杖](/生產製造/武器/杖),
賢者手杖,武器,杖,4,賢者之長杖。,製造：[杖](/生產製造/武器/杖),/img/武器/賢者手杖.gif
賢者權杖,武器,杖,4,賢者之中型杖。,製造：[杖](/生產製造/武器/杖),/img/武器/賢者權杖.gif
隱者之杖,武器,杖,7,隱者形狀的中型杖。,製造：[杖](/生產製造/武器/杖),
魔之手杖,武器,杖,3,方便使出魔法的長杖。,製造：[杖](/生產製造/武器/杖),
魔之權杖,武器,杖,3,方便使出魔法的中型杖。,製造：[杖](/生產製造/武器/杖),/img/武器/魔之權杖.gif
魔晶之杖,武器,杖,5,此杖同時具有威嚴的外表以及優越的直接攻擊力。,製造：[杖](/生產製造/武器/杖),/img/武器/魔晶之杖.gif
三叉戰戟,武器,槍,10,劍鬥士喜歡用，格鬥用三叉的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/三叉戰戟.gif
偃月刀,武器,槍,5,長柄刀的一種。因裝飾華麗而顯得略重。,製造：[槍](/生產製造/武器/槍),/img/武器/偃月刀.gif
刺槍,武器,槍,2,輕又長，方便操作的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/刺槍.gif
原始槍,武器,槍,9,有巨大尖端部的傳統槍。,製造：[槍](/生產製造/武器/槍),/img/武器/原始槍.gif
大砍槍,武器,槍,6,有勾鐮刀狀的槍。,製造：[槍](/生產製造/武器/槍),
攻城槍,武器,槍,1,兩端都尖的城堡用長柄槍。,製造：[槍](/生產製造/武器/槍),/img/武器/攻城槍.gif
東方長刺鎗,武器,槍,8,中間有手把，末端有金屬箍的長槍。,製造：[槍](/生產製造/武器/槍),/img/武器/東方長刺鎗.gif
水龍之槍,武器,槍,7,寄宿有海神的魔力的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/水龍之槍.gif
異型槍,武器,槍,10,尖端部兩側有短鉤的長槍。,製造：[槍](/生產製造/武器/槍),/img/武器/異型槍.gif
短矛,武器,槍,1,用途很廣的短槍。,製造：[槍](/生產製造/武器/槍),/img/武器/短矛.gif
穗槍,武器,槍,4,有樹葉型很利刃部的長槍。,製造：[槍](/生產製造/武器/槍),/img/武器/攻城槍.gif
蠍槍,武器,槍,7,改造進化的特殊槍。,製造：[槍](/生產製造/武器/槍),/img/武器/蠍槍.gif
蠍槍+,武器,槍,8,改造進化的特殊槍。,製造：[槍](/生產製造/武器/槍),/img/武器/蠍槍.gif
護衛槍,武器,槍,5,衛兵用，有裝飾的長槍。,製造：[槍](/生產製造/武器/槍),
金屬槍,武器,槍,2,中央有手把，全金屬做的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/金屬槍.gif
鉤爪槍,武器,槍,9,有尖銳尖端及鉤子的槍。,製造：[槍](/生產製造/武器/槍),
長尖槍,武器,槍,6,尖端極尖，專門刺殺用的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/金屬槍.gif
長柄尖槍,武器,槍,3,有長又尖尖端部的長柄槍。,製造：[槍](/生產製造/武器/槍),/img/武器/長柄彎槍.gif
長柄彎槍,武器,槍,3,柄上有新月型刃部的長柄武器。,製造：[槍](/生產製造/武器/槍),/img/武器/長柄彎槍.gif
闊刃槍,武器,槍,8,有長三角錘形狀尖端的步兵槍。,製造：[槍](/生產製造/武器/槍),/img/武器/金屬槍.gif
雙刃槍,武器,槍,7,有分叉刀部的槍。,製造：[槍](/生產製造/武器/槍),/img/武器/雙刃槍.gif
雙叉戟,武器,槍,4,尖端有分叉的捕捉用長柄武器。,製造：[槍](/生產製造/武器/槍),
騎士槍,武器,槍,5,騎士用像刺槍的長柄槍。,製造：[槍](/生產製造/武器/槍),/img/武器/騎士槍.gif
劍客帽,防具,帽子,5,羽毛乍看似乎很多餘，其實是提升裝備者回避能力的秘密武器。,製造：[帽子](/生產製造/防具/帽子),/img/防具/劍客帽.gif
可愛的帽子,防具,帽子,3,適合可愛女生的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/輕帽.gif
可愛的扁帽子,防具,帽子,7,法蘭選美會推薦的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/可愛的扁帽子.gif
可愛的扁帽子+,防具,帽子,8,法蘭選美會推薦的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/可愛的扁帽子.gif
妖精之帽,防具,帽子,10,有精靈力量的輕量帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/妖精之帽.gif
時髦帽子,防具,帽子,4,時髦漂亮的帽子。,製造：[帽子](/生產製造/防具/帽子),
時髦避暑帽,防具,帽子,8,用漂亮的線織成的時髦帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/時髦避暑帽.gif
水龍之帽,防具,帽子,7,寄宿有海神的魔力的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/水龍之帽.gif
淑女帽,防具,帽子,7,抗雨性強。,製造：[帽子](/生產製造/防具/帽子),
皮帽,防具,帽子,2,皮做的成熟帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/皮帽.gif
硬帽,防具,帽子,1,稍微硬厚的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/硬帽.gif
硬皮帽,防具,帽子,3,結實的皮做的帽子。,製造：[帽子](/生產製造/防具/帽子),
羽毛帽,防具,帽子,9,有羽毛裝飾的漂亮又輕量的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/羽毛帽.gif
藍徽章之帽,防具,帽子,5,有藍色貼布的帽子。,製造：[帽子](/生產製造/防具/帽子),
裝飾著花的帽子,防具,帽子,6,有很多花的草帽。,製造：[帽子](/生產製造/防具/帽子),
軍帽,防具,帽子,8,有金色花樣的氣派帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/軍帽.gif
輕帽,防具,帽子,2,輕量帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/輕帽.gif
青銅帽子,防具,帽子,6,裡面有薄的銅金屬版來加強的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/青銅帽子.gif
頭目帽子,防具,帽子,8,頭目外出時所戴的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/頭目帽子.gif
高級帽子,防具,帽子,5,用高級布做的高雅帽子。,製造：[帽子](/生產製造/防具/帽子),
魔術師之帽,防具,帽子,9,魔術士專用的不可思議帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/魔術師之帽.gif
鴨舌帽,防具,帽子,4,結實的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/鴨舌帽.gif
麻布帽,防具,帽子,1,薄布做的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/麻布帽.gif
黃昏之帽,防具,帽子,10,受自然力量保護的帽子。,製造：[帽子](/生產製造/防具/帽子),/img/防具/黃昏之帽.gif
力量之盾,防具,盾牌,8,由強烈魔力所保護的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/力量之盾.gif
勇者之盾,防具,盾牌,10,傳說中的開啟者之盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/勇者之盾.gif
反光之盾,防具,盾牌,5,可藏在後面的大盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/反光之盾.gif
哥特盾,防具,盾牌,3,有美麗裝飾的美美盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/哥特盾.gif
士兵盾,防具,盾牌,4,裝甲兵用的很素但性能高的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/士兵盾.gif
小圓盾,防具,盾牌,1,直接受到敵人攻擊的輕量又小的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/小圓盾.gif
小型盾,防具,盾牌,1,攜帶方便的小型盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/小型盾.gif
板盾,防具,盾牌,2,三張薄的木板合在一起的大型盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/板盾.gif
水龍之盾,防具,盾牌,7,寄宿有海神的魔力的盾。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/水龍之盾.gif
漆黑之盾,防具,盾牌,9,隱藏黑暗魔力的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/漆黑之盾.gif
漩渦重盾,防具,盾牌,3,有螺旋狀花樣的圓形大盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/漩渦重盾.gif
火龍之盾,防具,盾牌,9,用火龍的皮做的很強之盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/火龍之盾.gif
獅子盾,防具,盾牌,6,有獅子花樣的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/獅子盾.gif
聖者之盾,防具,盾牌,5,能夠提高裝備者精神力量的盾。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/聖者之盾.gif
蜥蝪盾,防具,盾牌,5,菱形金屬疊起來做的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/蜥蝪盾.gif
重盾,防具,盾牌,4,全金屬做的圓形大盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/重盾.gif
鏡之盾,防具,盾牌,8,像鏡子般，什麼都照的漂亮的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/鏡之盾.gif
防守之盾,防具,盾牌,7,白銀做的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/防守之盾.gif
防禦之盾+,防具,盾牌,8,白銀做的盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/防守之盾.gif
風之盾,防具,盾牌,6,有羽毛花樣的盾牌，很輕，很好用。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/風之盾.gif
鳶盾,防具,盾牌,2,風箏形狀的長方形盾牌。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/鳶盾.gif
黃金之盾,防具,盾牌,7,花很多錢做的豪華盾牌，很重。,製造：[盾牌](/生產製造/防具/盾牌),/img/防具/黃金之盾.gif
