分區,路線,標記,適合等級,地點,副標,簡稱,怪物,怪物等級,練技等級,一次幾隻,建議水晶,註,怎麼去,進入條件,來源
練技區,練技推薦路線,,-,索奇亞海底洞窟,,海洞,蜥蜴戰士、水龍蜥,17~22,40,待補,待補,維諾亞村往奇利村（索奇亞）方向的通道 / 打到戒指就可以自由過海洞（帶人收路費）,待補,傳送限制：戰鬥系 20 級以上,[巴哈姆特哈啦板／等級分布](https://forum.gamer.com.tw/C.php?bsn=70151&snA=407) / [巴哈姆特哈啦板／水晶配戴](https://forum.gamer.com.tw/C.php?bsn=70151&snA=2235)
練技區,練技推薦路線,,-,傑諾瓦村,,,火焰哥布林、蔓陀羅草,23~27,52,5,火風,蔓陀羅草會放強風,待補,傳送限制：戰鬥系 25 級以上,[巴哈姆特精華文／練技點整理](https://forum.gamer.com.tw/Co.php?bsn=2577&sn=900199)
中等區,老手推薦路線 / 練寵推薦路線,難度高,50~65,魚人密道,,,蜥蜴鬥士、布丁史萊姆,50~55,,1~10,水火,,待補,物品：魚人水晶,
中等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,50~60,史萊姆的臨時住所,,冰樹,冰冷樹精,55,,5~7,純地 / 地水,固定出怪 5 隻以上,待補,物品：手電筒,
中等區,練寵推薦路線,,55~65,巴洛斯島,,打牛,米諾陶斯、火焰牛頭怪,60~62,,1~2,風地 / 純風,,待補,物品：精靈的水鏡,
中等區,新手推薦路線 / 快速拓荒路線 / 練寵推薦路線,,60~70,水之洞窟,,水洞,水藍鳥魔、水晶螃蟹、貓妖,58~61,,1~8,待補,,待補,等級：60 級以上,
練技區,練技推薦路線,,-,魔法大學,門口／阿巴,魔大,北極熊、烈風鳥人,31~33,68,6,火風,烈風鳥人會放強風,待補,傳送限制：戰鬥系 36 級、生產系 25 級以上,[巴哈姆特精華文／練技點整理](https://forum.gamer.com.tw/Co.php?bsn=2577&sn=900199)
高等區,,,70~79,伊諾姆森林,,迷森,木乃伊、海盜骷髏,70~73,,1~10,地水,,待補,任務：階級提昇Ⅲ（戰鬥系／生產系）；物品：火把,
高等區,,,70~75,貝尼恰斯火山,,火山,煙羅、鐵剪螃蟹、熔岩、岩怪,70~75,,1~10,地水 / 風地,煙羅會放火法很傷裝；熔岩第二回合會自爆,待補,任務：帕魯凱斯的亡靈,
高等區,新手推薦路線 / 練寵推薦路線,,70~75,布朗山舊道,,,曼陀羅草、殺人螳螂,67~71,,1~5,水火,,待補,階級：師範以上；等級：70 級以上,
高等區,新手推薦路線 / 老手推薦路線 / 練寵推薦路線 / 限時活動路線,限時,70~85,寶石鼠寵物島,,,妖狐、石像怪、死灰螳螂、印第安仙人掌、布丁史萊姆 等各屬性 1 級寶寶,70~80,,待補,火風,⚠ 特別危險：妖狐會群體即死、骷髏戰士乾坤一擲攻擊力極高（被剋屬時可達 1XXX）,[里謝里雅堡門前老鼠傳送師](/任務攻略/限時活動/週年慶寵物島),階級：師範或御用,[寵物島詳細資料](/任務攻略/限時活動/週年慶寵物島)
高等區,老手推薦路線 / 練寵推薦路線,難度高,70~85,海底A,,,魔蛇、海草,75~79,,1~10,地水,約定卷軸 5 次後須重拿 / 亦稱「人魚海底」：熾炎魔蛇、迷魂草，優先攻擊血量最低寵物、四小時重置；建議純地系優先清草、血少寵物學魔防站角落,待補,物品：約定卷軸；完成「魚人歌聲」主線任務（人魚變身卡、採集等級3以上為協助挖信者所需）,[初心攻略 wiki／人魚海底](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/人魚海底)
高等區,練寵推薦路線,,70~80,一等勳章,,鼠區,大地鼠、惡夢鼠、火焰鼠、寶石鼠,75,,8,水火 / 風地,固定出怪 8 隻,待補,任務：二等勳章,
高等區,,,75~90,狐狸洞窟,,,狐狸,80~89,,待補,待補,血約2200，會混波100、聖盾、戰慄等技能，沒有小王；2H重置（不能躲）、只能進入不能中途離開；遇怪率高，欲往高等級建議準備香水,精靈城南門→蒼峰山道→第10層與禁地守衛對話→進入傳送石,持有村長推薦信（取自鎮魂之歌任務）或擁有月之勇者稱號,[初心攻略 wiki／狐狸洞窟](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/狐狸洞窟)
高等區,新手推薦路線 / 老手推薦路線 / 練寵推薦路線,,75~90,星墜山,,,貓臉女神、沙漠童子、風龍蜥、烈風之刃,80~91,,待補,火,迷宮重置會回到100M；2小時重置、遇怪率中等；地圖規模不大；有NPC小朋友，不要亂搭話,撒魯村前門(183.255)或後門(230.222)步行至(188.162)，或使用撒魯村傳送卷／艾爾瑪城傳送,,[初心攻略 wiki／星墜山](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/星墜山)
高等區,,難度高,80~90,海底B,,,火鯊魚、迷幻海葵,80~85,,1~10,地水,,待補,任務：[海底主線任務](/任務攻略/主線任務/海底世界系列/被抹去的大陸),
練技區,練技推薦路線,,-,坎那貝拉村,樹精區,坎村,樹精、翠綠菇,40~42,86,6,純水,,待補,需解前往坎村的任務，或找人帶過路,[巴哈姆特精華文／練技點整理](https://forum.gamer.com.tw/Co.php?bsn=2577&sn=900199)
練技區,練技推薦路線,,-,坎那貝拉村,烏龜區,坎村,海底龜、異型蜂,42~44,90,6,純水,,待補,需解前往坎村的任務，或找人帶過路,[巴哈姆特精華文／練技點整理](https://forum.gamer.com.tw/Co.php?bsn=2577&sn=900199)
練技區,練技推薦路線,,-,米諾基亞村,,,小石像怪、鋼鬼,46,98,4,風地,,待補,,[巴哈姆特精華文／練技點整理](https://forum.gamer.com.tw/Co.php?bsn=2577&sn=900199)
高手區,,,90~104,冰原,,,海盜、毒龍骨、黃金龍骨,85~99,,1~10,待補,亦稱「冰原禁地」；隨機小王「陰影」(2動、血約8000，吃咒不吃法，氣功彈1000／崩擊3000，聖盾)；三小時重置（無法躲）、遇怪率高；欲往高等級建議準備香水,待補,持有精靈族使者稱號 / 或購買冰原禁地傳送卷直達 / 或持1塊精靈王契約至娜迦村換通行證，經海澤蘭洞窟第7層進入 / 持有寵物「炎心真龍」或「冰霜巨龍」可免證通行,[初心攻略 wiki／冰原禁地](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/冰原禁地)
高手區,新手推薦路線 / 老手推薦路線,,90~105,精靈之墟,女帝圖／101圖,,火精、火龍蜥、見習惡魔,93~101,,10,純水,見習惡魔為固定小王（血2800、普攻+酒攻）；四小時重置、遇怪率偏高且有隨機小王；迷宮中石碑有機會直達頂樓，隊伍有惡魔女帝必達頂樓,布倫尼雅村使者,擁有月之勇者稱號 或 購買精靈之墟戒指；職階需大師等級以上（死神職階有審核機制）,[初心攻略 wiki／精靈之墟](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/精靈之墟)
高手區,老手推薦路線 / 練寵推薦路線 / 限時活動路線,限時,95~115,水藍鼠寵物島,,,地獄妖犬、幽靈、海蝙蝠、殺手蠍、冰冷樹精 等各屬性 1 級寶寶,100~109,,待補,待補,⚠ 特別危險：地獄妖犬、亞特拉斯巨神會使用群體即死／活殺氣功彈,[里謝里雅堡門前老鼠傳送師](/任務攻略/限時活動/週年慶寵物島),階級：大師或名師,[寵物島詳細資料](/任務攻略/限時活動/週年慶寵物島)
高手區,老手推薦路線,,98~112,月海迷宮,魟魚圖／第112張地圖,,潛水鴨、冰晶龍、百年骷髏,98~112,,待補,風地水,1樓98等、頂樓15樓112等；怪物速度快且會閃躲；若隊伍持有紅翼巨魟可直接傳送至迷宮頂樓；需先完成前置任務取得相關物品方可入場,待補,需 S 階且角色滿 100 級（有人帶隊可豁免）；隊伍內需三選一：持水柱頭飾(-10耐)者 / 擁有無敵勇者稱號者可帶3位隊友 / 個人攜帶破魔石通過,[初心攻略 wiki／月海迷宮](https://sites.google.com/view/goodluck2cg/任務攻略/練功專區/月海迷宮)
