技能,適用,等級,魔力消耗,成功率倍率,作用範圍,效果,學習資訊
亂射,人物,5,25,,,7支攻擊，與同對象威力遞減,
亂射,人物,6,30,,,8支攻擊，與同對象威力遞減,
亂射,人物,7,35,,,9支攻擊，與同對象威力遞減,
亂射,人物,8,40,,,10支攻擊，與同對象威力遞減,
亂射,人物,9,45,,,11支攻擊，與同對象威力遞減,
亂射,人物,10,50,,,12支攻擊，與同對象威力遞減,
亂射,人物,11,55,,,13支攻擊，與同對象威力遞減（推估）,
亂射,人物,12,60,,,14支攻擊，與同對象威力遞減（推估）,
毒擊,人物,1,10,,,攻擊力下降30%，中毒狀態2回行動數,
毒擊,人物,2,20,,,攻擊力下降36%，中毒狀態2回行動數,
毒擊,人物,3,30,,,攻擊力下降42%，中毒狀態3回行動數,
毒擊,人物,4,40,,,攻擊力下降48%，中毒狀態3回行動數,
毒擊,人物,5,50,,,攻擊力下降54%，中毒狀態3回行動數,
毒擊,人物,6,60,,,攻擊力下降60%，中毒狀態4回行動數,
毒擊,人物,7,70,,,攻擊力下降66%，中毒狀態4回行動數,
毒擊,人物,8,80,,,攻擊力下降72%，中毒狀態4回行動數,
毒擊,人物,9,90,,,攻擊力下降78%，中毒狀態5回行動數,
毒擊,人物,10,100,,,攻擊力下降84%，中毒狀態6回行動數,
毒擊,人物,11,110,,,攻擊力下降90%，中毒狀態7回行動數（推估）,
毒擊,人物,12,120,,,攻擊力下降96%，中毒狀態8回行動數（推估）,
氣功彈,人物,1,5,,,對1~2個對象進行攻擊,
氣功彈,人物,2,10,,,對2個對象進行攻擊,
氣功彈,人物,3,15,,,對2~3個對象進行攻擊,
氣功彈,人物,4,20,,,對3個對象進行攻擊,
氣功彈,人物,5,25,,,對3~4個對象進行攻擊,
氣功彈,人物,6,30,,,對3~5個對象進行攻擊,
氣功彈,人物,7,35,,,對4~5個對象進行攻擊,
氣功彈,人物,8,40,,,對4~6個對象進行攻擊,
氣功彈,人物,9,45,,,對5~6個對象進行攻擊,
氣功彈,人物,10,50,,,對6~7個對象進行攻擊,
氣功彈,人物,11,55,,,對7~8個對象進行攻擊（推估）,
氣功彈,人物,12,60,,,對8~9個對象進行攻擊（推估）,
乾坤一擲,人物,1,10,,,給予對象1.1倍的傷害，命中率降低3%,
乾坤一擲,人物,2,18,,,給予對象1.2倍的傷害，命中率降低6%,
乾坤一擲,人物,3,26,,,給予對象1.3倍的傷害，命中率降低9%,
乾坤一擲,人物,4,34,,,給予對象1.4倍的傷害，命中率降低12%,
乾坤一擲,人物,5,42,,,給予對象1.5倍的傷害，命中率降低15%,
乾坤一擲,人物,6,50,,,給予對象1.6倍的傷害，命中率降低18%,
乾坤一擲,人物,7,58,,,給予對象1.7倍的傷害，命中率降低21%,
乾坤一擲,人物,8,66,,,給予對象1.8倍的傷害，命中率降低24%,
乾坤一擲,人物,9,74,,,給予對象1.9倍的傷害，命中率降低27%,
乾坤一擲,人物,10,82,,,給予對象2倍的傷害，命中率降低30%,
乾坤一擲,人物,11,90,,,給予對象2.1倍的傷害，命中率降低33%（推估）,
乾坤一擲,人物,12,98,,,給予對象2.2倍的傷害，命中率降低36%（推估）,
混亂攻擊,人物,1,5,,,普通攻擊加上隨機狀態異常，機率10%,
混亂攻擊,人物,2,10,,,普通攻擊加上隨機狀態異常，機率20%,
混亂攻擊,人物,3,15,,,普通攻擊加上隨機狀態異常，機率30%,
混亂攻擊,人物,4,20,,,普通攻擊加上隨機狀態異常，機率40%,
混亂攻擊,人物,5,25,,,普通攻擊加上隨機狀態異常，機率50%,
混亂攻擊,人物,6,30,,,普通攻擊加上隨機狀態異常，機率60%,
混亂攻擊,人物,7,35,,,普通攻擊加上隨機狀態異常，機率70%,
混亂攻擊,人物,8,40,,,普通攻擊加上隨機狀態異常，機率80%,
混亂攻擊,人物,9,45,,,普通攻擊加上隨機狀態異常，機率90%,
混亂攻擊,人物,10,50,,,普通攻擊加上隨機狀態異常，機率100%,
因果報應,人物,1,10,,,敵人隨機傷害56/70/84%，自身傷害15%,
因果報應,人物,2,14,,,敵人隨機傷害60/75/90%，自身傷害16%,
因果報應,人物,3,18,,,敵人隨機傷害64/80/96%，自身傷害17%,
因果報應,人物,4,22,,,敵人隨機傷害68/85/102%，自身傷害18%,
因果報應,人物,5,26,,,敵人隨機傷害72/90/108%，自身傷害19%,
因果報應,人物,6,30,,,敵人隨機傷害76/95/114%，自身傷害20%,
因果報應,人物,7,34,,,敵人隨機傷害80/100/120%，自身傷害21%,
因果報應,人物,8,38,,,敵人隨機傷害84/105/126%，自身傷害22%,
因果報應,人物,9,42,,,敵人隨機傷害88/110/132%，自身傷害23%,
因果報應,人物,10,46,,,敵人隨機傷害92/115/138%，自身傷害24%,
因果報應,人物,11,50,,,敵人隨機傷害96/120/144%，自身傷害25%（推估）,
因果報應,人物,12,54,,,敵人隨機傷害100/125/150%，自身傷害26%（推估）,
陽炎,人物,1,5,,,減少防禦力7%以提升迴避率7%,
陽炎,人物,2,7,,,減少防禦力14%以提升迴避率14%,
陽炎,人物,3,9,,,減少防禦力21%以提升迴避率21%,
陽炎,人物,4,11,,,減少防禦力28%以提升迴避率28%,
陽炎,人物,5,13,,,減少防禦力35%以提升迴避率35%,
陽炎,人物,6,15,,,減少防禦力42%以提升迴避率42%,
陽炎,人物,7,17,,,減少防禦力49%以提升迴避率49%,
陽炎,人物,8,19,,,減少防禦力56%以提升迴避率56%,
陽炎,人物,9,21,,,減少防禦力63%以提升迴避率63%,
陽炎,人物,10,23,,,減少防禦力70%以提升迴避率70%,
陽炎,人物,11,25,,,減少防禦力77%以提升迴避率77%（推估）,
陽炎,人物,12,27,,,減少防禦力84%以提升迴避率84%（推估）,
護衛,人物,1,5,,,替目標承受近距攻擊，防禦力上升110%,
護衛,人物,2,7,,,替目標承受近距攻擊，防禦力上升120%,
護衛,人物,3,9,,,替目標承受近距攻擊，防禦力上升130%,
護衛,人物,4,11,,,替目標承受近距攻擊，防禦力上升140%,
護衛,人物,5,13,,,替目標承受近距攻擊，防禦力上升150%,
護衛,人物,6,15,,,替目標承受近距攻擊，防禦力上升160%,
護衛,人物,7,17,,,替目標承受近距攻擊，防禦力上升170%,
護衛,人物,8,19,,,替目標承受近距攻擊，防禦力上升180%,
護衛,人物,9,21,,,替目標承受近距攻擊，防禦力上升190%,
護衛,人物,10,23,,,替目標承受近距攻擊，防禦力上升200%,
護衛,人物,11,25,,,替目標承受近距攻擊，防禦力上升210%（推估）,
護衛,人物,12,27,,,替目標承受近距攻擊，防禦力上升220%（推估）,
聖盾,人物,1,10,,,同時減輕魔法45%與物理傷害55%,
聖盾,人物,2,15,,,同時減輕魔法50%與物理傷害60%,
聖盾,人物,3,20,,,同時減輕魔法55%與物理傷害65%,
聖盾,人物,4,25,,,同時減輕魔法60%與物理傷害70%,
聖盾,人物,5,30,,,同時減輕魔法65%與物理傷害75%,
聖盾,人物,6,35,,,同時減輕魔法70%與物理傷害80%,
聖盾,人物,7,40,,,同時減輕魔法75%與物理傷害85%,
聖盾,人物,8,45,,,同時減輕魔法80%與物理傷害90%,
聖盾,人物,9,50,,,同時減輕魔法85%與物理傷害95%,
聖盾,人物,10,55,,,同時減輕魔法90%與物理傷害100%,
聖盾,人物,11,60,,,同時減輕魔法95%與物理傷害105%（推估）,
聖盾,人物,12,65,,,同時減輕魔法100%與物理傷害110%（推估）,
攻擊魔法防禦,人物,1,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,2,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,3,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,4,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,5,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,6,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,7,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,8,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,9,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,10,,,,減低魔法攻擊的傷害,
攻擊魔法防禦,人物,11,,,,減低魔法攻擊的傷害（推估）,
攻擊魔法防禦,人物,12,,,,減低魔法攻擊的傷害（推估）,
暗殺,人物,1,,,,攻擊對象隨機即死,
暗殺,人物,2,,,,攻擊對象隨機即死,
暗殺,人物,3,,,,攻擊對象隨機即死,
暗殺,人物,4,,,,攻擊對象隨機即死,
暗殺,人物,5,,,,攻擊對象隨機即死,
暗殺,人物,6,,,,攻擊對象隨機即死,
暗殺,人物,7,,,,攻擊對象隨機即死,
暗殺,人物,8,,,,攻擊對象隨機即死,
暗殺,人物,9,,,,攻擊對象隨機即死,
暗殺,人物,10,,,,攻擊對象隨機即死,
暗殺,人物,11,,,,攻擊對象隨機即死（推估）,
暗殺,人物,12,,,,攻擊對象隨機即死（推估）,
戰慄襲心,人物,1,10,,,減少對象魔力值5%,
戰慄襲心,人物,2,20,,,減少對象魔力值10%,
戰慄襲心,人物,3,30,,,減少對象魔力值15%,
戰慄襲心,人物,4,40,,,減少對象魔力值20%,
戰慄襲心,人物,5,50,,,減少對象魔力值25%,
戰慄襲心,人物,6,60,,,減少對象魔力值30%,
戰慄襲心,人物,7,70,,,減少對象魔力值35%,
戰慄襲心,人物,8,80,,,減少對象魔力值40%,
戰慄襲心,人物,9,90,,,減少對象魔力值45%,
戰慄襲心,人物,10,100,,,減少對象魔力值50%,
戰慄襲心,人物,11,110,,,減少對象魔力值55%（推估）,
戰慄襲心,人物,12,120,,,減少對象魔力值60%（推估）,
明鏡止水,人物,1,15,,,回復最大生命值約5~10%,
明鏡止水,人物,2,30,,,回復最大生命值約5~15%,
明鏡止水,人物,3,45,,,回復最大生命值約5~20%,
明鏡止水,人物,4,60,,,回復最大生命值約5~25%,
明鏡止水,人物,5,75,,,回復最大生命值約5~30%,
明鏡止水,人物,6,90,,,回復最大生命值約5~35%,
明鏡止水,人物,7,105,,,回復最大生命值約5~40%,
明鏡止水,人物,8,120,,,回復最大生命值約5~45%,
明鏡止水,人物,9,135,,,回復最大生命值約5~50%,
明鏡止水,人物,10,150,,,回復最大生命值約10~60%,
明鏡止水,人物,11,165,,,回復最大生命值約15~70%（推估）,
明鏡止水,人物,12,180,,,回復最大生命值約20~80%（推估）,
石化抵抗,人物,1,,,,對石化狀態異常耐性增加,
石化抵抗,人物,2,,,,對石化狀態異常耐性增加,
石化抵抗,人物,3,,,,對石化狀態異常耐性增加,
石化抵抗,人物,4,,,,對石化狀態異常耐性增加,
石化抵抗,人物,5,,,,對石化狀態異常耐性增加,
石化抵抗,人物,6,,,,對石化狀態異常耐性增加,
石化抵抗,人物,7,,,,對石化狀態異常耐性增加,
石化抵抗,人物,8,,,,對石化狀態異常耐性增加,
石化抵抗,人物,9,,,,對石化狀態異常耐性增加,
石化抵抗,人物,10,,,,對石化狀態異常耐性增加,
石化抵抗,人物,11,,,,對石化狀態異常耐性增加（推估）,
石化抵抗,人物,12,,,,對石化狀態異常耐性增加（推估）,
遺忘抵抗,人物,1,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,2,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,3,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,4,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,5,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,6,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,7,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,8,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,9,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,10,,,,對遺忘狀態異常耐性增加,
遺忘抵抗,人物,11,,,,對遺忘狀態異常耐性增加（推估）,
遺忘抵抗,人物,12,,,,對遺忘狀態異常耐性增加（推估）,
混亂抵抗,人物,1,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,2,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,3,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,4,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,5,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,6,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,7,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,8,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,9,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,10,,,,對混亂狀態異常耐性增加,
混亂抵抗,人物,11,,,,對混亂狀態異常耐性增加（推估）,
混亂抵抗,人物,12,,,,對混亂狀態異常耐性增加（推估）,
酒醉抵抗,人物,1,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,2,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,3,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,4,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,5,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,6,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,7,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,8,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,9,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,10,,,,對酒醉狀態異常耐性增加,
酒醉抵抗,人物,11,,,,對酒醉狀態異常耐性增加（推估）,
酒醉抵抗,人物,12,,,,對酒醉狀態異常耐性增加（推估）,
中毒抵抗,人物,1,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,2,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,3,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,4,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,5,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,6,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,7,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,8,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,9,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,10,,,,對中毒狀態異常耐性增加,
中毒抵抗,人物,11,,,,對中毒狀態異常耐性增加（推估）,
中毒抵抗,人物,12,,,,對中毒狀態異常耐性增加（推估）,
昏睡抵抗,人物,1,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,2,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,3,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,4,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,5,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,6,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,7,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,8,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,9,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,10,,,,對昏睡狀態異常耐性增加,
昏睡抵抗,人物,11,,,,對昏睡狀態異常耐性增加（推估）,
昏睡抵抗,人物,12,,,,對昏睡狀態異常耐性增加（推估）,
隕石魔法,人物,1,5,,,攻擊單體的地屬性魔法，建議精神達123,
隕石魔法,人物,2,10,,,攻擊單體的地屬性魔法，建議精神達143,
隕石魔法,人物,3,15,,,攻擊單體的地屬性魔法，建議精神達163,
隕石魔法,人物,4,20,,,攻擊單體的地屬性魔法，建議精神達183,
隕石魔法,人物,5,25,,,攻擊單體的地屬性魔法，建議精神達203,
隕石魔法,人物,6,30,,,攻擊單體的地屬性魔法，建議精神達223,
隕石魔法,人物,7,35,,,攻擊單體的地屬性魔法，建議精神達243,
隕石魔法,人物,8,40,,,攻擊單體的地屬性魔法，建議精神達263,
隕石魔法,人物,9,45,,,攻擊單體的地屬性魔法，建議精神達283,
隕石魔法,人物,10,50,,,攻擊單體的地屬性魔法，建議精神達303,
隕石魔法,人物,11,55,,,攻擊單體的地屬性魔法，建議精神達323（推估）,
隕石魔法,人物,12,60,,,攻擊單體的地屬性魔法，建議精神達343（推估）,
冰凍魔法,人物,1,5,,,攻擊單體的水屬性魔法，建議精神達123,
冰凍魔法,人物,2,10,,,攻擊單體的水屬性魔法，建議精神達143,
冰凍魔法,人物,3,15,,,攻擊單體的水屬性魔法，建議精神達163,
冰凍魔法,人物,4,20,,,攻擊單體的水屬性魔法，建議精神達183,
冰凍魔法,人物,5,25,,,攻擊單體的水屬性魔法，建議精神達203,
冰凍魔法,人物,6,30,,,攻擊單體的水屬性魔法，建議精神達223,
冰凍魔法,人物,7,35,,,攻擊單體的水屬性魔法，建議精神達243,
冰凍魔法,人物,8,40,,,攻擊單體的水屬性魔法，建議精神達263,
冰凍魔法,人物,9,45,,,攻擊單體的水屬性魔法，建議精神達283,
冰凍魔法,人物,10,50,,,攻擊單體的水屬性魔法，建議精神達303,
冰凍魔法,人物,11,55,,,攻擊單體的水屬性魔法，建議精神達323（推估）,
冰凍魔法,人物,12,60,,,攻擊單體的水屬性魔法，建議精神達343（推估）,
火焰魔法,人物,1,5,,,攻擊單體的火屬性魔法，建議精神達123,
火焰魔法,人物,2,10,,,攻擊單體的火屬性魔法，建議精神達143,
火焰魔法,人物,3,15,,,攻擊單體的火屬性魔法，建議精神達163,
火焰魔法,人物,4,20,,,攻擊單體的火屬性魔法，建議精神達183,
火焰魔法,人物,5,25,,,攻擊單體的火屬性魔法，建議精神達203,
火焰魔法,人物,6,30,,,攻擊單體的火屬性魔法，建議精神達223,
火焰魔法,人物,7,35,,,攻擊單體的火屬性魔法，建議精神達243,
火焰魔法,人物,8,40,,,攻擊單體的火屬性魔法，建議精神達263,
火焰魔法,人物,9,45,,,攻擊單體的火屬性魔法，建議精神達283,
火焰魔法,人物,10,50,,,攻擊單體的火屬性魔法，建議精神達303,
火焰魔法,人物,11,55,,,攻擊單體的火屬性魔法，建議精神達323（推估）,
火焰魔法,人物,12,60,,,攻擊單體的火屬性魔法，建議精神達343（推估）,
風刃魔法,人物,1,5,,,攻擊單體的風屬性魔法，建議精神達123,
風刃魔法,人物,2,10,,,攻擊單體的風屬性魔法，建議精神達143,
風刃魔法,人物,3,15,,,攻擊單體的風屬性魔法，建議精神達163,
風刃魔法,人物,4,20,,,攻擊單體的風屬性魔法，建議精神達183,
風刃魔法,人物,5,25,,,攻擊單體的風屬性魔法，建議精神達203,
風刃魔法,人物,6,30,,,攻擊單體的風屬性魔法，建議精神達223,
風刃魔法,人物,7,35,,,攻擊單體的風屬性魔法，建議精神達243,
風刃魔法,人物,8,40,,,攻擊單體的風屬性魔法，建議精神達263,
風刃魔法,人物,9,45,,,攻擊單體的風屬性魔法，建議精神達283,
風刃魔法,人物,10,50,,,攻擊單體的風屬性魔法，建議精神達303,
風刃魔法,人物,11,55,,,攻擊單體的風屬性魔法，建議精神達323（推估）,
風刃魔法,人物,12,60,,,攻擊單體的風屬性魔法，建議精神達343（推估）,
吸血魔法,人物,1,10,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,2,20,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,3,30,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,4,40,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,5,50,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,6,60,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,7,70,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,8,80,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,9,90,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,10,100,,,將給予對象損傷的一半，轉換為自己的生命值,
吸血魔法,人物,11,110,,,將給予對象損傷的一半，轉換為自己的生命值（推估）,
吸血魔法,人物,12,120,,,將給予對象損傷的一半，轉換為自己的生命值（推估）,
強力隕石魔法,人物,1,10,,,攻擊單體及其周圍的地屬性魔法，建議精神達123,
強力隕石魔法,人物,2,20,,,攻擊單體及其周圍的地屬性魔法，建議精神達143,
強力隕石魔法,人物,3,30,,,攻擊單體及其周圍的地屬性魔法，建議精神達163,
強力隕石魔法,人物,4,40,,,攻擊單體及其周圍的地屬性魔法，建議精神達183,
強力隕石魔法,人物,5,50,,,攻擊單體及其周圍的地屬性魔法，建議精神達203,
強力隕石魔法,人物,6,60,,,攻擊單體及其周圍的地屬性魔法，建議精神達223,
強力隕石魔法,人物,7,70,,,攻擊單體及其周圍的地屬性魔法，建議精神達243,
強力隕石魔法,人物,8,80,,,攻擊單體及其周圍的地屬性魔法，建議精神達263,
強力隕石魔法,人物,9,90,,,攻擊單體及其周圍的地屬性魔法，建議精神達283,
強力隕石魔法,人物,10,100,,,攻擊單體及其周圍的地屬性魔法，建議精神達303,
強力隕石魔法,人物,11,110,,,攻擊單體及其周圍的地屬性魔法，建議精神達323（推估）,
強力隕石魔法,人物,12,120,,,攻擊單體及其周圍的地屬性魔法，建議精神達343（推估）,
強力冰凍魔法,人物,1,10,,,攻擊單體及其周圍的水屬性魔法，建議精神達123,
強力冰凍魔法,人物,2,20,,,攻擊單體及其周圍的水屬性魔法，建議精神達143,
強力冰凍魔法,人物,3,30,,,攻擊單體及其周圍的水屬性魔法，建議精神達163,
強力冰凍魔法,人物,4,40,,,攻擊單體及其周圍的水屬性魔法，建議精神達183,
強力冰凍魔法,人物,5,50,,,攻擊單體及其周圍的水屬性魔法，建議精神達203,
強力冰凍魔法,人物,6,60,,,攻擊單體及其周圍的水屬性魔法，建議精神達223,
強力冰凍魔法,人物,7,70,,,攻擊單體及其周圍的水屬性魔法，建議精神達243,
強力冰凍魔法,人物,8,80,,,攻擊單體及其周圍的水屬性魔法，建議精神達263,
強力冰凍魔法,人物,9,90,,,攻擊單體及其周圍的水屬性魔法，建議精神達283,
強力冰凍魔法,人物,10,100,,,攻擊單體及其周圍的水屬性魔法，建議精神達303,
強力冰凍魔法,人物,11,110,,,攻擊單體及其周圍的水屬性魔法，建議精神達323（推估）,
強力冰凍魔法,人物,12,120,,,攻擊單體及其周圍的水屬性魔法，建議精神達343（推估）,
強力火焰魔法,人物,1,10,,,攻擊單體及其周圍的火屬性魔法，建議精神達123,
強力火焰魔法,人物,2,20,,,攻擊單體及其周圍的火屬性魔法，建議精神達143,
強力火焰魔法,人物,3,30,,,攻擊單體及其周圍的火屬性魔法，建議精神達163,
強力火焰魔法,人物,4,40,,,攻擊單體及其周圍的火屬性魔法，建議精神達183,
強力火焰魔法,人物,5,50,,,攻擊單體及其周圍的火屬性魔法，建議精神達203,
強力火焰魔法,人物,6,60,,,攻擊單體及其周圍的火屬性魔法，建議精神達223,
強力火焰魔法,人物,7,70,,,攻擊單體及其周圍的火屬性魔法，建議精神達243,
強力火焰魔法,人物,8,80,,,攻擊單體及其周圍的火屬性魔法，建議精神達263,
強力火焰魔法,人物,9,90,,,攻擊單體及其周圍的火屬性魔法，建議精神達283,
強力火焰魔法,人物,10,100,,,攻擊單體及其周圍的火屬性魔法，建議精神達303,
強力火焰魔法,人物,11,110,,,攻擊單體及其周圍的火屬性魔法，建議精神達323（推估）,
強力火焰魔法,人物,12,120,,,攻擊單體及其周圍的火屬性魔法，建議精神達343（推估）,
強力風刃魔法,人物,1,10,,,攻擊單體及其周圍的風屬性魔法，建議精神達123,
強力風刃魔法,人物,2,20,,,攻擊單體及其周圍的風屬性魔法，建議精神達143,
強力風刃魔法,人物,3,30,,,攻擊單體及其周圍的風屬性魔法，建議精神達163,
強力風刃魔法,人物,4,40,,,攻擊單體及其周圍的風屬性魔法，建議精神達183,
強力風刃魔法,人物,5,50,,,攻擊單體及其周圍的風屬性魔法，建議精神達203,
強力風刃魔法,人物,6,60,,,攻擊單體及其周圍的風屬性魔法，建議精神達223,
強力風刃魔法,人物,7,70,,,攻擊單體及其周圍的風屬性魔法，建議精神達243,
強力風刃魔法,人物,8,80,,,攻擊單體及其周圍的風屬性魔法，建議精神達263,
強力風刃魔法,人物,9,90,,,攻擊單體及其周圍的風屬性魔法，建議精神達283,
強力風刃魔法,人物,10,100,,,攻擊單體及其周圍的風屬性魔法，建議精神達303,
強力風刃魔法,人物,11,110,,,攻擊單體及其周圍的風屬性魔法，建議精神達323（推估）,
強力風刃魔法,人物,12,120,,,攻擊單體及其周圍的風屬性魔法，建議精神達343（推估）,
超強隕石魔法,人物,1,20,,,攻擊一側全體的地屬性魔法，建議精神達123,
超強隕石魔法,人物,2,40,,,攻擊一側全體的地屬性魔法，建議精神達143,
超強隕石魔法,人物,3,60,,,攻擊一側全體的地屬性魔法，建議精神達163,
超強隕石魔法,人物,4,80,,,攻擊一側全體的地屬性魔法，建議精神達183,
超強隕石魔法,人物,5,100,,,攻擊一側全體的地屬性魔法，建議精神達203,
超強隕石魔法,人物,6,120,,,攻擊一側全體的地屬性魔法，建議精神達223,
超強隕石魔法,人物,7,140,,,攻擊一側全體的地屬性魔法，建議精神達243,
