名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
淘氣小熊,野獸系,24,24,24,24,24,,120,水10,攻擊、防禦,,,mlbb_news_6533.txt
可愛小熊,野獸系,24,24,24,24,24,,120,火10,攻擊、防禦,,,mlbb_news_6533.txt
搗蛋小熊,野獸系,24,24,24,24,24,,120,地10,攻擊、防禦,,,mlbb_news_6533.txt
歐特奇美拉,飛行系,24,22,22,35,17,,120,風5地5,攻擊、防禦,,,mlbb_news_6553.txt
疾風奇美拉,飛行系,20,6,8,45,46,,125,風5地5,攻擊、防禦,,,mlbb_news_6553.txt
聖誕麋鹿,野獸系,38,35,25,15,10,,123,地5風5,攻擊、防禦,,,mlbb_news_6613.txt
聖誕馴鹿,野獸系,38,25,35,15,10,,123,水5火5,攻擊、防禦,,,mlbb_news_6613.txt
聖誕林鹿,野獸系,25,38,35,15,10,,123,火5風5,攻擊、防禦,,,mlbb_news_6613.txt
聖誕梅花鹿,野獸系,35,38,25,15,10,,123,風5地5,攻擊、防禦,,,mlbb_news_6613.txt
聖金雪橇鹿車,飛行系,52,39,14,14,6,,125,地10,攻擊、防禦,,,mlbb_news_6613.txt
黑金雪橇鹿車,飛行系,52,14,39,14,6,,125,水10,攻擊、防禦,,,mlbb_news_6613.txt
黃金雪橇鹿車,飛行系,52,14,14,39,6,,125,火10,攻擊、防禦,,,mlbb_news_6613.txt
白金雪橇鹿車,飛行系,39,52,14,14,6,,125,風10,攻擊、防禦,,,mlbb_news_6613.txt
聖誕鼠王,野獸系,15,6,12,43,49,,125,火5風5,攻擊、防禦,,,mlbb_news_6643.txt
聖誕水藍鼠,野獸系,36,50,12,20,6,,124,水9火1,攻擊、防禦,,,mlbb_news_6643.txt
糖果大地鼠,野獸系,10,32,10,26,45,,123,地10,攻擊、防禦,,,mlbb_news_6643.txt
聖誕火焰鼠,野獸系,37,10,10,19,47,,123,火10,攻擊、防禦,,,mlbb_news_6643.txt
聖誕寶石鼠,野獸系,10,14,12,40,47,,123,風10,攻擊、防禦,,,mlbb_news_6643.txt
聖誕火焰鼠,野獸系,37,10,10,19,47,,123,火10,攻擊、防禦,,,mlbb_news_6653.txt
小丑魚霸王,飛行系,19,42,13,45,6,,125,火5風5,攻擊、防禦,,,mlbb_news_6833.txt
碧波小丑魚,飛行系,16,39,15,43,10,,123,地6水4,攻擊、防禦,,,mlbb_news_6833.txt
蒼角小丑魚,飛行系,18,40,14,41,10,,123,水6火4,攻擊、防禦,,,mlbb_news_6833.txt
赤丸小丑魚,飛行系,17,39,15,42,10,,123,火6風4,攻擊、防禦,,,mlbb_news_6833.txt
魔方小丑魚,飛行系,20,40,13,40,10,,123,風6地4,攻擊、防禦,,,mlbb_news_6833.txt
喜慶虎寶寶,野獸系,18,10,19,35,41,,123,地8水2,攻擊、防禦,,,mlbb_news_6933.txt
歡樂虎寶寶,野獸系,24,10,35,12,42,,123,水8火2,攻擊、防禦,,,mlbb_news_6933.txt
招財虎寶寶,野獸系,13,10,27,32,41,,123,火8風2,攻擊、防禦,,,mlbb_news_6933.txt
幸福虎寶寶,野獸系,11,41,11,19,41,,123,風8地2,攻擊、防禦,,,mlbb_news_6933.txt
行大運白虎王,特殊系,38,6,15,19,47,,125,火5風5,攻擊、防禦,,,mlbb_news_6933.txt
贏珍寶黑虎王,特殊系,18,42,15,44,6,,125,地1水9,攻擊、防禦,,,mlbb_news_6933.txt
純金豬王,野獸系,48,33,23,15,6,,125,風10,攻擊、防禦,,,mlbb_news_6943.txt
粉心王妃,野獸系,30,6,31,14,43,,124,火8風2,攻擊、防禦,,,mlbb_news_6943.txt
呆萌豬王,野獸系,30,45,15,28,6,,124,地8水2,攻擊、防禦,,,mlbb_news_6943.txt
白眉豬王,野獸系,31,6,16,28,43,,124,水8火2,攻擊、防禦,,,mlbb_news_6943.txt
銀豬太郎,野獸系,37,34,31,13,8,,123,水7火3,攻擊、防禦,,,mlbb_news_6943.txt
粉豬太郎,野獸系,30,8,31,13,40,,122,火7風3,攻擊、防禦,,,mlbb_news_6943.txt
棕豬太郎,野獸系,33,36,16,29,8,,122,地7水3,攻擊、防禦,,,mlbb_news_6943.txt
灰豬太郎,野獸系,32,8,17,24,41,,122,風7地3,攻擊、防禦,,,mlbb_news_6943.txt
銅豬寶寶,野獸系,35,31,34,11,10,,121,風6地4,攻擊、防禦,,,mlbb_news_6943.txt
斑點豬寶寶,野獸系,24,10,36,11,40,,121,火6風4,攻擊、防禦,,,mlbb_news_6943.txt
刺豬寶寶,野獸系,32,37,12,30,10,,121,地6水4,攻擊、防禦,,,mlbb_news_6943.txt
白紋豬寶寶,野獸系,32,10,17,22,40,,121,水6火4,攻擊、防禦,,,mlbb_news_6943.txt
毆茲那克,人形系,28,36,19,19,18,,120,火10,攻擊、防禦,,,mlbb_news_6963.txt
熊霸毆茲那克,人形系,50,37,12,20,6,,125,火10,攻擊、防禦,,,mlbb_news_6963.txt
歐茲尼克,人形系,21,36,13,28,22,,120,水5火5,攻擊、防禦,,,mlbb_news_6963.txt
煞氣歐茲尼克,人形系,14,50,12,43,6,,125,水5火5,攻擊、防禦,,,mlbb_news_6963.txt
天使小熊,特殊系,14,47,16,42,6,,125,地8水2,攻擊、防禦,,,mlbb_news_7023.txt
愛情小熊,特殊系,43,32,20,24,6,,125,水8火2,攻擊、防禦,,,mlbb_news_7023.txt
戀愛小熊,特殊系,49,31,19,20,6,,125,火8風2,攻擊、防禦,,,mlbb_news_7023.txt
愛心小熊,特殊系,35,6,26,14,44,,125,風8地2,攻擊、防禦,,,mlbb_news_7023.txt
花生元宵,特殊系,32,32,32,12,12,,120,地10,攻擊、防禦,,,mlbb_news_7023.txt
芝麻元宵,特殊系,32,12,32,12,32,,120,水10,攻擊、防禦,,,mlbb_news_7023.txt
流沙元宵,特殊系,12,32,32,12,32,,120,火10,攻擊、防禦,,,mlbb_news_7023.txt
紅豆元宵,特殊系,12,12,32,32,32,,120,風10,攻擊、防禦,,,mlbb_news_7023.txt
愛神丘比特,飛行系,16,12,15,40,42,,125,風10,攻擊、防禦,,,mlbb_news_7023.txt
布偶夏莉,飛行系,19,9,17,34,44,,123,風2地8,攻擊、防禦,,,mlbb_news_7083.txt
布偶凱琪,飛行系,15,9,16,43,40,,123,地2水8,攻擊、防禦,,,mlbb_news_7083.txt
布偶艾菈,飛行系,16,9,42,17,39,,123,水2火8,攻擊、防禦,,,mlbb_news_7083.txt
布偶米琪,飛行系,30,47,14,23,9,,123,火2風8,攻擊、防禦,,,mlbb_news_7083.txt
布偶紫音,飛行系,37,38,29,10,9,,123,地10,攻擊、防禦,,,mlbb_news_7083.txt
飛馬公主,飛行系,16,6,14,43,46,,125,地3風7,攻擊、防禦,,,mlbb_news_7083.txt
飛馬王子,飛行系,35,41,16,27,6,,125,水2火8,攻擊、防禦,,,mlbb_news_7083.txt
火焰牛頭怪,人形系,16,30,20,32,22,,120,火6風4,攻擊、防禦,,,mlbb_news_7123.txt
煉獄牛頭怪,人形系,41,6,16,19,43,,125,火6風4,攻擊、防禦,,,mlbb_news_7123.txt
艾兒卡絲,人形系,42,6,20,17,40,,125,地6水4,攻擊、防禦,,,mlbb_news_7123.txt
斧頭幫千軍,人形系,31,49,20,19,6,,125,水2火8,攻擊、防禦,,,mlbb_news_7163.txt
斧頭幫萬馬,人形系,38,8,19,18,42,,125,地5水5,攻擊、防禦,,,mlbb_news_7163.txt
幽紫妖靈,不死系,19,11,23,33,39,,125,水2火8,攻擊、防禦,,,mlbb_news_7223.txt
獅面女神,不死系,33,14,22,19,35,,123,地10,攻擊、防禦,,,mlbb_news_7223.txt
貓臉女神,不死系,42,37,12,18,14,,123,水10,攻擊、防禦,,,mlbb_news_7223.txt
貓隊長,不死系,35,42,17,19,10,,123,火10,攻擊、防禦,,,mlbb_news_7223.txt
惡夢貓,不死系,15,20,20,32,36,,123,風10,攻擊、防禦,,,mlbb_news_7223.txt
福爾菲斯,不死系,14,40,12,18,39,,123,火1風9,攻擊、防禦,,,mlbb_news_7223.txt
梅茲,人形系,25,29,14,32,20,,120,火5風5,攻擊、防禦,,,mlbb_news_7283.txt
忍王梅茲,人形系,24,45,4,46,6,,125,火5風5,攻擊、防禦,,,mlbb_news_7283.txt
血腥魔刃,金屬系,14,6,31,34,40,,125,地9水1,攻擊、防禦,,,mlbb_news_7303.txt
碧月,金屬系,16,9,45,16,37,,123,地8水2,攻擊、防禦,,,mlbb_news_7303.txt
青月,金屬系,24,42,14,34,9,,123,水8火2,攻擊、防禦,,,mlbb_news_7303.txt
絳月,金屬系,26,33,16,39,9,,123,火8風2,攻擊、防禦,,,mlbb_news_7303.txt
橙月,金屬系,34,36,30,14,9,,123,風8地2,攻擊、防禦,,,mlbb_news_7303.txt
龍骨,不死系,32,35,20,21,16,,124,地8風2,攻擊、防禦,,,mlbb_news_7413.txt
暗黑龍骨,不死系,30,16,27,14,37,,124,地3水7,攻擊、防禦,,,mlbb_news_7413.txt
玄翼暴龍,不死系,40,40,14,21,10,,125,地9風1,攻擊、防禦,,,mlbb_news_7413.txt
闇影魔龍,不死系,35,10,16,24,40,,125,地2水8,攻擊、防禦,,,mlbb_news_7413.txt
魔力小黃雞,飛行系,17,35,15,38,15,,120,地2風8,攻擊、防禦,,,mlbb_news_7463.txt
寶貝紫藍雞,飛行系,17,15,15,38,35,,120,水8火2,攻擊、防禦,,,mlbb_news_7463.txt
永恆熒光雞,飛行系,17,38,15,35,15,,120,地8水2,攻擊、防禦,,,mlbb_news_7463.txt
初心粉紅雞,飛行系,17,15,15,35,38,,120,火2風8,攻擊、防禦,,,mlbb_news_7463.txt
兔耳魔力小黃雞,飛行系,19,37,15,40,12,,123,地2風8,攻擊、防禦,,,mlbb_news_7463.txt
兔耳寶貝紫藍雞,飛行系,19,12,15,40,37,,123,水8火2,攻擊、防禦,,,mlbb_news_7463.txt
兔耳永恆熒光雞,飛行系,19,40,15,37,12,,123,地8水2,攻擊、防禦,,,mlbb_news_7463.txt
兔耳初心粉紅雞,飛行系,19,12,15,37,40,,123,火8風2,攻擊、防禦,,,mlbb_news_7463.txt
印第安魔力小雞,飛行系,19,39,15,42,10,,125,地2風8,攻擊、防禦,,,mlbb_news_7463.txt
大法官魔力小雞,飛行系,19,10,15,42,39,,125,水8火2,攻擊、防禦,,,mlbb_news_7463.txt
牛仔帽魔力小雞,飛行系,19,42,15,39,10,,125,地8水2,攻擊、防禦,,,mlbb_news_7463.txt
紳士裝魔力小雞,飛行系,19,10,15,39,42,,125,火8風2,攻擊、防禦,,,mlbb_news_7463.txt
週年慶禮盒地精靈,特殊系,18,18,48,18,18,,120,地9水1,攻擊、防禦,,,mlbb_news_7463.txt
週年慶禮盒水精靈,特殊系,18,18,18,18,48,,120,水9火1,攻擊、防禦,,,mlbb_news_7463.txt
週年慶禮盒火精靈,特殊系,18,48,18,18,18,,120,火9風1,攻擊、防禦,,,mlbb_news_7463.txt
週年慶禮盒風精靈,特殊系,18,18,18,48,18,,120,風9地1,攻擊、防禦,,,mlbb_news_7463.txt
佛利波羅,人形系,26,30,30,22,12,,120,地5水5,攻擊、防禦,,,mlbb_news_7473.txt
魔化佛利波羅,人形系,37,43,21,18,6,,125,地9水1,攻擊、防禦,,,mlbb_news_7473.txt
翼龍,龍系,32,30,26,19,18,,125,水5火5,攻擊、防禦,,,mlbb_news_7483.txt
神聖翼龍,龍系,16,6,14,43,46,,125,水5火5,攻擊、防禦,,,mlbb_news_7483.txt
阿卡斯,人形系,25,17,34,17,32,,125,水2火8,攻擊、防禦,,,mlbb_news_7583.txt
狂魔阿卡斯,人形系,19,6,33,20,47,,125,火10,攻擊、防禦,,,mlbb_news_7583.txt
巴洛斯,人形系,33,19,34,23,16,,125,地8水2,攻擊、防禦,,,mlbb_news_7643.txt
邪神巴洛斯,人形系,43,27,32,15,8,,125,地10,攻擊、防禦,,,mlbb_news_7643.txt
李貝留斯,人形系,17,18,27,23,40,,125,地5風5,攻擊、防禦,,,mlbb_news_7703.txt
軍王李貝留斯,人形系,14,8,13,43,47,,125,地5風5,攻擊、防禦,,,mlbb_news_7703.txt
暗裔龍祖,龍系,20,47,13,38,7,,125,地5風5,攻擊、防禦,,,mlbb_news_7743.txt
甜心炸彈,特殊系,15,8,18,34,50,,125,水5火5,攻擊、防禦,,,mlbb_news_7743.txt
無頭將軍,金屬系,34,27,26,13,20,,120,地9風1,攻擊、防禦,,,mlbb_news_7753.txt
沙海將軍,金屬系,45,41,12,19,8,,125,地9風1,攻擊、防禦,,,mlbb_news_7753.txt
雷霆幻獸,野獸系,17,43,6,47,12,,125,風10,攻擊、防禦,,,mlbb_news_7823.txt
蟲毒魔蟹,金屬系,12,30,32,6,45,,125,水5火5,攻擊、防禦,,,mlbb_news_7823.txt
暴走霸王,金屬系,17,44,12,46,6,,125,火10,攻擊、防禦,,,mlbb_news_7863.txt
毒刺魔鴨,金屬系,38,9,13,19,44,,123,地10,攻擊、防禦,,,mlbb_news_7863.txt
水藍魔鴨,金屬系,38,44,13,19,9,,123,水10,攻擊、防禦,,,mlbb_news_7863.txt
赤目魔鴨,金屬系,44,19,13,38,9,,123,火10,攻擊、防禦,,,mlbb_news_7863.txt
披甲魔鴨,金屬系,19,38,13,44,9,,123,風10,攻擊、防禦,,,mlbb_news_7863.txt
暴走使徒,金屬系,16,6,15,42,46,,125,水10,攻擊、防禦,,,mlbb_news_7863.txt
兔耳精靈箱,金屬系,19,6,12,40,48,,125,水2火8,攻擊、防禦,,,mlbb_news_7913.txt
嚇人精靈箱,金屬系,34,47,17,18,9,,125,火2風8,攻擊、防禦,,,mlbb_news_7913.txt
綠蛙精靈箱,金屬系,18,9,34,17,47,,125,地8風2,攻擊、防禦,,,mlbb_news_7913.txt
地獄亡靈,飛行系,22,24,13,35,26,,120,地2水8,攻擊、防禦,,,mlbb_news_7913.txt
地獄惡魔,飛行系,11,6,17,43,48,,125,地2水8,攻擊、防禦,,,mlbb_news_7913.txt
純白精靈箱,金屬系,17,6,12,40,50,,125,地5風5,攻擊、防禦,,,mlbb_news_7973.txt
藍魔精靈箱,金屬系,47,34,17,18,9,,125,水8火2,攻擊、防禦,,,mlbb_news_7973.txt
紅魔精靈箱,金屬系,34,9,17,18,47,,125,水2火8,攻擊、防禦,,,mlbb_news_7973.txt
格陵蘭虎鯊,飛行系,19,13,15,42,31,,120,地9風1,攻擊、防禦,,,mlbb_news_7993.txt
北海響尾鯊,飛行系,42,31,15,19,13,,120,水9地1,攻擊、防禦,,,mlbb_news_7993.txt
布卡,特殊系,25,21,16,35,26,,123,地8水2,攻擊、防禦,,,mlbb_news_8013.txt
寄生布卡,特殊系,25,16,21,26,35,,123,水8火2,攻擊、防禦,,,mlbb_news_8013.txt
樹精布卡,特殊系,25,26,21,35,16,,123,火8風2,攻擊、防禦,,,mlbb_news_8013.txt
布卡四重奏,特殊系,17,6,17,43,42,,125,地9水1,攻擊、防禦,,,mlbb_news_8013.txt
陣,特殊系,17,6,17,42,43,,125,水9火1,攻擊、防禦,,,mlbb_news_8013.txt
連,特殊系,42,17,17,43,6,,125,火9風1,攻擊、防禦,,,mlbb_news_8013.txt
寒冰牛頭怪,人形系,26,31,24,21,18,,120,水9火1,攻擊、防禦,,,mlbb_news_8033.txt
寒冰牛魔王,人形系,15,47,12,45,6,,125,水9火1,攻擊、防禦,,,mlbb_news_8033.txt
魔法師之鬼,不死系,17,12,16,28,47,,120,地10,攻擊、防禦,,,mlbb_news_8073.txt
曜玉金鵷,飛行系,23,6,10,46,40,,125,火10,攻擊、防禦,,,mlbb_news_8203.txt
雛鳳,飛行系,37,6,13,24,45,,125,水10,攻擊、防禦,,,mlbb_news_8203.txt
暗影鳥人,人形系,15,8,16,44,42,,125,地5風5,攻擊、防禦,,,mlbb_news_8203.txt
月兔卜樂,飛行系,14,24,16,37,34,,125,風10,攻擊、防禦,,,mlbb_news_8253.txt
廣寒仙兔,飛行系,12,8,13,47,45,,125,風10,攻擊、防禦,,,mlbb_news_8253.txt
綠茶麻薯兔兔,特殊系,21,9,33,20,40,,123,地9風1,攻擊、防禦,,,mlbb_news_8253.txt
芋泥麻薯兔兔,特殊系,33,9,20,21,40,,123,地1水9,攻擊、防禦,,,mlbb_news_8253.txt
紅豆麻薯兔兔,特殊系,33,40,20,21,9,,123,水1火9,攻擊、防禦,,,mlbb_news_8253.txt
花生麻薯兔兔,特殊系,40,33,21,20,9,,123,火1風9,攻擊、防禦,,,mlbb_news_8253.txt
白櫻麻薯兔兔,特殊系,42,45,12,20,6,,125,水10,攻擊、防禦,,,mlbb_news_8253.txt
黑醬麻薯兔兔,特殊系,42,6,12,20,45,,125,地10,攻擊、防禦,,,mlbb_news_8253.txt
大地巨龍,龍系,29,22,24,13,32,,120,地10,攻擊、防禦,,,mlbb_news_8294.txt
失翼之龍杜瓦,龍系,40,6,10,19,50,,125,地10,攻擊、防禦,,,mlbb_news_8294.txt
光精靈,特殊系,19,6,12,45,43,,125,風10,攻擊、防禦,,,mlbb_news_8314.txt
冰精靈,特殊系,43,45,12,19,6,,125,水10,攻擊、防禦,,,mlbb_news_8314.txt
木精靈,特殊系,45,6,19,12,43,,125,地10,攻擊、防禦,,,mlbb_news_8364.txt
大地元素使,特殊系,50,4,17,4,50,,125,地10,攻擊、防禦,,,mlbb_news_8364.txt
舞動花妖,植物系,36,12,17,16,39,,120,水5火5,攻擊、防禦,,,mlbb_news_8374.txt
死亡騎士,金屬系,24,16,24,16,40,,120,風10,攻擊、防禦,,,mlbb_news_8464.txt
凱法,金屬系,41,6,12,20,46,,125,風10,攻擊、防禦,,,mlbb_news_8464.txt
猩紅騎士,金屬系,21,36,13,28,22,,120,火10,攻擊、防禦,,,mlbb_news_8464.txt
帕布提斯馬,金屬系,50,30,13,26,6,,125,火10,攻擊、防禦,,,mlbb_news_8464.txt
炎精靈,特殊系,19,45,12,43,6,,125,火10,攻擊、防禦,,,mlbb_news_8484.txt
烈焰元素使,特殊系,17,50,4,50,4,,125,火10,攻擊、防禦,,,mlbb_news_8484.txt
天狼星,野獸系,22,39,15,33,16,,125,地10,攻擊、防禦,,,mlbb_news_8484.txt
綠沼泥,特殊系,31,19,37,13,20,,120,地5風5,攻擊、防禦,,,mlbb_news_8484.txt
岩鐵怪,特殊系,13,33,22,17,35,,120,火9風1,攻擊、防禦,,,mlbb_news_8484.txt
深綠蝙蝠,飛行系,23,31,21,27,18,,120,地7風3,攻擊、防禦,,,mlbb_news_8484.txt
檸檬蝙蝠,飛行系,22,33,21,24,20,,120,風8地2,攻擊、防禦,,,mlbb_news_8484.txt
鑽石蟲,金屬系,11,21,38,17,33,,120,地5風5,攻擊、防禦,,,mlbb_news_8484.txt
黑曜蟲,金屬系,17,21,40,9,33,,120,地7風3,攻擊、防禦,,,mlbb_news_8484.txt
靴怪精靈,特殊系,9,19,23,34,35,,120,地7風3,攻擊、防禦,,,mlbb_news_8484.txt
冰靴精靈,特殊系,9,19,34,23,35,,120,地3水7,攻擊、防禦,,,mlbb_news_8484.txt
風甲蜥蜴,金屬系,35,34,32,12,12,,125,風8地2,攻擊、防禦,,,mlbb_news_8484.txt
赤炎假面,不死系,31,10,22,19,43,,125,火10,攻擊、防禦,,,mlbb_news_8614.txt
巨斧假面,不死系,36,39,21,19,10,,125,火9風1,攻擊、防禦,,,mlbb_news_8614.txt
萬聖南瓜精靈,植物系,18,6,22,31,48,,125,地5風5,攻擊、防禦,,,mlbb_news_8614.txt
晨曦南瓜怪,植物系,15,33,15,45,15,,123,火2風8,攻擊、防禦,,,mlbb_news_8614.txt
白晝南瓜怪,植物系,45,15,33,15,15,,123,地2水8,攻擊、防禦,,,mlbb_news_8614.txt
黃昏南瓜怪,植物系,15,45,15,33,15,,123,水2火8,攻擊、防禦,,,mlbb_news_8614.txt
暮夜南瓜怪,植物系,15,15,45,15,33,,123,地8風2,攻擊、防禦,,,mlbb_news_8614.txt
碧角口袋龍,龍系,12,40,13,18,42,,125,地7風3,攻擊、防禦,,,mlbb_news_8684.txt
綠帽哥布林,人形系,29,41,23,21,11,,125,地8水2,攻擊、防禦,,,mlbb_news_8684.txt
天然寶石鼠,野獸系,12,12,17,39,45,,125,風10,攻擊、防禦,,,mlbb_news_8684.txt
強盾守護,金屬系,36,33,30,13,13,,125,水2火8,攻擊、防禦,,,mlbb_news_8684.txt
逆刃死灰,昆蟲系,40,42,16,14,13,,125,地1水9,攻擊、防禦,,,mlbb_news_8684.txt
地獄魔王,飛行系,23,33,20,27,17,,120,水10,攻擊、防禦,,,mlbb_news_8714.txt
魔王撒旦,飛行系,16,48,11,44,6,,125,水10,攻擊、防禦,,,mlbb_news_8714.txt
山隱仙靈,特殊系,21,10,13,37,44,,125,地10,攻擊、防禦,,,mlbb_news_8764.txt
潮汐仙靈,特殊系,21,10,37,13,44,,125,水10,攻擊、防禦,,,mlbb_news_8764.txt
