扭蛋機地點,物品名稱,機率,等級,耐久,屬性
盲盒25,夜行布卡扭蛋娃娃,3%,,,敏捷+20，抗遺忘+5
盲盒25,丸子炸彈扭蛋娃娃,3.5%,,,敏捷+20，魔攻+20
盲盒25,頑皮炸彈扭蛋娃娃,9.5%,,,防禦-15，魔攻+20
盲盒25,寶貝炸彈扭蛋娃娃,9.5%,,,防禦-15，精神+20
盲盒25,大炸彈扭蛋娃娃,9.5%,,,防禦-15，抗魔+20
盲盒25,漂浮炸彈扭蛋娃娃,9.5%,,,防禦-15，敏捷+20
盲盒25,綠煙扭蛋娃娃,9.5%,,,生命+50，魔力+70，魔攻+10
盲盒25,煙霧扭蛋娃娃,9.5%,,,生命+50，魔力+70，精神+10
盲盒25,煙羅扭蛋娃娃,9.5%,,,生命+50，魔力+70，抗魔+10
盲盒25,棉球扭蛋娃娃,9.5%,,,生命+50，魔力+70，防禦+10
盲盒24,聖誕大公雞扭蛋娃娃,0.5%,,,魔攻+100，抗石化+10，抗昏睡+10，抗毒+10，閃避+10
盲盒24,暗黑大公雞扭蛋娃娃,0.5%,,,攻擊+50，閃避+15，命中+15
盲盒24,高級地靈石,0.5%,,,佩戴後地屬性+3
盲盒24,高級水靈石,0.5%,,,佩戴後水屬性+3
盲盒24,高級火靈石,0.5%,,,佩戴後火屬性+3
盲盒24,高級風靈石,0.5%,,,佩戴後風屬性+3
盲盒24,山賊召喚書,1%,,,使用後可隨機召喚一隻『LV1山賊』作為自己的寵物。
盲盒24,藍拉召喚書,1%,,,使用後可隨機召喚一隻『LV1藍拉』作為自己的寵物。 1%
盲盒24,雛鳥扭蛋娃娃,3%,,,敏捷+20，抗昏睡+10
盲盒24,鴨橋獸扭蛋娃娃,3%,,,敏捷+20，抗酒醉+10
盲盒24,小鴨子扭蛋娃娃,3%,,,敏捷+20，抗遺忘+10
盲盒24,小兔子扭蛋娃娃,3%,,,敏捷+20，抗混亂+10
盲盒24,哈士奇扭蛋娃娃,7%,,,魅力+10，魔力+100
盲盒24,秋田犬扭蛋娃娃,7%,,,魅力+10，生命+100
盲盒24,拉布拉多犬扭蛋娃娃,7%,,,魅力+10，攻擊+25
盲盒24,比格犬扭蛋娃娃,7%,,,魅力+10，防禦+70
盲盒24,大蝙蝠扭蛋娃娃,7%,,,抗毒+5，生命+100
盲盒24,巨蝙蝠扭蛋娃娃,11%,,,抗遺忘+5，生命+100
盲盒24,海蝙蝠扭蛋娃娃,11%,,,抗昏睡+5，生命+100
盲盒24,胖蝙蝠扭蛋娃娃,11%,,,抗混亂+5，生命+100
盲盒24,兔耳蝙蝠扭蛋娃娃,11%,,,抗酒醉+5，生命+100
盲盒23,達哈卡扭蛋娃娃,0.5%,,,生命+300，必殺+10，敏捷-10
盲盒23,紺青騎士扭蛋娃娃,0.5%,,,魔防+300
盲盒23,猩紅鬼靈扭蛋娃娃,1%,,,魔力+500
盲盒23,搗蛋鬼扭蛋娃娃,2%,,,魔防+20，魔攻+20
盲盒23,皮皮鬼扭蛋娃娃,2%,,,魔防+20，攻擊+20
盲盒23,鬧事鬼扭蛋娃娃,2%,,,魔防+20，防禦+20
盲盒23,淘氣鬼扭蛋娃娃,2%,,,魔防+20，敏捷+20
盲盒23,殺人蜂扭蛋娃娃,9%,,,閃躲+5，魔攻+10
盲盒23,異型蜂扭蛋娃娃,9%,,,閃躲+5，命中+5
盲盒23,虎頭蜂扭蛋娃娃,9%,,,閃躲+5，反擊+5
盲盒23,黃蜂扭蛋娃娃,9%,,,閃躲+5，敏捷+10
盲盒23,死亡蜂扭蛋娃娃,9%,,,閃躲+5，必殺+5
盲盒23,螳螂扭蛋娃娃,9%,,,攻擊+10，防禦+10
盲盒23,殺人螳螂扭蛋娃娃,9%,,,攻擊+10，必殺+5
盲盒23,赤目螳螂扭蛋娃娃,9%,,,攻擊+10，命中+5
盲盒23,死灰螳螂扭蛋娃娃,9%,,,攻擊+10，閃躲+5
盲盒23,死灰螳螂扭蛋娃娃,9%,,,攻擊+10，回復+10
盲盒21,閃耀的變異寵寶箱（一）,1%,,,可隨機獲得一隻閃耀的變異寵物
盲盒21,聖誕水藍鼠扭蛋娃娃,1%,,,攻擊+60，魔力+300
盲盒21,聖誕大地鼠扭蛋娃娃,2%,,,防禦+60，魔力+200
盲盒21,聖誕火焰鼠扭蛋娃娃,2%,,,敏捷+30，魔力+200
盲盒21,聖誕寶石鼠扭蛋娃娃,2%,,,攻擊+30，魔力+200
盲盒21,碧燄扭蛋娃娃,2%,,,抗毒+10，回復+20
盲盒21,青燄扭蛋娃娃,2%,,,抗酒醉+10，回復+20
盲盒21,赤燄扭蛋娃娃,2%,,,抗昏睡+10，回復+20
盲盒21,蒼燄扭蛋娃娃,2%,,,抗混亂+10，回復+20
盲盒21,紫燄扭蛋娃娃,2%,,,抗石化+10，回復+20
盲盒21,托羅帝鳥扭蛋娃娃,8.41%,,,敏捷+10，生命+50
盲盒21,岩地跑者扭蛋娃娃,8.4%,,,敏捷+10，防禦+10
盲盒21,火焰啄木鳥扭蛋娃娃,8.4%,,,敏捷+10，攻擊+10
盲盒21,狂奔鳥扭蛋娃娃,8.4%,,,敏捷+10，回復+50
盲盒21,星辰塔試煉寶盒,8.4%,,,可隨機獲得一張試煉許可證
盲盒21,惡魔螃蟹扭蛋娃娃,10%,,,防禦+12，抗石化+4
盲盒21,水晶螃蟹扭蛋娃娃,10%,,,攻擊+12，抗石化+4
盲盒21,鐵剪螃蟹扭蛋娃娃,10%,,,抗魔+12，抗石化+4
盲盒21,黃金螃蟹扭蛋娃娃,10%,,,魔攻+12，抗石化+4
盲盒20,月宮公主扭蛋娃娃,1%,,,魔力+200，命中+10，敏捷+20
盲盒20,水月公主扭蛋娃娃,1%,,,魔力+200，必殺+10，防禦+20
盲盒20,猩紅公主扭蛋娃娃,1%,,,魔力+200，閃避+10，生命+80
盲盒20,風月公主扭蛋娃娃,1%,,,魔力+200，反擊+10，攻擊力+20
盲盒20,珊瑚海豚召喚書,1%,,,使用後可隨機召喚一隻『LV1珊瑚海豚』作為自己的寵物。
盲盒20,山飛甲扭蛋娃娃,3.5%,,,敏捷+20，命中+10
盲盒20,獨角獸扭蛋娃娃,3.5%,,,敏捷+20，必殺+10
盲盒20,天馬扭蛋娃娃,3.5%,,,敏捷+20，反擊+10
盲盒20,麒麟扭蛋娃娃,3.5%,,,敏捷+20，閃避+10
盲盒20,綠色口臭鬼扭蛋娃娃,9%,,,生命+160，防禦+6
盲盒20,黃色口臭鬼扭蛋娃娃,9%,,,生命+160，攻擊+6
盲盒20,藍色口臭鬼扭蛋娃娃,9%,,,生命+160，魔防+6
盲盒20,紅色口臭鬼扭蛋娃娃,9%,,,生命+160，魔攻+6
盲盒20,螳螂扭蛋娃娃,9%,,,攻擊力+10，防禦+10
盲盒20,殺人螳螂扭蛋娃娃,9%,,,攻擊力+10，必殺+5
盲盒20,赤目螳螂扭蛋娃娃,9%,,,攻擊力+10，命中+5
盲盒20,死灰螳螂扭蛋娃娃,9%,,,攻擊力+10，閃躲+5
盲盒20,致命螳螂扭蛋娃娃,9%,,,攻擊力+10，回復+10
盲盒19,烈風牛鬼領主扭蛋娃娃,0.5%,,,閃躲+30，魔攻+80
盲盒19,廣寒仙兔扭蛋娃娃,1%,,,敏捷+30，精神+30
盲盒19,地獄將軍扭蛋娃娃,1%,,,敏捷+30，抗酒醉+15，生命+100，魔力+100
盲盒19,阿魯巴斯扭蛋娃娃,1%,,,回復+30，生命+350
盲盒19,綠先生扭蛋娃娃,1%,,,防禦+20，回復+20，生命+150，抗魔+20
盲盒19,鐮刀魔扭蛋娃娃,1%,,,攻擊+15，魔攻+15，抗毒+5
盲盒19,暗黑僧侶扭蛋娃娃,1%,,,攻擊+15，魔攻+15，抗混亂+5
盲盒19,斬首者扭蛋娃娃,1%,,,攻擊+15，魔攻+15，抗昏睡+5
盲盒19,冥界死神扭蛋娃娃,1%,,,攻擊+15，魔攻+15，抗石化+5
盲盒19,巨人扭蛋娃娃,8%,,,生命+160，閃避+12
盲盒19,單眼巨人扭蛋娃娃,8%,,,生命+160，命中+12
盲盒19,亞特拉斯巨神扭蛋娃娃,8%,,,生命+160，反擊+12
盲盒19,泰坦巨人扭蛋娃娃,8%,,,生命+160，必殺+12
盲盒19,殭屍扭蛋娃娃,11.8%,,,抗毒+10
盲盒19,喪屍扭蛋娃娃,11.8%,,,抗昏睡+10
盲盒19,食屍鬼扭蛋娃娃,11.8%,,,抗遺忘+10
盲盒19,腐屍扭蛋娃娃,11.8%,,,抗酒醉+10
盲盒19,木乃伊扭蛋娃娃,11.8%,,,抗石化+10，抗混亂+10
盲盒18,懷舊樹精扭蛋娃娃,0.5%,,,精神+15，回復+15，魔力+150
盲盒18,櫻花螳螂扭蛋娃娃,0.5%,,,攻擊+30，敏捷+30
盲盒18,黑暗水龍蜥扭蛋娃娃,0.5%,,,攻擊+20，防禦+20，生命+150
盲盒18,赤炎黃蜂扭蛋娃娃,0.5%,,,攻擊+15，敏捷+30
盲盒18,純白史萊姆扭蛋娃娃,0.5%,,,生命+150，防禦+20，回復+15
盲盒18,黃金鼠王扭蛋娃娃,0.5%,,,生命+250，魔力+100，防禦+50，抗魔+50
盲盒18,鼠王扭蛋娃娃,0.5%,,,敏捷+10，魔攻+50
盲盒18,水藍鼠扭蛋娃娃,1%,,,精神+20，魔力+100
盲盒18,西瓜大地鼠扭蛋娃娃,3%,,,命中+15 增加小幅的偷襲率
盲盒18,祭典火焰鼠扭蛋娃娃,3%,,,反擊+15 增加小幅的偷襲率
盲盒18,浮潛惡夢鼠扭蛋娃娃,3%,,,必殺+15 增加小幅的偷襲率
盲盒18,兜風寶石鼠扭蛋娃娃,3%,,,閃避+15 增加小幅的偷襲率
盲盒18,骷髏海盜扭蛋娃娃,5.2%,,,防禦+50，抗石化+10
盲盒18,骷髏戰士扭蛋娃娃,7.2%,,,防禦+10，抗毒+5
盲盒18,血骷髏扭蛋娃娃,7.2%,,,防禦+10，抗昏睡+5
盲盒18,地獄骷髏扭蛋娃娃,7.2%,,,防禦+10，抗遺忘+5
盲盒18,武裝骷髏扭蛋娃娃,7.2%,,,防禦+10，抗酒醉+5
盲盒18,大地鼠扭蛋娃娃,12%,,,防禦+10，魔力+50
盲盒18,惡夢鼠扭蛋娃娃,12.5%,,,回復+10，魔力+50
盲盒18,火焰鼠扭蛋娃娃,12.5%,,,攻擊+10，魔力+50
盲盒18,寶石鼠扭蛋娃娃,12.5%,,,敏捷+10，魔力+50
盲盒17,兔耳嚇人箱召喚書,1%,,,
盲盒17,幻影扭蛋娃娃,1%,,,攻擊+25，必殺+10
盲盒17,旋律影子扭蛋娃娃,1%,,,敏捷+25，必殺+10
盲盒17,闇影扭蛋娃娃,1%,,,防禦+25，必殺+10
盲盒17,陰影扭蛋娃娃,1%,,,生命+150，必殺+10
盲盒17,彩鳳扭蛋娃娃,4.75%,,,魔力+100，必殺+10
盲盒17,雛鳳扭蛋娃娃,4.75%,,,魔力+100，命中+10
盲盒17,赤鳳扭蛋娃娃,4.75%,,,魔力+100，閃避+10
盲盒17,金鳳扭蛋娃娃,4.75%,,,魔力+100，閃避+10
盲盒17,強襲地雷扭蛋娃娃,8%,,,攻擊+20，敏捷-20，抗遺忘+10，魔力+100
盲盒17,魔術地雷扭蛋娃娃,8%,,,攻擊+20，敏捷-20，抗昏睡+10，魔力+100
盲盒17,閃光地雷扭蛋娃娃,8%,,,攻擊+20，敏捷-20，抗石化+10，魔力+100
盲盒17,闇影地雷扭蛋娃娃,8%,,,攻擊+20，敏捷-20，抗混亂+10，魔力+100
盲盒17,散步花妖扭蛋娃娃,11%,,,攻擊力+10，魔攻+30
盲盒17,舞動花妖扭蛋娃娃,11%,,,敏捷+10，魔攻+30
盲盒17,蝴蝶花妖扭蛋娃娃,11%,,,防禦+10，魔攻+30
盲盒17,藍鑽花妖扭蛋娃娃,11%,,,精神+10，魔攻+30
盲盒16,魔術機甲ROX扭蛋娃娃,1%,,,敏捷-30，抗昏睡+15，攻擊+30，魔力+200
盲盒16,闇影機甲NXT扭蛋娃娃,1%,,,敏捷-30，抗混亂+15，攻擊+30，魔力+200
盲盒16,閃光機甲AEX扭蛋娃娃,1%,,,敏捷-30，抗石化+15，攻擊+30，魔力+200
盲盒16,強襲機甲LMX扭蛋娃娃,1%,,,敏捷-30，抗遺忘+15，攻擊+30，魔力+200
盲盒16,哥布林扭蛋娃娃,6%,,,生命+100，反擊+5
盲盒16,紅帽哥布林扭蛋娃娃,6%,,,生命+100，命中+5
盲盒16,烈風哥布林扭蛋娃娃,6%,,,生命+100，閃躲+5
盲盒16,火焰哥布林扭蛋娃娃,6%,,,生命+100，必殺+5
盲盒16,達傑烏魯姆扭蛋娃娃,12%,,,敏捷-10，防禦+20，生命+80
盲盒16,多刺甲龍扭蛋娃娃,12%,,,敏捷-10，防禦+20，魔力+40
盲盒16,板龍扭蛋娃娃,12%,,,敏捷-10，防禦+50
盲盒16,水殼龍扭蛋娃娃,12%,,,敏捷-10，防禦+20，魔力+40
盲盒16,土甲龍扭蛋娃娃,12%,,,敏捷-10，防禦+20，精神+10
盲盒16,赤甲黃尾龍扭蛋娃娃,12%,,,敏捷-10，防禦+20，回復+10
盲盒15,雷霆之怒扭蛋娃娃,,,,魔力-50，魔攻+25
盲盒15,破曉之刃扭蛋娃娃,,,,魔力-50，精神+25
盲盒15,一尾狐扭蛋娃娃,,,,魅力+10，魔攻+10
盲盒15,三尾狐扭蛋娃娃,,,,魅力+20，魔攻+20
盲盒15,五尾狐扭蛋娃娃,,,,魅力+30，魔攻+30
盲盒15,殺人蜂扭蛋娃娃,,,,魔功+10，閃躲+5
盲盒15,異型蜂扭蛋娃娃,,,,命中+5，閃躲+5
盲盒15,虎頭蜂扭蛋娃娃,,,,反擊+5，閃躲+5
盲盒15,黃蜂扭蛋娃娃,,,,敏捷+10，閃躲+5
盲盒15,死亡蜂扭蛋娃娃,,,,必殺+5，閃躲+5
盲盒15,螳螂扭蛋娃娃,,,,攻擊力+10，防禦+10
盲盒15,殺人螳螂扭蛋娃娃,,,,攻擊力+10，必殺+5
盲盒15,赤目螳螂扭蛋娃娃,,,,攻擊力+10，命中+5
盲盒15,死灰螳螂扭蛋娃娃,,,,攻擊力+10，閃躲+5
盲盒15,致命螳螂扭蛋娃娃,,,,攻擊力+10，回復+10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",兔耳嚇人箱扭蛋娃娃,4%,5,150,精神50魔攻10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",綠娃嚇人箱扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",嚇人箱扭蛋娃娃,4%,4,150,精神+10魔攻+50
"樂透聯動款盲盒（冒險者旅館2樓27,6）",改造殭屍扭蛋娃娃,4%,4,100,抗酒醉20抗毒20
"樂透聯動款盲盒（冒險者旅館2樓27,6）",黑暗僧侶扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",斬首者扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",冥界死神扭蛋娃娃,4%,4,100,攻擊15魔攻15抗石化5
"樂透聯動款盲盒（冒險者旅館2樓27,6）",鐮刀魔扭蛋娃娃,4%,4,100,攻擊15魔攻15抗毒5
"樂透聯動款盲盒（冒險者旅館2樓27,6）",地精扭蛋娃娃,4%,4,100,攻擊10防禦10魔力30魔攻10抗魔10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",水精扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",火精扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",風精扭蛋娃娃,4%,4,100,攻擊10防禦10敏捷5魔攻10抗魔10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",丸子炸彈扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",水藍鼠扭蛋娃娃,4%,4,100,精神20魔力100
"樂透聯動款盲盒（冒險者旅館2樓27,6）",依格羅斯扭蛋娃娃,4%,4,100,敏捷25回復20
"樂透聯動款盲盒（冒險者旅館2樓27,6）",獅鷲獸扭蛋娃娃,4%,4,100,敏捷25生命100
"樂透聯動款盲盒（冒險者旅館2樓27,6）",變種獅鷲獸扭蛋娃娃,4%,5,100,防禦20敏捷40
"樂透聯動款盲盒（冒險者旅館2樓27,6）",佈雷歐扭蛋娃娃,4%,5,100,攻擊20敏捷40
"樂透聯動款盲盒（冒險者旅館2樓27,6）",陰影扭蛋娃娃,4%,4,100,必殺10生命150
"樂透聯動款盲盒（冒險者旅館2樓27,6）",闇影扭蛋娃娃,4%,4,100,防禦25必殺10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",旋律影子扭蛋娃娃,4%,4,100,敏捷25必殺10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",幻影扭蛋娃娃,4%,4,100,攻擊25必殺10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",巨狼扭蛋娃娃,4%,4,100,攻擊20抗昏睡10
"樂透聯動款盲盒（冒險者旅館2樓27,6）",丘比特扭蛋娃娃,4%,,,
"樂透聯動款盲盒（冒險者旅館2樓27,6）",貓熊扭蛋娃娃,4%,,,
盲盒5,血腥騎士扭蛋娃娃,1%,,,生命+100魔力+100抗昏睡+15防禦+30
盲盒5,地獄騎士扭蛋娃娃,1%,,,生命+100魔力+100抗混亂+15魔防+30
盲盒5,死神扭蛋娃娃,1%,,,生命+100魔力+100抗遺忘+15魔攻+30
盲盒5,櫻花螳螂扭蛋娃娃,1%,,,攻擊+30，敏捷+30
盲盒5,小白龍扭蛋娃娃,1%,,,敏捷+40，閃避+15
盲盒5,穴龍扭蛋娃娃,6%,,,敏捷+10，命中+5
盲盒5,口袋龍扭蛋娃娃,6%,,,生命+100，反擊+5
盲盒5,迷你龍扭蛋娃娃,6%,,,生命+100，迴避+5
盲盒5,雛龍扭蛋娃娃,6%,,,生命+100，必殺+5
盲盒5,死灰螳螂扭蛋娃娃,12%,,,攻擊+10，閃避+5
盲盒5,螳螂扭蛋娃娃,12%,,,攻擊+10，防禦+10
盲盒5,殺人螳螂扭蛋娃娃,12%,,,攻擊+10，必殺+5
盲盒5,赤目螳螂扭蛋娃娃,12%,,,攻擊+10，命中+5
盲盒5,致命螳螂扭蛋娃娃,12%,,,攻擊+10，回復+10
盲盒6,無頭將軍扭蛋娃娃,1%,,,生命+100魔力+100抗石化+15精神+30
盲盒6,狂戰將軍扭蛋娃娃,1%,,,生命+100魔力+100抗毒+15攻擊+30
盲盒6,地獄將軍扭蛋娃娃,1%,,,生命+100魔力+100抗酒醉+15敏捷+30
盲盒6,黃金鼠王扭蛋娃娃,1%,,,生命+250，魔力+100，防禦+50，魔防+50
盲盒6,鼠王扭蛋娃娃,1%,,,魔攻+50，敏捷+10
盲盒6,水藍鼠扭蛋娃娃,6%,,,魔力+100，精神+20
盲盒6,大地鼠扭蛋娃娃,6%,,,魔力+50，防禦+10
盲盒6,惡夢鼠扭蛋娃娃,6%,,,魔力+50，回復+10
盲盒6,火焰鼠扭蛋娃娃,6%,,,魔力+50，攻擊+10
盲盒6,寶石鼠扭蛋娃娃,8%,,,魔力+50，敏捷+10
盲盒6,幽靈扭蛋娃娃,12%,,,魔攻+10；生命+50
盲盒6,鬼靈扭蛋娃娃,12%,,,魔攻+10；精神+10
盲盒6,亡靈扭蛋娃娃,12%,,,魔攻+10；防禦+10
盲盒6,死靈扭蛋娃娃,12%,,,魔攻+10；魔防+10
盲盒9,艾汀扭蛋娃娃,1%,,,生命+150反擊+15閃避+15
盲盒9,諾利扭蛋娃娃,1%,,,生命+150反擊+15命中+15
盲盒9,血腥之刃扭蛋娃娃,5%,,,必殺+10
盲盒9,殺龍之刃扭蛋娃娃,5%,,,命中+10
盲盒9,火焰之刃扭蛋娃娃,5%,,,閃避+10
盲盒9,烈風之刃扭蛋娃娃,5%,,,反擊+10
盲盒9,土蜘蛛扭蛋娃娃,9.5%,,,魔攻+10；抗毒+5
盲盒9,水蜘蛛扭蛋娃娃,9.5%,,,魔攻+10；抗昏睡+5
盲盒9,火蜘蛛扭蛋娃娃,9.5%,,,魔攻+10；抗遺忘+5
盲盒9,風蜘蛛扭蛋娃娃,9.5%,,,魔攻+10；抗混亂+5
盲盒9,大型半獸人扭蛋娃娃,9.5%,,,生命+50，防禦+10，攻擊+5
盲盒9,豬鬼扭蛋娃娃,9.5%,,,生命+50，防禦+10，回復+5
盲盒9,鋼鬼扭蛋娃娃,9.5%,,,生命+50，防禦+10，魔防+5
盲盒9,半獸人扭蛋娃娃,9.5%,,,生命+50，防禦+10，敏捷+5
盲盒11,見習戰斧露比扭蛋娃娃,2%,,,魔力+100抗毒+10
盲盒11,見習弓箭手露比扭蛋娃娃,2%,,,魔力+100抗昏睡+10
盲盒11,見習格鬥家露比扭蛋娃娃,2%,,,魔力+100抗石化+10
盲盒11,見習劍士露比扭蛋娃娃,2%,,,魔力+100抗酒醉+10
盲盒11,見習巫師露比扭蛋娃娃,2%,,,魔力+100抗混亂+10
盲盒11,見習騎士露比扭蛋娃娃,2%,,,魔力+100抗遺忘+10
盲盒11,鳥人扭蛋娃娃,8.1%,,,魔力+50，敏捷+10
盲盒11,幻歌妖扭蛋娃娃,8.1%,,,魔力+50，回復+10
盲盒11,狠毒鳥人扭蛋娃娃,8.1%,,,魔力+50，防禦+10
盲盒11,烈風鳥人扭蛋娃娃,8.1%,,,魔力+50，魔防+10
盲盒11,黑暗鳥人扭蛋娃娃,8.1%,,,魔力+50，魔攻+10
盲盒11,大蝙蝠扭蛋娃娃,9.5%,,,生命+100，抗毒+5
盲盒11,巨蝙蝠扭蛋娃娃,9.5%,,,生命+100，抗遺忘+5
盲盒11,海蝙蝠扭蛋娃娃,9.5%,,,生命+100，抗昏睡+5
盲盒11,胖蝙蝠扭蛋娃娃,9.5%,,,生命+100，抗混亂+5
盲盒11,兔耳蝙蝠扭蛋娃娃,9.5%,,,生命+100，抗酒醉+5
盲盒12,酒仙歐茲那克扭蛋娃娃,1%,,,攻擊+50魔力+200
盲盒12,鬥神歐茲尼克扭蛋娃娃,1%,,,攻擊+50敏捷+20閃避+10
盲盒12,丸子炸彈扭蛋娃娃,2%,,,敏捷+20，魔攻+20
盲盒12,頑皮炸彈扭蛋娃娃,8%,,,防禦-15，魔攻+20
盲盒12,寶貝炸彈扭蛋娃娃,8%,,,防禦-15，精神+20
盲盒12,大炸彈扭蛋娃娃,8%,,,防禦-15，魔防+20
盲盒12,漂浮炸彈扭蛋娃娃,8%,,,防禦-15，敏捷+20
盲盒12,托羅帝鳥扭蛋娃娃,8%,,,敏捷+10，生命+50
盲盒12,岩地跑者扭蛋娃娃,8%,,,敏捷+10，防禦+10
盲盒12,火焰啄木鳥扭蛋娃娃,8%,,,敏捷+10，攻擊+10
盲盒12,狂奔鳥扭蛋娃娃,8%,,,敏捷+10，回復+10
盲盒12,岩怪扭蛋娃娃,8%,,,敏捷-5，防禦+15，生命+100
盲盒12,爆岩扭蛋娃娃,8%,,,敏捷-5，防禦+25
盲盒12,熔岩扭蛋娃娃,8%,,,敏捷-5，防禦+15，魔力+50
盲盒12,影岩扭蛋娃娃,8%,,,敏捷-5，防禦+15，回復+10
盲盒13,烈風牛頭怪扭蛋娃娃,1%,,,魔攻+30，閃避+15
盲盒13,萬兩招財貓扭蛋娃娃,1.5%,,,魅力+30，魔攻+30，精神+30
盲盒13,千兩招財貓扭蛋娃娃,2.5%,,,魅力+20，魔攻+20，精神+20
盲盒13,百兩招財貓扭蛋娃娃,3%,,,魅力+10，魔攻+10，精神+10
盲盒13,穴龍扭蛋娃娃,7%,,,敏捷+10，命中+5
盲盒13,口袋龍扭蛋娃娃,7%,,,生命+100，反擊+5
盲盒13,迷你龍扭蛋娃娃,7%,,,生命+100，迴避+5
盲盒13,雛龍扭蛋娃娃,7%,,,生命+100，必殺+5
盲盒13,哥布林扭蛋娃娃,7%,,,生命+100，反擊+5
盲盒13,紅帽哥布林扭蛋娃娃,7%,,,生命+100，命中+5
盲盒13,烈風哥布林扭蛋娃娃,7%,,,生命+100，閃避+5
盲盒13,火焰哥布林扭蛋娃娃,7%,,,生命+100，必殺+5
盲盒13,綠沼泥扭蛋娃娃,6%,,,魔攻+10，攻擊+15
盲盒13,百變雪怪扭蛋娃娃,6%,,,魔攻+10，精神+15
盲盒13,岩鐵怪扭蛋娃娃,6%,,,魔攻+10，敏捷+15
盲盒13,玫瑰毒怪扭蛋娃娃,6%,,,魔攻+10，防禦+15
盲盒13,深淵魔怪扭蛋娃娃,6%,,,魔攻+10，生命+50
盲盒13,赤目腐泥扭蛋娃娃,6%,,,魔攻+10，魔力+50
