日期,類別,重點標記,開放內容說明,公告,解析寵物數,公告連結
2025-06-23,活動／營運,,,6月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15524.html)
2025-06-18,活動／營運,,,6月19日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15514.html)
2025-06-12,活動／營運,,,【魔力寶貝：永恆初心】帳號安全升級,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15434.html)
2025-06-11,寵物／秘寶,,,霸王啾啾失踪事件 勇闖深海遺跡,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15414.html)
2025-06-11,活動／營運,新任務,開放任務：黑潮遺跡,6月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15404.html)
2025-06-09,賽事,,,PVP爭霸賽第15期正式開啟,2,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15394.html)
2025-06-06,寵物／秘寶,,,命運雙子 共譜星辰之路,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-06-04,活動／營運,,,6月5日不維護停機公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15374.html)
2025-05-30,地圖／任務,,,關於星墜山迷宮異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15364.html)
2025-05-28,寵物／秘寶,,,龍舟傳祝福 龍祖山激鬥,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15344.html)
2025-05-28,活動／營運,限時任務,開放限時任務：端午節活動,5月29日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15334.html)
