名稱,分類,子分類,等級,耐久度,生命,魔力,攻擊,防禦,敏捷,精神,回復,命中,必殺,反擊,閃避,魔攻,魔防,抗毒,抗睡,抗石,抗昏,抗混,抗醉,特殊功能,相關任務,入手方式,image,新聞來源
爭霸賽第四期亞軍頭飾,頭飾,頭飾,,,200-250,150-200,15-40,15-40,,15-40,,5-10,,,5-10,,,,,,,,,綁定,,PVP爭霸賽第四期亞軍獎勵,,mlbb_news_10114.txt
爭霸賽第四期4強頭飾,頭飾,頭飾,,,150-200,100-150,5-30,5-30,,5-30,,1-10,,,1-10,,,,,,,,,綁定,,PVP爭霸賽第四期4強獎勵,,mlbb_news_10114.txt
爭霸賽第四期8強頭飾,頭飾,頭飾,,,100-150,50-100,1-20,1-20,,1-20,,1-8,,,1-8,,,,,,,,,綁定,,PVP爭霸賽第四期8強獎勵,,mlbb_news_10114.txt
爭霸賽第四期16強頭飾,頭飾,頭飾,,,50-100,10-50,1-15,1-15,,1-15,,1-6,,,1-6,,,,,,,,,綁定,,PVP爭霸賽第四期16強獎勵,,mlbb_news_10114.txt
爭霸賽第四期32強頭飾,頭飾,頭飾,,,10-70,10-50,1-10,1-10,,1-10,,1-4,,,1-4,,,,,,,,,綁定,,PVP爭霸賽第四期32強獎勵,,mlbb_news_10114.txt
勝利女神召喚書,消耗品,召喚書,,,,,,,,,,,,,,,,,,,,,,召喚寵物勝利女神,,爭霸賽第四期冠軍寶箱、爭霸賽第四期亞軍寶箱（概率30%）,,mlbb_news_10114.txt
利刃勇士召喚書,消耗品,召喚書,,,,,,,,,,,,,,,,,,,,,,召喚寵物利刃勇士,,爭霸賽第四期亞軍寶箱（概率70%）、爭霸賽第四期4強寶箱、爭霸賽第四期8強寶箱（概率30%）,,mlbb_news_10114.txt
伏葉妖精召喚書,消耗品,召喚書,,,,,,,,,,,,,,,,,,,,,,召喚寵物伏葉妖精,,爭霸賽第四期8強寶箱（概率70%）、爭霸賽第四期16強寶箱,,mlbb_news_10114.txt
爭霸賽第四期冠軍寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期冠軍,,mlbb_news_10114.txt
爭霸賽第四期亞軍寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期亞軍,,mlbb_news_10114.txt
爭霸賽第四期4強寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期4強,,mlbb_news_10114.txt
爭霸賽第四期8強寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期8強,,mlbb_news_10114.txt
爭霸賽第四期16強寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期16強,,mlbb_news_10114.txt
爭霸賽第四期32強寶箱,禮包,寶箱,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期32強,,mlbb_news_10114.txt
神奇原石,材料,原石,,,,,,,,,,,,,,,,,,,,,,,,PVP爭霸賽第四期各名次寶箱,,mlbb_news_10114.txt
12級寵物裝備,寵物裝備,寵物裝備,12,,,,,,,,,,,,,,,,,,,,,,,爭霸賽第四期冠軍寶箱、爭霸賽第四期亞軍寶箱,,mlbb_news_10114.txt
11級寵物裝備,寵物裝備,寵物裝備,11,,,,,,,,,,,,,,,,,,,,,,,爭霸賽第四期4強寶箱,,mlbb_news_10114.txt
10級寵物裝備,寵物裝備,寵物裝備,10,,,,,,,,,,,,,,,,,,,,,,,爭霸賽第四期8強寶箱、爭霸賽第四期16強寶箱,,mlbb_news_10114.txt
大瓶技能經驗藥水,消耗品,藥水,,,,,,,,,,,,,,,,,,,,,,增加技能經驗,,PVP爭霸賽第四期各名次寶箱,,mlbb_news_10114.txt
晨曦南瓜怪寶箱,寶箱,,,,,,,,,,,,,,,,,,,,,,,隨機獲得炎魔龍骨召喚書卡(0.05%)、萬聖鬼斧召喚書(0.1%)、萬聖食屍鬼召喚書(0.5%)、2024萬聖節南瓜頭(1%)、晨曦南瓜怪召喚書(3.35%)、初心者活力飲料(5%)、嫉妒女神蘋果(10%)、不死系變身卡抽抽樂(20%)、棒棒糖(30%)、誘魔香(30%),,萬聖節活動「午夜狂歡 萬鬼夜行」,,mlbb_news_14144.txt
白曦南瓜怪寶箱,寶箱,,,,,,,,,,,,,,,,,,,,,,,隨機獲得炎魔龍骨召喚書卡(0.05%)、萬聖鬼斧召喚書(0.1%)、萬聖食屍鬼召喚書(0.5%)、2024萬聖節南瓜頭(1%)、白曦南瓜怪召喚書(3.35%)、初心者活力飲料(5%)、嫉妒女神蘋果(10%)、不死系變身卡抽抽樂(20%)、棒棒糖(30%)、誘魔香(30%),,萬聖節活動「午夜狂歡 萬鬼夜行」,,mlbb_news_14144.txt
黃昏南瓜怪寶箱,寶箱,,,,,,,,,,,,,,,,,,,,,,,隨機獲得炎魔龍骨召喚書卡(0.05%)、萬聖鬼斧召喚書(0.1%)、萬聖食屍鬼召喚書(0.5%)、2024萬聖節南瓜頭(1%)、黃昏昏南瓜怪召喚書(3.35%)、初心者活力飲料(5%)、嫉妒女神蘋果(10%)、不死系變身卡抽抽樂(20%)、棒棒糖(30%)、誘魔香(30%),,萬聖節活動「午夜狂歡 萬鬼夜行」,,mlbb_news_14144.txt
暮夜南瓜怪寶箱,寶箱,,,,,,,,,,,,,,,,,,,,,,,隨機獲得炎魔龍骨召喚書卡(0.05%)、萬聖鬼斧召喚書(0.1%)、萬聖食屍鬼召喚書(0.5%)、2024萬聖節南瓜頭(1%)、暮夜南瓜怪召喚書(3.35%)、初心者活力飲料(5%)、嫉妒女神蘋果(10%)、不死系變身卡抽抽樂(20%)、棒棒糖(30%)、誘魔香(30%),,萬聖節活動「午夜狂歡 萬鬼夜行」,,mlbb_news_14144.txt
炎魔龍骨召喚書卡,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物炎魔龍骨,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率0.05%）,,mlbb_news_14144.txt
萬聖鬼斧召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物萬聖鬼斧,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率0.1%）,,mlbb_news_14144.txt
萬聖食屍鬼召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物萬聖食屍鬼,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率0.5%）,,mlbb_news_14144.txt
2024萬聖節南瓜頭,頭飾,,,,,,,,,,,,,,,,,,,,,,,萬聖節限定頭飾,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率1%）,,mlbb_news_14144.txt
晨曦南瓜怪召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物晨曦南瓜怪,,開啟晨曦南瓜怪寶箱獲得（概率3.35%）,,mlbb_news_14144.txt
白曦南瓜怪召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物白曦南瓜怪,,開啟白曦南瓜怪寶箱獲得（概率3.35%）,,mlbb_news_14144.txt
黃昏昏南瓜怪召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物黃昏昏南瓜怪,,開啟黃昏南瓜怪寶箱獲得（概率3.35%）,,mlbb_news_14144.txt
暮夜南瓜怪召喚書,召喚書,,,,,,,,,,,,,,,,,,,,,,,召喚/獲得寵物暮夜南瓜怪,,開啟暮夜南瓜怪寶箱獲得（概率3.35%）,,mlbb_news_14144.txt
初心者活力飲料,消耗品,,,,,,,,,,,,,,,,,,,,,,,恢復活力,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率5%）,,mlbb_news_14144.txt
嫉妒女神蘋果,消耗品,,,,,,,,,,,,,,,,,,,,,,,,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率10%）,,mlbb_news_14144.txt
不死系變身卡抽抽樂,消耗品,,,,,,,,,,,,,,,,,,,,,,,抽取不死系變身卡,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率20%）,,mlbb_news_14144.txt
棒棒糖,消耗品,,,,,,,,,,,,,,,,,,,,,,,,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率30%）,,mlbb_news_14144.txt
誘魔香,消耗品,,,,,,,,,,,,,,,,,,,,,,,吸引怪物登場,,開啟晨曦/白曦/黃昏/暮夜南瓜怪寶箱獲得（概率30%）,,mlbb_news_14144.txt
鐮刀魔設計圖ABCDE,設計圖,,,,,,,,,,,,,,,,,,,,,,,改造鐮刀魔所需材料 (ABCDE*1),,萬聖節活動 / 提交給NPC裘瑟貝改造寵物,,mlbb_news_14144.txt
暗黑僧侶設計圖ABCDE,設計圖,,,,,,,,,,,,,,,,,,,,,,,改造暗黑僧侶所需材料 (ABCDE*1),,萬聖節活動 / 提交給NPC裘瑟貝改造寵物,,mlbb_news_14144.txt
斬首者設計圖ABCDE,設計圖,,,,,,,,,,,,,,,,,,,,,,,改造斬首者所需材料 (ABCDE*1),,萬聖節活動 / 提交給NPC裘瑟貝改造寵物,,mlbb_news_14144.txt
冥界死神設計圖ABCDE,設計圖,,,,,,,,,,,,,,,,,,,,,,,改造冥界死神所需材料 (ABCDE*1),,萬聖節活動 / 提交給NPC裘瑟貝改造寵物,,mlbb_news_14144.txt
留言板專用筆,道具,,,,,,,,,,,,,,,,,,,,,,,使用該筆可在指定留言板留言投稿20週年祝福語,,完成每個島主的任務後贈送,,mlbb_news_5313.txt
鼠王勛章,道具,,,,,,,,,,,,,,,,,,,,,,,,,指定留言板留言數量達到15個與20個時獲得,,mlbb_news_5313.txt
20週年紀念幣,代幣,,,,,,,,,,,,,,,,,,,,,,,,,完成島主任務或指定留言板留言累積達成獎勵,,mlbb_news_5313.txt
第二難關傳送卷,傳送卷,,,,,,,,,,,,,,,,,,,,,,,,,「那些年我們共渡的難關！」第一難關首次通關獎勵,,mlbb_news_5353.txt
第三難關傳送卷,傳送卷,,,,,,,,,,,,,,,,,,,,,,,,,「那些年我們共渡的難關！」第二難關首次通關獎勵,,mlbb_news_5353.txt
第四難關傳送卷,傳送卷,,,,,,,,,,,,,,,,,,,,,,,,,「那些年我們共渡的難關！」第三難關首次通關獎勵,,mlbb_news_5353.txt
第五難關傳送卷,傳送卷,,,,,,,,,,,,,,,,,,,,,,,,,「那些年我們共渡的難關！」第四難關首次通關獎勵,,mlbb_news_5353.txt
20週年紀念幣,代幣,,,,,,,,,,,,,,,,,,,,,,,,,通關「那些年我們共渡的難關！」各難關獲得,,mlbb_news_5353.txt
幻影召喚書,道具,,,,,,,,,,,,,,,,,,,,,,,使用後可召喚『LV1 幻影』作為自己的寵物。,,開啟勇者商城限時禮盒獲得（概率 2%）,,mlbb_news_5763.txt
深邃幻影設計圖 A,道具,,,,,,,,,,,,,,,,,,,,,,,用於改造幻影的其中一張設計圖，攜帶 5 張不同的設計圖和 1 隻 1 等幻影可以找裘瑟貝進行改造。,,開啟勇者商城限時禮盒獲得（概率 3%）,,mlbb_news_5763.txt
深邃幻影設計圖 B,道具,,,,,,,,,,,,,,,,,,,,,,,用於改造幻影的其中一張設計圖，攜帶 5 張不同的設計圖和 1 隻 1 等幻影可以找裘瑟貝進行改造。,,開啟勇者商城限時禮盒獲得（概率 3%）,,mlbb_news_5763.txt
深邃幻影設計圖 C,道具,,,,,,,,,,,,,,,,,,,,,,,用於改造幻影的其中一張設計圖，攜帶 5 張不同的設計圖和 1 隻 1 等幻影可以找裘瑟貝進行改造。,,開啟勇者商城限時禮盒獲得（概率 3%）,,mlbb_news_5763.txt
深邃幻影設計圖 D,道具,,,,,,,,,,,,,,,,,,,,,,,用於改造幻影的其中一張設計圖，攜帶 5 張不同的設計圖和 1 隻 1 等幻影可以找裘瑟貝進行改造。,,開啟勇者商城限時禮盒獲得（概率 3%）,,mlbb_news_5763.txt
深邃幻影設計圖 E,道具,,,,,,,,,,,,,,,,,,,,,,,用於改造幻影的其中一張設計圖，攜帶 5 張不同的設計圖和 1 隻 1 等幻影可以找裘瑟貝進行改造。,,開啟勇者商城限時禮盒獲得（概率 3%）,,mlbb_news_5763.txt
鐵牛 A 活力飲料,道具,,,,,,,,,,,,,,,,,,,,,,,增加卡時 1 小時，卡時最多為 6 小時，已滿 6 小時後使用無效。,,開啟勇者商城限時禮盒獲得（概率 5%）,,mlbb_news_5763.txt
驅魔香,道具,,,,,,,,,,,,,,,,,,,,,,,散發一種讓魔族難以靠近的氣味，從而減少遭遇魔族的機會。降低 300 步內的遇敵概率。,,開啟勇者商城限時禮盒獲得（概率 13%）,,mlbb_news_5763.txt
誘魔香,道具,,,,,,,,,,,,,,,,,,,,,,,散發一種能吸引魔族靠近的氣味，從而增加遭遇魔族的機會。增加 500 步內的遇敵概率。,,開啟勇者商城限時禮盒獲得（概率 15%）,,mlbb_news_5763.txt
嫉妒女神蘋果（綁）,道具,,,,,,,,,,,,,,,,,,,,,,,吃一個可以增加 80 點左右的聲望，且不受每天聲望上限限制。,,開啟勇者商城限時禮盒獲得（概率 20%）,,mlbb_news_5763.txt
幻影變身卡,道具,,,,,,,,,,,,,,,,,,,,,,,使用後角色形象變成幻影，重新登入伺服器可恢復原樣。,,開啟勇者商城限時禮盒獲得（概率 30%）,,mlbb_news_5763.txt
