技能,適用,分類,最高等級,備註,簡介,學習資訊,價格
隕石魔法,人物,屬性攻擊魔法,12,,對敵單體使用地屬性魔法,"晚上時到芙蕾雅(298,148)跟神木說話 回答「魔術」就能進入魔女之家 找魔術師比爾艾特學習",100G
冰凍魔法,人物,屬性攻擊魔法,12,,對敵單體使用水屬性魔法,"晚上時到芙蕾雅(298,148)跟神木說話 回答「魔術」就能進入魔女之家 找魔術師班裘學習",100G
火焰魔法,人物,屬性攻擊魔法,12,,對敵單體使用火屬性魔法,"晚上時到芙蕾雅(298,148)跟神木說話 回答「魔術」就能進入魔女之家 找魔術師多薩德學習",100G
風刃魔法,人物,屬性攻擊魔法,12,,對敵單體使用風屬性魔法,"晚上時到芙蕾雅(298,148)跟神木說話 回答「魔術」就能進入魔女之家 找魔術師帕索比亞納學習",100G
吸血魔法,人物,屬性攻擊魔法,12,,將給予對象損傷的一半，轉換為自己的生命值 (吸血魔法傷害值決定於水晶屬性),打倒法爾肯後找天書就可以學習 請參考 沒落的村莊 任務,10000G
強力隕石魔法,人物,屬性攻擊魔法,12,,對敵單體及其周圍使用地屬性的魔法 (攻擊範圍為T字型),"亞留特村(588,50) 村子內座標(32,65)找魔術師希萊安學習",100G
強力冰凍魔法,人物,屬性攻擊魔法,12,,對敵單體及其周圍使用水屬性的魔法 (攻擊範圍為T字型),"亞留特村(588,50) 村子內座標(56,53)冰的使者達裡歐",100G
強力火焰魔法,人物,屬性攻擊魔法,12,,對敵單體及其周圍使用火屬性的魔法 (攻擊範圍為T字型)?,"聖拉魯卡村(135,219) 賽謝利亞酒吧(39,70)找火的使者希達學習",100G
強力風刃魔法,人物,屬性攻擊魔法,12,,對敵單體及其周圍使用風屬性的魔法 (攻擊範圍為T字型)?,"聖拉魯卡村(135,219) 民家(24,48)找風的使者尤利魯學習",100G
超強隕石魔法,人物,屬性攻擊魔法,12,,對敵一側全體使用地屬性的魔法 (全體性攻擊魔法),"索奇亞島加納村(703,148) 民家(34,53)魔術師葛拉",5000G
超強冰凍魔法,人物,屬性攻擊魔法,12,,對敵一側全體使用水屬性的魔法 (全體性攻擊魔法),"索奇亞島加納村(703,148) 民家(34,53)魔術師寇茲(13,7)",5000G
超強火焰魔法,人物,屬性攻擊魔法,12,,對敵一側全體使用火屬性的魔法 (全體性攻擊魔法),"索奇亞島加納村(703,148) 民家(34,53)魔術師露露(16,9)",5000G
超強風刃魔法,人物,屬性攻擊魔法,12,,對敵一側全體使用風屬性的魔法 (全體性攻擊魔法),"索奇亞島加納村(703,148) 民家(34,53)魔術師弗葛(16,11)",5000G
精神衝擊波,人物,屬性攻擊魔法,12,,把精神轉換為攻擊力對一橫排攻擊，會因怪獸數量影響損傷。損傷同時包含著魔法與物理兩方面的損傷 類似迴力鏢,"雪拉威森塔92F(66,109)茵凡雷斯 請參考 解咒之藥 任務",6000G
石化魔法,人物,狀態變化魔法,12,,使對象變成石化狀態而無法行動， 石化狀態中，所有損傷都會降低。 技能等級影響石化回合數,"芙蕾雅島法蘭城(120,65) 找喜歡石頭的鋼鐵客學習",100G
遺忘魔法,人物,狀態變化魔法,12,,使對象隨機遺忘某些指令與技能。 技能等級影響遺忘回合數,"芙蕾雅島法蘭城(166,18) 找健忘的阿貝爾學習",100G
混亂魔法,人物,狀態變化魔法,12,,使對象產生混亂， 不能確定動作或隨機選定目標攻擊。 技能等級影響混亂回合數,"芙蕾雅島法蘭城 科特利亞酒吧(219,136) 喜歡騷動的卡爾(18,8)",100G
酒醉魔法,人物,狀態變化魔法,12,,使對象陷入酒醉狀態， 每回合減少一定比例魔力。 技能等級影響酒醉回合數,"芙蕾雅島法蘭城 安其摩酒吧(102,131) 宿醉的亞克(25,6)",100G
中毒魔法,人物,狀態變化魔法,12,,使對象中毒， 每一回合減少一定比例的生命力。 技能等級影響中毒回合數,"聖拉魯卡村(135,219) 村內座標(39,40)找毒物研究者波依學習",100G
昏睡魔法,人物,狀態變化魔法,12,,使對象進入睡眠狀態，不能行動， 但是被攻擊就會清醒。 技能等級影響昏睡回合數,"芙蕾雅島 法蘭城公寓(182,132) 會催眠的老太婆(24,21)",100G
強力石化魔法,人物,狀態變化魔法,12,,使對象及其周圍變成石化狀態而無法行動， 石化狀態中，所有損傷都會降低。 技能等級影響石化回合數,"莎蓮娜海底洞窟 咒術師的據點(12,8) 找石頭收藏者甘佐學習",5000G
強力遺忘魔法,人物,狀態變化魔法,12,,使對象及其周圍隨機遺忘 某些指令與技能。 技能等級影響遺忘回合數,"莎蓮娜海底洞窟 咒術師的據點(13,9) 找健忘的阿隆學習",5000G
強力混亂魔法,人物,狀態變化魔法,12,,使對象及其周圍產生混亂， 不能確定動作或隨機選定目標攻擊。 技能等級影響混亂回合數,"莎蓮娜海底洞窟 咒術師的據點(13,11) 找喜歡熱鬧的達蒙學習",5000G
強力酒醉魔法,人物,狀態變化魔法,12,,使對象及其周圍陷入酒醉狀態， 每回合減少一定比例魔力。 技能等級影響酒醉回合數,"莎蓮娜海底洞窟 咒術師的據點(9,10) 找醉鬼笨鷹學習",5000G
強力中毒魔法,人物,狀態變化魔法,12,,使對象及其周圍中毒， 每回合減少一定比例的生命力， 技能等級影響中毒回合數,"莎蓮娜海底洞窟 咒術師的據點(10,3) 找毒學研究家希索學",5000G
強力昏睡魔法,人物,狀態變化魔法,12,,使對象及其周圍進入睡眠狀態， 不能行動，但是被攻擊就會清醒。 技能等級影響昏睡回合數,"莎蓮娜海底洞窟 咒術師的據點(1,6) 找催眠師海婆婆學習",5000G
超強石化魔法,人物,狀態變化魔法,12,,使敵一側全體變成石化狀態而無法行動 石化狀態中，所有損傷都會降低。 技能等級影響石化回合數,打贏猶大後找蓋茲學習 請參考 開啟者 任務,10000G
超強遺忘魔法,人物,狀態變化魔法,12,,使敵一側全體隨機遺忘 某些指令與技能。 技能等級影響遺忘回合數,打贏猶大後找亞魯斯學習 請參考 開啟者 任務,10000G
超強混亂魔法,人物,狀態變化魔法,12,,使敵一側全體產生混亂， 不能確定動作或隨機選定目標攻擊。 技能等級影響混亂回合數,打贏猶大後找赫強學習 請參考 開啟者 任務,10000G
超強酒醉魔法,人物,狀態變化魔法,12,,使敵一側全體陷入酒醉狀態， 每回合減少一定比例魔力。 技能等級影響酒醉回合數,打贏猶大後找畢魯學習 請參考 開啟者 任務,10000G
超強中毒魔法,人物,狀態變化魔法,12,,使一側全體中毒， 每回合減少一定比例的生命力。 技能等級影響中毒回合數,打贏猶大後找加斯特學習 請參考 開啟者 任務,10000G
超強昏睡魔法,人物,狀態變化魔法,12,,使敵一側全體進入睡眠狀態， 不能行動，但是被攻擊就會清醒。 技能等級影響昏睡回合數,打贏猶大後找雷斯學習 請參考 開啟者 任務,10000G
大地的祈禱,人物,狀態變化魔法,12,,使用後敵我雙方擁有地屬性者物理及魔法防禦力上升。,打贏海賊的頭目後隨機傳送的房間內 找天書學習 請參考 海賊指揮部 任務,10000G
海洋的祈禱,人物,狀態變化魔法,12,,使用後敵我雙方擁有水屬性者物理及魔法防禦力上升。,打贏海賊的頭目後隨機傳送的房間內 找天書學習 請參考 海賊指揮部 任務,10000G
火焰的祈禱,人物,狀態變化魔法,12,,使用後敵我雙方擁有火屬性者物理及魔法防禦力上升。,打贏海賊的頭目後隨機傳送的房間內 找天書學習 請參考 海賊指揮部 任務,10000G
雲群的祈禱,人物,狀態變化魔法,12,,使用後敵我雙方擁有風屬性者物理及魔法防禦力上升。,"打贏海賊的頭目後隨機傳送的房間內
				找天書學習請參考 海賊指揮部 任務",10000G
屬性反轉,人物,狀態變化魔法,12,,使被指定對象屬性反轉 ( 地←→火、水←→風),打贏海賊頭目和頭目說話請參考 海賊指揮部 任務,10000G
補血魔法,人物,戰鬥輔助魔法,12,,對使用側任一對象使用 回復生命力的魔法,"法蘭城的大聖堂(155,37) 找僧侶法馬斯學習",100G
強力補血魔法,人物,戰鬥輔助魔法,12,,對指定單體及其周圍使用 回復生命力的魔法,"法蘭城的大聖堂(155,37)東北房間 找僧侶菲歐雷學習",100G
超強補血魔法,人物,戰鬥輔助魔法,12,,對我方全體使用 回復生命力的魔法,打倒神獸找墮落僧侶史雷普尼爾學習 請參考 戰鬥系階級提昇Ⅱ 任務,15000G
氣絕回復,人物,戰鬥輔助魔法,12,,回復對象的氣絕狀態， 復活的生命力依技能等級增加。 在同場戰鬥中，戰友若掉魂， 復活後就會自動召回,"亞留特村(595,83)找神官理賈(47,72)學習",100G
潔淨魔法,人物,戰鬥輔助魔法,10,,使對象從異常狀態恢復到正常狀態， 視技能等級來提升成功率與範圍,馮奴的家房間內找巫師碧芝學習 請參考 巫師就職 任務,5000G
恢復魔法,人物,戰鬥輔助魔法,12,,使對象連續六回合 恢復一定比例的生命力,馮奴的家房間內找巫師莎妮學習 請參考 巫師就職 任務,5000G
強力恢復魔法,人物,戰鬥輔助魔法,12,,使對象及其周圍連續 六回合恢復一定比例的生命力 (使用範圍為T字型),打倒神獸後找天書就可以學習 請參考 戰鬥系階級提昇Ⅱ 任務,10000G
超強恢復魔法,人物,戰鬥輔助魔法,12,,使我方全體連續 六回合恢復一定比例的生命力 (使用範圍全體),打倒神獸後找天書就可以學習 請參考 戰鬥系階級提昇Ⅱ 任務,15000G
攻擊吸收,人物,戰鬥輔助魔法,12,,可將針對施行目標所造成的 物理傷害轉化為生命力,打贏露比後和巫師莉安娜說話 找天書就可以學習 請參考 巫師就職 任務,5000G
魔法吸收,人物,戰鬥輔助魔法,12,,可將針對施行目標所造成的 魔法傷害轉化為生命力,打贏露比後和巫師瑪其說話 找天書就可以學習 請參考 巫師就職 任務,5000G
攻擊反彈,人物,戰鬥輔助魔法,12,,可將針對施行目標 所造成的物理傷害 反彈給攻擊者或無效化,打倒法爾肯後找天書就可以學習 請參考 沒落的村莊 任務,5000G
魔法反彈,人物,戰鬥輔助魔法,12,,可將針對施行目標 所造成的魔法傷害 反彈給攻擊者或無效化,打倒法爾肯後找天書就可以學習 請參考 沒落的村莊 任務,5000G
攻擊無效,人物,戰鬥輔助魔法,12,,可將針對施行目標所造成的 物理傷害無效化兩次,房間內找裘爾丹習得 請參考 海賊指揮部 任務,5000G
魔法無效,人物,戰鬥輔助魔法,12,,可將針對施行目標所造成的 魔法傷害無效化兩次,房間內找蓋巴爾特習得 請參考 海賊指揮部 任務,5000G
鑑定,人物,其他特殊技能,12,,可以鑑定不明的物品， 技能等級越高， 可以鑑定的物品等級也越高。,"凱蒂夫人的店(196,78) 鑑定士達人恰拉(17,14)",100G
治療,人物,其他特殊技能,12,,可以治療受傷的狀態， 技能等級越高， 可以治療傷勢的等級也越高?,"芙蕾雅島法蘭城內 西醫院82,84) 找伯舒醫師(10,5)學習",100G
急救,人物,其他特殊技能,12,,非戰鬥時，可以回復 單一人物或寵物的生命力， 技能等級越高， 能夠回復的生命力就越多,"芙蕾雅島法蘭城內 西醫院(82,84) 找護士娜芝(12,30)學習",100G
調教,人物,其他特殊技能,12,,可以確定寵物在調教LVx10的 等級內的忠誠度100， 除了提升忠誠以外， 技能等級每提升一級 就能減少寵物MP消耗約7.5%?,"芙蕾雅島法蘭城 科特利亞酒吧(219,136) 酒店客房內米凱爾學習",100G
刻印,人物,其他特殊技能,1,,使用後可將裝備名稱修改為自訂的名稱，無額外屬性加成。同時道具名稱將變為青綠色，並且道具前綴將會出現「刻印」以作辨識；,"1.完成任務：軍團試煉有2%概率習得；
2.聖十字勇者殿堂（57.15）；可使用人物技能屋傳送券抵達",50000G
武器修理,人物,其他特殊技能,12,,可以修理耐久下降的武器， 技能等級越高， 可以修理越高等級的武器,"芙雷亞島小村正洞穴(446,101) 找修理武器的達茲",100G
防具修理,人物,其他特殊技能,12,,可以修理耐久下降的防具， 技能等級越高， 可以修理越高等級的防具,"芙雷亞島小備前之洞窟(421,308) 找修理防具的阿金",100G
寵物強化,人物,其他特殊技能,12,,能夠提升寵物每次戰鬥過後 取得經驗值得比例， 技能等級越高， 能夠提升的比率也越高?,"芙蕾雅島法蘭城 飼養師之家(121,36) 訓練師摩爾(14,4)",100G
精靈的盟約,人物,其他特殊技能,10,,能夠提高封印野生寵物的成功率， 技能等級越高， 封印的成功率也就越高,"芙蕾雅島 法蘭城的里謝里雅堡 二樓左邊客房(32,71) 找封印師達奇學習 請參考 封印師就職 任務",100G
伐木體驗,人物,生產製作技能,1,,可以砍伐最基本的木頭， 體驗當樵夫的滋味。 由於是體驗技能， 只會砍到竹子和孟宗竹。,"法蘭城 職業介紹所（195,60） 募集樵夫的阿空",0G
狩獵體驗,人物,生產製作技能,1,,可以狩獵最基本的物品， 體驗當獵人的感受。 由於是體驗技能， 只會獵到鹿皮和傳說中的鹿皮。,"伊爾村內（48,77） 獵人亞烈格而",0G
挖掘體驗,人物,生產製作技能,1,,可以挖掘最基本的礦物， 體驗當礦工的滋味， 由於是體驗技能， 只能挖到銅及碎石頭,"聖拉魯卡村 賽傑利亞酒吧（39,70） 募集礦工的洛伊",0G
鍛造體驗,人物,生產製作技能,1,,可以製作最基本的武器及防具， 體驗生產物品的滋味。 製造最基本的武器與防具 來取得製造工就職的資格。,"法蘭城 職業介紹所（195,50） 募集打鐵工的阿黑",0G
伐木,人物,生產製作技能,12,,可以砍伐木頭和採取香草。 隨著伐木等級的改變可以 採集到不同的木頭和香草,"芙蕾亞島 山男的家（509,153） 山男波波思",100G
狩獵,人物,生產製作技能,12,,可以採集獵物 隨著狩獵等級的改變， 可以採集到不同的獵物與食材,"法蘭城 東門口(473,205)附近 位置隨機 獵人拉修",100G
挖掘,人物,生產製作技能,12,,可以挖掘礦物， 隨著挖掘等級的改變 可以挖到各種不同的礦物,"法蘭城 基爾的家（200,132） 傳說的礦工基爾",100G
製藥,人物,生產製作技能,12,,可製作回復生命力的藥水， 隨著技能等級提升可以製造 回復更高生命力的藥水??,"法蘭城 城西醫院（82,84） 見習藥劑師的吉可",100G
料理,人物,生產製作技能,12,,可製作回復魔力的料理 隨著技能等級提升可以 製造回復更高魔力的料理,"法蘭城城堡一樓 右邊廚房（104,21） 見習廚師的特歇",100G
鑄劍,人物,生產製作技能,12,,可以製作劍， 技能等級越高， 可以製作越高級的劍??,"芙蕾亞島 小村正之洞窟（446,101） 內的（15,6） 鑄劍名師小村正",100G
造槍,人物,生產製作技能,12,,可以製作槍， 技能等級越高， 可以製作的越高級的槍?,"聖拉魯卡村 裝備店（32,70） 地下工房（39,34） 造槍工雷後而",100G
造斧,人物,生產製作技能,12,,可以製作斧， 技能等級越高， 可以製作越高級的斧?,"聖拉魯卡村 裝備店(32,70) 地下工房(24,32) 造斧工波比而",100G
造杖,人物,生產製作技能,12,,可以製作杖， 技能等級越高， 可以製作越高級的杖,"聖拉魯卡村 裝備店(32,70)， 地下工房(37,20) 造杖工凡吉翁",100G
造弓,人物,生產製作技能,12,,可以製作弓， 技能等級越高， 可以製作越高級的弓,"聖拉魯卡村 裝備店(32,70) 地下工房(24,15) 造弓工飛利歐司",100G
造小刀,人物,生產製作技能,12,,可以製作小刀， 技能等級越高， 可以製作越高級的小刀,"聖拉魯卡村 裝備店(32,70) 地下工房(31,36) 造小刀工奇而",100G
造投擲武器,人物,生產製作技能,12,,可以製作投擲武器， 技能等級越高， 可以製作越高級的投擲武器,"聖拉魯卡村 裝備店(32,70) 地下工房(30,17) 投擲武器工修德",100G
造頭盔,人物,生產製作技能,12,,可以製作頭盔， 技能等級越高， 可以製作越高級頭盔,"聖拉魯卡村 裝備店(32,70) 地下工房(15,27) 造頭盔工卡法",100G
造帽子,人物,生產製作技能,12,,可以製作帽子， 技能等級越高， 可以製作越高級的帽子,"聖拉魯卡村 裝備店(32,70) 地下工房(11,25) 作帽子工賽門",100G
造鎧甲,人物,生產製作技能,12,,可以製作鎧甲， 技能等級越高， 可以製作越高級的鎧甲,"芙蕾亞島 小備前之洞窟(421,308) 內的(7,7) 造鎧名師科比先",100G
製衣服,人物,生產製作技能,12,,可以製作衣服， 技能等級越高， 可以製作越高級的衣服,"聖拉魯卡村 裝備店(32,70) 地下工房(13,18) 製衣服工雅尼達",100G
造長袍,人物,生產製作技能,12,,可以製作長袍， 技能等級越高， 可以製作越高級的長袍,"聖拉魯卡村 裝備店(32,70) 地下工房(12,18) 造長袍工吉魯",100G
造靴子,人物,生產製作技能,12,,可以製作靴子， 技能等級越高， 可以製作越高級的靴子,"聖拉魯卡村 裝備店(32,70) 地下工房(19,30) 造靴工阿姆吉",100G
造鞋子,人物,生產製作技能,12,,可以製作鞋， 技能等級越高， 可以製作越高級的鞋,"聖拉魯卡村 裝備店(32,70) 地下工房(23,24) 造鞋工哥利",100G
造盾,人物,生產製作技能,12,,可以製作盾， 技能等級越高， 可以製作越高級的盾,"聖拉魯卡村 裝備店(32,70) 地下工房(30,31) 造盾工葛德",100G
裂空斬,人物,戰鬥攻擊技能,12,,小幅速度並揮出數道劍氣攻擊目標，1個目標最多承受一道劍氣，造成的傷害約為攻擊力的40%,"1.完成[斷空學院的歷練](/職業技能任務/斷空學院的歷練-裂空斬)
2.聖十字勇者殿堂（60，60）；可使用人物技能屋傳送券抵達",50000G
飛刃亂舞,人物,戰鬥攻擊技能,12,,隨機丟出複數的飛刃攻擊敵人，第一次造成的傷害約為攻擊力的30%；如果目標再次受到飛刃的攻擊，傷害將遞增。,"1.精靈城中型屋（16.7）
2.聖十字勇者殿堂（62，60）可使用人物技能屋傳送券抵達",50000G
聖騎之譽,人物,戰鬥防禦技能,12,,守護全體隊友即將受到的近身物理攻擊，護衛成功後有概率觸發反擊；隊友血量高於自身時無法觸發；,"1.完成主線任務：[洛亞花園](/職業技能任務/洛亞花園-聖騎之譽)；
2.聖十字勇者殿堂（47，31）；可使用人物技能屋傳送券抵達",50000G
隔山打牛,人物,戰鬥攻擊技能,12,,使出透體內勁攻擊前排目標，後排的目標將受到傷害；並使受到傷害的目標將有概率進入混亂狀態。,"1.完成任務：[卡卡狄莉的考驗](/職業技能任務/卡卡狄莉的考驗-隔山打牛)；
2.聖十字勇者殿堂（58，60）；可使用人物技能屋傳送券抵達",50000G
魔法屏障,人物,戰鬥輔助魔法,12,,對全體目標釋放一個持續3回合的減傷技能,"1.完成任務：[失蹤的希兒](/職業技能任務/失蹤的希兒-混亂衝擊波及魔法屏障)；
2.聖十字勇者殿堂（38,47）；可使用人物技能屋傳送券抵達",50000G
混亂衝擊波,人物,狀態變化魔法,12,,依託強大的精神力對一橫排的敵人造成物理傷害；並有幾率使其進入混亂狀態。,"1.完成任務：[失蹤的希兒](/職業技能任務/失蹤的希兒-混亂衝擊波及魔法屏障)；
2.聖十字勇者殿堂（42,47）；可使用人物技能屋傳送券抵達",50000G
潛龍殺,人物,戰鬥攻擊技能,12,,降低移動速度，對一個目標造成極大的傷害。攻擊時會提升攻擊力和必殺概率。,"1.完成任務：[海盜修斯的考驗](/職業技能任務/海盜修斯的考驗-潛龍殺)；
2.聖十字勇者殿堂（64，60）；可使用人物技能屋傳送券抵達",50000G
必殺狙擊,人物,戰鬥攻擊技能,12,,極大的降低移動速度，對一個目標造成極大的傷害。攻擊時會提升攻擊力和必殺概率。,"1.完成任務：[大地鼠守衛隊](/職業技能任務/大地鼠守衛隊-必殺狙擊)；
2.聖十字勇者殿堂（68，60）；可使用人物技能屋傳送券抵達",50000G
突襲之舞,人物,戰鬥攻擊技能,12,,提高自身的速度給敵人閃電一擊,"1.海澤蘭冰原（54.189）
2.聖十字勇者殿堂（74.60）可使用人物技能屋傳送券抵達",50000G
劇毒攻,人物,戰鬥攻擊技能,12,,降低攻擊力，造成傷害的同時有機會使目標進入中毒狀態。（裝備近戰武器無法使用）,"1.星辰之塔5階神殿（53.4）
2.聖十字勇者殿堂（70，60）可使用人物技能屋傳送券抵達",50000G
燕斬,人物,戰鬥攻擊技能,12,,身輕如燕的必殺技，發動的時候可提升必殺率；,"1.精靈城刀客公會；
2.聖十字勇者殿堂（47，27）；可使用人物技能屋傳送券抵達",50000G
鋒上魂,人物,戰鬥攻擊技能,12,,專注提升必殺率，刀氣直衝一口氣攻擊所有敵人。,"1.完成任務：鋒上魂；
2.聖十字勇者殿堂（47，29）；可使用人物技能屋傳送券抵達",50000G
嘲諷,人物,戰鬥防禦技能,12,,造成傷害的同時強制目標下一次行動攻擊自己,"1.完成主線任務：[阿爾德里奇的愛情](/職業技能任務/阿爾德里奇的愛情嘲諷)；
2.聖十字勇者殿堂（84.60）；可使用人物技能屋傳送券抵達",50000G
鬥志昂揚魔法,人物,戰鬥輔助魔法,10,,全隊獲得傷害、命中增加，持續3回合,"1.完成任務：鬥志昂揚魔法（蒼月聖學院內 19.45）；
2.聖十字勇者殿堂（17.46）；可使用人物技能屋傳送券抵達",50000G
心眼,人物,戰鬥輔助技能,10,,使用必殺狙擊時提升對敵的命中率與傷害力。（此招為被動技能）,"1.完成任務：心眼；
2.聖十字勇者殿堂（78.60）；可使用人物技能屋傳送券抵達",50000G
月讀,人物,其他特殊技能,12,,複製指定隊友的空身能力,"1.完成任務：月讀之海；
2.聖十字勇者殿堂（77.44）；可使用人物技能屋傳送券抵達",50000G
砂之鎧,人物,戰鬥防禦技能,12,,成功的話可讓目標短暫提升防御力,"1.完成任務：太晶之謎；
2.聖十字勇者殿堂（72.60）；可使用人物技能屋傳送券抵達",50000G
變身,人物,其他特殊技能,10,,,,
攻擊,寵物,寵物一般技能,,,能以普通攻擊給予打擊。,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
防禦,寵物,寵物一般技能,,,能防守來自物理攻擊的打擊。,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
攻擊魔法防禦,寵物,寵物一般技能,,,,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
什麼也不做,寵物,寵物一般技能,,,命令寵物什麼事也別做。,無學習等級限制。；費用 50；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
定點移動,寵物,寵物一般技能,,,能和主人交換位置。,無學習等級限制。；費用 100；寵物技能店的佩蒂；法蘭城冒險者旅館(238，64)一樓(30，20)。,
寵物郵件,寵物,寵物一般技能,,,利用寵物傳送物品給名片上同服務器的朋友。,無學習等級限制。戰鬥中以及部份迷宮不能。；費用 10000；寵物技能店的葛德裡亞；索奇亞哈貝魯村(81，4),
寵物散步,寵物,寵物一般技能,,,寵物跟在主人之後。,擊敗四鬥神後學習,
連擊,寵物,寵物戰鬥技能,5,,,,
諸刃,寵物,寵物戰鬥技能,5,,,,
乾坤一擲,寵物,寵物戰鬥技能,5,,,,
崩擊,寵物,寵物戰鬥技能,5,,,,
陽炎,寵物,寵物戰鬥技能,5,,,,
反擊,寵物,寵物戰鬥技能,5,,,,
戰慄襲心,寵物,寵物戰鬥技能,5,,,,
護衛,寵物,寵物戰鬥技能,5,,,,
聖盾,寵物,寵物戰鬥技能,5,,,,
明鏡止水,寵物,寵物戰鬥技能,5,,,,
隕石魔法,寵物,寵物魔法技能,9,,,,
冰凍魔法,寵物,寵物魔法技能,9,,,,
火焰魔法,寵物,寵物魔法技能,9,,,,
風刃魔法,寵物,寵物魔法技能,9,,,,
強力隕石魔法,寵物,寵物魔法技能,9,,,,
強力冰凍魔法,寵物,寵物魔法技能,9,,,,
