扭蛋機地點,物品名稱,機率,等級,耐久,屬性
"普通扭蛋機：維諾亞村(65,44)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：維諾亞村(65,44)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：維諾亞村(65,44)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：維諾亞村(65,44)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：維諾亞村(65,44)",水龍蜥扭蛋娃娃,18%,3,80,防禦10抗石化5
"普通扭蛋機：維諾亞村(65,44)",黃色口臭鬼扭蛋娃娃,18%,3,80,攻擊6生命160
"普通扭蛋機：維諾亞村(65,44)",紅帽哥布林扭蛋娃娃,18%,3,80,命中5生命100
"普通扭蛋機：維諾亞村(65,44)",蜥蜴戰士扭蛋娃娃,18%,3,80,魔力50抗遺忘5
"普通扭蛋機：烏克蘭村(51,74)",火精扭蛋娃娃,1%,4,100,攻擊10防禦10生命50魔攻10抗魔10
"普通扭蛋機：烏克蘭村(51,74)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
"普通扭蛋機：烏克蘭村(51,74)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：烏克蘭村(51,74)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：烏克蘭村(51,74)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：烏克蘭村(51,74)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：烏克蘭村(51,74)",異型蜂扭蛋娃娃,,3,80,命中5閃躲5
"普通扭蛋機：烏克蘭村(51,74)",虎頭蜂扭蛋娃娃,18%,3,80,反擊5閃躲5
"普通扭蛋機：烏克蘭村(51,74)",致命螳螂扭蛋娃娃,18%,3,80,攻擊10回復10
"普通扭蛋機：烏克蘭村(51,74)",黃金螃蟹扭蛋娃娃,18%,3,80,魔攻12抗石化4
"普通扭蛋機：聖拉魯卡村(39,68)",水藍鼠扭蛋娃娃,1%,4,100,精神20魔力100
"普通扭蛋機：聖拉魯卡村(39,68)",大地翼龍扭蛋娃娃,3%,4,100,防禦20抗魔20
"普通扭蛋機：聖拉魯卡村(39,68)",巨人扭蛋娃娃,3%,4,100,閃躲12生命160
"普通扭蛋機：聖拉魯卡村(39,68)",烈風之刃扭蛋娃娃,7%,3,80,反擊10
"普通扭蛋機：聖拉魯卡村(39,68)",寶石鼠扭蛋娃娃,7%,3,80,敏捷10魔力50
"普通扭蛋機：聖拉魯卡村(39,68)",石怪扭蛋娃娃,7%,3,80,防禦20
"普通扭蛋機：聖拉魯卡村(39,68)",液態史萊姆扭蛋娃娃,18%,3,80,防禦5回復15
"普通扭蛋機：聖拉魯卡村(39,68)",迷你蝙蝠扭蛋娃娃,18%,3,80,攻擊10抗遺忘5
"普通扭蛋機：聖拉魯卡村(39,68)",大蝙蝠扭蛋娃娃,18%,3,80,生命100抗毒5
"普通扭蛋機：聖拉魯卡村(39,68)",大地鼠扭蛋娃娃,18%,3,80,防禦10魔力50
"普通扭蛋機：奇利村(45,74)",風精扭蛋娃娃,1%,4,100,攻擊10防禦10敏捷5魔攻10抗魔10
"普通扭蛋機：奇利村(45,74)",黃金樹精扭蛋娃娃,3%,4,100,生命150抗石化10
"普通扭蛋機：奇利村(45,74)",泰坦巨人扭蛋娃娃,3%,4,100,必殺12生命160
"普通扭蛋機：奇利村(45,74)",墮天使扭蛋娃娃,7%,,,
"普通扭蛋機：奇利村(45,74)",地龍蜥扭蛋娃娃,7%,3,80,防禦10抗毒5
"普通扭蛋機：奇利村(45,74)",布丁史萊姆扭蛋娃娃,7%,3,80,回復15抗魔5
"普通扭蛋機：奇利村(45,74)",火焰鼠扭蛋娃娃,18%,3,80,防禦10魔力50
"普通扭蛋機：奇利村(45,74)",小惡魔扭蛋娃娃,18%,3,80,敏捷10魔力50
"普通扭蛋機：奇利村(45,74)",螳螂扭蛋娃娃,18%,3,80,攻擊10防禦10
"普通扭蛋機：奇利村(45,74)",印第安仙人掌扭蛋娃娃,18%,3,80,必殺3生命140
"普通扭蛋機：加納村(48,37)",丸子炸彈扭蛋娃娃,1%,,,
"普通扭蛋機：加納村(48,37)",黃金樹精扭蛋娃娃,3%,4,100,生命150抗石化10
"普通扭蛋機：加納村(48,37)",泰坦巨人扭蛋娃娃,3%,4,100,必殺12生命160
"普通扭蛋機：加納村(48,37)",墮天使扭蛋娃娃,7%,,,
"普通扭蛋機：加納村(48,37)",地龍蜥扭蛋娃娃,7%,3,80,防禦10抗毒5
"普通扭蛋機：加納村(48,37)",布丁史萊姆扭蛋娃娃,7%,,,
"普通扭蛋機：加納村(48,37)",武術仙人掌扭蛋娃娃,18%,,,
"普通扭蛋機：加納村(48,37)",兔耳仙人掌扭蛋娃娃,18%,3,80,反擊3生命140
"普通扭蛋機：加納村(48,37)",鐵剪螃蟹扭蛋娃娃,18%,3,80,抗魔12抗石化4
"普通扭蛋機：加納村(48,37)",狠毒鳥人扭蛋娃娃,18%,3,80,防禦10魔力50
"普通扭蛋機：傑諾瓦鎮(50,53)",熊貓扭蛋娃娃,1%,,,
"普通扭蛋機：傑諾瓦鎮(50,53)",寒冰翼龍扭蛋娃娃,3%,4,100,攻擊20抗魔20
"普通扭蛋機：傑諾瓦鎮(50,53)",亞特拉斯巨神扭蛋娃娃,3%,4,100,反擊12生命160
"普通扭蛋機：傑諾瓦鎮(50,53)",火焰之刃扭蛋娃娃,7%,3,80,閃躲10
"普通扭蛋機：傑諾瓦鎮(50,53)",惡夢鼠扭蛋娃娃,7%,3,80,回復10魔力50
"普通扭蛋機：傑諾瓦鎮(50,53)",冰怪扭蛋娃娃,7%,3,80,攻擊10防禦10
"普通扭蛋機：傑諾瓦鎮(50,53)",風龍蜥扭蛋娃娃,18%,3,80,防禦10抗混亂5
"普通扭蛋機：傑諾瓦鎮(50,53)",曼陀羅草扭蛋娃娃,18%,3,80,生命50魔力25抗魔10
"普通扭蛋機：傑諾瓦鎮(50,53)",火焰哥布林扭蛋娃娃,18%,3,80,必殺5生命100
"普通扭蛋機：傑諾瓦鎮(50,53)",幻歌妖扭蛋娃娃,18%,3,80,回復10魔力50
"普通扭蛋機：蒂娜村(日)(45,51)",丘比特扭蛋娃娃,1%,,,
"普通扭蛋機：蒂娜村(日)(45,51)",寒冰翼龍扭蛋娃娃,3%,4,100,攻擊20抗魔20
"普通扭蛋機：蒂娜村(日)(45,51)",亞特拉斯巨神扭蛋娃娃,3%,4,100,反擊12生命160
"普通扭蛋機：蒂娜村(日)(45,51)",火焰之刃扭蛋娃娃,7%,3,80,閃躲10
"普通扭蛋機：蒂娜村(日)(45,51)",惡夢鼠扭蛋娃娃,7%,3,80,回復10魔力50
"普通扭蛋機：蒂娜村(日)(45,51)",冰怪扭蛋娃娃,7%,3,80,攻擊10防禦10
"普通扭蛋機：蒂娜村(日)(45,51)",慘白樹精扭蛋娃娃,18%,3,80,生命140抗昏睡3
"普通扭蛋機：蒂娜村(日)(45,51)",死亡蜂扭蛋娃娃,18%,3,80,必殺5閃躲5
"普通扭蛋機：蒂娜村(日)(45,51)",水晶螃蟹扭蛋娃娃,18%,3,80,攻擊12抗石化4
"普通扭蛋機：蒂娜村(日)(45,51)",兔耳蝙蝠扭蛋娃娃,18%,3,80,生命100抗酒醉5
"普通扭蛋機：蒂娜村扭(夜)(45,51)",嚇人箱扭蛋娃娃,1%,,,
"普通扭蛋機：蒂娜村扭(夜)(45,51)",寒冰翼龍扭蛋娃娃,3%,4,100,攻擊20抗魔20
"普通扭蛋機：蒂娜村扭(夜)(45,51)",亞特拉斯巨神扭蛋娃娃,3%,4,100,反擊12生命160
"普通扭蛋機：蒂娜村扭(夜)(45,51)",火焰之刃扭蛋娃娃,7%,3,80,閃躲10
"普通扭蛋機：蒂娜村扭(夜)(45,51)",惡夢鼠扭蛋娃娃,7%,3,80,回復10魔力50
"普通扭蛋機：蒂娜村扭(夜)(45,51)",冰怪扭蛋娃娃,7%,3,80,攻擊10防禦10
"普通扭蛋機：蒂娜村扭(夜)(45,51)",死靈扭蛋娃娃,18%,3,80,魔攻10抗魔10
"普通扭蛋機：蒂娜村扭(夜)(45,51)",血骷髏扭蛋娃娃,18%,,,
"普通扭蛋機：蒂娜村扭(夜)(45,51)",死亡樹精扭蛋娃娃,18%,3,80,生命140抗遺忘3
"普通扭蛋機：蒂娜村扭(夜)(45,51)",死灰螳螂扭蛋娃娃,18%,3,80,攻擊10閃躲5
"普通扭蛋機：魔法大學(60,44)",綠娃嚇人箱扭蛋娃娃,1%,4,100,回復20魔力80抗魔20
"普通扭蛋機：魔法大學(60,44)",寒冰翼龍扭蛋娃娃,3%,4,100,攻擊20抗魔20
"普通扭蛋機：魔法大學(60,44)",亞特拉斯巨神扭蛋娃娃,3%,4,100,反擊12生命160
"普通扭蛋機：魔法大學(60,44)",火焰之刃扭蛋娃娃,7%,3,80,閃躲10
"普通扭蛋機：魔法大學(60,44)",惡夢鼠扭蛋娃娃,7%,3,80,回復10魔力50
"普通扭蛋機：魔法大學(60,44)",冰怪扭蛋娃娃,7%,3,80,攻擊10防禦10
"普通扭蛋機：魔法大學(60,44)",北極熊扭蛋娃娃,18%,3,80,生命100抗魔10
"普通扭蛋機：魔法大學(60,44)",海蝙蝠扭蛋娃娃,18%,3,80,生命100抗昏睡5
"普通扭蛋機：魔法大學(60,44)",烈風鳥人扭蛋娃娃,18%,3,80,魔力50抗魔10
"普通扭蛋機：魔法大學(60,44)",水藍鳥魔怪扭蛋娃娃,18%,3,80,魔力50魔攻10
"普通扭蛋機：阿巴尼斯村(64,64)",兔耳嚇人箱扭蛋娃娃,1%,5,150,精神50魔攻10
"普通扭蛋機：阿巴尼斯村(64,64)",寒冰翼龍扭蛋娃娃,3%,4,100,攻擊20抗魔20
"普通扭蛋機：阿巴尼斯村(64,64)",亞特拉斯巨神扭蛋娃娃,3%,4,100,反擊12生命160
"普通扭蛋機：阿巴尼斯村(64,64)",火焰之刃扭蛋娃娃,7%,3,80,閃躲10
"普通扭蛋機：阿巴尼斯村(64,64)",惡夢鼠扭蛋娃娃,7%,3,80,回復10魔力50
"普通扭蛋機：阿巴尼斯村(64,64)",冰怪扭蛋娃娃,7%,3,80,攻擊10防禦10
"普通扭蛋機：阿巴尼斯村(64,64)",喪屍扭蛋娃娃,18%,3,80,抗昏睡10
"普通扭蛋機：阿巴尼斯村(64,64)",地獄妖犬扭蛋娃娃,18%,3,80,攻擊10抗混亂5
"普通扭蛋機：阿巴尼斯村(64,64)",北極熊扭蛋娃娃,18%,3,80,生命100抗魔10
"普通扭蛋機：阿巴尼斯村(64,64)",烈風鳥人扭蛋娃娃,18%,3,80,魔力50抗魔10
"普通扭蛋機：亞諾曼城(148,146)",巨狼扭蛋娃娃,1%,4,100,攻擊10抗昏睡20
"普通扭蛋機：亞諾曼城(148,146)",火焰翼龍扭蛋娃娃,3%,4,100,回復20抗魔20
"普通扭蛋機：亞諾曼城(148,146)",單眼巨人扭蛋娃娃,3%,4,100,命中12生命160
"普通扭蛋機：亞諾曼城(148,146)",殺龍之刃扭蛋娃娃,7%,3,80,命中10
"普通扭蛋機：亞諾曼城(148,146)",妖草扭蛋娃娃,7%,3,80,生命50魔力25魔攻10
"普通扭蛋機：亞諾曼城(148,146)",獵豹蜥蜴扭蛋娃娃,7%,3,80,魔力50抗昏睡5
"普通扭蛋機：亞諾曼城(148,146)",水果蝙蝠扭蛋娃娃,18%,3,80,精神10抗遺忘5
"普通扭蛋機：亞諾曼城(148,146)",寶貝炸彈扭蛋娃娃,18%,3,80,防禦-15精神20
"普通扭蛋機：亞諾曼城(148,146)",虎人扭蛋娃娃,18%,,,
"普通扭蛋機：亞諾曼城(148,146)",殺人螳螂扭蛋娃娃,18%,3,80,攻擊10必殺5
"普通扭蛋機：摩頓村(62,34)",幻影扭蛋娃娃,1%,4,100,攻擊25必殺10
"普通扭蛋機：摩頓村(62,34)",火焰翼龍扭蛋娃娃,3%,4,100,回復20抗魔20
"普通扭蛋機：摩頓村(62,34)",單眼巨人扭蛋娃娃,3%,4,100,命中12生命160
"普通扭蛋機：摩頓村(62,34)",血腥之刃扭蛋娃娃,7%,3,80,必殺10
"普通扭蛋機：摩頓村(62,34)",妖草扭蛋娃娃,7%,3,80,生命50魔力25魔攻10
"普通扭蛋機：摩頓村(62,34)",獵豹蜥蜴扭蛋娃娃,7%,3,80,魔力50抗昏睡5
"普通扭蛋機：摩頓村(62,34)",赤目螳螂扭蛋娃娃,18%,3,80,攻擊10命中5
"普通扭蛋機：摩頓村(62,34)",藍色口臭鬼扭蛋娃娃,18%,3,80,生命160抗魔6
"普通扭蛋機：摩頓村(62,34)",土蜘蛛扭蛋娃娃,18%,3,80,魔攻10抗毒5
"普通扭蛋機：摩頓村(62,34)",沼澤樹精扭蛋娃娃,18%,3,80,生命140抗毒3
"普通扭蛋機：尼維爾海村(38,60)",旋律影子扭蛋娃娃,1%,4,100,敏捷25必殺10
"普通扭蛋機：尼維爾海村(38,60)",火焰翼龍扭蛋娃娃,3%,4,100,回復20抗魔20
"普通扭蛋機：尼維爾海村(38,60)",單眼巨人扭蛋娃娃,3%,4,100,命中12生命160
"普通扭蛋機：尼維爾海村(38,60)",血腥之刃扭蛋娃娃,7%,3,80,必殺10
"普通扭蛋機：尼維爾海村(38,60)",妖草扭蛋娃娃,7%,3,80,生命50魔力25魔攻10
"普通扭蛋機：尼維爾海村(38,60)",獵豹蜥蜴扭蛋娃娃,7%,3,80,魔力50抗昏睡5
"普通扭蛋機：尼維爾海村(38,60)",火蜘蛛扭蛋娃娃,18%,3,80,魔攻10抗遺忘5
"普通扭蛋機：尼維爾海村(38,60)",地龍蜥扭蛋娃娃,18%,3,80,防禦10抗毒5
"普通扭蛋機：尼維爾海村(38,60)",綠色口臭鬼扭蛋娃娃,18%,3,80,防禦6生命160
"普通扭蛋機：尼維爾海村(38,60)",赤熊扭蛋娃娃,18%,3,80,攻擊10生命100
"普通扭蛋機：克瑞村(38,53)",闇影扭蛋娃娃,1%,4,100,防禦25必殺10
"普通扭蛋機：克瑞村(38,53)",火焰翼龍扭蛋娃娃,3%,4,100,回復20抗魔20
"普通扭蛋機：克瑞村(38,53)",單眼巨人扭蛋娃娃,3%,4,100,命中12生命160
"普通扭蛋機：克瑞村(38,53)",殺龍之刃扭蛋娃娃,7%,3,80,必殺10
"普通扭蛋機：克瑞村(38,53)",妖草扭蛋娃娃,7%,3,80,生命50魔力25魔攻10
"普通扭蛋機：克瑞村(38,53)",獵豹蜥蜴扭蛋娃娃,7%,3,80,魔力50抗昏睡5
"普通扭蛋機：克瑞村(38,53)",兔耳蝙蝠扭蛋娃娃,18%,3,80,生命100抗酒醉5
"普通扭蛋機：克瑞村(38,53)",紅蠍扭蛋娃娃,18%,3,80,防禦10生命100
"普通扭蛋機：克瑞村(38,53)",殺手蠍扭蛋娃娃,18%,3,80,攻擊10防禦10
"普通扭蛋機：克瑞村(38,53)",哥布林扭蛋娃娃,18%,3,80,反擊5生命100
"普通扭蛋機：雷歐娜村(55,47)",陰影扭蛋娃娃,1%,4,100,必殺10生命150
"普通扭蛋機：雷歐娜村(55,47)",火焰翼龍扭蛋娃娃,3%,4,100,回復20抗魔20
"普通扭蛋機：雷歐娜村(55,47)",單眼巨人扭蛋娃娃,3%,4,100,命中12生命160
"普通扭蛋機：雷歐娜村(55,47)",殺龍之刃扭蛋娃娃,7%,3,80,命中10
"普通扭蛋機：雷歐娜村(55,47)",妖草扭蛋娃娃,7%,3,80,生命50魔力25魔攻10
"普通扭蛋機：雷歐娜村(55,47)",獵豹蜥蜴扭蛋娃娃,7%,3,80,魔力50抗昏睡5
"普通扭蛋機：雷歐娜村(55,47)",蜥蜴鬥士扭蛋娃娃,18%,3,80,魔力50抗混亂5
"普通扭蛋機：雷歐娜村(55,47)",巨蝙蝠扭蛋娃娃,18%,3,80,生命100抗遺忘5
"普通扭蛋機：雷歐娜村(55,47)",藍蠍扭蛋娃娃,18%,3,80,防禦20
"普通扭蛋機：雷歐娜村(55,47)",黃蠍扭蛋娃娃,18%,3,80,防禦10敏捷10
"普通扭蛋機：阿凱魯法村(171,153)",佈雷歐扭蛋娃娃,1%,5,100,攻擊20敏捷40
"普通扭蛋機：阿凱魯法村(171,153)",地底龜扭蛋娃娃,3%,4,100,防禦20
"普通扭蛋機：阿凱魯法村(171,153)",獨角仙扭蛋娃娃,3%,4,100,防禦10抗魔10
"普通扭蛋機：阿凱魯法村(171,153)",血魔扭蛋娃娃,7%,3,80,抗酒醉5抗石化5
"普通扭蛋機：阿凱魯法村(171,153)",妖花扭蛋娃娃,7%,3,80,防禦10生命50魔力25
"普通扭蛋機：阿凱魯法村(171,153)",粉紅菇扭蛋娃娃,7%,3,80,防禦10精神10
"普通扭蛋機：阿凱魯法村(171,153)",星菇扭蛋娃娃,18%,3,80,精神10生命100
"普通扭蛋機：阿凱魯法村(171,153)",水藍菇扭蛋娃娃,18%,3,80,精神10抗魔10
"普通扭蛋機：阿凱魯法村(171,153)",迷你石像怪扭蛋娃娃,18%,3,80,精神10魔力50
"普通扭蛋機：阿凱魯法村(171,153)",甲蟲扭蛋娃娃,18%,3,80,攻擊10防禦10
"普通扭蛋機：坎那貝拉村(28,44)",鐮刀魔扭蛋娃娃,1%,4,100,攻擊15魔攻15抗毒5
"普通扭蛋機：坎那貝拉村(28,44)",地底龜扭蛋娃娃,3%,4,100,防禦20
"普通扭蛋機：坎那貝拉村(28,44)",獨角仙扭蛋娃娃,3%,4,100,防禦10抗魔10
"普通扭蛋機：坎那貝拉村(28,44)",血魔扭蛋娃娃,7%,3,80,抗酒醉5抗石化5
"普通扭蛋機：坎那貝拉村(28,44)",妖花扭蛋娃娃,7%,3,80,防禦10生命50魔力25
"普通扭蛋機：坎那貝拉村(28,44)",粉紅菇扭蛋娃娃,7%,3,80,防禦10精神10
"普通扭蛋機：坎那貝拉村(28,44)",海底龜扭蛋娃娃,18%,3,80,防禦10抗石化5
"普通扭蛋機：坎那貝拉村(28,44)",堀地蟲扭蛋娃娃,18%,,,
"普通扭蛋機：坎那貝拉村(28,44)",翠綠菇扭蛋娃娃,18%,3,80,精神10回復10
"普通扭蛋機：坎那貝拉村(28,44)",殺人蜂扭蛋娃娃,18%,3,80,閃躲5魔攻10
"普通扭蛋機：哥拉爾鎮(122,80)",變種獅鷲獸扭蛋娃娃,1%,5,100,防禦20敏捷40
"普通扭蛋機：哥拉爾鎮(122,80)",烈風翼龍扭蛋娃娃,3%,4,100,精神20抗魔20
"普通扭蛋機：哥拉爾鎮(122,80)",山飛甲扭蛋娃娃,3%,4,100,敏捷20命中10
"普通扭蛋機：哥拉爾鎮(122,80)",硬殼龜扭蛋娃娃,7%,3,80,防禦10抗昏睡5
"普通扭蛋機：哥拉爾鎮(122,80)",石像怪扭蛋娃娃,7%,3,80,抗遺忘5抗石化5
"普通扭蛋機：哥拉爾鎮(122,80)",棉球扭蛋娃娃,7%,3,80,防禦10生命50魔力70
"普通扭蛋機：哥拉爾鎮(122,80)",潛盾扭蛋娃娃,18%,3,80,防禦5回復10魔攻5
"普通扭蛋機：哥拉爾鎮(122,80)",穴龍扭蛋娃娃,18%,3,80,敏捷10命中5
"普通扭蛋機：哥拉爾鎮(122,80)",半獸人扭蛋娃娃,18%,3,80,防禦10敏捷5生命50
"普通扭蛋機：哥拉爾鎮(122,80)",火焰啄木鳥扭蛋娃娃,18%,3,80,攻擊10敏捷10
"普通扭蛋機：魯米那斯村(71,35)",獅鷲獸扭蛋娃娃,1%,4,100,敏捷25生命100
"普通扭蛋機：魯米那斯村(71,35)",烈風翼龍扭蛋娃娃,3%,4,100,精神20抗魔20
"普通扭蛋機：魯米那斯村(71,35)",山飛甲扭蛋娃娃,3%,4,100,敏捷20命中10
"普通扭蛋機：魯米那斯村(71,35)",硬殼龜扭蛋娃娃,7%,3,80,防禦10抗昏睡5
"普通扭蛋機：魯米那斯村(71,35)",石像怪扭蛋娃娃,7%,3,80,抗遺忘5抗石化5
"普通扭蛋機：魯米那斯村(71,35)",棉球扭蛋娃娃,7%,3,80,防禦10生命50魔力70
"普通扭蛋機：魯米那斯村(71,35)",口袋龍扭蛋娃娃,18%,,,
"普通扭蛋機：魯米那斯村(71,35)",大型半獸人扭蛋娃娃,18%,3,80,攻擊5防禦10生命50
"普通扭蛋機：魯米那斯村(71,35)",強盾扭蛋娃娃,18%,3,80,防禦5魔攻5抗魔10
"普通扭蛋機：魯米那斯村(71,35)",爆岩扭蛋娃娃,18%,3,80,防禦25敏捷-5
"普通扭蛋機：米諾基亞村(53,91)",依格羅斯扭蛋娃娃,1%,4,100,敏捷25回復20
"普通扭蛋機：米諾基亞村(53,91)",烈風翼龍扭蛋娃娃,3%,4,100,精神20抗魔20
"普通扭蛋機：米諾基亞村(53,91)",山飛甲扭蛋娃娃,3%,4,100,敏捷20命中10
"普通扭蛋機：米諾基亞村(53,91)",硬殼龜扭蛋娃娃,7%,3,80,防禦10抗昏睡5
"普通扭蛋機：米諾基亞村(53,91)",石像怪扭蛋娃娃,7%,3,80,抗遺忘5抗石化5
"普通扭蛋機：米諾基亞村(53,91)",棉球扭蛋娃娃,7%,3,80,防禦10生命50魔力70
"普通扭蛋機：米諾基亞村(53,91)",鋼鬼扭蛋娃娃,18%,3,80,防禦10生命50抗魔5
"普通扭蛋機：米諾基亞村(53,91)",煙霧扭蛋娃娃,18%,3,80,精神10生命50魔力70
"普通扭蛋機：米諾基亞村(53,91)",岩怪扭蛋娃娃,18%,3,80,防禦15敏捷-5生命100
"普通扭蛋機：米諾基亞村(53,91)",大炸彈扭蛋娃娃,18%,3,80,防禦-15抗魔20
"普通扭蛋機：雷克塔爾鎮(77,79)",冥界死神扭蛋娃娃,1%,4,100,攻擊15魔攻15抗石化5
"普通扭蛋機：雷克塔爾鎮(77,79)",烈風翼龍扭蛋娃娃,3%,4,100,精神20抗魔20
"普通扭蛋機：雷克塔爾鎮(77,79)",山飛甲扭蛋娃娃,3%,4,100,敏捷20命中10
"普通扭蛋機：雷克塔爾鎮(77,79)",硬殼龜扭蛋娃娃,7%,3,80,防禦10抗昏睡5
