活動日期,公告日,活動／期別,合成公式,公告連結
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,"任意等級的巴力寶寶II ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的巴力寶寶II（概率80%） / └ LV1的巴力寶寶III（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,"任意等級的巴力寶寶I ＋ 黑暗之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的巴力寶寶I（概率80%） / └ LV1的巴力寶寶II（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,"任意等級的喵喵寶寶III ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶III（概率80%） / └ LV1的喵喵寶寶IV（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,"任意等級的喵喵寶寶II ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶II（概率80%） / └ LV1的喵喵寶寶III（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-25）,2026-03-25,最強家族招募大作戰 貪慾牛魔限時來襲,"任意等級的喵喵寶寶I ＋ 虛空之魂×1 ＋ 喚靈契約符×10 ＋ 金幣100,000G ＝ / ├ LV1的喵喵寶寶I（概率80%） / └ LV1的喵喵寶寶II（概率20%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html)
未載明（公告日 2026-03-12）,2026-03-12,連破試煉迴廊 傳承寵物珍貴技能,"LV1的異型蜂 ＋ 異型火蜂設計圖ABC ＋ 金幣100,000G ＝ / ├ Lv1的異型火蜂（概率10%） / └ Lv1的異型蜂（概率90%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html)
2026-03-03～2026-04-04,2026-03-03,雪之冰華傳說 通往神域的覺醒門扉,Lv1的雪 ＋ 雪之聖角×3 ＝ Lv1的天叢雲雪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-03-03～2026-04-04,2026-03-03,雪之冰華傳說 通往神域的覺醒門扉,Lv1的天叢雲雪 ＋ 雪之聖角×1 ＝ Lv1的天叢雲雪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"任意等級的飛馬公主 ＋ 飛馬公主設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造飛馬公主（概率5%） / └ lv1飛馬公主（概率95%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"任意等級的露比 ＋ 露比設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造露比（概率5%） / └ lv1露比（概率95%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"任意等級的布偶夏莉 ＋ 布偶夏莉設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造布偶夏莉（概率5%） / └ lv1布偶夏莉（概率95%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"任意等級的冰原獨角獸 ＋ 冰原獨角獸設計圖ABC×1 ＋ 金幣100,000G ＝ / ├ lv1改造冰原獨角獸（概率5%） / └ lv1冰原獨角獸（概率95%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-02-26,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"Lv1的舞 ＋ 舞之聖角×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的舞（概率95%） / └ Lv1的天叢雲舞（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-03-12,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"Lv1的噗栗醬 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的噗栗君（概率33%） / ├ Lv1的噗栗醬（概率33%） / ├ Lv1的噗栗桑（概率33%） / └ Lv1的噗栗大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-03-12,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"Lv1的噗栗桑 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的噗栗君（概率33%） / ├ Lv1的噗栗醬（概率33%） / ├ Lv1的噗栗桑（概率33%） / └ Lv1的噗栗大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-12～2026-03-12,2026-02-12,光之指引救贖之子 保底必得馬年限定寵物,"Lv1的噗栗君 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的噗栗君（概率33%） / ├ Lv1的噗栗醬（概率33%） / ├ Lv1的噗栗桑（概率33%） / └ Lv1的噗栗大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html)
2026-02-02～2026-03-03,2026-01-30,駕馭禁忌之力 簽訂噬歲時序的傳說,Lv1的噬歲狼王 ＋ 災厄王印×1 ＝ Lv1的噬歲狼王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html)
2026-02-02～2026-03-03,2026-01-30,駕馭禁忌之力 簽訂噬歲時序的傳說,Lv1的嗜血狂狼 ＋ 災厄王印×3 ＝ Lv1的噬歲狼王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html)
2026-01-22～2026-02-05,2026-01-21,黃金迷宮與神龍的傳說 保底必得限定黃金獸,LV1的布丁史萊姆 ＋ 布丁史萊姆設計圖ABC ＝ Lv1的黃金史萊姆,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的魔術師艾夏菲 ＋ 勇者之魂×3 ＝ Lv1的大魔導師艾夏菲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的戰斧帕里修斯 ＋ 勇者之魂×3 ＝ Lv1的戰斧大師帕里修斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的戰斧大師帕里修斯 ＋ 勇者之魂×1 ＝ Lv1的戰斧大師帕里修斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的巫王耶克爾 ＋ 勇者之魂×1 ＝ Lv1的巫王耶克爾,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的巫師耶克爾 ＋ 勇者之魂×3 ＝ Lv1的巫王耶克爾,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的大魔導師艾夏菲 ＋ 勇者之魂×1 ＝ Lv1的大魔導師艾夏菲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的劍術大師里昂 ＋ 勇者之魂×1 ＝ Lv1的劍術大師里昂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2026-01-01～2026-02-02,2025-12-31,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,Lv1的劍士里昂 ＋ 勇者之魂×3 ＝ Lv1的劍術大師里昂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,任意等級的聖誕馴鹿 ＋ 聖誕馴鹿設計圖ABC ＝ Lv1的改造馴鹿,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,任意等級的聖誕水藍鼠 ＋ 聖誕水藍鼠設計圖ABC ＝ Lv1的改造聖誕水藍鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,任意等級的糖果大地鼠 ＋ 糖果大地鼠設計圖ABC ＝ Lv1的改造糖果大地鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,"Lv1的奔旦醬 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的奔旦君（概率33%） / ├ Lv1的奔旦醬（概率33%） / ├ Lv1的奔旦桑（概率33%） / └ Lv1的奔旦大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,"Lv1的奔旦桑 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的奔旦君（概率33%） / ├ Lv1的奔旦醬（概率33%） / ├ Lv1的奔旦桑（概率33%） / └ Lv1的奔旦大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,"Lv1的奔旦君 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的奔旦君（概率33%） / ├ Lv1的奔旦醬（概率33%） / ├ Lv1的奔旦桑（概率33%） / └ Lv1的奔旦大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-25～2026-01-22,2025-12-24,失蹤的馴鹿大作戰 與搗蛋大王的約定,"Lv1赤燄或碧燄 ＋ 變異之源×3 ＋ 希望火柴盒×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ 火柴小王子",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-12～2026-01-01,2025-12-12,虛無暗淵之主 沉睡的紫獄龍王,Lv1的紫獄龍王 ＋ 紫龍魂契×1 ＝ Lv1的紫獄龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16314.html)
2025-12-12～2026-01-01,2025-12-12,虛無暗淵之主 沉睡的紫獄龍王,Lv1的幻紫飛龍 ＋ 紫龍魂契×3 ＝ Lv1的紫獄龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16314.html)
2025-12-11～2025-12-25,2025-12-10,惡龍大亂鬥 拯救聖誕火雞,"Lv1的巫蛇妖姬 ＋ 女媧重石×1 ＋ 金幣100,000G ＝ / ├ Lv1的八重紫（概率3%） / └ Lv1的巫蛇妖姬（概率97%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16284.html)
2025-12-05～2026-01-01,2025-12-05,法蘭聖誕序曲 暖冬歸途獻豪禮,"Lv1的劈哩醬 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的劈哩君（概率33%） / ├ Lv1的劈哩醬（概率33%） / ├ Lv1的劈哩桑（概率33%） / └ Lv1的劈哩大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16264.html)
2025-12-05～2026-01-01,2025-12-05,法蘭聖誕序曲 暖冬歸途獻豪禮,"Lv1的劈哩桑 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的劈哩君（概率33%） / ├ Lv1的劈哩醬（概率33%） / ├ Lv1的劈哩桑（概率33%） / └ Lv1的劈哩大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16264.html)
2025-12-05～2026-01-01,2025-12-05,法蘭聖誕序曲 暖冬歸途獻豪禮,"Lv1的劈哩君 ＋ 聖誕星人許願卡×1 ＋ 金幣100,000G ＝ / ├ Lv1的劈哩君（概率33%） / ├ Lv1的劈哩醬（概率33%） / ├ Lv1的劈哩桑（概率33%） / └ Lv1的劈哩大王（概率1%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16264.html)
2025-11-11～2025-12-12,2025-11-10,跨越死亡冥域的契約 掌控不朽龍王之力,Lv1的紫金暴龍王 ＋ 冥龍之心×1 ＝ Lv1的紫金暴龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16164.html)
2025-11-11～2025-12-12,2025-11-10,跨越死亡冥域的契約 掌控不朽龍王之力,Lv1的紫金冥龍 ＋ 冥龍之心×3 ＝ / ├ Lv1的紫金暴龍王（概率50%） / └ Lv1的渡（概率50%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16164.html)
2025-11-11～2025-12-12,2025-11-10,跨越死亡冥域的契約 掌控不朽龍王之力,Lv1的渡 ＋ 冥龍之心×1 ＝ Lv1的渡,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16164.html)
2025-10-30～2025-11-13,2025-10-29,勇闖寵物傳承聖殿 狂歡萬聖驚魂夜,"任意等級的的天空元素使 ＋ 風元素之卵×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的天空元素使（概率95%） / └ Lv1的風之使徒（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16124.html)
2025-10-10～2025-11-11,2025-10-10,改造狂想曲 超越極限的雙重詠嘆,Lv1的艾德奇美拉 ＋ 共生記憶活體×3 ＝ / ├ Lv1的寒冰奇美拉（概率50%） / └ Lv1的綾香（概率50%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16044.html)
2025-10-10～2025-11-11,2025-10-10,改造狂想曲 超越極限的雙重詠嘆,Lv1的聖紋地龍 ＋ 共生記憶活體×1 ＝ Lv1的寒冰奇美拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16044.html)
2025-10-10～2025-11-11,2025-10-10,改造狂想曲 超越極限的雙重詠嘆,Lv1的綾香 ＋ 共生記憶活體×1 ＝ Lv1的綾香,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16044.html)
2025-10-02～2025-10-16,2025-10-01,中秋月宮遇奇緣 嫦娥邀君解危局,"任意等級的黑醬麻薯兔兔 ＋ 閃耀變異之源×3 ＋ 大福糯團×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1黑糖大福兔兔",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16004.html)
2025-10-02～2025-10-16,2025-10-01,中秋月宮遇奇緣 嫦娥邀君解危局,"任意等級的白櫻麻薯兔兔 ＋ 閃耀變異之源×3 ＋ 大福糯團×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1雪見大福兔兔",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16004.html)
2025-10-02～2025-10-16,2025-10-01,中秋月宮遇奇緣 嫦娥邀君解危局,"Lv100以上的黃金樹精 ＋ 變異之源×3 ＋ 黃金樹根×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1黃金樹靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16004.html)
未載明（公告日 2025-09-17）,2025-09-17,孵化家族至尊聖獸 海洋使徒的四方之契,"任意等級的的海洋元素使 ＋ 水元素之卵×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的海洋元素使（概率95%） / └ Lv1的海洋使徒（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15874.html)
2025-09-09～2025-10-10,2025-09-09,聖紋啟示錄 龍與騎士的誓約,Lv1的魔紋幼龍 ＋ 地核晶石×3 ＝ / ├ Lv1的聖紋地龍（概率50%） / └ Lv1的聖槍騎士（概率50%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15804.html)
2025-09-09～2025-10-10,2025-09-09,聖紋啟示錄 龍與騎士的誓約,Lv1的聖紋地龍 ＋ 地核晶石×1 ＝ Lv1的聖紋地龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15804.html)
2025-09-09～2025-10-10,2025-09-09,聖紋啟示錄 龍與騎士的誓約,Lv1的聖槍騎士 ＋ 地核晶石×1 ＝ Lv1的聖槍騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15804.html)
未載明（公告日 2025-09-04）,2025-09-04,中元幽冥之瞳 骷髏王的王權迴響,"Lv1的伯爵之棺 ＋ 不死冥蝠×1 ＋ 閃耀變異之源×10 ＋ 金幣50,000G ＝ / ├ Lv1的伯爵之棺（概率95%） / └ Lv1的魔女妮可（概率5%）",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15784.html)
