等級,名稱,分類,類型,材料,能力,說明,販店價,image
2,寬手斧,斧,單手武器,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+32~+58 防禦-4 敏捷-10~-12 必殺+18,寬手斧。,470,/img/武器/寬手斧.gif
2,戰鬥手斧,斧,單手武器,鐵條(10)、銀條(5)、印度輕木(20)、樅(20),攻擊+40~+73 防禦-5 敏捷-12~-15 必殺+18,於近身戰時方可發揮威力之手斧。,650,/img/武器/手斧.gif
2,刺槍,槍,單手武器,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+22~+40 反擊+6 命中+3,輕又長，方便操作的槍。,450,/img/武器/刺槍.gif
2,金屬槍,槍,單手武器,銅條(8)、鐵條(5)、印度輕木(20)、樅(20),攻擊+28~+50 反擊+6 命中+3,中央有手把，全金屬做的槍。,550,/img/武器/金屬槍.gif
2,獵弓,弓,雙手武器,鐵條(4)、樅(20)、黃月木(20)、麻布(3)、木棉布(6),攻擊+30~+55,聲音小的狩獵用單弓。,550,/img/武器/獵弓.gif
2,短戰弓,弓,雙手武器,鐵條(2)、印度輕木(20)、樅(20)、麻布(5)、木棉布(4),攻擊+24~+44,攜帶方便的步兵用短弓。,450,/img/武器/短戰弓.gif
2,大地之杖,杖,單手武器,鐵條(10)、印度輕木(20)、樅(20),攻擊+5 精神+8~+10 魔攻+42~+48,以大地之力量鍛煉的杖。,450,/img/武器/大地之杖.gif
2,激流權杖,杖,單手武器,鐵條(12)、印度輕木(20)、樅(20)、黃月木(20),攻擊+11~+20 精神+5 魔攻+42~+45,以激烈水流鍛煉的中型杖。,500,/img/武器/激流權杖.gif
2,彩光回力鏢,投擲武器,雙手武器,銅條(9)、鐵條(6)、印度輕木(20)、樅(20)、黃月木(20),攻擊+32~+58,發出各種光的回力鏢。,500,/img/武器/彩光回力鏢.gif
2,追跡者,投擲武器,雙手武器,銅條(7)、鐵條(4)、印度輕木(20)、樅(20),攻擊+25~+46,操作簡單的大型回力鏢。,450,/img/武器/追跡者.gif
2,圓盤小刀,小刀,雙手武器,銅條(6)、鐵條(3)、樅(20)、木棉布(3),攻擊+20~+36 必殺+3,手把兩邊有圓盤的小刀。,450,/img/武器/銳刃小刀.gif
2,細刃擲刀,小刀,雙手武器,鐵條(7)、銀條(3)、樅(20)、黃月木(20)、木棉布(4),攻擊+25~+45 必殺+3,劍身細又長的小刀。,550,/img/武器/細刃擲刀.gif
3,雙手劍,劍,雙手武器,鐵條(10)、銀條(8)、樅(20)、鐵杉(20),攻擊+50~+84,柄很長的兩手持大劍。,700,/img/武器/雙手劍.gif
3,麵包劍,劍,單手武器,銅條(7)、鐵條(6)、銀條(5),攻擊+43~+75,長柄的劍，不但很重也很堅固。,600,/img/武器/長劍.gif
3,格鬥手斧,斧,單手武器,銅條(9)、鐵條(5)、銀條(5)、黃月木(20),攻擊+52~+87 防禦-6 敏捷-14~-18 必殺+18,用於近身戰的長柄手斧。,700,/img/武器/格鬥手斧.gif
3,鋼斧,斧,單手武器,銅條(10)、鐵條(9)、純銀條(4)、黃月木(20),攻擊+61~+102 防禦-7 敏捷-17~-22 必殺+18,鋼鐵製的重戰斧。,800,/img/武器/手斧.gif
3,長柄尖槍,槍,單手武器,鐵條(8)、銀條(6)、純銀條(5)、樅(20)、黃月木(20),攻擊+42~+70 反擊+6 命中+3,有長又尖尖端部的長柄槍。,700,/img/武器/長柄彎槍.gif
3,長柄彎槍,槍,單手武器,銅條(10)、鐵條(6)、銀條(3)、樅(20)、黃月木(20),攻擊+36~+60 反擊+6 命中+3,柄上有新月型刃部的長柄武器。,600,/img/武器/長柄彎槍.gif
3,強弓,弓,雙手武器,銀條(8)、印度輕木(20)、樅(20)、黃月木(20)、毛氈(7),攻擊+40~+66,用3種素材加強強度的單弓。,600,/img/武器/強弓.gif
3,格鬥弓,弓,雙手武器,銀條(9)、樅(20)、黃月木(20)、鐵杉(20)、毛氈(9),攻擊+46~+77,高威力戰鬥用合成弓。,700,/img/武器/格鬥弓.gif
3,魔之手杖,杖,單手武器,鐵條(14)、銀條(2)、印度輕木(20)、樅(20)、黃月木(20),攻擊+5 精神+10~+15 魔攻+73~+82,方便使出魔法的長杖。,600,/img/武器/魔之手杖.gif
3,魔之權杖,杖,單手武器,鐵條(11)、銀條(8)、印度輕木(20)、黃月木(20)、鐵杉(20),攻擊+19~+30 精神+5 魔攻+73~+77,方便使出魔法的中型杖。,700,/img/武器/魔之權杖.gif
3,暗殺回力鏢,投擲武器,雙手武器,銀條(5)、樅(20)、黃月木(20)、麻布(8)、木棉布(6),攻擊+41~+69,可從死角飛過去的回力鏢。,600,/img/武器/暗殺回力鏢.gif
3,殺敵回力鏢,投擲武器,雙手武器,銀條(12)、樅(20)、黃月木(20)、鐵杉(20)、麻布(10),攻擊+49~+81,切到敵人深處的回力鏢。,700,/img/武器/暗殺回力鏢.gif
3,滑翔小刀,小刀,雙手武器,鐵條(8)、銀條(5)、樅(20)、黃月木(20)、毛氈(4),攻擊+32~+54 必殺+3,專門投擲的小刀。,650,/img/武器/滑翔小刀.gif
3,細直刃小刀,小刀,雙手武器,銀條(7)、純銀條(5)、黃月木(20)、鐵杉(20)、毛氈(7),攻擊+38~+63 必殺+3,直又有尖銳尖端的小刀。,750,/img/武器/細直刃小刀.gif
4,鎖刃劍,劍,單手武器,鐵條(10)、純銀條(7)、金條(5)、黃月木(20),攻擊+70~+108,為了用來造其他劍的特殊劍。,900,/img/武器/鎖刃劍.gif
4,雙刃長劍,劍,單手武器,銅條(15)、鐵條(5)、純銀條(5)、黃月木(20),攻擊+62~+96,細長、劍身寬、而且又銳利的兩刃劍。,800,/img/武器/雙刃長劍.gif
4,長戰斧,斧,單手武器,銅條(8)、鐵條(8)、銀條(7)、純銀條(3)、鐵杉(20),攻擊+75~+116 防禦-8 敏捷-19~-25 必殺+18,容易使用的長柄斧頭。,900,/img/武器/長戰斧.gif
4,雙刃斧,斧,單手武器,鐵條(10)、銀條(7)、純銀條(5)、金條(4)、印度輕木(20),攻擊+85~+131 防禦-9 敏捷-16~-27 必殺+18,好上手的戰鬥用雙頭斧。,1000,/img/武器/雙刃斧.gif
4,穗槍,槍,單手武器,鐵條(8)、銀條(7)、純銀條(7)、黃月木(20)、鐵杉(20),攻擊+52~+80 反擊+6 命中+3,有樹葉型很利刃部的長槍。,800,/img/武器/攻城槍.gif
4,雙叉戟,槍,單手武器,銀條(10)、純銀條(10)、金條(3)、黃月木(20)、鐵杉(20),攻擊+59~+90 反擊+6 命中+3,尖端有分叉的捕捉用長柄武器。,900,/img/武器/雙叉戟.gif
4,狙擊弓,弓,雙手武器,純銀條(10)、樅(20)、黃月木(20)、鐵杉(20)、毛氈(10),攻擊+57~+88,據說百發百中的弓。,900,/img/武器/格鬥弓.gif
4,超強狙擊弓,弓,雙手武器,純銀條(11)、黃月木(20)、鐵杉(20)、琵琶木(20)、棉(11),攻擊+64~+99,有羽毛裝飾，高精度的弓。,900,/img/武器/超強狙擊弓.gif
4,賢者手杖,杖,單手武器,銀條(10)、純銀條(10)、印度輕木(20)、樅(20)、鐵杉(20),攻擊+5 精神+15~+20 魔攻+104~+116,賢者之長杖。,800,/img/武器/賢者手杖.gif
4,賢者權杖,杖,單手武器,銀條(12)、純銀條(12)、樅(20)、鐵杉(20)、琵琶木(20),攻擊+28~+40 精神+5 魔攻+104~+110,賢者之中型杖。,950,/img/武器/賢者權杖.gif
4,獅子回力鏢,投擲武器,雙手武器,樅(20)、黃月木(20)、鐵杉(20)、毛氈(10)、棉(11),攻擊+60~+92,模仿獅子的回力鏢。,800,/img/武器/獅子回力鏢.gif
4,銳角回力鏢,投擲武器,雙手武器,純銀條(11)、黃月木(20)、鐵杉(20)、琵琶木(20)、毛氈(15),攻擊+68~+104,快速迴轉的回力鏢。,950,/img/武器/獅子回力鏢.gif
4,耳柄小刀,小刀,雙手武器,銀條(8)、純銀條(7)、黃月木(20)、鐵杉(20)、棉(7),攻擊+47~+72 必殺+3,柄像耳朵形狀的小刀。,850,/img/武器/耳柄小刀.gif
4,騎士小刀,小刀,雙手武器,純銀條(8)、金條(7)、鐵杉(20)、琵琶木(20)、棉(8),攻擊+53~+81 必殺+3,最後一擊用的小刀。,950,/img/武器/騎士小刀.gif
5,格鬥劍,劍,單手武器,鐵條(10)、銀條(3)、純銀條(6)、金條(7)、鐵杉(20),攻擊+84~+120,適用於對戰的改良寬劍。,1000,/img/武器/闊劍.gif
5,長鍔劍,劍,雙手武器,銅條(10)、鐵條(8)、銀條(7)、金條(8)、赤松(20),攻擊+92~+132,容易攜帶且重防禦的長柄兩手劍。,1200,/img/武器/雙手劍.gif
5,黑作太刀,劍,雙手武器,銅條(10)、鐵條(10)、鋁條(7)、金條(7)、赤松(20),攻擊+93~+129 敏捷+1~+5 命中+2 閃躲+1,不加裝飾，實戰用的直刀。因黑漆塗製的刀鞘而得名。,800,/img/武器/黑作太刀.gif
5,鉤爪斧,斧,單手武器,銀條(10)、純銀條(10)、金條(5)、樅(20)、琵琶木(20),攻擊+102~+145 防禦-10 敏捷-26~-30 必殺+18,尖端有鉤的捕捉用斧頭。,1400,/img/武器/鉤爪斧.gif
5,鑽保雷格之斧,斧,雙手武器,鐵條(10)、鋁條(7)、純銀條(7)、白金條(2)、琵琶木(20),攻擊+100~+168 防禦-10 敏捷-24~-30 必殺+18 反擊+1~+4 命中+3,雖然看起來又厚又重，但切砍起來相當銳利的戰斧。,900,/img/武器/鑽保雷格之斧.gif
5,闊刃斧,斧,單手武器,鐵條(10)、銀條(10)、純銀條(10)、白金條(2)、琵琶木(20),攻擊+112~+160 防禦-11 敏捷-26~-33 必殺+18,刃部寬的巨大戰鬥斧頭。,1500,/img/武器/闊刃斧.gif
5,偃月刀,槍,單手武器,鐵條(10)、鋁條(5)、茱萸木(20)、鐵杉(20)、琵琶木(20),攻擊+87~+126 防禦+1~+5 反擊+8 命中+4,長柄刀的一種。因裝飾華麗而顯得略重。,800,/img/武器/偃月刀.gif
5,護衛槍,槍,單手武器,銀條(15)、金條(10)、黃月木(20)、鐵杉(20)、琵琶木(20),攻擊+70~+100 反擊+6 命中+3,衛兵用，有裝飾的長槍。,1100,/img/武器/護衛槍.gif
5,騎士槍,槍,單手武器,銀條(15)、白金條(10)、樅(20)、鐵杉(20)、琵琶木(20),攻擊+77~+110 反擊+6 命中+3,騎士用像刺槍的長柄槍。,1300,/img/武器/騎士槍.gif
5,殺手長弓,弓,雙手武器,純銀條(9)、金條(11)、鐵杉(20)、琵琶木(20)、毛氈(5),攻擊+77~+110,具有破壞力的長弓。,1100,/img/武器/殺手長弓.gif
5,米斯特汀之弓,弓,雙手武器,鋁條(19)、金條(15)、茱萸木(20)、赤松(20)、琵琶木(20),攻擊+77~+122 閃躲+1~+3,看起來好像裝飾品，但是精準度高而攻擊力強的弓。,800,/img/武器/米斯特汀之弓.gif
5,衝擊弓,弓,雙手武器,銀條(5)、金條(19)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+85~+121,用弓與箭的共振來發出衝擊波的弓。,1300,/img/武器/強弓.gif
5,琥珀杖,杖,單手武器,金條(16)、樅(20)、黃月木(20)、鐵杉(20)、琵琶木(20),攻擊+5 精神+20~+25 魔攻+135~+150,琥珀色閃亮的杖。,1100,/img/武器/琥珀杖.gif
5,琥珀權杖,杖,單手武器,金條(17)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+37~+50 精神+5 魔攻+135~+142,琥珀色閃亮的中型杖。,1200,/img/武器/琥珀權杖.gif
5,魔晶之杖,杖,雙手武器,鋁條(7)、茱萸木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+38~+51 防禦+5 精神+5 回復+1~+6 魔攻+135~+142,此杖同時具有威嚴的外表以及優越的直接攻擊力。,800,/img/武器/魔晶之杖.gif
5,北斗之鎌刀,投擲武器,雙手武器,鋁條(6)、茱萸木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+85~+135 必殺+1~+5 閃躲+1,名為「諸神之鎌」的圓形投擲武器。,800,/img/武器/北斗之鎌刀.gif
5,翼鹿回力鏢,投擲武器,雙手武器,黃月木(20)、鐵杉(20)、琵琶木(20)、毛氈(15)、細線(10),攻擊+81~+115,模仿有翅膀的鹿的回力鏢。,1100,/img/武器/翼鹿回力鏢.gif
5,阿修塔羅回力鏢,投擲武器,雙手武器,金條(20)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+89~+127,那裡都可飛到的回力鏢。,1200,/img/武器/阿修塔羅回力鏢.gif
5,忍者飛鏢,小刀,雙手武器,鋁條(6)、純銀條(5)、白金條(5)、鐵杉(20)、赤松(20),攻擊+66~+110 敏捷+1~+6 必殺+3 命中+2 閃躲+2,可以拿來當鏟子或鑿子用，多種用途的忍者武器。,800,/img/武器/忍者飛鏢.gif
5,球鍔小刀,小刀,雙手武器,純銀條(7)、金條(8)、鐵杉(20)、琵琶木(20)、細線(8),攻擊+63~+90 必殺+3,有球狀金屬的男性用小刀。,1100,/img/武器/球鍔小刀.gif
5,雙刃小刀,小刀,雙手武器,純銀條(8)、金條(7)、白金條(7)、鐵杉(20)、赤松(20),攻擊+69~+99 必殺+3,兩側有刃部直的大型小刀。,1200,/img/武器/雙刃小刀.gif
6,豬牙劍,劍,單手武器,銀條(10)、純銀條(10)、白金條(8)、鐵杉(20)、琵琶木(20),攻擊+108~+144,劍身像豬牙的細劍。,1400,/img/武器/豬牙劍.gif
6,雙刃闊劍,劍,單手武器,純銀條(6)、金條(10)、白金條(10)、琵琶木(20)、朴(20),攻擊+117~+156,劍身寬廣的短劍。,1600,/img/武器/雙刃闊劍.gif
6,大型闊刃斧,斧,雙手武器,銀條(8)、純銀條(10)、金條(10)、幻之鋼條(3)、赤松(20),攻擊+142~+189 防禦-13 敏捷-33~-39 必殺+18,刃部很寬的巨大戰鬥斧。,1800,/img/武器/雙刃斧.gif
6,彎月大戰斧,斧,雙手武器,純銀條(10)、金條(10)、白金條(6)、黃月木(20)、赤松(20),攻擊+131~+174 防禦-12 敏捷-30~-36 必殺+18,有著彎月型斧刃的巨大戰斧。,1600,/img/武器/彎月大戰斧.gif
6,大砍槍,槍,單手武器,純銀條(7)、金條(8)、白金條(10)、琵琶木(20)、赤松(20),攻擊+90~+120 反擊+6 命中+3,有勾鐮刀狀的槍。,1500,/img/武器/護衛槍.gif
6,長尖槍,槍,單手武器,金條(9)、白金條(10)、幻之鋼條(5)、鐵杉(20)、赤松(20),攻擊+98~+130 反擊+6 命中+3,尖端極尖，專門刺殺用的槍。,1700,/img/武器/金屬槍.gif
6,巨弓,弓,雙手武器,金條(12)、白金條(11)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+99~+132,有壓迫感的大弓。,1500,/img/武器/巨弓.gif
6,長格鬥弓,弓,雙手武器,金條(13)、白金條(12)、琵琶木(20)、赤松(20)、朴(20),攻擊+107~+143,不容易壞掉，結實的長弓。,1700,/img/武器/短戰弓.gif
6,元素之杖,杖,單手武器,白金條(16)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+5 精神+24~+30 魔攻+166~+184,精靈形狀的杖。,1400,/img/武器/元素之杖.gif
6,神聖之杖,杖,單手武器,白金條(17)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+46~+60 精神+5 魔攻+166~+175,受過神官祝福的杖。,1600,/img/武器/神聖之杖.gif
6,蛇獅回力鏢,投擲武器,雙手武器,白金條(17)、黃月木(20)、鐵杉(20)、琵琶木(20)、赤松(20),攻擊+104~+138,模仿獅子之回力鏢。,1300,/img/武器/蛇獅回力鏢.gif
6,鶇回力鏢,投擲武器,雙手武器,白金條(17)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+113~+150,模仿大鶇的回力鏢。,1400,/img/武器/鶇回力鏢.gif
6,觸角小刀,小刀,雙手武器,幻之鋼條(15)、琵琶木(20)、赤松(20),攻擊+88~+117 必殺+3,柄頭像觸角的小刀。,1400,/img/武器/銳刃小刀.gif
6,闊刃小刀,小刀,雙手武器,純銀條(8)、金條(7)、白金條(8)、琵琶木(20)、赤松(20),攻擊+81~+108 必殺+3,寬又兩側有刃部的直小刀。,1300,/img/武器/雙刃小刀.gif
7,巨劍,劍,單手武器,純銀條(15)、白金條(10)、幻之鋼條(7)、赤松(20)、鋼騎之礦(1),攻擊+125~+170 命中+10 閃躲-5,單手可斬擊，雙手可突擊的戰鬥實用劍。,1700,/img/武器/雙手劍.gif
7,水龍之劍,劍,單手武器,生鏽的劍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+210 敏捷+5 命中+2 閃躲+2 耐久300,寄宿有海神的魔力的劍。,無法販售,/img/武器/水龍之劍.gif
7,長軍刀,劍,單手武器,銀條(10)、金條(13)、幻之鋼條(11)、印度輕木(20)、朴(20),攻擊+135~+180,劍身寬廣的防禦劍。,1700,/img/武器/長軍刀.gif
7,大型雙刃斧,斧,雙手武器,鐵條(20)、白金條(12)、幻之鋼條(6)、琵琶木(20)、赤松(20),攻擊+164~+220 防禦-15 敏捷-36~-42 必殺+18,大型雙頭戰鬥斧頭。,1900,/img/武器/雙刃斧.gif
7,水龍之斧,斧,雙手武器,生鏽的斧(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+220 防禦+25 必殺+18 耐久300,寄宿有海神的魔力的斧。,無法販售,/img/武器/水龍之斧.gif
7,超大皇帝斧,斧,雙手武器,純銀條(20)、白金條(10)、幻之鋼條(10)、朴(20)、誓言之證(1),攻擊+120~+145 防禦-14 敏捷-34~-40 必殺+36,讓人驚訝的大斧頭。,2000,/img/武器/闊刃斧.gif
7,水龍之槍,槍,單手武器,生鏽的槍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(20),攻擊+140 敏捷+50 必殺+12 命中+6 耐久300,寄宿有海神的魔力的槍。,無法販售,/img/武器/水龍之槍.gif
7,蠍槍,槍,單手武器,銀條(15)、白金條(10)、幻之鋼條(8)、黃月木(20)、朴(20),攻擊+105~+140 反擊+6 命中+3,改造進化的特殊槍。,1800,/img/武器/蠍槍.gif
7,雙刃槍,槍,單手武器,白金條(10)、幻之鋼條(14)、赤松(20)、朴(20)、鋼騎之礦(1),攻擊+120~+125 反擊+12 命中+6,有分叉刀部的槍。,1900,/img/武器/雙刃槍.gif
7,月光長弓,弓,雙手武器,白金條(8)、幻之鋼條(16)、琵琶木(20)、赤松(20)、朴(20),攻擊+123~+165,像美麗新月般閃亮的弓。,1900,/img/武器/月光長弓.gif
7,水龍之弓,弓,雙手武器,生鏽的弓(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+165 必殺+2 命中+20 耐久200,寄宿有海神的魔力的弓。,無法販售,/img/武器/水龍之弓.gif
7,破邪長弓,弓,雙手武器,白金條(10)、幻之鋼條(10)、絹布(6)、朴(20)、誓言之證(1),攻擊120~+130 命中+10 必殺+2,裂開黑夜的長弓。,1800,/img/武器/短戰弓.gif
7,怒音之杖,杖,單手武器,幻之鋼條(18)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+5 精神+28~+35 魔攻+197~+218,揮打也發不出聲音的杖。,1700,/img/武器/怒音之杖.gif
7,水龍之杖,杖,單手武器,生鏽的杖(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+70 精神+35 魔攻+218 耐久200,寄宿有海神的魔力的杖,無法販售,/img/武器/水龍之杖.gif
7,隱者之杖,杖,單手武器,白金條(12)、幻之鋼條(9)、琵琶木(20)、赤松(20)、朴(20),攻擊+55~+70 精神+5 魔攻+197~+207,隱者形狀的中型杖。,1700,/img/武器/隱者之杖.gif
7,冰龍,投擲武器,雙手武器,生鏽的投擲武器(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),攻擊+173 精神+10 必殺+20 耐久300,寄宿有海神的魔力的投具,無法販售,/img/武器/冰龍.gif
7,閃光回力鏢,投擲武器,雙手武器,白金條(8)、幻之鋼條(10)、赤松(20)、朴(20)、鋼騎之礦(1),攻擊+130~+140 必殺+15,閃爍閃亮的回力標。,1500,/img/武器/閃光回力鏢.gif
7,雄翼牛回力鏢,投擲武器,雙手武器,金條(10)、幻之鋼條(10)、琵琶木(20)、赤松(20)、朴(20),攻擊+130~+173,模仿有翅膀的公牛之回力鏢。,1500,/img/武器/雄翼牛回力鏢.gif
7,兇殺刀,小刀,雙手武器,白金條(10)、幻之鋼條(10)、鐵杉(20)、赤松(20)、朴(20),攻擊+101~+135 必殺+3,有複雜型狀刀身，危險投擲小刀。,1500,/img/武器/兇殺刀.gif
7,水龍的小刀,小刀,雙手武器,生鏽的短劍(1)、鋼騎之礦(2)、魔族的水晶(2)、幻之鋼條(10),攻擊+129 命中+25 明鏡止水所需魔力減少50% 耐久300,寄宿有海神的魔力的短劍。,無法販售,/img/武器/水龍的小刀.gif
7,漢拉提小刀,小刀,雙手武器,幻之鋼條(10)、赤松(20)、朴(20)、細線(10)、神眼(1),攻擊+116~+126 必殺+3 命中+15 閃躲-15,柄上兩端都有刀的特殊小刀。,1500,/img/武器/漢拉提小刀.gif
8,細柄短劍,劍,單手武器,幻之鋼條(10)、幻之銀條(13)、樅(20)、赤松(20)、杉(20),攻擊+153~+204,劍身很細柄很短的輕巧劍。,1800,/img/武器/細柄短劍.gif
8,護身短劍,劍,單手武器,銅條(15)、白金條(16)、幻之鋼條(13)、杉(20)、魔族的水晶(1),攻擊+225~+230 防禦-50 魔力-200,裝飾過度的防身用短劍。,1800,/img/武器/護身短劍.gif
8,長軍刀+,劍,單手武器,幻之鋼條(18)、幻之銀條(18)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+90~+180 必殺+1~+2 耐久200~+250 生產系晉升任務Ⅲ,劍身寬廣的防禦劍。,1700,/img/武器/長軍刀.gif
8,大型雙刃斧+,斧,雙手武器,幻之鋼條(20)、幻之銀條(12)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+168~+225 防禦-10~-15 敏捷-28~-40 必殺+18 反擊+1~+3 耐久200~+250 生產系晉升任務Ⅲ,大型雙頭戰鬥斧頭。,1900,/img/武器/雙刃斧.gif
8,新月斧,斧,雙手武器,金條(13)、白金條(10)、幻之銀條(10)、赤松(20)、朴(20),攻擊+174~+232 防禦-16 敏捷-40~-48 必殺+18,有重量壓迫感的長柄巨大斧頭。,2000,/img/武器/新月斧.gif
8,米諾陶斯戰斧,斧,雙手武器,純銀條(10)、幻之鋼條(10)、幻之銀條(10)、杉(20)、魔族的水晶(1),攻擊+200~+245 防禦-70 必殺+18,牛頭怪曾經使用的巨大戰鬥斧頭。,2200,/img/武器/米諾陶斯戰斧.gif
8,東方長刺鎗,槍,單手武器,白金條(9)、幻之鋼條(9)、幻之銀條(10)、杉(20)、魔族的水晶(1),攻擊+140 反擊+6 閃躲-4 命中+8 耐久300~+350,中間有手把，末端有金屬箍的長槍。,2100,/img/武器/東方長刺鎗.gif
8,蠍槍+,槍,單手武器,幻之鋼條(17)、幻之銀條(13)、杉(20)、永久冰石(20)、藍龍之鱗(20),攻擊+110~+148 反擊+5~+7 命中+3~+5 耐久200~+250 生產系晉升任務Ⅲ,改造進化的特殊槍。,1800,/img/武器/蠍槍.gif
8,闊刃槍,槍,單手武器,幻之銀條(20)、鐵杉(20)、琵琶木(20)、赤松(20)、朴(20),攻擊+120~+160 反擊+6 命中+3,有長三角錘形狀尖端的步兵槍。,2000,/img/武器/金屬槍.gif
8,原始石弓,弓,雙手武器,白金條(20)、幻之鋼條(14)、朴(20)、杉(20)、魔族的水晶(1),攻擊+170~+187 命中+15 亂射所需消耗魔力增加100%,用腹部力量去拉弓弦，傳統的巨弓。,2000,/img/武器/原始石弓.gif
8,月光之弓+,弓,雙手武器,幻之銀條(20)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+130~+160 命中+1~+5 生產系晉升任務Ⅲ,像美麗新月般閃亮的弓。,1900,/img/武器/月光長弓.gif
8,重弦弓,弓,雙手武器,幻之鋼條(11)、幻之銀條(12)、赤松(20)、朴(20)、杉(20),攻擊+140~+187,為了拉緊弓弦，裝了特殊工具的巨弓。,2100,/img/武器/重弦弓.gif
8,光明短杖,杖,單手武器,白金條(10)、幻之鋼條(12)、赤松(20)、朴(20)、杉(20),攻擊+5 精神+32~+40 魔攻+228~+252,好人用的短杖。,1800,/img/武器/光明短杖.gif
8,惡魔之杖,杖,單手武器,幻之鋼條(10)、幻之銀條(7)、赤松(20)、朴(20)、杉(20),攻擊+64~+80 精神+5 魔攻+228~+240,惡魔形狀的杖。,1800,/img/武器/惡魔之杖.gif
8,落雷權杖+,杖,單手武器,幻之銀條(15)、朴(20)、杉(20)、濕地毒蛇(10)、藍龍之鱗(20),攻擊+50~+70 精神+28~+35 魔攻+197~+208 耐久300~+350 生產系晉升任務Ⅲ,隱者形狀的中型杖。,1700,/img/武器/隱者之杖.gif
