等級,名稱,材料,能力,說明,販店價,image,初心專屬
8,鉚釘頭盔,鐵條(10)、幻之銀條(5)、莎蓮娜線(5)、杉(20),防禦+71~+94 抗魔+32~+48,用鐵板與圖釘裝飾的頭盔。,1600,/img/防具/鉚釘頭盔.gif,
8,鋼製頭盔+,幻之鋼條(7)、幻之銀條(5)、杉(20)、永久冰石(20)、藍龍之鱗(20),防禦+65~+85 閃躲+1~+5 命中-1 抗魔+16~+32 耐久300~+350 生產系晉升任務Ⅲ,頭頂部與頭部後面受保護的鋼製頭盔。,1550,/img/防具/鋼製頭盔.gif,
9,羽毛頭盔,幻之銀條(3)、勒格耐席鉧條(5)、朴(20)、杉(20)、莎蓮娜線(3),防禦+84~+105 抗魔+45~+63,為了王宮警衛做的頭盔。,2000,/img/防具/羽毛頭盔.gif,
9,龍盔,勒格耐席鉧條(8)、絲柏(20)、莎蓮娜線(4)、誓言之證(1)、鋼騎之礦(1),防禦+85 命中+3 抗魔+24~+36 護衛所需消耗魔力減少25%,古代勇者所戴的頭盔。,2400,/img/防具/龍盔.gif,
10,白金頭盔,幻之銀條(3)、勒格耐席鉧條(5)、奧利哈鋼條(3)、絲柏(20)、莎蓮娜線(3),防禦+99~+116 抗魔+50~+70,白金做的頭盔。,3300,/img/防具/白金頭盔.gif,
10,聖龍頭盔,勒格耐席鉧條(5)、奧利哈鋼條(5)、梣(20)、鋼騎之礦(4)、魔族的水晶(4),防禦+130 抗魔+40~+60 必殺 -5,可使用古代神秘力量的頭盔。,4000,/img/防具/聖龍頭盔.gif,
11A,龍龜頭盔,幻之銀條(10)、勒格耐席鉧條(10)、奧利哈鋼條(10)、喜馬拉斯礦條(10),防禦+113~129、魔防+55~74,,,,是
11B,魔犬頭盔,桐木(40)、鋼騎之礦(3)、喜馬拉斯礦條(10)、深海的水晶(1)、弗羅爾達礦條(10),防禦+58~139、魔防+45~79、生命+20~157,,,,是
12A,聖靈頭盔,烏鐵木(40)、奧利哈鋼條(10)、喜馬拉斯礦條(10)、弗羅爾達礦條(10)、幽冥礦條(5),防禦+126~141、魔防+60~80,,,,是
12B,盔日和：靈魂記憶,烏鐵木(40)、鋼騎之礦(5)、失落的聖盔器靈(1)、幽冥礦條(10)、深海的水晶(3),防禦+54~152、魔防+58~86、生命+28~234、命中-1~5、必殺+1~9、閃躲-10~+10,,,,是
