日期,類別,重點標記,開放內容說明,公告,首次公開寵物,公告連結
2026-02-12,賽事,,,任務爭霸賽第30期開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16544.html)
2026-02-11,地圖／任務,新任務,開放主線任務：救贖之子,2月12日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16534.html)
2026-02-04,寵物／秘寶,,,蛇舞寶箱大派對 限定好禮全集結,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16524.html)
2026-02-02,寵物／秘寶,,,累計消費活動上線,比特魔蝠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16494.html)
2026-01-30,寵物／秘寶,,,駕馭禁忌之力 簽訂噬歲時序的傳說,嗜血狂狼、噬歲狼王、春,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html)
2026-01-21,地圖／任務,,,黃金迷宮與神龍的傳說 保底必得限定黃金獸,伊莉絲、岩柱、赤金翼獅、食夢貘、黃金史萊姆,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html)
2026-01-08,寵物／秘寶,,,春日同行 亞紀子與喵 迎春特典十連六折優惠,亞紀子、方塊喵,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16404.html)
2026-01-04,賽事,,,PVP爭霸賽第17期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16384.html)
2025-12-31,寵物／秘寶,,,千年血脈的呼喚勇者小隊再集結 首日9折&首週血脈共鳴成功率直升三倍,劍士里昂、劍術大師里昂、大魔導師艾夏菲、巫師耶克爾、巫王耶克爾、戰斧大師帕里修斯、戰斧帕里修斯、魔術師艾夏菲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html)
2025-12-24,寵物／秘寶,,,失蹤的馴鹿大作戰 與搗蛋大王的約定,奔旦君、奔旦大王、奔旦桑、奔旦醬、平安海葵、改造糖果大地鼠、改造聖誕水藍鼠、改造馴鹿,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html)
2025-12-12,寵物／秘寶,,,虛無暗淵之主 沉睡的紫獄龍王,幻紫飛龍、紫獄龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16314.html)
2025-12-10,節慶／活動,,,惡龍大亂鬥 拯救聖誕火雞,八重紫、巫蛇妖姬、梅花喵、極地雪人,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16284.html)
2025-12-05,節慶／活動,,,法蘭聖誕序曲 暖冬歸途獻豪禮,冰冰雪人、劈哩君、劈哩大王、劈哩桑、劈哩醬、圍巾雪人,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16264.html)
2025-11-27,寵物／秘寶,,,埃爾美達樹之淚 決戰淺域龍神,弒殺螳螂、海拉爾戰士、淺域龍神、第16期亞軍寵、第16期金怪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16244.html)
2025-11-26,地圖／任務,新任務,開放家族任務：家族水晶鑄造,11月27日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16234.html)
2025-11-20,地圖／任務,,,玩轉小任務 轉盤樂翻天,烏傑比,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16224.html)
2025-11-17,賽事,,,PVP爭霸賽第17期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16204.html)
2025-11-13,寵物／秘寶,,,帝國傳奇現世 穿越千年的寶藏,帝國士兵菲爾、玄武石巨像、銀龍騎士團古娜,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16194.html)
2025-11-10,寵物／秘寶,,,跨越死亡冥域的契約 掌控不朽龍王之力,渡、紫金冥龍、紫金暴龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16164.html)
2025-11-10,賽事,,,任務爭霸賽第28季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16174.html)
2025-11-10,賽事,,,PVP爭霸賽第17期開啟預告,強擊漂浮炸彈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16144.html)
2025-10-29,節慶／活動,,,勇闖寵物傳承聖殿 狂歡萬聖驚魂夜,欺詐小魅魔、白銀冥鬥士、風之使徒,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16124.html)
2025-10-29,地圖／任務,新任務,開放寵物技能任務：寵物技能聖殿,10月30日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16114.html)
2025-10-20,賽事,,,PVP爭霸賽第16期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16074.html)
2025-10-15,寵物／秘寶,,,王國遠征令啟程 解鎖寵物傳承之力,死亡狂蜂、波卡加、魯恩卡爾,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16064.html)
2025-10-15,地圖／任務,新任務,開放寵物技能前置任務：王國遠征軍；開放技能任務：心眼,10月16日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16054.html)
2025-10-10,寵物／秘寶,,,改造狂想曲 超越極限的雙重詠嘆,寒冰奇美拉、綾香、艾德奇美拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16044.html)
2025-10-01,地圖／任務,,,中秋月宮遇奇緣 嫦娥邀君解危局,吳桂、地瓜兔、嫦娥仙子、菲尼利特、蘿蔔兔、雪見大福兔兔、黑糖大福兔兔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16004.html)
2025-09-22,賽事,,,關於PVP爭霸賽第16期重新開賽的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15924.html)
2025-09-20,賽事,,,關於PVP爭霸賽淘汰賽延期開賽的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15914.html)
2025-09-17,寵物／秘寶,,,孵化家族至尊聖獸 海洋使徒的四方之契,心春、極奢鼠皇、歐比康、海洋使徒、翔太、芽依,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15874.html)
2025-09-17,地圖／任務,新任務,開放任務：家族聖獸試煉,9月18日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15824.html)
2025-09-09,寵物／秘寶,,,聖紋啟示錄 龍與騎士的誓約,聖槍騎士、聖紋地龍、魔紋幼龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15804.html)
2025-09-09,賽事,,,任務爭霸賽第27季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15814.html)
2025-09-04,寵物／秘寶,,,中元幽冥之瞳 骷髏王的王權迴響,中元腐屍、僵屍王爺、僵屍貝勒、骷髏海盜王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15784.html)
2025-08-28,節慶／活動,,,商城上架七夕特惠道具的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15754.html)
2025-08-28,賽事,,,PVP爭霸賽第16期開啟預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15764.html)
2025-08-21,節慶／活動,,,七夕尋姻緣相思祈願箋 首日77折&77抽必得節日限定寵物,德蘭多爾、愛情花妖、戈魯姆、瑟菲雅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15734.html)
2025-08-07,寵物／秘寶,,,血染千魂妖刀 白焰的救贖對決,妖刀、白焰、鬼眼村正,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15704.html)
2025-08-06,地圖／任務,,,誕生24週年慶最終彈 勇者道場激鬥奪寶箱,星海魚人、礦工寄居蟹、菲利克斯、魚人狂戰士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15694.html)
2025-07-24,節慶／活動,,,《魔力寶貝》24週年誕生慶典 正式展開！,24週年慶噩夢鼠、24週年慶大地鼠、24週年慶水龍蜥、24週年慶螳螂、24週年慶黃蜂、寶寶炸彈、小白鴨、快樂咩、橘胖團團、爆炎晶魚、生日咩、緋璇、賀歲鴨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15634.html)
2025-07-10,寵物／秘寶,,,盛夏之約 少女與人魚的夏日絮語,海藍蝙蝠、皮娜,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15594.html)
2025-07-03,寵物／秘寶,,,地獄之門將啟！速奪紅魔寶箱，化身閻魔之主！,地獄閻魔、紅魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15574.html)
2025-06-25,寵物／秘寶,,,黑潮巨獸謎蹤 深海龍王現世,乘浪企鵝、深海鳥魔、深海龍王、琴瑟海妖、衝浪小黃鴨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15554.html)
2025-06-25,地圖／任務,新任務,開放任務：歎息之海,6月26日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15544.html)
2025-06-11,寵物／秘寶,,,霸王啾啾失踪事件 勇闖深海遺跡,墮落天使、寒武小丑魚、珊瑚海葵、青藻海帶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15414.html)
2025-06-11,地圖／任務,新任務,開放任務：黑潮遺跡,6月12日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15404.html)
2025-06-09,賽事,,,PVP爭霸賽第15期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15394.html)
2025-06-06,寵物／秘寶,,,命運雙子 共譜星辰之路,星雲、流星、黃金加百列,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15384.html)
2025-05-28,寵物／秘寶,,,龍舟傳祝福 龍祖山激鬥,碧水龍舟、糯米粽子、紅甲蠍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15344.html)
2025-05-28,地圖／任務,限時任務,開放限時任務：端午節活動,5月29日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15334.html)
2025-05-21,節慶／活動,,,《魔力寶貝：永恆初心》四週年活動最終彈 週年巡遊禮,日輪火使、星鑽豬王、歌姬女皇、水晶豬王、皇鑽豬王、鳶尾花妖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15324.html)
2025-05-19,賽事,,,PVP爭霸賽第14期抽抽樂限時特惠,烏拉諾斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15304.html)
2025-05-14,地圖／任務,,,《魔力寶貝：永恆初心》四週年活動第三彈 王者道場試煉開啟,地之使徒、地獄蝙蝠、札拉庫、牛仔靴怪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15274.html)
2025-05-07,節慶／活動,,,《魔力寶貝：永恆初心》四週年活動第二彈火熱進行中,冰獄骷髏、小丑豬寶、改造鈦白嚇人箱、桃紅巫寶、白雪、鈦白嚇人箱、魔術豬寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15254.html)
2025-05-07,地圖／任務,新任務,開放任務：寶箱獵人,5月8日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15244.html)
2025-05-04,寵物／秘寶,,,銀龍傳說再現 重塑世界法則,白銀巨龍、神聖白龍王、裁決白龍王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15234.html)
2025-05-01,地圖／任務,地圖預告,首度曝光全新地圖「荒漠之地」,《魔力寶貝：永恆初心》四週年慶典燃情啟幕！神代戰神「玄黎」破界降臨，與你共鑄不朽傳說！,大地毒蛛、小白鼠、小紅鼠、暴狨獸、火焰倉鼠、玄黎、胖寶倉鼠、雪地倉鼠、飛櫻螳螂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15224.html)
2025-04-30,地圖／任務,新任務,開放任務：混沌的宿命,5月1日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15214.html)
2025-04-29,賽事,,,關於取消PVP爭霸賽「獅子魚的榮耀」隊伍比賽資格的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15184.html)
2025-04-16,寵物／秘寶,,,穿越寒霧的絮語 來自空島的承諾,地底龍龜、威爾士紅龍、阿德基姆、黑樺斑蝶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15114.html)
2025-04-16,地圖／任務,新任務,開放任務：星夜祭的承諾,4月17日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15104.html)
2025-04-07,賽事,,,PVP爭霸賽第14期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15054.html)
2025-04-03,寵物／秘寶,,,無盡櫻海綻放 緋紅巨龍歸來,古美絲、櫻花龍、緋紅巨龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15044.html)
2025-04-02,寵物／秘寶,,,來自千年的守望 闇影君王覺醒,嗜血骷髏、巴洛妮克、美洲仙人掌、雷暴殺人蜂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14974.html)
2025-04-02,地圖／任務,新任務,開放混沌雙子 主線任務：闇影君王,4月3日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14964.html)
2025-03-19,職業／系統,,,關於延期開放遊戲視窗上限的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14944.html)
2025-03-19,寵物／秘寶,,,軍團挑戰召集令 每日轉盤天天抽,貝貝菈、霸天魔鷹、黃金翼龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14934.html)
2025-03-13,賽事,,,PVP爭霸賽第13期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14904.html)
2025-03-06,寵物／秘寶,,,墜入黑暗的光芒 神女千夜降臨,千夜、沙暴仙人掌、紅唇蝌魚,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14854.html)
2025-03-06,賽事,,,任務爭霸賽第24季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14864.html)
2025-03-03,寵物／秘寶,,,魔豬重生轉世 八戒覺醒降世,菲洛緹亞、豬八戒、豬剛鬣、魔豬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14824.html)
2025-02-20,職業／系統,,,第八軍團長選拔試煉 全新寵物跟隨系統勁爆登場,戰錘軍長、流星菇、裂空哥布林,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14794.html)
2025-02-19,地圖／任務,新任務,開放任務：軍團試煉,2月20日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14784.html)
2025-02-10,賽事,,,PVP爭霸賽第13期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14744.html)
2025-02-06,寵物／秘寶,,,今宵共賞月 愛鼠來相伴,吉利豬、情人節鼠王、愛情康乃馨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html)
2025-02-02,賽事,,,PVP爭霸賽第13期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14674.html)
2025-01-28,寵物／秘寶,,,宿命的交織 八岐大蛇降臨,八岐大蛇、弓射手桐香、梅宗,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14664.html)
2025-01-22,節慶／活動,,,喜迎新年集靈珠 回歸豪禮大放送,月見紗、素白蛇姬、聖刀賽格梅特、藍海蛇姬、赤鏈蛇姬、醒獅年獸、金鱗蛇姬、雨傘節、青靈蛇姬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14624.html)
2025-01-15,賽事,,,冠軍寵物強勢來襲 鼠王家族限時返場,刀師賽格梅特、巨捧金剛,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14544.html)
2025-01-02,寵物／秘寶,,,遠古巨人之謎 泰坦寵物裝備強勢來襲,寶瓶妖靈、泰坦赫里斯、白銀巨像、紺青之棺、魔女蕾亞、黃金泰坦,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14494.html)
2025-01-01,寵物／秘寶,,,遠古傳承的交織 賽格梅特之魂,劍士賽格梅特、咒師賽格梅特、女皇賽格梅特、弓箭手賽格梅特、戰斧賽格梅特、新生賽格梅特、格鬥家賽格梅特、聖劍賽格梅特、聖咒賽格梅特、聖弓賽格梅特、聖斧賽格梅特、聖騎賽格梅特、聖鬥賽格梅特、騎士賽格梅特,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14474.html)
2025-01-01,賽事,,,任務爭霸賽第23季開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14484.html)
2024-12-19,節慶／活動,,,冰雪獵魔人降臨 點亮法蘭聖誕之夜,冰雪獵魔人、冰雪魔人、劇毒花妖王、死亡樹魔、聖誕北極熊,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14434.html)
2024-12-18,地圖／任務,限時任務,開放限時任務：營救聖誕老人；開放限時任務：聖誕驚喜樹,12月19日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14414.html)
2024-12-09,寵物／秘寶,,,喚醒最純潔的光輝 潘妮與你來相會,潘妮、番茄咩、聖誕豬王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14364.html)
2024-12-05,節慶／活動,,,惡龍大亂鬥 拯救聖誕火雞,冰魄龍骨、桂紅鴨、火火兔、紅凱、聖誕節火雞、聖誕節鴕雞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html)
2024-12-04,地圖／任務,限時任務,開放限時任務：失蹤的火雞活動,12月5日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14334.html)
2024-12-02,賽事,,,PVP爭霸賽第12期正式開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14304.html)
2024-11-26,賽事,,,PVP爭霸賽第十一期抽抽樂限時特惠,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14284.html)
2024-11-25,賽事,,,PVP爭霸賽第12期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14274.html)
2024-11-22,節慶／活動,,,惡魔龍骨狂舞 感恩節大挑戰,岩帝龍骨、幼年岩帝龍骨、幼年聖金龍骨、火達雞、聖金龍骨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html)
2024-11-20,地圖／任務,限時任務,開放限時任務：感恩節活動,11月22日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14244.html)
2024-11-14,地圖／任務,新地圖,開放地圖：森達爾村莊,開放森達爾村莊 納卡斯之影,紅靴精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14224.html)
