名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,公告日,公告連結,image,任務用途
拉扎紅魟,飛行系,33,39,20,24,9,8,125,火7風3,連擊LV12、氣功彈LV1,2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html),/img/專屬寵物/拉扎紅魟.gif,
紫海龍舟,植物系,38,6,12,23,46,8,125,火1風9,混亂衝擊波LV10、超強中毒魔法LV7、強力石化魔法LV7,2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html),/img/專屬寵物/紫海龍舟.gif,
紫薯粽子,植物系,42,41,12,16,12,8,123,水5火5,潛龍殺LV3,2026-06-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17344.html),/img/專屬寵物/紫薯粽子.gif,
百合聖騎士,人形系,31,49,6,31,8,8,125,風10,連擊LV13、諸刃LV12、裂空斬LV10,2026-06-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html),/img/專屬寵物/百合聖騎士.gif,
白銀聖鬥士,人形系,45,43,6,23,8,8,125,火10,氣功彈LV3、崩擊LV12、飛刃亂舞LV10,2026-06-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html),/img/專屬寵物/白銀聖鬥士.gif,
百合騎士,人形系,29,45,10,31,10,8,125,風9地1,連擊LV11、裂空斬LV6,2026-06-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html),/img/專屬寵物/百合聖騎士.gif,
白銀格鬥士,人形系,45,37,10,23,10,8,125,水1火9,氣功彈I,2026-06-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17294.html),/img/專屬寵物/白銀聖鬥士.gif,
御法神神樂,金屬系,50,4,4,17,50,8,125,水10,超強混亂魔法LV10、超強石化魔法LV10、潔淨魔法LV3、超強補血魔法LV7,2026-05-27,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html),/img/專屬寵物/御法神神樂.gif,
青翼獵隼,飛行系,29,37,15,34,10,8,125,風2地8,裂空斬LV10、突襲之舞LV10,2026-05-27,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17094.html),/img/專屬寵物/青翼獵隼.gif,
火之使徒,特殊系,50,50,4,17,4,8,125,火10,亂射LV10、潔淨魔法LV4、氣功彈LV3、必殺狙擊LV10,2026-05-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17074.html),/img/專屬寵物/火之使徒.gif,
使徒小鬧鐘,金屬系,35,38,21,21,10,8,125,火8風2,乾坤一擲LV11、魔法反彈LV3、氣功彈I,2026-05-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17074.html),/img/專屬寵物/使徒小鬧鐘.gif,
摯愛喵比特,飛行系,24,40,18,33,10,8,125,火10,突襲之舞LV10、亂射LV4,2026-05-20,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17054.html),/img/專屬寵物/摯愛喵比特.gif,
御魂雷影,金屬系,50,50,4,17,4,8,125,地10,連擊LV11、戰慄襲心LV13、裂空斬LV10、氣功彈LV3,2026-05-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html),/img/專屬寵物/御魂雷影.gif,[黃金寶藏迷宮](/任務攻略/限時活動/黃金寶藏迷宮) 與入口處食夢貘對話可直達黃金之洞窟地下 50 階
鬼泣雷影,金屬系,50,4,4,17,50,8,125,地10,超強石化魔法LV10、戰慄襲心LV13、強力補血魔法LV10,2026-05-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html),/img/專屬寵物/鬼泣雷影.gif,[黃金寶藏迷宮](/任務攻略/限時活動/黃金寶藏迷宮) 與入口處食夢貘對話可直達黃金之洞窟地下 50 階
影,金屬系,34,45,20,20,6,8,125,地10,連擊LV11,2026-05-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html),/img/專屬寵物/影.gif,
五週年黃蜂,昆蟲系,15,40,10,50,10,8,125,火10,氣功彈LV2、石化攻擊LV12、氣絕回復LV1,2026-05-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html),/img/專屬寵物/五週年黃蜂.gif,
果栗鼠,野獸系,21,11,13,39,39,8,123,風9地1,強力混亂魔法LV3,2026-05-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17034.html),/img/專屬寵物/果栗鼠.gif,
蕾米兒,人形系,50,33,6,30,6,8,125,風10,潛龍殺LV12、乾坤一擲LV12、裂空斬LV10、氣絕回復LV4,2026-05-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16954.html),/img/專屬寵物/蕾米兒.gif,
黑潮水母,飛行系,39,40,7,30,7,8,125,水10,連擊LV13、戰慄襲心LV12、氣功彈LV3,2026-05-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16954.html),/img/專屬寵物/黑潮水母.gif,
凜冬龍王,龍系,50,41,7,20,7,8,125,水10,氣功彈LV3、裂空斬LV10、諸刃LV13,2026-05-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html),/img/專屬寵物/凜冬龍王.gif,
凜冬巨龍,龍系,25,39,15,22,19,8,125,水10,氣功彈I,2026-05-04,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16934.html),/img/專屬寵物/凜冬龍王.gif,
金牛座,野獸系,36,38,29,11,11,8,125,風8地2,潛龍殺LV10,2026-05-01,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16924.html),/img/專屬寵物/金牛座.gif,
天叢雲神樂,金屬系,27,40,4,50,4,8,125,水5風5,連擊LV11、補血魔法LV10、裂空斬LV10、氣功彈LV3,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/天叢雲神樂.gif,
神樂,金屬系,25,40,10,40,10,8,125,水10,連擊LV11,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/神樂.gif,
初心花仙,植物系,29,9,16,27,44,8,125,風10,強力遺忘魔法LV10、混亂衝擊波LV10,,,/img/專屬寵物/初心花仙.gif,
寶貝蛋糕,特殊系,27,9,16,27,46,8,125,水10,強力酒醉魔法LV10、混亂衝擊波LV10,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/寶貝蛋糕.gif,
魔力蛋糕,特殊系,27,9,16,27,46,8,125,火10,強力混亂魔法LV10、混亂衝擊波LV10,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/魔力蛋糕.gif,
斑斑貘,飛行系,26,10,13,31,43,8,123,水10,強力昏睡魔法LV10、混亂衝擊波LV10,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/斑斑貘.gif,
初心花妖,植物系,27,11,15,28,39,8,120,火3風7,強力酒醉魔法LV3,2026-04-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16894.html),/img/專屬寵物/初心花妖.gif,
米拉魚人,飛行系,28,50,10,27,10,8,125,水1火9,氣功彈LV2、乾坤一擲LV11,2026-04-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16844.html),/img/專屬寵物/米拉魚人.gif,
羞羞倉鼠,野獸系,27,10,13,30,43,8,123,水2火8,強力酒醉魔法LV3,2026-04-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16844.html),/img/專屬寵物/羞羞倉鼠.gif,
天叢雲櫻,金屬系,47,45,4,25,4,8,125,火10,連擊LV11、乾坤一擲LV12、裂空斬LV10、超強石化魔法LV7,2026-04-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html),/img/專屬寵物/天叢雲櫻.gif,
櫻,金屬系,40,40,10,25,10,8,125,火10,乾坤一擲LV11,2026-04-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html),/img/專屬寵物/櫻.gif,
花季倉鼠,野獸系,26,10,13,33,41,8,123,火2風8,強力昏睡魔法LV3,2026-04-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16794.html),/img/專屬寵物/花季倉鼠.gif,
虛空魔龍,不死系,37,50,7,24,7,8,125,水5火5,連擊LV12、氣功彈LV3、裂空斬LV10、氣絕回復LV1,2026-04-01,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html),/img/專屬寵物/虛空魔龍.gif,
梅莉珊卓,人形系,32,47,10,27,9,8,125,風10,連擊LV12,2026-04-01,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16764.html),/img/專屬寵物/梅莉珊卓.gif,
小鹽巴Kylie,飛行系,25,45,10,35,10,8,125,風2地8,裂空斬LV10、連擊LV11,,,/img/專屬寵物/小鹽巴Kylie.gif,
貪慾牛魔,不死系,45,40,7,25,8,8,125,火10,裂空斬LV10、氣功彈LV3、戰慄襲心LV11,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/貪慾牛魔.gif,[家族任務賽](/任務攻略/專屬任務/家族任務賽) 攜帶即可直接完成家族祭司奧巴麗的委託，免去討伐
魔官遊獄石,金屬系,30,47,10,27,11,8,125,地10,裂空斬LV10、連擊LV12,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/魔官遊獄石.gif,
喵喵寶寶IV,野獸系,30,40,30,12,12,8,124,風10,飛刃亂舞LV9、氣功彈LV1,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/喵喵寶寶IV.gif,
巴力寶寶IV,不死系,30,40,12,30,12,8,124,風10,裂空斬LV9、單體即死LV1,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/巴力寶寶IV.gif,
賽拉芬寶寶IV,飛行系,30,12,12,30,40,8,124,水10,混亂衝擊波LV9、氣絕回復LV1,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/賽拉芬寶寶IV.gif,
喵喵寶寶III,野獸系,29,29,29,12,12,8,121,風10,飛刃亂舞LV7,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/喵喵寶寶IV.gif,
巴力寶寶III,不死系,29,39,12,29,12,8,121,風10,裂空斬LV7,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/巴力寶寶IV.gif,
賽拉芬寶寶III,飛行系,29,12,12,29,39,8,121,水10,混亂衝擊波LV7,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/賽拉芬寶寶IV.gif,
喵喵寶寶II,野獸系,27,37,27,12,12,8,115,風10,飛刃亂舞LV3,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/喵喵寶寶IV.gif,
巴力寶寶II,不死系,27,37,12,27,12,8,115,風10,裂空斬LV3,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/巴力寶寶IV.gif,
賽拉芬寶寶II,飛行系,27,12,12,27,37,8,115,水10,混亂衝擊波LV3,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/賽拉芬寶寶IV.gif,
喵喵寶寶I,野獸系,25,25,25,12,12,8,109,風10,,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/喵喵寶寶IV.gif,
巴力寶寶I,不死系,25,35,12,25,12,8,109,風10,,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/巴力寶寶IV.gif,
賽拉芬寶寶I,飛行系,25,12,12,25,35,8,109,水10,,2026-03-25,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16724.html),/img/專屬寵物/賽拉芬寶寶IV.gif,
梅利莎,人形系,30,9,11,27,48,8,125,風10,精神衝擊波LV10、強力昏睡魔法LV10、雲群的祈禱LV10,2026-03-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html),/img/專屬寵物/梅利莎.gif,
異型火蜂,昆蟲系,32,45,10,28,10,8,125,火10,氣功彈LV2、連擊LV11,2026-03-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16684.html),/img/專屬寵物/異型火蜂.gif,
天叢雲雪,金屬系,50,40,4,27,4,8,125,風10,連擊LV11、氣功彈LV3、裂空斬LV10、潔淨魔法LV3,2026-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html),/img/專屬寵物/天叢雲雪.gif,
雪,金屬系,50,40,4,27,4,8,125,風10,裂空斬LV10,2026-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16644.html),/img/專屬寵物/雪.gif,
熱砂之歐茲那克,人形系,43,40,10,16,16,8,125,水10,氣功彈LV3、乾坤一擲LV11、崩擊LV11,2026-02-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16614.html),/img/專屬寵物/熱砂之歐茲那克.gif,
殺龍之歐茲尼克,人形系,34,45,10,26,10,8,125,火10,潛龍殺LV11、乾坤一擲LV11、裂空斬LV10、氣功彈LV2,2026-02-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16614.html),/img/專屬寵物/殺龍之歐茲尼克.gif,
糯糯靴靈,特殊系,26,16,19,16,46,8,123,水7火3,昏睡魔法LV7,2026-02-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16614.html),/img/專屬寵物/糯糯靴靈.gif,
愛情氣球,特殊系,31,10,10,24,50,8,125,水2火8,混亂衝擊波LV10、強力補血魔法LV6、昏睡魔法LV10,2026-02-14,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16564.html),/img/專屬寵物/愛情氣球.gif,
改造露比,人形系,20,6,17,40,42,8,125,水5火5,潔淨魔法LV6、混亂衝擊波LV10、強力混亂魔法LV10,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/改造露比.gif,
天叢雲舞,金屬系,27,40,4,50,4,8,125,地5火5,連擊LV11、連擊LV12、裂空斬LV10、潔淨魔法LV3,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/天叢雲舞.gif,[救贖之子](/任務攻略/主線任務/混沌雙子系列/救贖之子) 透過石碑直達出口，並跳過關卡王烏坎達的考驗
舞,金屬系,27,40,4,50,4,8,125,地5火5,連擊LV11,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/舞.gif,
赤血飛馬,飛行系,27,44,16,27,11,8,125,水2火8,諸刃LV11,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/赤血飛馬.gif,
改造飛馬公主,飛行系,43,46,14,16,6,8,125,風10,氣功彈LV3、連擊LV11、裂空斬LV10,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/改造飛馬公主.gif,
改造布偶夏莉,飛行系,21,8,17,35,44,8,125,風2地8,混亂衝擊波LV10、氣絕回復LV1、大地的祈禱LV8,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/改造布偶夏莉.gif,
改造冰原獨角獸,野獸系,33,47,13,26,6,8,125,水10,潛龍殺LV11、石化攻擊LV11、裂空斬LV10,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/改造冰原獨角獸.gif,
噗栗大王,不死系,29,45,25,15,11,8,125,水10,諸刃LV12、連擊LV11、裂空斬LV10,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/噗栗大王.gif,
噗栗桑,不死系,29,45,25,15,11,8,125,水10,裂空斬LV7,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/噗栗大王.gif,
噗栗醬,不死系,29,45,25,15,11,8,125,水10,連擊LV11,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/噗栗大王.gif,
噗栗君,不死系,29,45,25,15,11,8,125,水10,諸刃LV12,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/噗栗大王.gif,
小錦人馬,野獸系,36,32,33,10,12,8,123,水2火8,聖盾LV10,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/小錦人馬.gif,
爆蛋嚕嚕,特殊系,26,10,17,29,43,8,125,火3風7,超強火焰魔法LV1,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/爆蛋嚕嚕.gif,
鞭炮靴怪,特殊系,32,10,24,15,42,8,123,火7風3,火焰的祈禱LV1,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/鞭炮靴怪.gif,
青墨海馬,龍系,26,9,13,33,42,8,123,水2火8,強力酒醉魔法LV3,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/青墨海馬.gif,
噬歲狼王,金屬系,45,40,9,25,6,8,125,火5風5,氣功彈LV3、連擊LV11、裂空斬LV10,2026-01-30,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html),/img/專屬寵物/噬歲狼王.gif,
嗜血狂狼,金屬系,30,30,30,18,17,8,125,火10,氣功彈LV2、攻擊無效LV4,2026-01-30,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html),/img/專屬寵物/噬歲狼王.gif,
春,人形系,33,38,24,20,10,8,125,火6風4,裂空斬LV7,2026-01-30,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16484.html),/img/專屬寵物/春.gif,
比特魔蝠,飛行系,28,10,13,35,39,8,125,風3地7,強力中毒魔法LV7,2026-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16494.html),/img/專屬寵物/比特魔蝠.gif,
伊莉絲,人形系,30,6,16,23,50,8,125,火5風5,強力補血魔法LV7、混亂衝擊波LV10、超強遺忘魔法LV10,2026-01-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html),/img/專屬寵物/伊莉絲.gif,
黃金史萊姆,特殊系,35,7,7,48,28,8,125,火1風9,強力昏睡魔法LV10、超強昏睡魔法LV10、強力補血魔法LV7,2026-01-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html),/img/專屬寵物/黃金史萊姆.gif,
赤金翼獅,金屬系,34,40,17,24,10,8,125,火10,裂空斬LV10、連擊LV12、乾坤一擲LV11,2026-01-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html),/img/專屬寵物/赤金翼獅.gif,
食夢貘,飛行系,31,44,13,27,10,8,125,風9地1,氣功彈I、連擊LV12,2026-01-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html),/img/專屬寵物/食夢貘.gif,
岩柱,金屬系,29,35,27,10,19,8,125,風7地3,昏睡攻擊LV10,2026-01-21,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16444.html),/img/專屬寵物/岩柱.gif,
亞紀子,人形系,30,6,13,30,46,8,125,火10,超強石化魔法LV7、超強中毒魔法LV10、火焰的祈禱LV10,2026-01-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16404.html),/img/專屬寵物/亞紀子.gif,
方塊喵,野獸系,32,44,14,20,15,8,125,火10,飛刃亂舞LV10、連擊LV12,2026-01-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16404.html),/img/專屬寵物/方塊喵.gif,
劍術大師里昂,人形系,37,50,4,30,4,8,125,水10,連擊LV11、氣功彈LV3、裂空斬LV10,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/劍術大師里昂.gif,
戰斧大師帕里修斯,人形系,45,40,10,20,10,8,125,火10,潛龍殺LV11、乾坤一擲LV12、裂空斬LV10,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/戰斧大師帕里修斯.gif,
巫王耶克爾,人形系,44,7,7,22,45,8,125,地10,潔淨魔法LV3、恢復魔法LV10、超強補血魔法LV5,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/巫王耶克爾.gif,
大魔導師艾夏菲,人形系,35,5,5,30,50,8,125,風10,精神衝擊波LV10、石化魔法LV10、超強風刃魔法LV10,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/大魔導師艾夏菲.gif,
劍士里昂,人形系,37,50,4,30,4,8,125,水10,連擊LV11,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/劍術大師里昂.gif,
戰斧帕里修斯,人形系,45,40,10,20,10,8,125,火10,潛龍殺LV11,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/戰斧大師帕里修斯.gif,
巫師耶克爾,人形系,44,7,7,22,45,8,125,地10,潔淨魔法LV3,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/巫王耶克爾.gif,
魔術師艾夏菲,人形系,35,5,5,30,50,8,125,風10,精神衝擊波LV10,2025-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16364.html),/img/專屬寵物/大魔導師艾夏菲.gif,
奔旦大王,不死系,26,11,21,22,45,8,125,地10,強力石化魔法LV10、超強中毒魔法LV10、混亂衝擊波LV10,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/奔旦大王.gif,
奔旦桑,不死系,26,11,21,22,45,8,125,地10,混亂衝擊波LV10,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/奔旦大王.gif,
奔旦醬,不死系,26,11,21,22,45,8,125,地10,超強中毒魔法LV10,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/奔旦大王.gif,
奔旦君,不死系,26,11,21,22,45,8,125,地10,強力石化魔法LV10,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/奔旦大王.gif,
改造聖誕水藍鼠,野獸系,45,40,13,20,7,8,125,水10,氣功彈LV2、連擊LV11,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/改造聖誕水藍鼠.gif,
改造糖果大地鼠,野獸系,30,10,13,26,46,8,125,地10,昏睡魔法LV10、混亂衝擊波LV10,2025-12-24,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16344.html),/img/專屬寵物/改造糖果大地鼠.gif,
