等級,名稱,材料,能力,說明,販店價,image,初心專屬
6,聖者之袍,金條(10)、棉(13)、絹布(5)、赤松(10),防禦+36~+48 魔力+240~+300,隱藏聖者之力的袍。,1500,/img/防具/聖者之袍.gif,
7,冠軍之袍,純銀條(10)、白金條(10)、莎蓮娜線(20)、誓言之證(1),防禦+42~+56 吸血魔法所需消耗魔力減少20%,阿斯提亞僧兵穿的戰鬥袍，魔力不會上昇。,1750,/img/防具/冠軍之袍.gif,
7,時之袍,金條(5)、幻之鋼條(5)、棉(5)、莎蓮娜線(10),防禦+45~+60 魔力+300~+375,歷史悠久的袍。,1750,/img/防具/時之袍.gif,
7,水龍法袍,破爛的袍(1)、鋼騎之礦(2)、魔族的水晶(2)、朴(20),防禦+70 魔力+500 睡眠+10、石化+10 中毒+10 超強補血魔法所需消耗魔力減少30% 耐久200,寄宿有海神的魔力的長袍。,無法販售,/img/防具/水龍法袍.gif,
8,勇者之袍,白金條(5)、幻之銀條(10)、棉(5)、絹布(5)、傑諾瓦線(5),防禦+51~+68 魔力+340~+425,據說是傳說中的魔法師穿的袍。,1800,/img/防具/勇者之袍.gif,
8,死神之袍,幻之銀條(10)、棉(5)、絹布(5)、傑諾瓦線(5)、神眼(1),防禦+48~+64 魔力+320~+400 各種狀態抵抗+4,有邪惡力量危險的袍。,1800,/img/防具/死神之袍.gif,
8,潔淨之袍+,幻之銀條(5)、阿巴尼斯製的線(10)、阿巴尼斯製的布(20)、魔法紅蘿蔔(20)、藍龍之鱗(20),防禦+45~+61 魔力+300~+400 回復+1~+5 耐久300~+350 生產系晉升任務Ⅲ,歷史悠久的袍。,1750,/img/防具/時之袍.gif,
9,聖袍,勒格耐席鉧條(3)、細線(10)、細麻布(10)、魔族的水晶(1)、誓言之證(2),防禦-10 魔力+650,帶正面魔力的神聖袍。,3500,/img/防具/聖袍.gif,
9,黑暗之袍,勒格耐席鉧條(3)、毛氈(5)、絹布(5)、傑諾瓦線(5)、細麻布(8),防禦+61~+76 魔力+380~+475,帶負面魔力的袍。,3500,/img/防具/黑暗之袍.gif,
10,奇蹟之袍,奧利哈鋼條(5)、細線(10)、細麻布(15)、神眼(1)、魔族的水晶(5),防禦+80 魔力+400 補血魔法(單體)所需消耗魔力減少25%,引發奇蹟力量的不可思議袍。,6000,/img/防具/奇蹟之袍.gif,
10,靈魂之袍,奧利哈鋼條(2)、棉(10)、絹布(10)、傑諾瓦線(10)、開士米毛線(5),防禦+71~+84 魔力+480~+525,裡面有熱誠的袍。,5200,/img/防具/靈魂之袍.gif,
11A,冥想之袍,水精的卡片(1)、特勞倫之線(10)、梣(40)、絲柏(40),防禦+81~94、魔力+509~548、回復+1~3、氣絕回復耗魔減少5%,,,/img/存檔截圖/11A-冥想之袍.webp,是
11B,洪門法袍,誓言之證(2)、德特家的布(2)、特勞倫之線(5)、梣(40)、桐木(40),防禦+31~114、魔防+7~31、魔力+450~556、生命+8~146、中毒魔法耗魔減少10%,,,/img/存檔截圖/11B-洪門法袍.webp,是
12A,死靈長袍,羊脂花(20)、特勞倫之線(5)、白狼蛛絲(5)、桐木(40)、烏鐵木(40),防禦+95~107、魔力+603~652、魔法吸收耗魔減少5%,,,/img/存檔截圖/12A-死靈長袍.webp,是
12B,聖澤光輝袍：埃達,誓言之證(5)、深海的水晶(5)、失落的聖袍器靈(1)、德特家的布(5)、烏鐵木(40),防禦+43~118、魔力+513~731、生命+11~253、敏捷+2~21、魔防+9~52、閃躲-1~9、超強昏睡魔法耗魔減少5%,,,/img/存檔截圖/12B-聖澤光輝袍埃達.webp,是
