等級,物品名稱,分類,一般採集地點,建議採集地點,相關資料,販店價,image
5,胡椒,食材類,"芙蕾雅島法蘭城域(501,229)(番茄) / 索奇亞島奇利域(369,351)(牛肉) / 德威特島亞諾曼城域(290,315)(蕃茄) / 庫魯克斯島米諾基亞域(549,857) / 布拉基姆高地(150,267)","庫魯克斯島米諾基亞域(549,857) / 布拉基姆高地(150,267)",,20個41G,/img/採集/胡椒.gif
5,馬鈴薯,食材類,"莎蓮娜島傑諾瓦域(190,469) / 莎蓮娜島蒂娜域(391,404) / 布拉基姆高地(224,327)","莎蓮娜島傑諾瓦域(190,469) / 布拉基姆高地(224,327)",,20個41G,/img/採集/馬鈴薯.gif
5,豬肉,食材類,"芙蕾雅島炎洞前的平原(300,440)","芙蕾雅島炎洞前的平原(300,440)",,20個41G,/img/採集/豬肉.gif
5,鮭魚,食材類,"梅布爾隘地(202,161)","梅布爾隘地(202,161)",,20個41G,/img/採集/鮭魚.gif
6,砂糖,食材類,"莎蓮娜島魔法大學裡面(85,46)",維諾亞村村長家購買(4G/個) / 艾夏島中村蔬果店購買(8G/個),,無法販售,/img/採集/砂糖.gif
6,米,食材類,"芙蕾雅島伊爾域(676,288)(番茄) / 德威特島尼爾維海域(576,472) / 索奇亞島加納域(626,304) / 莎蓮娜島傑諾瓦域(286,512) / 庫魯克斯島哥拉爾域(263,348)","索奇亞加納域(626,304)",,20個51G,/img/採集/米.gif
7,高級奶油,食材類,"莎蓮娜島傑諾瓦域(154,349) / 莎蓮娜島蒂娜域(380,345)","莎蓮娜島傑諾瓦域(154,349)",,20個69G,/img/採集/高級奶油.gif
7,辣椒,食材類,"莎蓮娜島傑諾瓦域(309,446) / 莎蓮娜島蒂娜域(384,360) / 庫魯克斯島哥拉爾域(321,367) / 布拉基姆高地(276,301)","布拉基姆高地(276,301)",,20個69G,/img/採集/辣椒.gif
7,咖哩塊,食材類,"莎蓮娜島傑諾瓦域(266,430) / 莎蓮娜島蒂娜域(461,298) / 布拉基姆高地(131,224)","布拉基姆高地(131,224)",,20個69G,/img/採集/咖哩塊.gif
8,螃蟹,食材類,"莎蓮娜島傑諾瓦域(140,436) / 莎蓮娜島蒂娜域(558,346) / 莎蓮娜島傑諾瓦域(318,503)(133,432)(213,360) / 莎蓮娜島蒂娜域(555,352) / 米內葛爾島坎那貝拉域(566,348) / 庫魯克斯島(490,522)(哥拉爾往魯村方向過橋後旁邊)","莎蓮娜島傑諾瓦域(318,503)",,20個103G,/img/採集/螃蟹.gif
8,霜降牛肉,食材類,"莎蓮娜島蒂娜域(571,274) / 庫魯克斯島哥拉爾域(408,442) / 布拉基姆高地(189,130)(牛肉)","庫魯克斯島哥拉爾域(408,442)",,20個103G,/img/採集/霜降牛肉.gif
8,溼地毒蛇,食材類,"地底湖地下2F的小島(37,49)(腐爛的樹枝)","地底湖地下2F的小島(37,49)(腐爛的樹枝)",,20個103G,/img/採集/溼地毒蛇.gif
9,伊勢蝦,食材類,"莎蓮娜島魔法大學域(98,109) / 庫魯克斯哥拉爾域(147,402)","庫魯克斯哥拉爾域(147,402)",,20個208G,/img/採集/伊勢蝦.gif
9,海膽,食材類,"莎蓮娜島魔法大學域(125,108) / 庫魯克斯哥拉爾域(163,412)","庫魯克斯哥拉爾域(163,412)",,20個208G,/img/採集/海膽.gif
10,魚翅,食材類,"莎蓮娜島魔法大學域(51,178) / 庫魯克斯哥拉爾域(389,535)","庫魯克斯哥拉爾域(389,535)",,20個420G,/img/採集/魚翅.gif
10,甲魚,食材類,"莎蓮娜島魔法大學域(71,139) / 庫魯克斯哥拉爾域(298,291)","庫魯克斯哥拉爾域(298,291)",,20個420G,/img/採集/甲魚.gif
1,高級番茄,特殊類,"法蘭城貝蒂的家(231,102)裡的田",,相關任務： 藥劑師就職,1G,/img/採集/高級番茄.gif
1,蝙蝠,特殊類,"法蘭城畢夫魯的家(206,37)裡的廚房",,作用不明,7G,/img/採集/蝙蝠.gif
2,惡玉A菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉A菌.gif
2,惡玉B菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉B菌.gif
2,惡玉C菌,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉C菌.gif
2,惡玉菌首領A,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領A.gif
2,惡玉菌首領B,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領B.gif
2,惡玉菌首領C,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領C.gif
2,惡玉菌首領D,特殊類,鯰魚大王的胃袋 / 鯰魚大王的大腸,,相關任務： 鯰魚洞窟,0G,/img/採集/惡玉菌首領D.gif
2,桃連蛇,特殊類,"世外桃源2(27,30)",,相關任務： 仙人就職,0G,/img/採集/桃連蛇.gif
2,桃茂,特殊類,"世外桃源3(27,30)",,相關任務： 仙人就職,0G,/img/採集/桃茂.gif
2,桃冠,特殊類,"世外桃源4(27,30)",,相關任務： 仙人就職,0G,/img/採集/桃冠.gif
3,腐爛的皮,特殊類,"芙蕾雅(621,33)",,相關任務： 海賊的洞窟,0G,/img/採集/腐爛的皮.gif
3,亞留特獅子的皮,特殊類,"芙蕾雅(621,33)",,相關任務： 海賊的洞窟,0G,/img/採集/亞留特獅子的皮.gif
3,海賊的寶箱,特殊類,海賊的島嶼全域,,相關任務： 海賊的洞窟,無法販售,/img/採集/海賊的寶箱.gif
4,海賊的寶箱,特殊類,海賊的島嶼全域,,相關任務： 海賊的洞窟,無法販售,/img/採集/海賊的寶箱.gif
4,狐皮,特殊類,索奇亞島 風之洞窟山頂(miss率極高),,相關任務： 風之洞窟,無法販售,/img/採集/狐皮.gif
4,摩斯蜥蝪,特殊類,"索奇亞(528,326)",,相關任務： 魔族改造計劃,0G,/img/採集/摩斯蜥蝪.gif
4,井底蛙,特殊類,"角笛大風穴(135,5)",,相關任務： 魔族改造計劃,無法販售,/img/採集/井底蛙.gif
4,惡魔魚,特殊類,"索奇亞(282,404)(腐爛的樹枝)",,相關任務： 魔族改造計劃,42G,/img/採集/惡魔魚.gif
5,戀愛蘋果,特殊類,"莎蓮娜傑諾瓦(267,558)附近",,相關任務： 月亮俱樂部,20個41G,/img/採集/戀愛蘋果.gif
5,海賊的寶箱,特殊類,海賊的島嶼全域,,相關任務： 海賊的洞窟,0G,/img/採集/海賊的寶箱.gif
5,花蜜結晶,特殊類,"德威特島美洛平原(492,426)",,相關任務： 穿越時空,42G,/img/採集/花蜜結晶.gif
5,芝麻娃娃,特殊類,"梅布爾隘地(198,128)",,相關任務： 家族設立,140G,/img/採集/芝麻娃娃.gif
6,鋼騎之礦,特殊類,海賊的島嶼全域,,相關任務： 海賊的洞窟,5個1400G,/img/採集/鋼騎之礦.gif
8,阿巴尼斯哈密瓜,特殊類,"魔法大學2樓(14,37)出去右側(87,78)",,相關任務： 生產系階級提昇Ⅲ,20個103G,/img/採集/阿巴尼斯哈密瓜.gif
8,濕地毒蛇,特殊類,"地底湖地下2F的小島與(38.54)對話傳送過去(37,49)",,相關任務： 生產系階級提昇Ⅲ,42G,/img/採集/濕地毒蛇.gif
10,生物？,特殊類,芙蕾雅、德威特島全域，隨機取得,,鑑定後為土龍,210G,/img/採集/生物？.gif
