名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,入手方法,入手類型,image
火焰鼠,野獸系,7,12,15,34,32,10,100,火10,索奇亞島，奇利村近郊(235.326),捕捉,/img/魔力原始寵物/火焰鼠.gif
寶石鼠,野獸系,7,7,22,27,37,10,100,風10,法蘭城鏡中的豪宅一樓(24.6)；到達方式參考：咒術師就職,捕捉,/img/魔力原始寵物/寶石鼠.gif
水藍鼠,野獸系,11,15,28,28,33,10,115,地5水5,"巴別塔　　盡頭(54.21)
火焰鼠彩卷B獎隨機獲得",捕捉,/img/魔力原始寵物/水藍鼠.gif
鼠王,野獸系,15,7,19,32,42,10,115,火5風5,鼠王驚奇蛋一等獎,捕捉,/img/魔力原始寵物/鼠王.gif
地獄看門犬,野獸系,26,36,12,23,18,7,115,水6火4,將Lv20以上的地獄看門犬拿到亞留特村(48.37)換取Lv1,捕捉,/img/魔力原始寵物/地獄看門犬.gif
巨狼,野獸系,22,37,11,25,20,7,115,地6水4,雪拉威森塔77F(87.24),捕捉,/img/魔力原始寵物/巨狼.gif
地獄獵犬,野獸系,24,35,19,22,15,7,115,火6風4,詛咒的迷宮地下4樓(13.11),捕捉,/img/魔力原始寵物/地獄獵犬.gif
地獄妖犬,野獸系,23,40,13,21,18,7,115,地4風6,莎蓮娜島，傑諾瓦村域(119.320),捕捉,/img/魔力原始寵物/地獄妖犬.gif
殭屍,不死系,37,32,12,12,12,9,105,地4風6,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉,/img/魔力原始寵物/殭屍.gif
喪屍,不死系,35,34,7,15,14,9,105,水6火4,積雪的山道山頂(21.16),捕捉,/img/魔力原始寵物/喪屍.gif
食屍鬼,不死系,32,32,17,7,17,9,105,火6風4,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉,/img/魔力原始寵物/食屍鬼.gif
腐屍,不死系,42,37,12,7,7,9,105,地6水4,"奇利村域阿魯巴斯洞窟最上層（阿魯巴斯與改牛前的樓梯上去後全區域出現, 彊屍、腐屍、食屍鬼一等級會一起出現)",捕捉,/img/魔力原始寵物/腐屍.gif
木乃伊,不死系,39,32,14,8,17,8,110,火5風5,沙漠之祠底層天空看守者前面(13.25),捕捉,/img/魔力原始寵物/木乃伊.gif
骷髏戰士,不死系,12,27,42,12,17,8,110,地3風7,完成 任務將軍塚II,捕捉,/img/魔力原始寵物/骷髏戰士.gif
血骷髏,不死系,13,24,41,10,22,8,110,火7風3,海賊海灣(16.32),捕捉,/img/魔力原始寵物/血骷髏.gif
地獄骷髏,不死系,14,30,40,11,15,8,110,水7火3,完成 任務將軍塚II,捕捉,/img/魔力原始寵物/地獄骷髏.gif
武裝骷髏,不死系,9,26,47,8,20,8,110,地7水3,齋戒男角色地圖二(63.5),捕捉,/img/魔力原始寵物/武裝骷髏.gif
骷髏海盜,不死系,12,29,45,13,16,8,115,地5水5,魯多特盆地　南部(182.102)、(184.108)、(248.134)(以二連戰方式登場),捕捉,/img/魔力原始寵物/骷髏海盜.gif
幽靈,不死系,19,18,31,20,27,7,115,地2水8,詛咒的迷宮 41樓(7.6)、(8.5)、(7.8),捕捉,/img/魔力原始寵物/幽靈.gif
鬼靈,不死系,9,21,27,25,33,7,115,火8風2,峽之洞窟最下面(74.4)需要做牛鬼的逆襲任務擊倒羅連斯後,捕捉,/img/魔力原始寵物/鬼靈.gif
亡靈,不死系,14,27,30,15,29,7,115,火2風8,"齋戒女角色地圖二(77.88)
晚上的光之神殿入口(17.11)",捕捉,/img/魔力原始寵物/亡靈.gif
死靈,不死系,10,28,32,17,28,7,115,地8水2,"夜之蒂娜村(32.27)、(20.64)、(64,53)、(44,45)",捕捉,/img/魔力原始寵物/死靈.gif
小石像怪,飛行系,16,21,11,31,26,9,105,地5水5,靈堂全域,捕捉,/img/魔力原始寵物/小石像怪.gif
使魔,飛行系,21,20,15,27,27,9,110,火7風3,國民任務隨機獲得,捕捉,/img/魔力原始寵物/使魔.gif
水藍鳥魔,飛行系,22,23,10,25,25,9,105,地3水7,"鏡中豪宅2樓(40.25)
水曜之域 通道[白天, 清波村南方](11.8)",捕捉,/img/魔力原始寵物/水藍鳥魔.gif
小惡魔,飛行系,21,20,9,25,30,9,105,地7風3,奇利村附近(280.400),捕捉,/img/魔力原始寵物/小惡魔.gif
迷你石像怪,飛行系,23,19,10,24,29,9,105,火3風7,詛咒的迷宮地下35樓(18.5)、(18.8),捕捉,/img/魔力原始寵物/迷你石像怪.gif
丘比特,飛行系,12,22,7,37,37,9,115,火5風5,火焰鼠彩券B獎隨機獲得,捕捉,/img/魔力原始寵物/丘比特.gif
石像怪,飛行系,14,30,32,22,22,6,120,地9風1,,捕捉,/img/魔力原始寵物/石像怪.gif
血魔,飛行系,13,31,26,25,25,6,120,水1火9,,捕捉,/img/魔力原始寵物/血魔.gif
墮天使,飛行系,11,28,28,27,26,6,120,地1水9,完成將軍塚任務II,捕捉,/img/魔力原始寵物/墮天使.gif
惡魔,飛行系,10,27,26,26,31,6,120,火1風9,完成將軍塚任務II,捕捉,/img/魔力原始寵物/惡魔.gif
小蝙蝠,飛行系,11,26,16,31,21,10,105,地6水4,完成國民任務後隨機獲得,捕捉,/img/魔力原始寵物/小蝙蝠.gif
掃把蝙蝠,飛行系,13,28,12,29,18,10,100,水6火4,莎蓮娜東邊洞窟地下第二個二樓(18.24),捕捉,/img/魔力原始寵物/掃把蝙蝠.gif
迷你蝙蝠,飛行系,11,26,20,27,16,10,100,火6風4,法蘭城東門外全域,捕捉,/img/魔力原始寵物/迷你蝙蝠.gif
水果蝙蝠,飛行系,17,25,15,26,17,10,100,地4風6,白色方舟4樓(43.106),捕捉,/img/魔力原始寵物/水果蝙蝠.gif
惡魔蝙蝠,飛行系,13,34,10,29,24,10,110,水8火2,黑白龍城任務黑龍城最後獎勵,捕捉,/img/魔力原始寵物/惡魔蝙蝠.gif
天使蝙蝠,飛行系,9,22,12,37,30,10,110,地2風8,黑白龍城任務白龍城最後獎勵,捕捉,/img/魔力原始寵物/天使蝙蝠.gif
大蝙蝠,飛行系,23,28,23,28,13,7,115,地7水3,試練的洞窟1~3F全區域出現,捕捉,/img/魔力原始寵物/大蝙蝠.gif
巨蝙蝠,飛行系,27,30,22,24,12,7,115,火3風7,青龍的洞窟4樓(72.66),捕捉,/img/魔力原始寵物/巨蝙蝠.gif
海蝙蝠,飛行系,18,29,27,30,11,7,115,地3水7,地底湖地下2樓(42.60)、(44.60),捕捉,/img/魔力原始寵物/海蝙蝠.gif
胖蝙蝠,飛行系,25,24,20,26,20,7,115,火7風3,通往阿巴尼斯的地下道(30.46)、(29.44),捕捉,/img/魔力原始寵物/胖蝙蝠.gif
兔耳蝙蝠,飛行系,21,26,18,31,14,8,110,水5火5,蒂娜村附近(481.255),捕捉,/img/魔力原始寵物/兔耳蝙蝠.gif
藍蠍,昆蟲系,20,27,47,13,8,7,115,水9火1,索奇亞大沙漠加納村域(582.327)、(562.367),捕捉,/img/魔力原始寵物/藍蠍.gif
紅蠍,昆蟲系,19,28,42,19,7,7,115,火9風1,索奇亞加納村域鯰魚洞窟地下三樓(26.17),捕捉,/img/魔力原始寵物/紅蠍.gif
黃蠍,昆蟲系,20,30,43,12,10,7,115,地1風9,索奇亞加納村域大沙漠裡(547.349),捕捉,/img/魔力原始寵物/黃蠍.gif
殺手蠍,昆蟲系,30,29,38,11,7,7,115,地9水1,沙漠之祠8樓小廟守護神前面(17.11)、(16.07),捕捉,/img/魔力原始寵物/殺手蠍.gif
殺人蜂,昆蟲系,12,37,12,37,12,8,110,地5風5,米內葛爾島的路霸阿德基姆身後(447.356),捕捉,/img/魔力原始寵物/殺人蜂.gif
異型蜂,昆蟲系,14,33,11,35,17,8,110,火5風5,維諾亞鎮外(428.400)、(471.395)、(514.382),捕捉,/img/魔力原始寵物/異型蜂.gif
虎頭蜂,昆蟲系,13,40,8,38,11,8,110,地7風3,"星詠的宮殿地下1F(77.137)
水曜之域 82.148",捕捉,/img/魔力原始寵物/虎頭蜂.gif
黃蜂,昆蟲系,10,38,13,43,6,8,110,火7風3,伊爾村近郊(668.310)、(690.286),捕捉,/img/魔力原始寵物/黃蜂.gif
死亡蜂,昆蟲系,7,39,15,41,8,8,110,水7火3,傑諾瓦村後門出村往東過橋左轉(284.372),捕捉,/img/魔力原始寵物/死亡蜂.gif
螳螂,昆蟲系,16,44,22,27,11,6,120,地6風4,風之石碑附近(292.214),捕捉,/img/魔力原始寵物/螳螂.gif
殺人螳螂,昆蟲系,12,45,20,26,17,6,120,水4火6,"亞諾曼城東北(297.243)
魯多特盆地 (248.134)",捕捉,/img/魔力原始寵物/殺人螳螂.gif
赤目螳螂,昆蟲系,14,44,19,29,14,6,120,火4風6,角笛大風穴加納側出口樓梯附近(131.29),捕捉,/img/魔力原始寵物/赤目螳螂.gif
死灰螳螂,昆蟲系,15,40,17,33,15,6,120,水5火5,蒂娜村外(454.328)、(457.329),捕捉,/img/魔力原始寵物/死灰螳螂.gif
致命螳螂,昆蟲系,20,43,18,27,12,6,120,地4水6,"烏克蘭井底通路上層(44,4)",捕捉,/img/魔力原始寵物/致命螳螂.gif
土蜘蛛,昆蟲系,26,15,18,23,23,9,105,地10,牛鬼洞窟頂層打完鬼犬後隨機出現,捕捉,/img/魔力原始寵物/土蜘蛛.gif
水蜘蛛,昆蟲系,24,16,17,20,28,9,105,水10,角笛大風穴(9.31),捕捉,/img/魔力原始寵物/水蜘蛛.gif
火蜘蛛,昆蟲系,22,22,16,25,20,9,105,火10,試煉之洞窟3-5F全域,捕捉,/img/魔力原始寵物/火蜘蛛.gif
風蜘蛛,昆蟲系,25,28,15,19,18,9,105,風10,雪拉威森塔65F(72.111),捕捉,/img/魔力原始寵物/風蜘蛛.gif
樹精,植物系,32,17,32,12,17,8,110,水4火6,"法蘭城通往伊爾村的路上(561.211)、(559.221)、(568,196)",捕捉,/img/魔力原始寵物/樹精.gif
死亡樹精,植物系,28,20,37,9,16,8,110,地6水4,傑諾瓦村東門出去往蒂娜村路上(361.339),捕捉,/img/魔力原始寵物/死亡樹精.gif
黃金樹精,植物系,38,22,28,10,17,8,115,地4風6,"以Lv20+快枯死的樹精到索奇亞島""飼養師寄宿所""換取",捕捉,/img/魔力原始寵物/黃金樹精.gif
慘白樹精,植物系,29,16,28,17,20,8,110,火3風7,蒂娜村外(559.246),捕捉,/img/魔力原始寵物/慘白樹精.gif
冰冷樹精,植物系,30,15,27,16,22,8,110,水7火3,亞留特村周邊到處可以遇到,捕捉,/img/魔力原始寵物/冰冷樹精.gif
沼澤樹精,植物系,31,14,29,15,21,8,110,地7水3,米內葛爾島(171.385),捕捉,/img/魔力原始寵物/沼澤樹精.gif
妖草,植物系,26,11,16,16,36,9,105,地8水2,維諾亞鎮附近(471.395)、(422.357)、(490.392)、(158.81),捕捉,/img/魔力原始寵物/妖草.gif
蔓陀羅草,植物系,25,13,14,15,38,9,105,地5風5,傑諾瓦鎮附近(281.489),捕捉,/img/魔力原始寵物/蔓陀羅草.gif
妖花,植物系,27,12,12,19,35,9,105,火5風5,再生花園任務最後獎勵之一,捕捉,/img/魔力原始寵物/妖花.gif
人魔草,植物系,22,17,11,14,41,9,105,水8火2,完成任務「彩葉草之戀」取得 、白色方舟4樓(43.106),捕捉,/img/魔力原始寵物/人魔草.gif
綠色口臭鬼,植物系,38,23,16,15,23,7,115,地9風1,"莎蓮娜海底洞穴聖拉魯卡村側一樓(9.12)
浮空島(131.42)",捕捉,/img/魔力原始寵物/綠色口臭鬼.gif
黃色口臭鬼,植物系,37,27,18,11,22,7,115,地1風9,"維諾亞村附近(408.561)、(346.514)、(371,446)",捕捉,/img/魔力原始寵物/黃色口臭鬼.gif
藍色口臭鬼,植物系,35,25,15,18,27,7,120,水9火1,鯰魚大王的胃(59.41),捕捉,/img/魔力原始寵物/藍色口臭鬼.gif
紅色口臭鬼,植物系,44,21,14,12,29,7,120,水1火9,尼維爾海村附近(460.350),捕捉,/img/魔力原始寵物/紅色口臭鬼.gif
兇暴仙人掌,植物系,27,29,22,12,20,,110,,,,/img/魔力原始寵物/兇暴仙人掌.gif
武術仙人掌,植物系,24,32,27,10,17,8,110,地5水5,索奇亞島大沙漠(552.400)、(562.367),捕捉,/img/魔力原始寵物/武術仙人掌.gif
兔耳仙人掌,植物系,28,35,19,14,14,8,110,火5風5,索奇亞島大沙漠(627.302),捕捉,/img/魔力原始寵物/兔耳仙人掌.gif
印地安仙人掌,植物系,26,36,24,9,15,8,110,水5火5,索奇亞島奇利村域(343.312)、(306.329),捕捉,/img/魔力原始寵物/印地安仙人掌.gif
火焰舞者,植物系,19,38,18,15,25,8,115,水2火8,用鯰魚大王的東西和加納村的大鯰魚王研究家換取，詳情查看任務大鯰魚王,捕捉,/img/魔力原始寵物/火焰舞者.gif
史萊姆,特殊系,46,26,11,6,16,9,105,地7風3,法蘭城修理工波利的家中，龜裂的地下道全域,捕捉,/img/魔力原始寵物/史萊姆.gif
液態史萊姆,特殊系,49,24,15,5,12,9,105,地1水9,法蘭城修理工波利的家中龜裂的地下道 NPC形式出現,捕捉,/img/魔力原始寵物/液態史萊姆.gif
果凍史萊姆,特殊系,45,31,6,10,13,9,105,水1火9,莎蓮娜海底洞窟傑諾瓦鎮側一樓(7.8),捕捉,/img/魔力原始寵物/果凍史萊姆.gif
布丁史萊姆,特殊系,40,25,12,8,20,9,105,火1風9,鯰魚大王的胃(97.84),捕捉,/img/魔力原始寵物/布丁史萊姆.gif
火精,特殊系,25,25,25,25,25,9,125,火10,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉,/img/魔力原始寵物/火精.gif
風精,特殊系,25,25,25,25,25,9,125,風10,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉,/img/魔力原始寵物/風精.gif
水精,特殊系,25,25,25,25,25,9,125,水10,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉,/img/魔力原始寵物/水精.gif
地精,特殊系,25,25,25,25,25,9,125,地10,火焰鼠彩券A獎隨機獲得、魔力拉霸活動,捕捉,/img/魔力原始寵物/地精.gif
頑皮炸彈,特殊系,15,15,15,15,40,10,100,地8水2,南恰拉山第一通道(35.5)、(33.5),捕捉,/img/魔力原始寵物/頑皮炸彈.gif
寶貝炸彈,特殊系,14,17,11,16,42,10,100,水8火2,詛咒的迷宮地下三十六樓(22.5),捕捉,/img/魔力原始寵物/寶貝炸彈.gif
大炸彈,特殊系,12,20,14,14,40,10,100,火8風2,"雪拉威森塔39F(96.127)
日曜之域 (667.174)",捕捉,/img/魔力原始寵物/大炸彈.gif
漂浮炸彈,特殊系,16,14,14,17,39,10,100,地2風8,競技場的迷宮地圖一(53.43)已關、彩葉園吊橋守衛之前(47.29)；到達方法參考任務：彩葉草之戀,捕捉,/img/魔力原始寵物/漂浮炸彈.gif
丸子炸彈,特殊系,17,17,7,17,47,10,105,地5風5,火焰鼠彩券B獎隨機取得,捕捉,/img/魔力原始寵物/丸子炸彈.gif
血腥之刃,金屬系,9,39,34,14,24,6,120,地9水1,詛咒的迷宮第十八樓(22.12),捕捉,/img/魔力原始寵物/血腥之刃.gif
殺龍之刃,金屬系,17,37,41,11,19,6,125,水9火1,白色方舟3樓(63.150),捕捉,/img/魔力原始寵物/殺龍之刃.gif
火焰之刃,金屬系,10,39,28,12,31,6,120,火9風1,齋戒地圖三男性路線(17.16),捕捉,/img/魔力原始寵物/火焰之刃.gif
烈風之刃,金屬系,12,44,29,13,27,6,125,地1風9,星詠的宮殿地下1F(123.137),捕捉,/img/魔力原始寵物/烈風之刃.gif
嚇人箱,金屬系,11,26,26,11,31,9,105,火2風8,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/嚇人箱.gif
兔耳嚇人箱,金屬系,9,24,23,16,33,9,105,水2火8,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/兔耳嚇人箱.gif
紅魔嚇人箱,金屬系,12,32,27,12,27,8,110,水5火5,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/紅魔嚇人箱.gif
藍魔嚇人箱,金屬系,15,37,28,8,22,8,110,地2水8,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/藍魔嚇人箱.gif
綠蛙嚇人箱,金屬系,13,35,29,10,23,8,110,地8風2,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/綠蛙嚇人箱.gif
純白嚇人箱,金屬系,9,24,29,11,37,8,110,地5風5,魔力拉霸活動、收穫祭迷宮,捕捉,/img/魔力原始寵物/純白嚇人箱.gif
冰怪,金屬系,20,30,46,7,12,7,115,水10,齋戒女角色地圖三(134.85),捕捉,/img/魔力原始寵物/冰怪.gif
石怪,金屬系,15,38,43,6,13,7,115,地10,月亮俱樂部第二十八天獎勵,捕捉,/img/魔力原始寵物/石怪.gif
銀怪,金屬系,10,32,48,8,17,7,115,火10,"古錢交換的物品之一
點數購 超合金(50點) 隨機抽得",捕捉,/img/魔力原始寵物/銀怪.gif
金怪,金屬系,14,41,40,5,15,7,115,風10,"古錢交換的物品之一
點數購 超合金(50點) 隨機抽得",捕捉,/img/魔力原始寵物/金怪.gif
惡魔螃蟹,金屬系,16,32,35,11,11,9,105,水2火8,維諾亞洞窟內只要有敵人出沒的地方,捕捉,/img/魔力原始寵物/惡魔螃蟹.gif
水晶螃蟹,金屬系,18,31,36,10,10,9,105,水8火2,蒂娜村周邊(517.238),捕捉,/img/魔力原始寵物/水晶螃蟹.gif
鐵剪螃蟹,金屬系,14,34,37,12,8,9,105,地8風2,索奇亞沙漠(462.205)、(501.209),捕捉,/img/魔力原始寵物/鐵剪螃蟹.gif
黃金螃蟹,金屬系,22,30,34,7,12,9,105,地2風8,烏克蘭井底之道(22.29)(靠近醫院的那層),捕捉,/img/魔力原始寵物/黃金螃蟹.gif
蜥蜴戰士,龍系,22,32,32,12,12,,110,,,,/img/魔力原始寵物/蜥蜴戰士.gif
蜥蜴鬥士,龍系,18,37,37,8,10,,110,,,,/img/魔力原始寵物/蜥蜴鬥士.gif
蜥蝪武士,龍系,20,31,30,15,14,8,110,水3火7,白色方舟2樓(109.171),捕捉,/img/魔力原始寵物/蜥蝪武士.gif
獵豹蜥蜴,龍系,23,36,28,10,13,,110,,,,/img/魔力原始寵物/獵豹蜥蜴.gif
大地翼龍,龍系,29,28,32,20,11,6,120,地10,第三次晉職迷宮地下七樓(16.20),捕捉,/img/魔力原始寵物/大地翼龍.gif
寒冰翼龍,龍系,30,30,31,17,12,6,120,水10,青龍的洞窟四樓(11.23),捕捉,/img/魔力原始寵物/寒冰翼龍.gif
火焰翼龍,龍系,33,33,25,16,13,6,120,火10,完成任務「琥珀之卵六」取得,捕捉,/img/魔力原始寵物/火焰翼龍.gif
烈風翼龍,龍系,32,30,23,20,15,6,120,風10,星詠的宮殿地下1F(98.91)、皇后陵寢全域(帶隊者身上不能攜帶草葉彩苗)；到達方法參考任務：彩葉草之戀,捕捉,/img/魔力原始寵物/烈風翼龍.gif
地龍蜥,龍系,29,34,34,15,8,7,120,地8水2,鯰魚洞窟地下三樓(20.37),捕捉,/img/魔力原始寵物/地龍蜥.gif
水龍蜥,龍系,36,38,34,11,6,7,125,水8火2,索奇亞海底洞窟地下二樓(49.8),捕捉,/img/魔力原始寵物/水龍蜥.gif
火龍蜥,龍系,32,37,37,12,7,7,125,火8風2,打完羅連斯後頂樓，逆牛的宮殿後面(765.48),捕捉,/img/魔力原始寵物/火龍蜥.gif
風龍蜥,龍系,35,35,31,10,9,7,120,地2風8,傑諾瓦鎮西門出去(142.522),捕捉,/img/魔力原始寵物/風龍蜥.gif
哥布林,人形系,27,27,27,17,7,9,105,地7水3,法蘭城近郊或牛鬼的洞窟最上層打倒鬼犬後出現,捕捉,/img/魔力原始寵物/哥布林.gif
紅帽哥布林,人形系,23,30,29,20,5,9,107,水7火3,牛鬼的洞窟最上層打倒鬼犬後出現或維諾亞村附近(339.493),捕捉,/img/魔力原始寵物/紅帽哥布林.gif
火焰哥布林,人形系,22,28,26,15,14,9,105,火7風3,傑諾瓦村附近(257.593),捕捉,/img/魔力原始寵物/火焰哥布林.gif
烈風哥布林,人形系,30,26,24,23,4,9,107,地3風7,"深淵的地下水脈 (44,55)(45,55)",捕捉,/img/魔力原始寵物/烈風哥布林.gif
巨人,人形系,38,35,24,9,14,6,120,地10,風鳴之塔十樓(14.62),捕捉,/img/魔力原始寵物/巨人.gif
單眼巨人,人形系,34,34,20,12,20,6,120,水10,弗利德島(102.87)、到達方法參考任務：彩葉草之戀,捕捉,/img/魔力原始寵物/單眼巨人.gif
泰坦巨人,人形系,39,30,28,8,15,6,120,風10,「魔物狩獵」任務取得神秘之壺隨機換取,捕捉,/img/魔力原始寵物/泰坦巨人.gif
亞特拉斯巨神,人形系,37,37,17,17,12,6,120,火10,風鳴之塔十樓(60.64),捕捉,/img/魔力原始寵物/亞特拉斯巨神.gif
盜賊,人形系,23,28,21,31,12,7,115,火5風5,法蘭城附近、牛鬼的洞窟最上層,,/img/魔力原始寵物/盜賊.gif
山賊,人形系,28,27,24,26,10,7,115,地5風5,使用符紙人,,/img/魔力原始寵物/山賊.gif
海盜,人形系,19,31,23,28,14,7,115,水5火5,2006年幸福一刻館獎品,,/img/魔力原始寵物/海盜.gif
破壞狂,人形系,27,26,30,24,8,7,115,地5水5,"芙蕾雅的祝褔包 - 集齊字卡「魔、力、寶、貝」4字取得
使用符紙人",,/img/魔力原始寵物/破壞狂.gif
鳥人,人形系,17,17,17,37,22,8,110,地9風1,亞留特村周邊(620.65)、(589.44),捕捉,/img/魔力原始寵物/鳥人.gif
幻歌妖,人形系,15,18,20,38,19,8,110,地1水9,傑諾瓦鎮附近(80.346),捕捉,/img/魔力原始寵物/幻歌妖.gif
狠毒鳥人,人形系,18,19,14,39,20,8,110,水1火9,加納沙漠(690.357)、(451.389)、(472.387),捕捉,/img/魔力原始寵物/狠毒鳥人.gif
烈風鳥人,人形系,13,20,12,42,23,8,110,火1風9,阿巴尼斯村附近(56.163),捕捉,/img/魔力原始寵物/烈風鳥人.gif
黑暗鳥人,人形系,19,11,11,43,31,8,115,地5風5,冰之洞窟二樓(40.43)、(65.39),捕捉,/img/魔力原始寵物/黑暗鳥人.gif
山飛甲,野獸系,27,21,15,30,27,6,120,地6風4,,,/img/魔力原始寵物/山飛甲.gif
獨角獸,野獸系,17,25,13,28,37,6,120,地4水6,完成任務「艾爾巴一等勳章 - 最後的真相」,,/img/魔力原始寵物/獨角獸.gif
天馬,野獸系,22,22,12,32,32,6,120,水4火6,完成任務「艾爾巴一等勳章 - 最後的真相」,,/img/魔力原始寵物/天馬.gif
麒麟,野獸系,19,27,10,34,30,6,120,火4風6,「錯差的神域」任務取得,,/img/魔力原始寵物/麒麟.gif
地底龜,野獸系,22,22,37,10,19,8,110,地5風5,雪拉威森塔39F(250.245),捕捉,/img/魔力原始寵物/地底龜.gif
海底龜,野獸系,23,20,45,4,18,8,110,地5水5,米內葛爾島坎那貝拉村域南部(447.319),捕捉,/img/魔力原始寵物/海底龜.gif
火焰龜,野獸系,27,17,42,7,17,8,110,水5火5,米內葛爾島路霸後(378.268),捕捉,/img/魔力原始寵物/火焰龜.gif
硬殼龜,野獸系,26,16,47,5,16,8,110,火5風5,"夕之湖全域(帶隊者必須持有淚之珠)
星詠的宮殿地下1階 (87,42)",捕捉,/img/魔力原始寵物/硬殼龜.gif
鐮刀魔,不死系,23,35,18,17,32,6,125,地10,完成任務「蘭國一等勳章 - 最後的真相」,,/img/魔力原始寵物/鐮刀魔.gif
暗黑僧侶,不死系,17,37,22,12,37,6,125,水10,"2011年灰熊厲害 5S獎品
引魂香",,/img/魔力原始寵物/暗黑僧侶.gif
斬首者,不死系,19,42,20,15,29,6,125,火10,完成任務「蘭國一等勳章 - 最後的真相」,,/img/魔力原始寵物/斬首者.gif
冥界死神,不死系,25,40,12,21,27,6,125,風10,水藍鼠金幣130枚交換,,/img/魔力原始寵物/冥界死神.gif
牙骨,不死系,27,32,32,12,7,8,110,地9風1,白色方舟1樓(117.135),捕捉,/img/魔力原始寵物/牙骨.gif
顎牙,不死系,32,29,37,7,5,8,110,地1水9,雪拉威森塔39F(148.302),捕捉,/img/魔力原始寵物/顎牙.gif
巨牙,不死系,25,30,27,17,11,8,110,水1火9,南恰拉山第二通道(09.22)、(09.23),捕捉,/img/魔力原始寵物/巨牙.gif
利牙,不死系,30,37,30,9,4,8,110,火1風9,白迷宮2樓(109.171),捕捉,/img/魔力原始寵物/利牙.gif
獅鷲獸,飛行系,22,32,12,42,17,6,125,地6風4,完成任務「狩獵任務」取得,,/img/魔力原始寵物/獅鷲獸.gif
變種獅鷲獸,飛行系,26,29,15,39,15,6,124,地4水6,灰熊厲害2008活動以25個S級勳章換得,,/img/魔力原始寵物/變種獅鷲獸.gif
托羅帝鳥,飛行系,32,20,13,35,10,8,110,地8風2,「魔物狩獵」任務取得神秘之壺隨機換取、弗利德島 - 漢米頓村門外(78.161)附近 、到達方法參考任務：彩葉草之戀,捕捉,/img/魔力原始寵物/托羅帝鳥.gif
岩地跑者,飛行系,27,22,17,32,12,8,110,地2水8,米內葛爾島 坎那貝拉村域(433.143)，同時完成任務「獅鷲任務」也有可能取得,捕捉,/img/魔力原始寵物/岩地跑者.gif
